PID: 3421 | User: postgres | App: psql | State: active | Query Start: 2024-01-15 14:22:15 | Duration: 2m 15s | Query: SELECT * FROM orders WHERE status = 'pending'
PID: 8456 | User: app_user | App: web_app | State: idle | Query Start: 2024-01-15 14:22:10 | Duration: 2m 17s | Query: <IDLE>
PID: 3267 | User: postgres | App: psql | State: active | Query Start: 2024-01-15 14:24:10 | Duration: 17s | Query: SELECT COUNT(*) FROM transactions WHERE date > '2024-01-01'
PID: 5934 | User: app_user | App: jdbc | State: active | Query Start: 2024-01-15 14:23:30 | Duration: 57s | Query: SELECT * FROM customer_profiles WHERE status = 'active' LIMIT 100
PID: 7601 | User: postgres | App: psql | State: idle | Query Start: 2024-01-15 14:05:15 | Duration: 19m 12s | Query: <IDLE>
PID: 2156 | User: app_user | App: web_app | State: active | Query Start: 2024-01-15 14:23:00 | Duration: 1m 27s | Query: INSERT INTO notifications (user_id, message, created_at) VALUES (5521, 'New order', NOW())
PID: 9845 | User: admin | App: pgAdmin | State: active | Query Start: 2024-01-15 14:21:45 | Duration: 2m 42s | Query: SELECT tablename, n_live_tup, n_dead_tup FROM pg_stat_user_tables
PID: 4789 | User: app_user | App: jdbc | State: idle | Query Start: 2024-01-15 14:20:05 | Duration: 4m 22s | Query: <IDLE>
PID: 6543 | User: postgres | App: psql | State: active | Query Start: 2024-01-15 14:24:18 | Duration: 9s | Query: VACUUM ANALYZE user_preferences
PID: 8234 | User: app_user | App: web_app | State: active | Query Start: 2024-01-15 14:22:25 | Duration: 2m 2s | Query: UPDATE cart_items SET quantity = 3 WHERE cart_id = 9921
PID: 3678 | User: reporting_user | App: tableau | State: active | Query Start: 2024-01-15 14:15:50 | Duration: 8m 37s | Query: SELECT date_trunc('day', created_at), COUNT(*) FROM orders GROUP BY 1
PID: 5123 | User: app_user | App: jdbc | State: idle | Query Start: 2024-01-15 14:23:40 | Duration: 47s | Query: <IDLE>
PID: 7890 | User: postgres | App: psql | State: active | Query Start: 2024-01-15 14:24:05 | Duration: 22s | Query: SELECT * FROM pg_stat_activity WHERE state = 'idle in transaction'
PID: 2901 | User: app_user | App: web_app | State: active | Query Start: 2024-01-15 14:23:20 | Duration: 1m 7s | Query: DELETE FROM temp_data WHERE created_at < NOW() - INTERVAL '1 day'
PID: 9456 | User: admin | App: psql | State: idle | Query Start: 2024-01-15 14:17:30 | Duration: 6m 57s | Query: <IDLE>
PID: 4367 | User: app_user | App: jdbc | State: active | Query Start: 2024-01-15 14:24:20 | Duration: 7s | Query: SELECT * FROM products WHERE category = 'electronics' ORDER BY price DESC
PID: 6812 | User: postgres | App: psql | State: active | Query Start: 2024-01-15 14:22:55 | Duration: 1m 32s | Query: CREATE INDEX CONCURRENTLY idx_orders_status ON orders(status)
PID: 8567 | User: app_user | App: web_app | State: idle | Query Start: 2024-01-15 14:21:18 | Duration: 3m 9s | Query: <IDLE>
PID: 3145 | User: monitoring | App: prometheus_exporter | State: active | Query Start: 2024-01-15 14:24:15 | Duration: 12s | Query: SELECT COUNT(*) FROM pg_stat_database
PID: 5890 | User: app_user | App: jdbc | State: active | Query Start: 2024-01-15 14:23:50 | Duration: 37s | Query: UPDATE user_sessions SET last_activity = NOW() WHERE session_id = 'abc123xyz'
PID: 7123 | User: postgres | App: psql | State: idle | Query Start: 2024-01-15 14:12:40 | Duration: 11m 47s | Query: <IDLE>
PID: 2678 | User: app_user | App: web_app | State: active | Query Start: 2024-01-15 14:24:22 | Duration: 5s | Query: SELECT * FROM categories WHERE parent_id IS NULL
PID: 9234 | User: admin | App: pgAdmin | State: active | Query Start: 2024-01-15 14:23:35 | Duration: 52s | Query: EXPLAIN ANALYZE SELECT * FROM large_table WHERE indexed_column = 12345
PID: 4512 | User: app_user | App: jdbc | State: idle | Query Start: 2024-01-15 14:19:55 | Duration: 4m 32s | Query: <IDLE>
PID: 6701 | User: postgres | App: psql | State: active | Query Start: 2024-01-15 14:24:00 | Duration: 27s | Query: SELECT schemaname, tablename, last_vacuum, last_autovacuum FROM pg_stat_user_tables
