I0215 08:12:34.123456       1 controller.go:156] cert-manager/controller/certificates "msg"="Starting controller" "controller"="certificates"
E0215 09:45:13.678901       1 sync.go:145] cert-manager/controller/challenges "msg"="Error presenting challenge" "error"="failed to initialize DNS provider: google: could not find default credentials"
W0215 09:45:13.789012       1 controller.go:234] cert-manager/controller/challenges "msg"="Re-queuing item due to error processing" "key"="default/webapp-tls-abc123-0" "error"="failed to present challenge"
I0215 09:45:23.890123       1 controller.go:189] cert-manager/controller/challenges "msg"="syncing item" "key"="default/webapp-tls-abc123-0"
I0215 09:45:23.901234       1 sync.go:134] cert-manager/controller/challenges "msg"="Presenting DNS-01 challenge" "domain"="webapp.example.com" "challenge"="webapp-tls-abc123-0"
I0215 09:45:23.912345       1 clouddns.go:89] cert-manager/controller/challenges/clouddns "msg"="Initializing CloudDNS client" "project"="prod-infrastructure-12345"
E0215 09:45:23.923456       1 clouddns.go:112] cert-manager/controller/challenges/clouddns "msg"="Failed to create CloudDNS client" "error"="google: could not find default credentials"
E0215 09:45:23.934567       1 sync.go:145] cert-manager/controller/challenges "msg"="Error presenting challenge" "error"="failed to initialize DNS provider: google: could not find default credentials"
I0215 09:45:33.945678       1 controller.go:189] cert-manager/controller/challenges "msg"="syncing item" "key"="default/webapp-tls-abc123-0"
I0215 09:45:33.956789       1 clouddns.go:67] cert-manager/controller/challenges/clouddns "msg"="Loading CloudDNS credentials from secret" "secret_name"="clouddns-credentials" "secret_namespace"="cert-manager"
I0215 09:45:33.967890       1 clouddns.go:78] cert-manager/controller/challenges/clouddns "msg"="Secret contains key" "key"="service-account.json" "bytes"="0"
E0215 09:45:33.978901       1 clouddns.go:82] cert-manager/controller/challenges/clouddns "msg"="CloudDNS credentials secret is empty or invalid" "error"="service account key is empty"
E0215 09:45:33.989012       1 sync.go:145] cert-manager/controller/challenges "msg"="Error presenting challenge" "error"="failed to load DNS provider credentials: service account key is empty"
W0215 09:45:33.990123       1 controller.go:234] cert-manager/controller/challenges "msg"="Re-queuing item due to error processing" "key"="default/webapp-tls-abc123-0" "error"="failed to present challenge"
I0215 09:45:43.991234       1 controller.go:189] cert-manager/controller/challenges "msg"="syncing item" "key"="default/webapp-tls-abc123-0"
I0215 09:45:43.992345       1 sync.go:134] cert-manager/controller/challenges "msg"="Presenting DNS-01 challenge" "domain"="webapp.example.com" "challenge"="webapp-tls-abc123-0"
I0215 09:45:43.993456       1 clouddns.go:67] cert-manager/controller/challenges/clouddns "msg"="Loading CloudDNS credentials from secret" "secret_name"="clouddns-credentials" "secret_namespace"="cert-manager"
E0215 09:45:43.994567       1 clouddns.go:82] cert-manager/controller/challenges/clouddns "msg"="CloudDNS credentials secret is empty or invalid" "error"="service account key is empty"
E0215 09:45:43.995678       1 sync.go:145] cert-manager/controller/challenges "msg"="Error presenting challenge" "error"="failed to load DNS provider credentials: service account key is empty"
I0215 09:45:53.996789       1 controller.go:189] cert-manager/controller/challenges "msg"="syncing item" "key"="default/webapp-tls-abc123-0"
I0215 09:45:53.997890       1 clouddns.go:67] cert-manager/controller/challenges/clouddns "msg"="Loading CloudDNS credentials from secret" "secret_name"="clouddns-credentials" "secret_namespace"="cert-manager"
I0215 09:45:53.998901       1 clouddns.go:78] cert-manager/controller/challenges/clouddns "msg"="Secret contains key" "key"="service-account.json" "bytes"="0"
E0215 09:45:53.999012       1 clouddns.go:82] cert-manager/controller/challenges/clouddns "msg"="CloudDNS credentials secret is empty or invalid" "error"="service account key is empty"
E0215 09:45:54.000123       1 sync.go:145] cert-manager/controller/challenges "msg"="Error presenting challenge" "error"="failed to load DNS provider credentials: service account key is empty"
W0215 09:45:54.001234       1 controller.go:234] cert-manager/controller/challenges "msg"="Re-queuing item due to error processing" "key"="default/webapp-tls-abc123-0" "error"="failed to present challenge"
I0215 09:46:04.002345       1 controller.go:189] cert-manager/controller/orders "msg"="syncing item" "key"="default/webapp-tls-abc123"
I0215 09:46:04.003456       1 sync.go:267] cert-manager/controller/orders "msg"="Waiting for challenges to complete" "order"="default/webapp-tls-abc123" "pending_challenges"="1"
I0215 09:46:04.004567       1 controller.go:189] cert-manager/controller/challenges "msg"="syncing item" "key"="default/webapp-tls-abc123-0"
I0215 09:46:04.005678       1 clouddns.go:67] cert-manager/controller/challenges/clouddns "msg"="Loading CloudDNS credentials from secret" "secret_name"="clouddns-credentials" "secret_namespace"="cert-manager"
E0215 09:46:04.006789       1 clouddns.go:82] cert-manager/controller/challenges/clouddns "msg"="CloudDNS credentials secret is empty or invalid" "error"="service account key is empty"
E0215 09:46:04.007890       1 sync.go:145] cert-manager/controller/challenges "msg"="Error presenting challenge" "error"="failed to load DNS provider credentials: service account key is empty"
I0215 09:46:14.008901       1 controller.go:189] cert-manager/controller/challenges "msg"="syncing item" "key"="default/webapp-tls-abc123-0"
I0215 09:46:14.009012       1 sync.go:134] cert-manager/controller/challenges "msg"="Presenting DNS-01 challenge" "domain"="webapp.example.com" "challenge"="webapp-tls-abc123-0"
I0215 09:46:14.010123       1 clouddns.go:67] cert-manager/controller/challenges/clouddns "msg"="Loading CloudDNS credentials from secret" "secret_name"="clouddns-credentials" "secret_namespace"="cert-manager"
I0215 09:46:14.011234       1 clouddns.go:78] cert-manager/controller/challenges/clouddns "msg"="Secret contains key" "key"="service-account.json" "bytes"="0"
E0215 09:46:14.012345       1 clouddns.go:82] cert-manager/controller/challenges/clouddns "msg"="CloudDNS credentials secret is empty or invalid" "error"="service account key is empty"
E0215 09:46:14.013456       1 sync.go:145] cert-manager/controller/challenges "msg"="Error presenting challenge" "error"="failed to load DNS provider credentials: service account key is empty"
W0215 09:46:14.014567       1 controller.go:234] cert-manager/controller/challenges "msg"="Re-queuing item due to error processing" "key"="default/webapp-tls-abc123-0" "error"="failed to present challenge"
I0215 09:46:24.015678       1 controller.go:189] cert-manager/controller/certificates "msg"="syncing item" "key"="default/webapp-tls"
I0215 09:46:24.016789       1 sync.go:189] cert-manager/controller/certificates "msg"="Certificate issuance in progress" "resource_name"="webapp-tls" "resource_namespace"="default"
I0215 09:46:24.017890       1 controller.go:189] cert-manager/controller/challenges "msg"="syncing item" "key"="default/webapp-tls-abc123-0"
I0215 09:46:24.018901       1 clouddns.go:67] cert-manager/controller/challenges/clouddns "msg"="Loading CloudDNS credentials from secret" "secret_name"="clouddns-credentials" "secret_namespace"="cert-manager"
E0215 09:46:24.019012       1 clouddns.go:82] cert-manager/controller/challenges/clouddns "msg"="CloudDNS credentials secret is empty or invalid" "error"="service account key is empty"
E0215 09:46:24.020123       1 sync.go:145] cert-manager/controller/challenges "msg"="Error presenting challenge" "error"="failed to load DNS provider credentials: service account key is empty"
I0215 09:46:34.021234       1 controller.go:189] cert-manager/controller/challenges "msg"="syncing item" "key"="default/webapp-tls-abc123-0"
I0215 09:46:34.022345       1 sync.go:134] cert-manager/controller/challenges "msg"="Presenting DNS-01 challenge" "domain"="webapp.example.com" "challenge"="webapp-tls-abc123-0"
I0215 09:46:34.023456       1 clouddns.go:67] cert-manager/controller/challenges/clouddns "msg"="Loading CloudDNS credentials from secret" "secret_name"="clouddns-credentials" "secret_namespace"="cert-manager"
I0215 09:46:34.024567       1 clouddns.go:78] cert-manager/controller/challenges/clouddns "msg"="Secret contains key" "key"="service-account.json" "bytes"="0"
E0215 09:46:34.025678       1 clouddns.go:82] cert-manager/controller/challenges/clouddns "msg"="CloudDNS credentials secret is empty or invalid" "error"="service account key is empty"
E0215 09:46:34.026789       1 sync.go:145] cert-manager/controller/challenges "msg"="Error presenting challenge" "error"="failed to load DNS provider credentials: service account key is empty"
W0215 09:46:34.027890       1 controller.go:234] cert-manager/controller/challenges "msg"="Re-queuing item due to error processing" "key"="default/webapp-tls-abc123-0" "error"="failed to present challenge"
I0215 09:46:44.028901       1 controller.go:189] cert-manager/controller/orders "msg"="syncing item" "key"="default/webapp-tls-abc123"
I0215 09:46:44.029012       1 sync.go:267] cert-manager/controller/orders "msg"="Waiting for challenges to complete" "order"="default/webapp-tls-abc123" "pending_challenges"="1"
I0215 09:46:44.030123       1 controller.go:189] cert-manager/controller/challenges "msg"="syncing item" "key"="default/webapp-tls-abc123-0"
I0215 09:46:44.031234       1 clouddns.go:67] cert-manager/controller/challenges/clouddns "msg"="Loading CloudDNS credentials from secret" "secret_name"="clouddns-credentials" "secret_namespace"="cert-manager"
E0215 09:46:44.032345       1 clouddns.go:82] cert-manager/controller/challenges/clouddns "msg"="CloudDNS credentials secret is empty or invalid" "error"="service account key is empty"
E0215 09:46:44.033456       1 sync.go:145] cert-manager/controller/challenges "msg"="Error presenting challenge" "error"="failed to load DNS provider credentials: service account key is empty"
I0215 09:46:54.034567       1 controller.go:189] cert-manager/controller/challenges "msg"="syncing item" "key"="default/webapp-tls-abc123-0"
I0215 09:46:54.035678       1 sync.go:134] cert-manager/controller/challenges "msg"="Presenting DNS-01 challenge" "domain"="webapp.example.com" "challenge"="webapp-tls-abc123-0"
I0215 09:46:54.036789       1 clouddns.go:67] cert-manager/controller/challenges/clouddns "msg"="Loading CloudDNS credentials from secret" "secret_name"="clouddns-credentials" "secret_namespace"="cert-manager"
I0215 09:46:54.037890       1 clouddns.go:78] cert-manager/controller/challenges/clouddns "msg"="Secret contains key" "key"="service-account.json" "bytes"="0"
E0215 09:46:54.038901       1 clouddns.go:82] cert-manager/controller/challenges/clouddns "msg"="CloudDNS credentials secret is empty or invalid" "error"="service account key is empty"
E0215 09:46:54.039012       1 sync.go:145] cert-manager/controller/challenges "msg"="Error presenting challenge" "error"="failed to load DNS provider credentials: service account key is empty"
W0215 09:46:54.040123       1 controller.go:234] cert-manager/controller/challenges "msg"="Re-queuing item due to error processing" "key"="default/webapp-tls-abc123-0" "error"="failed to present challenge"
I0215 09:47:04.041234       1 controller.go:189] cert-manager/controller/certificates "msg"="syncing item" "key"="default/webapp-tls"
I0215 09:47:04.042345       1 sync.go:189] cert-manager/controller/certificates "msg"="Certificate issuance in progress" "resource_name"="webapp-tls" "resource_namespace"="default"
I0215 09:47:04.043456       1 conditions.go:234] cert-manager/controller/certificates "msg"="Setting certificate condition" "certificate"="default/webapp-tls" "condition"="Issuing" "status"="True" "reason"="IssuingCertificate"
I0215 09:47:04.044567       1 controller.go:189] cert-manager/controller/challenges "msg"="syncing item" "key"="default/webapp-tls-abc123-0"
I0215 09:47:04.045678       1 clouddns.go:67] cert-manager/controller/challenges/clouddns "msg"="Loading CloudDNS credentials from secret" "secret_name"="clouddns-credentials" "secret_namespace"="cert-manager"
E0215 09:47:04.046789       1 clouddns.go:82] cert-manager/controller/challenges/clouddns "msg"="CloudDNS credentials secret is empty or invalid" "error"="service account key is empty"
E0215 09:47:04.047890       1 sync.go:145] cert-manager/controller/challenges "msg"="Error presenting challenge" "error"="failed to load DNS provider credentials: service account key is empty"
I0215 09:47:14.048901       1 controller.go:189] cert-manager/controller/challenges "msg"="syncing item" "key"="default/webapp-tls-abc123-0"
I0215 09:47:14.049012       1 sync.go:134] cert-manager/controller/challenges "msg"="Presenting DNS-01 challenge" "domain"="webapp.example.com" "challenge"="webapp-tls-abc123-0"
I0215 09:47:14.050123       1 clouddns.go:67] cert-manager/controller/challenges/clouddns "msg"="Loading CloudDNS credentials from secret" "secret_name"="clouddns-credentials" "secret_namespace"="cert-manager"
I0215 09:47:14.051234       1 clouddns.go:78] cert-manager/controller/challenges/clouddns "msg"="Secret contains key" "key"="service-account.json" "bytes"="0"
E0215 09:47:14.052345       1 clouddns.go:82] cert-manager/controller/challenges/clouddns "msg"="CloudDNS credentials secret is empty or invalid" "error"="service account key is empty"
E0215 09:47:14.053456       1 sync.go:145] cert-manager/controller/challenges "msg"="Error presenting challenge" "error"="failed to load DNS provider credentials: service account key is empty"
W0215 09:47:14.054567       1 controller.go:234] cert-manager/controller/challenges "msg"="Re-queuing item due to error processing" "key"="default/webapp-tls-abc123-0" "error"="failed to present challenge"
I0215 09:47:24.055678       1 controller.go:189] cert-manager/controller/orders "msg"="syncing item" "key"="default/webapp-tls-abc123"
I0215 09:47:24.056789       1 sync.go:267] cert-manager/controller/orders "msg"="Waiting for challenges to complete" "order"="default/webapp-tls-abc123" "pending_challenges"="1"
W0215 09:47:24.057890       1 sync.go:278] cert-manager/controller/orders "msg"="Challenge has been pending for extended period" "order"="default/webapp-tls-abc123" "challenge"="webapp-tls-abc123-0" "duration"="10m"
I0215 09:47:24.058901       1 controller.go:189] cert-manager/controller/challenges "msg"="syncing item" "key"="default/webapp-tls-abc123-0"
I0215 09:47:24.059012       1 clouddns.go:67] cert-manager/controller/challenges/clouddns "msg"="Loading CloudDNS credentials from secret" "secret_name"="clouddns-credentials" "secret_namespace"="cert-manager"
E0215 09:47:24.060123       1 clouddns.go:82] cert-manager/controller/challenges/clouddns "msg"="CloudDNS credentials secret is empty or invalid" "error"="service account key is empty"
E0215 09:47:24.061234       1 sync.go:145] cert-manager/controller/challenges "msg"="Error presenting challenge" "error"="failed to load DNS provider credentials: service account key is empty"
I0215 09:47:34.062345       1 controller.go:189] cert-manager/controller/challenges "msg"="syncing item" "key"="default/webapp-tls-abc123-0"
I0215 09:47:34.063456       1 sync.go:134] cert-manager/controller/challenges "msg"="Presenting DNS-01 challenge" "domain"="webapp.example.com" "challenge"="webapp-tls-abc123-0"
I0215 09:47:34.064567       1 clouddns.go:67] cert-manager/controller/challenges/clouddns "msg"="Loading CloudDNS credentials from secret" "secret_name"="clouddns-credentials" "secret_namespace"="cert-manager"
I0215 09:47:34.065678       1 clouddns.go:78] cert-manager/controller/challenges/clouddns "msg"="Secret contains key" "key"="service-account.json" "bytes"="0"
E0215 09:47:34.066789       1 clouddns.go:82] cert-manager/controller/challenges/clouddns "msg"="CloudDNS credentials secret is empty or invalid" "error"="service account key is empty"
E0215 09:47:34.067890       1 sync.go:145] cert-manager/controller/challenges "msg"="Error presenting challenge" "error"="failed to load DNS provider credentials: service account key is empty"
W0215 09:47:34.068901       1 controller.go:234] cert-manager/controller/challenges "msg"="Re-queuing item due to error processing" "key"="default/webapp-tls-abc123-0" "error"="failed to present challenge"
