transaction_id,amount,hour,day_of_week,merchant_category,distance_from_home,distance_from_last,ratio_to_median,label
TXN072,49.67,14,0,5,6.3,4.9,0.96,0
TXN073,178.56,12,3,2,18.9,11.6,1.59,0
TXN074,81.89,16,1,4,10.0,6.6,1.21,0
TXN075,55.12,9,5,6,7.3,5.5,1.03,0
TXN076,145.34,18,2,7,15.4,10.8,1.46,0
TXN077,74.78,13,4,1,9.2,7.7,1.18,0
TXN078,61.23,11,0,3,8.3,4.2,1.10,0
TXN079,189.67,15,3,5,19.5,13.1,1.64,0
TXN080,96.90,17,1,2,12.1,8.7,1.34,0
TXN081,44.56,10,5,4,5.7,3.6,0.90,0
TXN082,167.89,14,2,6,17.8,11.9,1.56,0
TXN083,87.12,12,4,1,10.7,7.0,1.26,0
TXN084,52.45,16,0,3,6.8,5.4,0.98,0
TXN085,212.34,9,3,7,22.1,14.3,1.76,0
TXN086,78.67,18,1,5,9.6,8.0,1.20,0
TXN087,48.90,13,5,2,6.2,4.0,0.94,0
TXN088,156.78,11,2,4,16.7,10.9,1.52,0
TXN089,85.23,15,4,6,10.6,6.8,1.24,0
TXN090,57.56,17,0,1,7.7,5.9,1.05,0
TXN091,198.12,10,3,3,20.6,13.4,1.70,0
TXN092,92.89,14,1,5,11.4,8.9,1.29,0
TXN093,50.34,12,5,2,6.6,4.5,0.97,0
TXN094,178.45,16,2,7,18.3,12.2,1.57,0
TXN095,82.67,9,4,4,10.2,7.2,1.22,0
TXN096,54.90,18,0,6,7.0,5.7,1.02,0
TXN097,145.78,13,3,1,15.6,10.6,1.48,0
TXN098,75.12,11,1,3,9.3,8.1,1.17,0
TXN099,63.45,15,5,5,8.5,6.0,1.11,0
TXN100,189.23,17,2,2,19.7,13.0,1.65,0
TXN101,2340.50,2,1,7,78.5,95.2,8.3,1
TXN102,1856.78,3,3,9,65.4,82.7,7.1,1
TXN103,3245.90,1,5,6,89.2,110.5,9.5,1
TXN104,1567.34,4,0,8,58.7,73.4,6.2,1
TXN105,2789.12,2,2,5,72.3,88.9,8.0,1
TXN106,1234.56,3,4,7,52.1,68.2,5.8,1
TXN107,3567.89,1,6,9,95.8,125.3,9.9,1
TXN108,2145.67,4,1,4,68.9,79.6,7.5,1
TXN109,1923.45,2,3,8,61.5,85.1,6.9,1
TXN110,2678.90,3,5,6,74.2,92.8,8.2,1
TXN111,1456.78,1,0,7,55.3,71.5,5.9,1
TXN112,3123.34,4,2,9,86.7,108.4,9.2,1
TXN113,2234.56,2,4,5,69.8,81.3,7.7,1
TXN114,1789.12,3,6,8,63.2,76.9,6.5,1
TXN115,2890.45,1,1,4,77.5,96.7,8.5,1
TXN116,1567.89,4,3,7,57.9,72.1,6.0,1
TXN117,3345.67,2,5,9,91.4,118.6,9.6,1
TXN118,2123.78,3,0,6,67.6,83.5,7.3,1
TXN119,1845.90,1,2,8,62.8,78.8,6.7,1
TXN120,2756.34,4,4,5,75.1,93.9,8.1,1
TXN121,1423.56,2,6,7,54.7,69.3,5.7,1
TXN122,3234.12,3,1,9,88.3,112.7,9.4,1
TXN123,2198.45,1,3,4,68.2,80.4,7.6,1
TXN124,1678.23,4,5,8,59.6,74.8,6.3,1
TXN125,2945.67,2,0,6,79.8,99.2,8.7,1
TXN126,1512.34,3,2,7,56.4,70.6,6.1,1
TXN127,3456.89,1,4,9,93.7,121.5,9.8,1
TXN128,2267.90,4,6,5,70.5,84.7,7.8,1
TXN129,1934.56,2,1,8,64.9,79.5,6.8,1
TXN130,2823.12,3,3,4,76.8,95.3,8.4,1
TXN131,1489.78,1,5,7,55.8,71.9,5.9,1
TXN132,3178.45,4,0,9,87.6,110.8,9.3,1
TXN133,2156.67,2,2,6,68.7,82.1,7.4,1
TXN134,1756.34,3,4,8,61.2,77.3,6.6,1
TXN135,2901.89,1,6,5,78.9,97.8,8.6,1
TXN136,1545.90,4,1,7,57.3,72.8,6.2,1
TXN137,3389.23,2,3,9,92.1,119.4,9.7,1
TXN138,2089.56,3,5,4,66.8,81.9,7.2,1
TXN139,1812.78,1,0,8,63.5,78.2,6.7,1
TXN140,2734.45,4,2,6,74.7,94.6,8.3,1
TXN141,1467.12,2,4,7,55.1,70.1,5.8,1
TXN142,3267.89,3,6,9,89.5,114.2,9.5,1
TXN143,2223.34,1,1,5,69.3,83.8,7.7,1
TXN144,1723.56,4,3,8,60.4,75.6,6.4,1
TXN145,2867.90,2,5,4,77.2,96.1,8.5,1
TXN146,1534.78,3,0,7,56.9,71.4,6.1,1
TXN147,3423.45,1,2,9,94.3,122.9,9.9,1
TXN148,2178.67,4,4,6,68.1,82.5,7.5,1
TXN149,1889.23,2,6,8,64.2,79.8,6.9,1
TXN150,2789.56,3,1,5,76.1,95.7,8.4,1
TXN151,1501.34,1,3,7,56.2,71.8,6.0,1
TXN152,3201.78,4,5,9,88.7,113.5,9.4,1
TXN153,2145.90,2,0,4,69.0,83.2,7.6,1
TXN154,1745.12,3,2,8,61.8,76.7,6.5,1
TXN155,2923.45,1,4,6,79.3,98.5,8.7,1
TXN156,1556.89,4,6,7,57.6,72.4,6.2,1
TXN157,3378.23,2,1,9,91.8,120.1,9.8,1
TXN158,2112.56,3,3,5,67.4,81.6,7.3,1
TXN159,1834.67,1,5,8,63.9,78.9,6.8,1
TXN160,2801.34,4,0,4,75.9,94.8,8.3,1
TXN161,1478.90,2,2,7,55.5,70.9,5.9,1
TXN162,3289.12,3,4,9,90.2,115.7,9.6,1
TXN163,2198.78,1,6,6,68.9,83.4,7.7,1
TXN164,1767.45,4,1,8,62.1,77.1,6.6,1
TXN165,2878.56,2,3,5,78.4,97.2,8.6,1
TXN166,1523.67,3,5,7,56.7,72.0,6.1,1
TXN167,3445.89,1,0,9,93.4,121.8,9.9,1
TXN168,2156.23,4,2,4,68.5,82.9,7.5,1
TXN169,1856.34,2,4,8,64.6,79.4,6.9,1
TXN170,2767.90,3,6,6,75.6,95.1,8.4,1
TXN171,1490.12,1,1,7,55.9,71.2,6.0,1
TXN172,3223.45,4,3,9,89.1,114.9,9.5,1
TXN173,2134.78,2,5,5,68.3,82.7,7.6,1
TXN174,1778.56,3,0,8,62.5,77.8,6.7,1
TXN175,2912.67,1,2,4,78.7,98.9,8.7,1
TXN176,1545.34,4,4,7,57.1,72.5,6.2,1
TXN177,3367.89,2,6,9,92.6,120.7,9.8,1
TXN178,2089.90,3,1,6,67.2,81.1,7.4,1
TXN179,1823.12,1,3,8,63.7,78.5,6.8,1
TXN180,2790.45,4,5,5,76.4,94.3,8.4,1
TXN181,1467.78,2,0,7,55.4,70.5,5.9,1
TXN182,3256.23,3,2,9,89.8,115.2,9.6,1
TXN183,2167.56,1,4,4,68.8,83.1,7.7,1
TXN184,1745.89,4,6,8,61.6,76.4,6.6,1
TXN185,2889.34,2,1,6,78.1,97.6,8.6,1
TXN186,1534.12,3,3,7,56.8,72.2,6.1,1
TXN187,3412.67,1,5,9,93.9,122.3,9.9,1
TXN188,2123.45,4,0,5,68.0,82.3,7.5,1
TXN189,1867.90,2,2,8,64.3,79.1,6.9,1
TXN190,2778.78,3,4,4,75.8,95.4,8.4,1
TXN191,1489.56,1,6,7,55.7,71.6,6.0,1
TXN192,3234.34,4,1,9,89.4,114.5,9.5,1
TXN193,2145.12,2,3,6,68.6,83.0,7.6,1
TXN194,1789.67,3,5,8,62.3,77.5,6.7,1
TXN195,2901.23,1,0,5,78.9,98.3,8.7,1
TXN196,1556.45,4,2,7,57.4,72.7,6.2,1
TXN197,3389.78,2,4,9,92.3,120.9,9.8,1
TXN198,2098.90,3,6,4,67.5,81.8,7.4,1
TXN199,1834.23,1,1,8,64.0,78.7,6.8,1
TXN200,2812.56,4,3,6,76.6,94.9,8.5,1
