transaction_id,amount,hour,day_of_week,merchant_category,distance_from_home,distance_from_last,ratio_to_median
TXN_U161,52.30,10,1,4,6.4,9.0,0.6
TXN_U162,4250.00,3,6,6,92.6,125.3,9.0
TXN_U163,234.90,14,2,5,20.5,26.1,1.7
TXN_U164,1670.75,23,4,7,72.8,94.9,6.5
TXN_U165,88.50,9,3,2,9.5,13.4,0.9
TXN_U166,289.30,11,1,3,22.9,28.6,1.9
TXN_U167,3780.50,1,5,8,88.0,121.6,8.6
TXN_U168,125.60,15,2,4,13.7,17.1,1.2
TXN_U169,58.70,8,6,1,6.9,9.8,0.7
TXN_U170,2150.25,22,0,9,79.2,101.4,7.2
TXN_U171,167.40,12,4,6,15.8,20.5,1.4
TXN_U172,890.90,2,3,5,60.8,83.9,5.1
TXN_U173,95.20,10,1,3,10.7,14.3,1.0
TXN_U174,4580.00,23,5,7,94.9,129.4,9.5
TXN_U175,73.80,16,2,2,8.0,11.5,0.8
TXN_U176,345.60,9,4,4,24.9,30.7,2.1
TXN_U177,1950.00,1,0,8,77.5,99.3,6.9
TXN_U178,142.70,14,3,1,14.6,18.5,1.3
TXN_U179,3260.90,22,6,6,85.8,117.2,8.4
TXN_U180,64.30,11,2,5,7.2,10.5,0.7
TXN_U181,278.50,8,5,7,22.8,28.9,1.9
TXN_U182,2450.75,3,1,9,81.3,104.1,7.4
TXN_U183,112.80,13,4,3,12.6,16.4,1.1
TXN_U184,49.90,10,2,2,6.0,8.4,0.6
TXN_U185,1780.50,23,0,8,75.1,96.8,6.7
TXN_U186,223.65,15,3,4,19.9,25.8,1.7
TXN_U187,4120.25,1,6,5,91.3,123.9,8.9
TXN_U188,87.40,9,1,1,9.4,13.2,0.9
TXN_U189,378.80,12,2,6,24.6,30.5,2.2
TXN_U190,2780.00,22,5,7,83.4,108.7,7.7
TXN_U191,134.90,14,4,3,14.2,17.9,1.3
TXN_U192,61.20,8,1,2,7.1,10.0,0.7
TXN_U193,3680.50,2,0,9,87.8,120.1,8.5
TXN_U194,198.30,11,3,5,17.6,22.8,1.5
TXN_U195,1420.75,23,6,8,68.7,90.5,6.0
TXN_U196,99.60,16,2,4,11.4,14.9,1.0
TXN_U197,456.90,10,5,7,26.7,33.2,2.5
TXN_U198,2890.25,1,4,6,83.2,109.8,7.8
TXN_U199,76.50,13,1,1,8.4,12.0,0.8
TXN_U200,4890.00,22,3,9,98.1,134.5,9.9
