*******************************************************************************
                    *** TeraChem v1.9 ***
                 Development Version
                    Build Date: 2023-03-15
*******************************************************************************

Job started on: Mon Apr 10 15:23:45 2023
Hostname: gpu-node-04.cluster.local

                         GPU CONFIGURATION
*******************************************************************************
GPU 0: NVIDIA Tesla V100-SXM2-32GB   (Compute Capability 7.0)
       Total Memory: 32480 MB
       Free Memory:  31245 MB
*******************************************************************************

                    MOLECULAR SYSTEM INFORMATION
*******************************************************************************
Charge: 0
Spin Multiplicity: 1
Total Number of Atoms: 6
Total Number of Electrons: 20

                    ATOMIC COORDINATES (Angstroms)
Atom    X            Y            Z
O      0.000000     0.000000     0.000000
H      0.757000     0.586000     0.000000
H     -0.757000     0.586000     0.000000
O      3.000000     0.000000     0.000000
H      3.757000     0.586000     0.000000
H      2.243000     0.586000     0.000000
*******************************************************************************

Basis Set: 6-31G**
SCF Method: RHF
Maximum SCF Iterations: 100
SCF Convergence Threshold: 1.0e-6 Hartrees

Starting SCF iterations...

*******************************************************************************
                         SCF ITERATION LOG
*******************************************************************************
Iter    Energy (Hartrees)      Delta E         DIIS Error    Time(s)
28     -152.085887890123      -0.000003767    0.021620987    0.46
29     -152.085890567890      -0.000002678    0.021605432    0.48
30     -152.085892456789      -0.000001889    0.021594321    0.47
31     -152.085893789012      -0.000001332    0.021586789    0.46
32     -152.085894723456      -0.000000934    0.021581234    0.48
33     -152.085895390123      -0.000000667    0.021577654    0.47
34     -152.085895890123      -0.000000500    0.021575012    0.46
35     -152.085896267890      -0.000000378    0.021573210    0.48
36     -152.085896556789      -0.000000289    0.021571987    0.47
37     -152.085896778901      -0.000000222    0.021571012    0.46
38     -152.085896956789      -0.000000178    0.021570321    0.48
39     -152.085897101234      -0.000000144    0.021569789    0.47
40     -152.085897223456      -0.000000122    0.021569389    0.46
41     -152.085897328901      -0.000000105    0.021569089    0.48
42     -152.085897421234      -0.000000092    0.021568854    0.47
43     -152.085897503456      -0.000000082    0.021568667    0.46
44     -152.085897577890      -0.000000074    0.021568512    0.48
45     -152.085897646789      -0.000000069    0.021568381    0.47
46     -152.085897710123      -0.000000063    0.021568269    0.46
47     -152.085897769012      -0.000000059    0.021568172    0.48
48     -152.085897824567      -0.000000056    0.021568087    0.47
49     -152.085897877012      -0.000000052    0.021568012    0.46
50     -152.085897926789      -0.000000050    0.021567945    0.48
51     -152.085897974234      -0.000000047    0.021567885    0.47
52     -152.085898019567      -0.000000045    0.021567831    0.46
53     -152.085898062989      -0.000000043    0.021567781    0.48
54     -152.085898104678      -0.000000042    0.021567736    0.47
55     -152.085898144789      -0.000000040    0.021567694    0.46
56     -152.085898183456      -0.000000039    0.021567656    0.48
57     -152.085898220823      -0.000000037    0.021567621    0.47
58     -152.085898257012      -0.000000036    0.021567589    0.46
59     -152.085898292145      -0.000000035    0.021567559    0.48
60     -152.085898326334      -0.000000034    0.021567532    0.47

WARNING: SCF convergence is slow. DIIS error remains high.

61     -152.085898359678      -0.000000033    0.021567507    0.46
62     -152.085898392267      -0.000000033    0.021567483    0.48
63     -152.085898424178      -0.000000032    0.021567461    0.47
64     -152.085898455489      -0.000000031    0.021567441    0.46
65     -152.085898486267      -0.000000031    0.021567422    0.48
66     -152.085898516578      -0.000000030    0.021567404    0.47
67     -152.085898546478      -0.000000030    0.021567388    0.46
68     -152.085898576023      -0.000000030    0.021567372    0.48
69     -152.085898605267      -0.000000029    0.021567358    0.47
70     -152.085898634256      -0.000000029    0.021567344    0.46
71     -152.085898663034      -0.000000029    0.021567331    0.48
72     -152.085898691645      -0.000000029    0.021567319    0.47
73     -152.085898720123      -0.000000028    0.021567308    0.46
74     -152.085898748501      -0.000000028    0.021567297    0.48
75     -152.085898776812      -0.000000028    0.021567287    0.47
76     -152.085898805089      -0.000000028    0.021567277    0.46
77     -152.085898833356      -0.000000028    0.021567268    0.48
78     -152.085898861645      -0.000000028    0.021567260    0.47
79     -152.085898889978      -0.000000028    0.021567252    0.46
80     -152.085898918378      -0.000000028    0.021567244    0.48

Maximum number of SCF iterations (100) exceeded.
SCF convergence not achieved.

Last computed energy: -152.085898918378 Hartrees

Job terminated on: Mon Apr 10 15:28:12 2023
Total wall time: 267.34 seconds
