order_id	order_date	customer_id	amount	product_name	status
ORD10120	2024-03-15	CUST020	269.99	Receipt Printer Thermal	completed
ORD10121	2024-03-15	CUST019	449.99	POS System Tablet	shipped
ORD10122	2024-03-16	CUST021	129.99	Cash Drawer Electric	completed
ORD10123	2024-03-16	CUST023	189.99	Credit Card Reader	completed
ORD10124	2024-03-17	CUST022	99.99	Time Clock Biometric	pending
ORD10125	2024-03-17	CUST024	379.99	Badge Printer System	completed
ORD10126	2024-03-18	CUST026	149.99	Visitor Management Tablet	completed
ORD10127	2024-03-18	CUST025	229.99	Digital Signage Display	shipped
ORD10128	2024-03-19	CUST028	549.99	Interactive Whiteboard	completed
ORD10129	2024-03-19	CUST027	299.99	Video Wall Controller	completed
ORD10130	2024-03-20	CUST030	199.99	Media Player 4K	pending
