snapshot_name,creation_date,size_mb,has_keep_marker
snapshot_20231224_193000,2023-12-24,312,false
snapshot_20231224_110000,2023-12-24,178,false
snapshot_20231223_201500,2023-12-23,245,false
snapshot_20231223_114500,2023-12-23,189,true
snapshot_20231222_210000,2023-12-22,267,false
snapshot_20231222_123000,2023-12-22,234,false
snapshot_20231221_214500,2023-12-21,198,false
snapshot_20231221_131500,2023-12-21,289,false
snapshot_20231220_223000,2023-12-20,156,false
snapshot_20231220_140000,2023-12-20,312,false
snapshot_20231219_191500,2023-12-19,223,false
snapshot_20231219_104500,2023-12-19,178,false
snapshot_20231218_200000,2023-12-18,245,false
snapshot_20231218_113000,2023-12-18,201,false
snapshot_20231217_204500,2023-12-17,267,true
snapshot_20231217_121500,2023-12-17,189,false
snapshot_20231216_213000,2023-12-16,234,false
snapshot_20231216_130000,2023-12-16,298,false
snapshot_20231215_221500,2023-12-15,156,false
snapshot_20231215_134500,2023-12-15,223,false
snapshot_20231214_190000,2023-12-14,312,false
snapshot_20231214_103000,2023-12-14,178,false
snapshot_20231213_194500,2023-12-13,245,false
snapshot_20231213_111500,2023-12-13,189,false
snapshot_20231212_203000,2023-12-12,267,false
snapshot_20231212_120000,2023-12-12,234,true
snapshot_20231211_211500,2023-12-11,198,false
snapshot_20231211_124500,2023-12-11,289,false
snapshot_20231210_220000,2023-12-10,156,false
snapshot_20231210_133000,2023-12-10,312,false
snapshot_20231209_224500,2023-12-09,223,false
snapshot_20231209_141500,2023-12-09,178,false
snapshot_20231208_193000,2023-12-08,245,false
snapshot_20231208_110000,2023-12-08,201,false
snapshot_20231207_201500,2023-12-07,267,false
snapshot_20231207_114500,2023-12-07,189,false
snapshot_20231206_210000,2023-12-06,234,false
snapshot_20231206_123000,2023-12-06,298,true
snapshot_20231205_214500,2023-12-05,156,false
snapshot_20231205_131500,2023-12-05,223,false
snapshot_20231204_183000,2023-12-04,312,false
snapshot_20231204_100000,2023-12-04,178,false
snapshot_20231203_191500,2023-12-03,245,false
snapshot_20231203_104500,2023-12-03,189,false
snapshot_20231202_200000,2023-12-02,267,false
snapshot_20231202_113000,2023-12-02,234,false
snapshot_20231201_204500,2023-12-01,198,false
snapshot_20231201_121500,2023-12-01,289,false
snapshot_20231130_213000,2023-11-30,156,true
snapshot_20231130_130000,2023-11-30,312,false
snapshot_20231129_181500,2023-11-29,223,false
snapshot_20231129_094500,2023-11-29,178,false
snapshot_20231128_190000,2023-11-28,245,false
snapshot_20231128_103000,2023-11-28,201,false
snapshot_20231127_194500,2023-11-27,267,false
snapshot_20231127_111500,2023-11-27,189,false
snapshot_20231126_203000,2023-11-26,234,false
snapshot_20231126_120000,2023-11-26,298,false
snapshot_20231125_211500,2023-11-25,156,false
snapshot_20231125_124500,2023-11-25,223,true
snapshot_20231124_180000,2023-11-24,312,false
snapshot_20231124_093000,2023-11-24,178,false
snapshot_20231123_184500,2023-11-23,245,false
snapshot_20231123_101500,2023-11-23,189,false
snapshot_20231122_193000,2023-11-22,267,false
snapshot_20231122_110000,2023-11-22,234,false
snapshot_20231121_201500,2023-11-21,198,false
snapshot_20231121_114500,2023-11-21,289,false
snapshot_20231120_210000,2023-11-20,156,false
snapshot_20231120_123000,2023-11-20,312,false
snapshot_20231119_214500,2023-11-19,223,false
snapshot_20231119_131500,2023-11-19,178,true
snapshot_20231118_183000,2023-11-18,245,false
snapshot_20231118_100000,2023-11-18,201,false
snapshot_20231117_191500,2023-11-17,267,false
snapshot_20231117_104500,2023-11-17,189,false
snapshot_20231116_200000,2023-11-16,234,false
snapshot_20231116_113000,2023-11-16,298,false
snapshot_20231115_204500,2023-11-15,156,false
snapshot_20231115_121500,2023-11-15,223,false
snapshot_20231114_213000,2023-11-14,312,false
snapshot_20231114_130000,2023-11-14,178,false
snapshot_20231113_181500,2023-11-13,245,false
snapshot_20231113_094500,2023-11-13,189,false
snapshot_20231112_190000,2023-11-12,267,true
snapshot_20231112_103000,2023-11-12,234,false
snapshot_20231111_194500,2023-11-11,198,false
snapshot_20231111_111500,2023-11-11,289,false
snapshot_20231110_203000,2023-11-10,156,false
snapshot_20231110_120000,2023-11-10,312,false
snapshot_20231109_211500,2023-11-09,223,false
snapshot_20231109_124500,2023-11-09,178,false
snapshot_20231108_180000,2023-11-08,245,false
snapshot_20231108_093000,2023-11-08,201,false
snapshot_20231107_184500,2023-11-07,267,false
snapshot_20231107_101500,2023-11-07,189,false
snapshot_20231106_193000,2023-11-06,234,false
snapshot_20231106_110000,2023-11-06,298,true
snapshot_20231105_201500,2023-11-05,156,false
snapshot_20231105_114500,2023-11-05,223,false
snapshot_20231104_210000,2023-11-04,312,false
snapshot_20231104_123000,2023-11-04,178,false
snapshot_20231103_214500,2023-11-03,245,false
snapshot_20231103_131500,2023-11-03,189,false
snapshot_20231102_183000,2023-11-02,267,false
snapshot_20231102_100000,2023-11-02,234,false
snapshot_20231101_191500,2023-11-01,198,false
snapshot_20231101_104500,2023-11-01,289,false
snapshot_20231031_200000,2023-10-31,156,true
snapshot_20231031_113000,2023-10-31,312,false
snapshot_20231030_204500,2023-10-30,223,false
snapshot_20231030_121500,2023-10-30,178,false
snapshot_20231029_213000,2023-10-29,245,false
snapshot_20231029_130000,2023-10-29,201,false
snapshot_20231028_181500,2023-10-28,267,false
snapshot_20231028_094500,2023-10-28,189,false
snapshot_20231027_190000,2023-10-27,234,false
snapshot_20231027_103000,2023-10-27,298,false
snapshot_20231026_194500,2023-10-26,156,false
snapshot_20231026_111500,2023-10-26,223,false
snapshot_20231025_203000,2023-10-25,312,true
snapshot_20231025_120000,2023-10-25,178,false
snapshot_20231024_211500,2023-10-24,245,false
snapshot_20231024_124500,2023-10-24,189,false
snapshot_20231023_180000,2023-10-23,267,false
snapshot_20231023_093000,2023-10-23,234,false
snapshot_20231022_184500,2023-10-22,198,false
snapshot_20231022_101500,2023-10-22,289,false
snapshot_20231021_193000,2023-10-21,156,false
snapshot_20231021_110000,2023-10-21,312,false
snapshot_20231020_201500,2023-10-20,223,false
snapshot_20231020_114500,2023-10-20,178,false
snapshot_20231019_210000,2023-10-19,245,true
snapshot_20231019_123000,2023-10-19,201,false
snapshot_20231018_214500,2023-10-18,267,false
snapshot_20231018_131500,2023-10-18,189,false
snapshot_20231017_183000,2023-10-17,234,false
snapshot_20231017_100000,2023-10-17,298,false
