customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,tech_support,churn
CUST0054,6,90.40,542.40,Month-to-month,Fiber optic,No,Yes
CUST0055,53,61.80,3275.40,Two year,DSL,Yes,No
CUST0056,19,70.20,1333.80,Month-to-month,Fiber optic,No,Yes
CUST0057,66,48.50,3201.00,Two year,DSL,Yes,No
CUST0058,1,32.70,,Month-to-month,No,No,Yes
CUST0059,59,67.90,4006.10,Two year,Fiber optic,Yes,No
CUST0060,15,42.80,642.00,Month-to-month,DSL,No,Yes
CUST0061,40,75.60,3024.00,One year,Fiber optic,Yes,No
CUST0062,7,38.90,272.30,Month-to-month,DSL,No,Yes
CUST0063,72,54.30,3909.60,Two year,DSL,Yes,No
CUST0064,11,86.70,953.70,Month-to-month,Fiber optic,No,Yes
CUST0065,46,55.80,2566.80,One year,DSL,Yes,No
CUST0066,21,71.50,1501.50,Month-to-month,Fiber optic,No,Yes
CUST0067,68,50.90,3461.20,Two year,DSL,Yes,No
CUST0068,3,34.60,,Month-to-month,DSL,No,Yes
CUST0069,62,69.80,4327.60,Two year,Fiber optic,Yes,No
CUST0070,13,45.20,587.60,Month-to-month,DSL,No,Yes
CUST0071,43,80.40,3457.20,One year,Fiber optic,Yes,No
CUST0072,8,40.30,322.40,Month-to-month,DSL,No,Yes
CUST0073,71,57.40,4075.40,Two year,DSL,Yes,No
CUST0074,4,94.60,,Month-to-month,Fiber optic,No,Yes
CUST0075,50,63.20,3160.00,One year,DSL,Yes,No
CUST0076,18,73.90,1330.20,Month-to-month,Fiber optic,No,Yes
CUST0077,65,51.60,3354.00,Two year,DSL,Yes,No
CUST0078,10,88.30,883.00,Month-to-month,Fiber optic,No,Yes
CUST0079,56,64.70,3623.20,Two year,Fiber optic,Yes,No
CUST0080,2,37.50,,Month-to-month,DSL,No,Yes
CUST0081,48,76.20,3657.60,One year,Fiber optic,Yes,No
CUST0082,14,44.60,624.40,Month-to-month,DSL,No,Yes
CUST0083,70,53.80,3766.00,Two year,DSL,Yes,No
CUST0084,6,91.70,550.20,Month-to-month,Fiber optic,No,Yes
CUST0085,54,59.40,3207.60,Two year,DSL,Yes,No
CUST0086,16,72.80,1164.80,Month-to-month,Fiber optic,No,Yes
CUST0087,67,49.70,3329.90,Two year,DSL,Yes,No
CUST0088,5,35.40,177.00,Month-to-month,DSL,No,Yes
CUST0089,60,68.90,4134.00,Two year,Fiber optic,Yes,No
CUST0090,12,41.50,498.00,Month-to-month,DSL,No,Yes
CUST0091,44,78.60,3458.40,One year,Fiber optic,Yes,No
CUST0092,9,39.20,352.80,Month-to-month,DSL,No,Yes
CUST0093,69,56.20,3877.80,Two year,DSL,Yes,No
CUST0094,7,89.50,626.50,Month-to-month,Fiber optic,No,Yes
CUST0095,52,62.30,3239.60,Two year,DSL,Yes,No
CUST0096,19,74.10,1407.90,Month-to-month,Fiber optic,No,Yes
CUST0097,66,50.20,3313.20,Two year,DSL,Yes,No
CUST0098,1,33.80,,Month-to-month,No,No,Yes
CUST0099,58,66.40,3851.20,Two year,Fiber optic,Yes,No
CUST0100,15,43.90,658.50,Month-to-month,DSL,No,Yes
CUST0101,41,77.80,3189.80,One year,Fiber optic,Yes,No
CUST0102,8,38.60,308.80,Month-to-month,DSL,No,Yes
CUST0103,72,55.70,4010.40,Two year,DSL,Yes,No
CUST0104,11,87.90,967.90,Month-to-month,Fiber optic,No,Yes
CUST0105,47,54.50,2561.50,One year,DSL,Yes,No
CUST0106,20,71.30,1426.00,Month-to-month,Fiber optic,No,Yes
CUST0107,68,48.80,3318.40,Two year,DSL,Yes,No
CUST0108,3,36.90,,Month-to-month,DSL,No,Yes
CUST0109,61,69.20,4221.20,Two year,Fiber optic,Yes,No
CUST0110,14,42.70,597.80,Month-to-month,DSL,No,Yes
CUST0111,43,79.50,3418.50,One year,Fiber optic,Yes,No
CUST0112,9,40.80,367.20,Month-to-month,DSL,No,Yes
CUST0113,71,58.10,4125.10,Two year,DSL,Yes,No
CUST0114,5,92.30,461.50,Month-to-month,Fiber optic,No,Yes
CUST0115,51,61.90,3156.90,Two year,DSL,Yes,No
CUST0116,17,73.40,1247.80,Month-to-month,Fiber optic,No,Yes
CUST0117,64,52.10,3334.40,Two year,DSL,Yes,No
CUST0118,4,35.70,,Month-to-month,No,No,Yes
CUST0119,55,64.80,3564.00,Two year,Fiber optic,Yes,No
CUST0120,12,41.20,494.40,Month-to-month,DSL,No,Yes
CUST0121,45,76.70,3451.50,One year,Fiber optic,Yes,No
CUST0122,10,39.50,395.00,Month-to-month,DSL,No,Yes
CUST0123,69,57.30,3953.70,Two year,DSL,Yes,No
CUST0124,6,90.80,544.80,Month-to-month,Fiber optic,No,Yes
CUST0125,53,60.70,3217.10,Two year,DSL,Yes,No
CUST0126,18,72.60,1306.80,Month-to-month,Fiber optic,No,Yes
CUST0127,67,49.40,3309.80,Two year,DSL,Yes,No
CUST0128,2,34.30,,Month-to-month,DSL,No,Yes
CUST0129,59,67.50,3982.50,Two year,Fiber optic,Yes,No
CUST0130,13,44.10,573.30,Month-to-month,DSL,No,Yes
CUST0131,40,75.20,3008.00,One year,Fiber optic,Yes,No
CUST0132,7,38.40,268.80,Month-to-month,DSL,No,Yes
CUST0133,72,54.90,3952.80,Two year,DSL,Yes,No
CUST0134,11,86.20,948.20,Month-to-month,Fiber optic,No,Yes
CUST0135,46,56.30,2589.80,One year,DSL,Yes,No
CUST0136,21,70.80,1486.80,Month-to-month,Fiber optic,No,Yes
CUST0137,68,51.30,3488.40,Two year,DSL,Yes,No
CUST0138,3,37.60,,Month-to-month,DSL,No,Yes
CUST0139,62,68.70,4259.40,Two year,Fiber optic,Yes,No
CUST0140,15,42.30,634.50,Month-to-month,DSL,No,Yes
CUST0141,43,80.10,3444.30,One year,Fiber optic,Yes,No
CUST0142,8,39.90,319.20,Month-to-month,DSL,No,Yes
CUST0143,71,56.60,4018.60,Two year,DSL,Yes,No
CUST0144,4,93.70,,Month-to-month,Fiber optic,No,Yes
CUST0145,50,62.50,3125.00,One year,DSL,Yes,No
CUST0146,19,74.30,1411.70,Month-to-month,Fiber optic,No,Yes
CUST0147,65,50.60,3289.00,Two year,DSL,Yes,No
CUST0148,10,88.60,886.00,Month-to-month,Fiber optic,No,Yes
CUST0149,56,63.90,3578.40,Two year,Fiber optic,Yes,No
CUST0150,2,36.20,,Month-to-month,DSL,No,Yes
CUST0151,48,77.40,3715.20,One year,Fiber optic,Yes,No
CUST0152,14,43.50,609.00,Month-to-month,DSL,No,Yes
CUST0153,70,52.80,3696.00,Two year,DSL,Yes,No
CUST0154,6,91.20,547.20,Month-to-month,Fiber optic,No,Yes
CUST0155,54,60.10,3245.40,Two year,DSL,Yes,No
CUST0156,16,73.20,1171.20,Month-to-month,Fiber optic,No,Yes
CUST0157,67,48.90,3276.30,Two year,DSL,Yes,No
CUST0158,5,34.80,174.00,Month-to-month,DSL,No,Yes
CUST0159,60,69.50,4170.00,Two year,Fiber optic,Yes,No
CUST0160,12,40.70,488.40,Month-to-month,DSL,No,Yes
CUST0161,44,79.80,3511.20,One year,Fiber optic,Yes,No
CUST0162,9,38.30,344.70,Month-to-month,DSL,No,Yes
CUST0163,69,55.40,3822.60,Two year,DSL,Yes,No
CUST0164,7,89.90,629.30,Month-to-month,Fiber optic,No,Yes
CUST0165,52,61.40,3192.80,Two year,DSL,Yes,No
CUST0166,18,72.90,1312.20,Month-to-month,Fiber optic,No,Yes
CUST0167,66,49.60,3273.60,Two year,DSL,Yes,No
CUST0168,1,32.50,,Month-to-month,No,No,Yes
CUST0169,58,67.80,3932.40,Two year,Fiber optic,Yes,No
CUST0170,15,44.80,672.00,Month-to-month,DSL,No,Yes
CUST0171,41,76.50,3136.50,One year,Fiber optic,Yes,No
CUST0172,8,37.90,303.20,Month-to-month,DSL,No,Yes
CUST0173,72,56.80,4089.60,Two year,DSL,Yes,No
CUST0174,11,87.40,961.40,Month-to-month,Fiber optic,No,Yes
CUST0175,47,53.70,2523.90,One year,DSL,Yes,No
CUST0176,20,70.40,1408.00,Month-to-month,Fiber optic,No,Yes
CUST0177,68,50.30,3420.40,Two year,DSL,Yes,No
CUST0178,3,35.50,,Month-to-month,DSL,No,Yes
CUST0179,61,68.10,4154.10,Two year,Fiber optic,Yes,No
CUST0180,14,41.80,585.20,Month-to-month,DSL,No,Yes
CUST0181,43,78.20,3362.60,One year,Fiber optic,Yes,No
CUST0182,9,40.20,361.80,Month-to-month,DSL,No,Yes
CUST0183,71,57.90,4110.90,Two year,DSL,Yes,No
CUST0184,5,92.80,464.00,Month-to-month,Fiber optic,No,Yes
CUST0185,51,62.80,3202.80,Two year,DSL,Yes,No
CUST0186,17,74.60,1268.20,Month-to-month,Fiber optic,No,Yes
CUST0187,64,51.40,3289.60,Two year,DSL,Yes,No
CUST0188,4,36.80,,Month-to-month,No,No,Yes
CUST0189,55,65.90,3624.50,Two year,Fiber optic,Yes,No
CUST0190,12,42.40,508.80,Month-to-month,DSL,No,Yes
CUST0191,45,77.10,3469.50,One year,Fiber optic,Yes,No
CUST0192,10,38.70,387.00,Month-to-month,DSL,No,Yes
CUST0193,69,58.70,4050.30,Two year,DSL,Yes,No
CUST0194,6,91.50,549.00,Month-to-month,Fiber optic,No,Yes
CUST0195,53,59.80,3169.40,Two year,DSL,Yes,No
CUST0196,19,73.70,1400.30,Month-to-month,Fiber optic,No,Yes
CUST0197,67,52.50,3517.50,Two year,DSL,Yes,No
CUST0198,2,35.10,,Month-to-month,DSL,No,Yes
CUST0199,59,66.20,3905.80,Two year,Fiber optic,Yes,No
CUST0200,13,43.20,561.60,Month-to-month,DSL,No,Yes
CUST0201,40,74.80,2992.00,One year,Fiber optic,Yes,No
CUST0202,7,39.70,277.90,Month-to-month,DSL,No,Yes
CUST0203,72,55.10,3967.20,Two year,DSL,Yes,No
CUST0204,11,86.50,951.50,Month-to-month,Fiber optic,No,Yes
CUST0205,46,55.00,2530.00,One year,DSL,Yes,No
CUST0206,21,71.60,1503.60,Month-to-month,Fiber optic,No,Yes
CUST0207,68,49.00,3332.00,Two year,DSL,Yes,No
CUST0208,3,34.90,,Month-to-month,DSL,No,Yes
CUST0209,62,69.60,4315.20,Two year,Fiber optic,Yes,No
CUST0210,15,42.00,630.00,Month-to-month,DSL,No,Yes
CUST0211,43,79.30,3409.90,One year,Fiber optic,Yes,No
CUST0212,8,40.50,324.00,Month-to-month,DSL,No,Yes
CUST0213,71,57.20,4061.20,Two year,DSL,Yes,No
CUST0214,4,94.10,,Month-to-month,Fiber optic,No,Yes
CUST0215,50,61.30,3065.00,One year,DSL,Yes,No
CUST0216,18,72.40,1303.20,Month-to-month,Fiber optic,No,Yes
CUST0217,65,50.80,3302.00,Two year,DSL,Yes,No
CUST0218,10,88.90,889.00,Month-to-month,Fiber optic,No,Yes
CUST0219,56,64.40,3606.40,Two year,Fiber optic,Yes,No
CUST0220,2,37.80,,Month-to-month,DSL,No,Yes
CUST0221,48,76.90,3691.20,One year,Fiber optic,Yes,No
CUST0222,14,44.30,620.20,Month-to-month,DSL,No,Yes
CUST0223,70,53.20,3724.00,Two year,DSL,Yes,No
CUST0224,6,90.60,543.60,Month-to-month,Fiber optic,No,Yes
CUST0225,54,59.20,3196.80,Two year,DSL,Yes,No
CUST0226,16,73.80,1180.80,Month-to-month,Fiber optic,No,Yes
CUST0227,67,48.20,3229.40,Two year,DSL,Yes,No
CUST0228,5,35.90,179.50,Month-to-month,DSL,No,Yes
CUST0229,60,68.30,4098.00,Two year,Fiber optic,Yes,No
CUST0230,12,41.60,499.20,Month-to-month,DSL,No,Yes
CUST0231,44,78.40,3449.60,One year,Fiber optic,Yes,No
CUST0232,9,39.40,354.60,Month-to-month,DSL,No,Yes
CUST0233,69,56.50,3898.50,Two year,DSL,Yes,No
CUST0234,7,89.20,624.40,Month-to-month,Fiber optic,No,Yes
CUST0235,52,62.70,3260.40,Two year,DSL,Yes,No
CUST0236,19,74.90,1423.10,Month-to-month,Fiber optic,No,Yes
CUST0237,66,51.80,3418.80,Two year,DSL,Yes,No
CUST0238,1,33.20,,Month-to-month,No,No,Yes
CUST0239,58,67.10,3891.80,Two year,Fiber optic,Yes,No
CUST0240,15,43.70,655.50,Month-to-month,DSL,No,Yes
CUST0241,41,77.60,3181.60,One year,Fiber optic,Yes,No
CUST0242,8,38.10,304.80,Month-to-month,DSL,No,Yes
CUST0243,72,54.60,3931.20,Two year,DSL,Yes,No
CUST0244,11,87.70,964.70,Month-to-month,Fiber optic,No,Yes
CUST0245,47,54.20,2547.40,One year,DSL,Yes,No
CUST0246,20,71.10,1422.00,Month-to-month,Fiber optic,No,Yes
CUST0247,68,49.80,3386.40,Two year,DSL,Yes,No
CUST0248,3,36.40,,Month-to-month,DSL,No,Yes
CUST0249,61,69.90,4263.90,Two year,Fiber optic,Yes,No
CUST0250,14,42.50,595.00,Month-to-month,DSL,No,Yes
CUST0251,43,80.50,3461.50,One year,Fiber optic,Yes,No
CUST0252,9,40.60,365.40,Month-to-month,DSL,No,Yes
CUST0253,71,58.30,4139.30,Two year,DSL,Yes,No
CUST0254,5,93.40,467.00,Month-to-month,Fiber optic,No,Yes
CUST0255,51,61.00,3111.00,Two year,DSL,Yes,No
CUST0256,17,73.00,1241.00,Month-to-month,Fiber optic,No,Yes
CUST0257,64,50.70,3244.80,Two year,DSL,Yes,No
CUST0258,4,35.30,,Month-to-month,No,No,Yes
CUST0259,55,64.10,3525.50,Two year,Fiber optic,Yes,No
CUST0260,12,41.00,492.00,Month-to-month,DSL,No,Yes
CUST0261,45,76.30,3433.50,One year,Fiber optic,Yes,No
CUST0262,10,39.80,398.00,Month-to-month,DSL,No,Yes
CUST0263,69,57.60,3974.40,Two year,DSL,Yes,No
CUST0264,6,91.00,546.00,Month-to-month,Fiber optic,No,Yes
CUST0265,53,60.40,3201.20,Two year,DSL,Yes,No
CUST0266,18,72.20,1299.60,Month-to-month,Fiber optic,No,Yes
CUST0267,67,48.60,3256.20,Two year,DSL,Yes,No
CUST0268,2,34.70,,Month-to-month,DSL,No,Yes
CUST0269,59,68.60,4047.40,Two year,Fiber optic,Yes,No
CUST0270,13,44.90,583.70,Month-to-month,DSL,No,Yes
CUST0271,40,75.40,3016.00,One year,Fiber optic,Yes,No
CUST0272,7,38.20,267.40,Month-to-month,DSL,No,Yes
CUST0273,72,55.50,3996.00,Two year,DSL,Yes,No
CUST0274,11,86.80,954.80,Month-to-month,Fiber optic,No,Yes
CUST0275,46,56.60,2603.60,One year,DSL,Yes,No
CUST0276,21,70.30,1476.30,Month-to-month,Fiber optic,No,Yes
CUST0277,68,51.70,3515.60,Two year,DSL,Yes,No
CUST0278,3,37.30,,Month-to-month,DSL,No,Yes
CUST0279,62,68.00,4216.00,Two year,Fiber optic,Yes,No
CUST0280,15,42.90,643.50,Month-to-month,DSL,No,Yes
CUST0281,43,79.70,3427.10,One year,Fiber optic,Yes,No
CUST0282,8,39.00,312.00,Month-to-month,DSL,No,Yes
CUST0283,71,56.90,4039.90,Two year,DSL,Yes,No
CUST0284,4,92.50,,Month-to-month,Fiber optic,No,Yes
CUST0285,50,62.90,3145.00,One year,DSL,Yes,No
CUST0286,19,74.50,1415.50,Month-to-month,Fiber optic,No,Yes
CUST0287,65,51.20,3328.00,Two year,DSL,Yes,No
CUST0288,10,88.10,881.00,Month-to-month,Fiber optic,No,Yes
CUST0289,56,63.50,3556.00,Two year,Fiber optic,Yes,No
CUST0290,2,36.70,,Month-to-month,DSL,No,Yes
CUST0291,48,77.80,3734.40,One year,Fiber optic,Yes,No
CUST0292,14,43.80,613.20,Month-to-month,DSL,No,Yes
CUST0293,70,52.40,3668.00,Two year,DSL,Yes,No
CUST0294,6,90.30,541.80,Month-to-month,Fiber optic,No,Yes
CUST0295,54,59.50,3213.00,Two year,DSL,Yes,No
CUST0296,16,73.50,1176.00,Month-to-month,Fiber optic,No,Yes
CUST0297,67,49.90,3343.30,Two year,DSL,Yes,No
CUST0298,5,34.50,172.50,Month-to-month,DSL,No,Yes
CUST0299,60,69.70,4182.00,Two year,Fiber optic,Yes,No
CUST0300,12,40.30,483.60,Month-to-month,DSL,No,Yes
CUST0301,44,79.00,3476.00,One year,Fiber optic,Yes,No
CUST0302,9,38.80,349.20,Month-to-month,DSL,No,Yes
CUST0303,69,55.80,3850.20,Two year,DSL,Yes,No
CUST0304,7,89.70,627.90,Month-to-month,Fiber optic,No,Yes
CUST0305,52,61.70,3208.40,Two year,DSL,Yes,No
CUST0306,18,72.70,1308.60,Month-to-month,Fiber optic,No,Yes
CUST0307,66,50.00,3300.00,Two year,DSL,Yes,No
CUST0308,1,32.90,,Month-to-month,No,No,Yes
CUST0309,58,66.80,3874.40,Two year,Fiber optic,Yes,No
CUST0310,15,44.60,669.00,Month-to-month,DSL,No,Yes
CUST0311,41,76.00,3116.00,One year,Fiber optic,Yes,No
CUST0312,8,37.60,300.80,Month-to-month,DSL,No,Yes
CUST0313,72,56.10,4039.20,Two year,DSL,Yes,No
CUST0314,11,87.10,958.10,Month-to-month,Fiber optic,No,Yes
CUST0315,47,53.90,2533.30,One year,DSL,Yes,No
CUST0316,20,70.60,1412.00,Month-to-month,Fiber optic,No,Yes
CUST0317,68,50.50,3434.00,Two year,DSL,Yes,No
CUST0318,3,35.70,,Month-to-month,DSL,No,Yes
CUST0319,61,68.50,4178.50,Two year,Fiber optic,Yes,No
CUST0320,14,41.40,579.60,Month-to-month,DSL,No,Yes
CUST0321,43,78.60,3379.80,One year,Fiber optic,Yes,No
CUST0322,9,40.90,368.10,Month-to-month,DSL,No,Yes
CUST0323,71,57.70,4096.70,Two year,DSL,Yes,No
CUST0324,5,93.00,465.00,Month-to-month,Fiber optic,No,Yes
CUST0325,51,62.10,3167.10,Two year,DSL,Yes,No
CUST0326,17,73.60,1251.20,Month-to-month,Fiber optic,No,Yes
CUST0327,64,51.90,3321.60,Two year,DSL,Yes,No
CUST0328,4,36.10,,Month-to-month,No,No,Yes
CUST0329,55,65.20,3586.00,Two year,Fiber optic,Yes,No
CUST0330,12,42.60,511.20,Month-to-month,DSL,No,Yes
CUST0331,45,77.90,3505.50,One year,Fiber optic,Yes,No
CUST0332,10,38.50,385.00,Month-to-month,DSL,No,Yes
CUST0333,69,58.40,4029.60,Two year,DSL,Yes,No
CUST0334,6,90.70,544.20,Month-to-month,Fiber optic,No,Yes
CUST0335,53,60.80,3222.40,Two year,DSL,Yes,No
CUST0336,19,74.20,1409.80,Month-to-month,Fiber optic,No,Yes
CUST0337,67,52.60,3524.20,Two year,DSL,Yes,No
CUST0338,2,35.40,,Month-to-month,DSL,No,Yes
CUST0339,59,67.30,3970.70,Two year,Fiber optic,Yes,No
CUST0340,13,43.40,564.20,Month-to-month,DSL,No,Yes
CUST0341,40,75.70,3028.00,One year,Fiber optic,Yes,No
CUST0342,7,39.30,275.10,Month-to-month,DSL,No,Yes
CUST0343,72,54.70,3938.40,Two year,DSL,Yes,No
CUST0344,11,86.30,949.30,Month-to-month,Fiber optic,No,Yes
CUST0345,46,55.40,2548.40,One year,DSL,Yes,No
CUST0346,21,71.90,1509.90,Month-to-month,Fiber optic,No,Yes
CUST0347,68,49.20,3345.60,Two year,DSL,Yes,No
CUST0348,3,34.00,,Month-to-month,DSL,No,Yes
CUST0349,62,69.30,4296.60,Two year,Fiber optic,Yes,No
CUST0350,15,42.20,633.00,Month-to-month,DSL,No,Yes
CUST0351,43,79.90,3435.70,One year,Fiber optic,Yes,No
CUST0352,8,40.10,320.80,Month-to-month,DSL,No,Yes
CUST0353,71,56.30,3997.30,Two year,DSL,Yes,No
CUST0354,4,93.80,,Month-to-month,Fiber optic,No,Yes
CUST0355,50,61.50,3075.00,One year,DSL,Yes,No
CUST0356,18,72.50,1305.00,Month-to-month,Fiber optic,No,Yes
CUST0357,65,50.10,3256.50,Two year,DSL,Yes,No
CUST0358,10,88.40,884.00,Month-to-month,Fiber optic,No,Yes
CUST0359,56,64.00,3584.00,Two year,Fiber optic,Yes,No
CUST0360,2,37.10,,Month-to-month,DSL,No,Yes
CUST0361,48,76.40,3667.20,One year,Fiber optic,Yes,No
CUST0362,14,44.00,616.00,Month-to-month,DSL,No,Yes
CUST0363,70,53.60,3752.00,Two year,DSL,Yes,No
CUST0364,6,91.30,547.80,Month-to-month,Fiber optic,No,Yes
CUST0365,54,59.90,3234.60,Two year,DSL,Yes,No
CUST0366,16,73.10,1169.60,Month-to-month,Fiber optic,No,Yes
CUST0367,67,48.40,3242.80,Two year,DSL,Yes,No
CUST0368,5,35.60,178.00,Month-to-month,DSL,No,Yes
CUST0369,60,68.80,4128.00,Two year,Fiber optic,Yes,No
CUST0370,12,41.30,495.60,Month-to-month,DSL,No,Yes
CUST0371,44,78.10,3436.40,One year,Fiber optic,Yes,No
CUST0372,9,39.60,356.40,Month-to-month,DSL,No,Yes
CUST0373,69,55.90,3857.10,Two year,DSL,Yes,No
CUST0374,7,89.40,625.80,Month-to-month,Fiber optic,No,Yes
CUST0375,52,62.00,3224.00,Two year,DSL,Yes,No
CUST0376,19,74.70,1419.30,Month-to-month,Fiber optic,No,Yes
CUST0377,66,51.00,3366.00,Two year,DSL,Yes,No
CUST0378,1,33.50,,Month-to-month,No,No,Yes
CUST0379,58,67.60,3920.80,Two year,Fiber optic,Yes,No
CUST0380,15,43.10,646.50,Month-to-month,DSL,No,Yes
CUST0381,41,77.30,3169.30,One year,Fiber optic,Yes,No
CUST0382,8,38.40,307.20,Month-to-month,DSL,No,Yes
CUST0383,72,55.00,3960.00,Two year,DSL,Yes,No
CUST0384,11,87.50,962.50,Month-to-month,Fiber optic,No,Yes
CUST0385,47,54.80,2575.60,One year,DSL,Yes,No
CUST0386,20,70.90,1418.00,Month-to-month,Fiber optic,No,Yes
CUST0387,68,49.50,3366.00,Two year,DSL,Yes,No
CUST0388,3,36.60,,Month-to-month,DSL,No,Yes
CUST0389,61,69.00,4209.00,Two year,Fiber optic,Yes,No
CUST0390,14,42.80,599.20,Month-to-month,DSL,No,Yes
CUST0391,43,80.30,3452.90,One year,Fiber optic,Yes,No
CUST0392,9,40.40,363.60,Month-to-month,DSL,No,Yes
CUST0393,71,58.00,4118.00,Two year,DSL,Yes,No
CUST0394,5,92.60,463.00,Month-to-month,Fiber optic,No,Yes
CUST0395,51,61.20,3121.20,Two year,DSL,Yes,No
CUST0396,17,73.30,1246.10,Month-to-month,Fiber optic,No,Yes
CUST0397,64,50.90,3257.60,Two year,DSL,Yes,No
CUST0398,4,35.00,,Month-to-month,No,No,Yes
CUST0399,55,64.50,3547.50,Two year,Fiber optic,Yes,No
CUST0400,12,41.90,502.80,Month-to-month,DSL,No,Yes
CUST0401,45,76.60,3447.00,One year,Fiber optic,Yes,No
CUST0402,10,39.10,391.00,Month-to-month,DSL,No,Yes
CUST0403,69,57.00,3933.00,Two year,DSL,Yes,No
CUST0404,6,90.50,543.00,Month-to-month,Fiber optic,No,Yes
CUST0405,53,60.20,3190.60,Two year,DSL,Yes,No
CUST0406,18,72.30,1301.40,Month-to-month,Fiber optic,No,Yes
CUST0407,67,48.70,3263.90,Two year,DSL,Yes,No
CUST0408,2,34.20,,Month-to-month,DSL,No,Yes
CUST0409,59,68.90,4065.10,Two year,Fiber optic,Yes,No
CUST0410,13,44.70,581.10,Month-to-month,DSL,No,Yes
CUST0411,40,75.10,3004.00,One year,Fiber optic,Yes,No
CUST0412,7,38.70,270.90,Month-to-month,DSL,No,Yes
CUST0413,72,54.20,3902.40,Two year,DSL,Yes,No
CUST0414,11,86.60,952.60,Month-to-month,Fiber optic,No,Yes
CUST0415,46,56.90,2617.40,One year,DSL,Yes,No
CUST0416,21,70.50,1480.50,Month-to-month,Fiber optic,No,Yes
CUST0417,68,51.50,3502.00,Two year,DSL,Yes,No
CUST0418,3,37.00,,Month-to-month,DSL,No,Yes
CUST0419,62,68.40,4240.80,Two year,Fiber optic,Yes,No
CUST0420,15,42.10,631.50,Month-to-month,DSL,No,Yes
CUST0421,43,79.40,3414.20,One year,Fiber optic,Yes,No
CUST0422,8,39.70,317.60,Month-to-month,DSL,No,Yes
CUST0423,71,56.70,4025.70,Two year,DSL,Yes,No
CUST0424,4,93.10,,Month-to-month,Fiber optic,No,Yes
