reading_id,temperature,vibration,pressure
143,49.6,47.2,49.3
144,72.8,68.7,71.1
145,26.9,23.9,32.1
146,48.5,45.8,47.8
147,25.2,22.1,30.3
148,73.9,69.9,72.4
149,49.3,47.1,49.2
150,26.4,23.4,31.5
151,48.2,46.2,48.2
152,25.6,22.5,30.6
153,74.4,70.2,72.6
154,49.7,47.4,49.6
155,26.8,23.8,32.3
156,25.1,21.9,29.9
157,48.8,45.9,47.9
158,73.2,68.5,70.8
159,26.3,23.1,31.1
160,49.2,46.8,48.8
161,25.9,22.8,30.9
162,72.6,68.3,70.5
163,48.4,45.5,47.4
164,26.7,23.7,31.7
165,25.5,22.3,30.4
166,49.9,47.6,49.8
167,73.5,69.1,71.5
168,26.2,23.5,31.6
169,48.6,46.1,48.1
170,25.8,22.7,30.8
171,74.1,69.7,72.1
172,49.5,47.3,49.4
173,26.5,23.2,31.2
174,25.4,22.2,30.2
175,48.1,45.7,47.7
176,73.8,69.5,71.9
177,26.1,23.6,31.9
178,49.4,47.2,49.3
179,25.7,22.4,30.5
180,72.9,68.9,71.4
181,48.9,46.5,48.5
182,26.9,23.9,32.2
183,38.4,72.1,28.3
184,25.3,21.8,29.7
185,49.1,46.9,48.9
186,73.4,69.3,71.8
187,26.6,23.3,31.5
188,48.7,46.3,48.4
189,25.2,22.1,30.1
190,74.3,70.1,72.5
191,49.8,47.5,49.7
192,26.8,23.8,31.8
193,25.6,22.5,30.6
194,48.3,45.8,47.6
195,73.1,68.6,71.2
196,26.4,23.4,31.4
197,49.6,47.4,49.5
198,25.9,22.8,30.9
199,72.7,68.4,70.7
200,48.8,46.2,48.2
201,26.3,23.1,31.1
202,25.1,21.9,29.9
203,49.3,47.1,49.2
204,73.9,69.8,72.3
205,26.7,23.7,31.7
206,48.5,45.9,47.9
207,25.5,22.3,30.4
208,74.2,70.3,72.7
209,49.7,47.6,49.8
210,26.2,23.5,31.6
211,48.2,46.1,48.1
212,25.8,22.7,30.8
213,73.6,69.2,71.6
214,49.2,46.8,48.8
215,26.9,23.9,32.1
216,25.4,22.2,30.2
217,48.9,46.5,48.6
218,72.8,68.7,71.1
219,26.5,23.2,31.3
220,49.5,47.3,49.4
221,25.7,22.4,30.5
222,73.3,69.4,71.9
223,48.4,45.6,47.5
224,26.8,23.8,31.9
225,25.3,21.7,29.8
226,49.8,47.5,49.7
227,74.1,69.9,72.4
228,26.1,23.6,31.8
229,48.6,46.3,48.3
230,25.2,22.1,30.3
231,73.7,69.6,72.2
232,49.4,47.2,49.3
233,26.6,23.3,31.2
234,25.9,22.8,30.9
235,48.1,45.8,47.8
236,72.9,68.9,71.5
237,26.4,23.4,31.5
238,49.1,46.7,48.7
239,25.6,22.5,30.6
240,73.5,69.1,71.7
241,48.8,46.2,48.2
242,26.3,23.1,31.1
243,25.8,22.7,30.8
244,49.6,47.4,49.5
245,74.4,70.2,72.6
246,26.7,23.7,31.7
247,48.3,45.9,47.9
248,25.1,21.9,29.9
249,49.9,47.6,49.8
250,73.2,68.5,70.9
251,26.9,23.9,32.2
252,48.7,46.5,48.5
253,25.5,22.3,30.4
254,74.3,70.1,72.5
255,49.3,47.1,49.2
256,26.2,23.5,31.6
257,25.4,22.2,30.2
258,48.5,45.7,47.7
259,73.8,69.5,71.9
260,26.8,23.8,31.9
261,49.7,47.3,49.4
262,25.7,22.4,30.5
263,72.6,68.3,70.6
264,48.2,46.1,48.1
265,26.5,23.2,31.3
266,25.3,21.8,29.7
267,49.2,46.9,48.9
268,73.4,69.3,71.8
269,26.1,23.6,31.8
270,48.9,46.6,48.6
271,55.3,24.1,73.8
272,25.9,22.8,30.9
273,49.8,47.5,49.7
274,74.1,69.7,72.1
275,26.6,23.3,31.5
276,48.4,45.8,47.6
277,25.2,22.1,30.1
278,73.1,68.6,71.2
279,49.5,47.2,49.3
280,26.9,23.9,32.1
281,48.6,46.3,48.3
282,25.6,22.5,30.6
283,72.9,68.9,71.4
284,49.1,46.7,48.7
285,26.4,23.4,31.4
286,25.8,22.7,30.8
287,48.8,46.2,48.2
288,73.9,69.9,72.4
289,26.3,23.1,31.1
290,49.6,47.4,49.5
291,25.1,21.9,29.9
292,48.3,45.9,47.9
293,74.2,70.3,72.7
294,26.7,23.7,31.7
295,49.3,47.1,49.2
296,25.5,22.3,30.4
297,73.6,69.2,71.6
298,48.7,46.5,48.5
299,26.2,23.5,31.6
300,25.4,22.2,30.2
301,49.7,47.6,49.8
302,72.8,68.7,71.1
303,26.8,23.8,31.9
304,48.5,45.6,47.5
305,25.9,22.8,30.9
306,73.3,69.4,71.9
307,49.2,46.8,48.8
308,26.5,23.2,31.3
309,25.7,22.4,30.5
310,48.2,46.1,48.1
311,74.4,70.2,72.6
312,26.1,23.6,31.8
313,49.8,47.3,49.4
314,25.3,21.7,29.8
315,48.9,46.6,48.6
316,73.7,69.6,72.2
317,26.9,23.9,32.2
318,49.4,47.2,49.3
319,25.2,22.1,30.3
320,72.7,68.4,70.7
321,48.4,45.8,47.8
322,26.6,23.3,31.2
323,25.6,22.5,30.6
324,49.9,47.5,49.7
325,73.5,69.1,71.5
326,26.4,23.4,31.5
327,48.6,46.3,48.3
328,25.8,22.7,30.8
329,74.1,69.7,72.1
330,49.5,47.4,49.6
331,26.3,23.1,31.1
332,25.1,21.9,29.9
333,48.1,45.9,47.9
334,73.2,68.5,70.9
335,26.7,23.7,31.7
336,49.1,46.7,48.7
337,25.5,22.3,30.4
338,72.9,68.9,71.4
339,48.8,46.2,48.2
340,26.2,23.5,31.6
341,25.9,22.8,30.9
342,49.6,47.1,49.2
343,73.8,69.5,71.9
344,26.8,23.8,31.9
345,48.3,45.7,47.7
346,25.4,22.2,30.2
347,74.3,70.1,72.5
348,49.3,47.3,49.4
349,26.5,23.2,31.3
350,25.7,22.4,30.5
351,48.7,46.5,48.5
352,73.4,69.3,71.8
353,26.1,23.6,31.8
354,49.7,47.6,49.8
355,25.3,21.8,29.7
356,48.5,45.8,47.6
357,72.6,68.3,70.6
358,26.9,23.9,32.1
359,49.2,46.9,48.9
360,82.5,71.3,25.7
361,25.6,22.5,30.6
362,48.2,46.1,48.1
363,73.9,69.8,72.3
364,26.6,23.3,31.5
365,49.8,47.5,49.7
366,25.2,22.1,30.1
367,74.2,70.3,72.7
368,48.9,46.6,48.6
369,26.4,23.4,31.4
370,25.8,22.7,30.8
371,49.4,47.2,49.3
372,73.1,68.6,71.2
373,26.3,23.1,31.1
374,48.4,45.9,47.9
375,25.1,21.9,29.9
376,49.1,46.7,48.7
377,72.8,68.9,71.5
378,26.7,23.7,31.7
379,48.6,46.3,48.3
380,25.5,22.3,30.4
381,73.6,69.2,71.6
382,49.9,47.4,49.5
383,26.2,23.5,31.6
384,25.9,22.8,30.9
385,48.8,46.2,48.2
386,74.4,70.2,72.6
387,26.8,23.8,31.9
388,49.5,47.1,49.2
389,25.4,22.2,30.2
390,73.3,69.4,71.9
391,48.1,45.8,47.8
392,26.5,23.2,31.3
393,25.7,22.4,30.5
394,49.6,47.3,49.4
395,72.9,68.7,71.1
396,26.1,23.6,31.8
397,48.7,46.5,48.5
398,25.3,21.7,29.8
399,73.7,69.6,72.2
400,49.3,47.2,49.3
401,26.9,23.9,32.2
402,25.2,22.1,30.3
403,48.5,45.7,47.7
404,74.1,69.7,72.1
405,26.6,23.3,31.2
406,49.7,47.6,49.8
407,25.6,22.5,30.6
408,73.5,69.1,71.5
409,48.2,46.1,48.1
410,26.4,23.4,31.5
411,25.8,22.7,30.8
412,49.2,46.9,48.9
413,72.7,68.4,70.7
414,26.3,23.1,31.1
415,48.9,46.6,48.6
416,25.1,21.9,29.9
417,49.8,47.5,49.7
418,73.2,68.5,70.9
419,26.7,23.7,31.7
420,48.4,45.8,47.6
421,25.5,22.3,30.4
422,74.3,70.1,72.5
423,49.4,47.3,49.4
424,26.2,23.5,31.6
425,25.9,22.8,30.9
426,48.6,46.3,48.3
427,73.8,69.5,71.9
428,26.8,23.8,31.9
429,49.1,46.7,48.7
430,25.4,22.2,30.2
431,72.9,68.9,71.4
432,48.8,46.2,48.2
433,26.5,23.2,31.3
434,25.7,22.4,30.5
435,49.6,47.4,49.5
436,73.4,69.3,71.8
437,26.1,23.6,31.8
438,48.3,45.9,47.9
439,25.3,21.8,29.7
440,49.9,47.6,49.8
441,74.2,70.3,72.7
442,26.9,23.9,32.1
443,48.7,46.5,48.5
444,25.2,22.1,30.1
445,73.1,68.6,71.2
446,49.5,47.1,49.2
447,26.6,23.3,31.5
448,18.7,48.2,69.1
449,25.6,22.5,30.6
450,48.5,45.7,47.7
451,72.8,68.7,71.1
452,26.4,23.4,31.4
453,49.3,47.2,49.3
454,25.8,22.7,30.8
455,73.9,69.9,72.4
456,48.2,46.1,48.1
457,26.3,23.1,31.1
458,25.1,21.9,29.9
459,49.7,47.3,49.4
460,74.4,70.2,72.6
461,26.7,23.7,31.7
462,48.9,46.6,48.6
463,25.5,22.3,30.4
464,73.6,69.2,71.6
465,49.2,46.9,48.9
466,26.2,23.5,31.6
467,25.9,22.8,30.9
468,48.4,45.8,47.8
469,72.7,68.4,70.7
470,26.8,23.8,31.9
471,49.8,47.5,49.7
472,25.4,22.2,30.2
473,73.3,69.4,71.9
474,48.6,46.3,48.3
475,26.5,23.2,31.3
476,25.7,22.4,30.5
477,49.4,47.2,49.3
478,74.1,69.7,72.1
479,26.1,23.6,31.8
480,48.8,46.2,48.2
481,25.3,21.7,29.8
482,49.1,46.7,48.7
483,73.7,69.6,72.2
484,26.9,23.9,32.2
485,48.5,45.9,47.9
486,25.2,22.1,30.3
487,72.9,68.9,71.5
488,49.6,47.4,49.5
489,26.6,23.3,31.2
490,25.6,22.5,30.6
491,48.1,45.6,47.5
492,73.5,69.1,71.5
493,26.4,23.4,31.5
494,49.9,47.6,49.8
495,25.8,22.7,30.8
496,74.3,70.1,72.5
497,48.7,46.5,48.5
498,26.3,23.1,31.1
499,25.1,21.9,29.9
500,49.3,47.1,49.2
501,73.2,68.5,70.9
502,26.7,23.7,31.7
503,48.2,46.1,48.1
504,25.5,22.3,30.4
505,72.6,68.3,70.6
506,49.7,47.3,49.4
507,26.2,23.5,31.6
508,25.9,22.8,30.9
509,48.9,46.6,48.6
510,73.8,69.5,71.9
511,26.8,23.8,31.9
512,49.5,47.2,49.3
513,25.4,22.2,30.2
514,74.2,70.3,72.7
515,48.4,45.8,47.6
516,26.5,23.2,31.3
517,25.7,22.4,30.5
518,49.2,46.9,48.9
519,73.4,69.3,71.8
520,26.1,23.6,31.8
521,48.6,46.3,48.3
522,25.3,21.8,29.7
523,49.8,47.5,49.7
524,72.8,68.7,71.1
525,26.9,23.9,32.1
526,48.8,46.2,48.2
527,25.2,22.1,30.1
528,73.1,68.6,71.2
529,49.4,47.4,49.5
530,26.6,23.3,31.5
531,25.6,22.5,30.6
532,48.5,45.7,47.7
533,74.4,70.2,72.6
534,26.4,23.4,31.4
535,49.1,46.7,48.7
536,65.8,23.1,89.4
537,25.8,22.7,30.8
538,48.1,45.9,47.9
539,73.9,69.8,72.3
540,26.3,23.1,31.1
541,49.6,47.1,49.2
542,25.1,21.9,29.9
543,72.9,68.9,71.4
544,48.7,46.5,48.5
545,26.7,23.7,31.7
546,25.5,22.3,30.4
547,49.3,47.3,49.4
548,73.6,69.2,71.6
549,26.2,23.5,31.6
550,48.3,45.8,47.8
551,25.9,22.8,30.9
552,74.1,69.7,72.1
553,49.7,47.6,49.8
554,26.8,23.8,31.9
555,48.9,46.6,48.6
556,25.4,22.2,30.2
557,73.3,69.4,71.9
558,49.2,46.9,48.9
559,26.5,23.2,31.3
560,25.7,22.4,30.5
561,48.5,46.3,48.3
562,72.7,68.4,70.7
563,26.1,23.6,31.8
564,49.8,47.5,49.7
565,25.3,21.7,29.8
566,48.2,46.1,48.1
567,73.7,69.6,72.2
568,26.9,23.9,32.2
569,49.4,47.2,49.3
570,25.2,22.1,30.3
571,74.3,70.1,72.5
572,48.6,46.3,48.3
573,26.6,23.3,31.2
574,25.6,22.5,30.6
575,49.1,46.7,48.7
576,73.5,69.1,71.5
577,26.4,23.4,31.5
578,48.8,46.2,48.2
579,25.8,22.7,30.8
580,72.9,68.9,71.4
581,49.9,47.4,49.5
582,26.3,23.1,31.1
583,25.1,21.9,29.9
584,48.4,45.8,47.6
585,73.2,68.5,70.9
586,26.7,23.7,31.7
587,49.6,47.1,49.2
588,25.5,22.3,30.4
589,74.2,10.3,72.7
590,48.7,46.5,48.5
591,26.2,23.5,31.6
592,25.9,22.8,30.9
593,49.3,47.3,49.4
594,73.8,69.5,71.9
595,26.8,23.8,31.9
596,48.1,45.9,47.9
597,25.4,22.2,30.2
598,72.6,68.3,70.6
599,49.7,47.6,49.8
600,26.5,23.2,31.3
601,25.7,22.4,30.5
602,48.5,46.3,48.3
603,73.4,69.3,71.8
604,26.1,23.6,31.8
605,49.2,46.9,48.9
606,25.3,21.8,29.7
607,48.9,46.6,48.6
608,74.4,70.2,72.6
609,26.9,23.9,32.1
610,49.8,47.5,49.7
611,25.2,22.1,30.1
612,73.1,68.6,71.2
613,48.4,45.8,47.8
614,26.6,23.3,31.5
615,25.6,22.5,30.6
616,49.4,47.2,49.3
617,72.8,68.7,71.1
618,26.4,23.4,31.4
619,48.6,46.3,48.3
620,25.8,22.7,30.8
621,73.9,69.8,72.3
622,49.1,46.7,48.7
623,26.3,23.1,31.1
624,25.1,21.9,29.9
625,48.8,46.2,48.2
626,74.1,69.7,72.1
627,26.7,23.7,31.7
628,49.6,47.4,49.5
629,25.5,22.3,30.4
630,73.6,69.2,71.6
631,48.3,45.9,47.9
632,26.2,23.5,31.6
633,25.9,22.8,30.9
634,49.9,47.6,49.8
635,72.9,68.9,71.5
636,26.8,23.8,31.9
637,48.7,46.5,48.5
638,25.4,22.2,30.2
639,73.3,69.4,71.9
640,49.5,47.1,49.2
641,26.5,23.2,31.3
642,25.7,22.4,30.5
643,48.2,46.1,48.1
644,74.3,70.1,72.5
645,26.1,23.6,31.8
646,49.3,47.3,49.4
647,25.3,21.7,29.8
648,48.9,46.6,48.6
649,73.7,69.6,72.2
650,26.9,23.9,32.2
651,49.7,47.5,49.7
652,25.2,22.1,30.3
653,72.7,68.4,70.7
654,48.5,46.3,48.3
655,26.6,23.3,31.2
656,25.6,22.5,30.6
657,49.2,46.9,48.9
658,73.5,69.1,71.5
659,26.4,23.4,31.5
660,48.4,45.8,47.6
661,25.8,22.7,30.8
662,74.2,70.3,72.7
663,49.8,47.2,49.3
664,26.3,23.1,31.1
665,25.1,21.9,29.9
666,48.6,46.3,48.3
667,73.2,68.5,70.9
668,26.7,23.7,31.7
669,49.4,47.4,49.5
670,25.5,22.3,30.4
671,72.8,68.9,71.4
672,48.8,46.2,48.2
673,26.2,23.5,31.6
674,25.9,22.8,30.9
675,49.1,46.7,48.7
676,73.8,69.5,71.9
677,26.8,23.8,31.9
678,48.1,45.9,47.9
679,25.4,22.2,30.2
680,74.4,70.2,72.6
681,49.6,47.1,49.2
682,26.5,23.2,31.3
683,25.7,22.4,30.5
684,48.7,46.5,48.5
685,73.4,69.3,71.8
686,26.1,23.6,31.8
687,49.9,47.6,49.8
688,25.3,21.8,29.7
689,48.3,45.8,47.8
690,72.9,68.7,71.1
691,26.9,23.9,32.1
692,49.5,47.3,49.4
693,25.2,22.1,30.1
694,73.1,68.6,71.2
695,48.9,46.6,48.6
696,26.6,23.3,31.5
697,87.3,68.9,32.1
698,25.6,22.5,30.6
699,48.5,46.3,48.3
700,73.9,69.8,72.3
701,26.4,23.4,31.4
702,49.3,47.2,49.3
703,25.8,22.7,30.8
704,74.1,69.7,72.1
705,48.2,46.1,48.1
706,26.3,23.1,31.1
707,25.1,21.9,29.9
708,49.7,47.4,49.5
709,73.6,69.2,71.6
710,26.7,23.7,31.7
711,48.6,46.3,48.3
712,25.5,22.3,30.4
713,72.7,68.4,70.7
714,49.2,46.9,48.9
715,26.2,23.5,31.6
716,25.9,22.8,30.9
717,48.8,46.2,48.2
718,73.3,69.4,71.9
719,26.8,23.8,31.9
720,49.8,47.5,49.7
721,25.4,22.2,30.2
722,74.3,70.1,72.5
723,48.4,45.8,47.6
724,26.5,23.2,31.3
725,25.7,22.4,30.5
726,49.4,47.1,49.2
727,73.7,69.6,72.2
728,26.1,23.6,31.8
729,48.7,46.5,48.5
730,25.3,21.7,29.8
731,49.1,46.7,48.7
732,72.9,68.9,71.5
733,26.9,23.9,32.2
734,48.1,45.9,47.9
735,25.2,22.1,30.3
736,73.5,69.1,71.5
737,49.6,47.3,49.4
738,26.6,23.3,31.2
739,25.6,22.5,30.6
740,48.5,46.3,48.3
741,74.2,70.3,72.7
742,26.4,23.4,31.5
743,49.9,47.6,49.8
744,25.8,22.7,30.8
745,73.2,68.5,70.9
746,48.9,46.6,48.6
747,26.3,23.1,31.1
748,25.1,21.9,29.9
749,49.5,47.2,49.3
750,72.8,68.7,71.1
751,26.7,23.7,31.7
752,48.3,45.8,47.8
753,25.5,22.3,30.4
754,73.8,69.5,71.9
755,49.3,47.4,49.5
756,26.2,23.5,31.6
757,25.9,22.8,30.9
758,48.6,46.3,48.3
759,74.4,70.2,72.6
760,26.8,23.8,31.9
761,49.7,47.1,49.2
762,25.4,22.2,30.2
763,73.4,69.3,71.8
764,48.2,46.1,48.1
765,26.5,23.2,31.3
766,25.7,22.4,30.5
767,49.2,46.9,48.9
768,72.9,68.9,71.4
769,26.1,23.6,31.8
770,48.8,46.2,48.2
771,25.3,21.8,29.7
772,49.8,47.5,49.7
773,73.1,68.6,71.2
774,26.9,23.9,32.1
775,48.4,45.8,47.6
776,25.2,22.1,30.1
777,74.1,69.7,72.1
778,49.4,47.3,49.4
779,26.6,23.3,31.5
780,25.6,22.5,30.6
781,48.7,46.5,48.5
782,73.9,69.8,72.3
783,26.4,23.4,31.4
784,49.1,46.7,48.7
785,25.8,22.7,30.8
786,25.4,70.2,47.3
787,73.6,69.2,71.6
788,26.3,23.1,31.1
789,48.5,46.3,48.3
790,25.1,21.9,29.9
791,49.6,47.4,49.5
792,72.7,68.4,70.7
793,26.7,23.7,31.7
794,48.1,45.9,47.9
795,25.5,22.3,30.4
796,73.3,69.4,71.9
797,49.9,47.6,49.8
798,26.2,23.5,31.6
799,25.9,22.8,30.9
800,48.9,46.6,48.6
801,74.3,70.1,72.5
802,26.8,23.8,31.9
803,49.5,47.2,49.3
804,25.4,22.2,30.2
805,73.7,69.6,72.2
806,48.3,45.8,47.8
807,26.5,23.2,31.3
808,25.7,22.4,30.5
809,49.3,47.1,49.2
810,72.8,68.7,71.1
811,26.1,23.6,31.8
812,48.6,46.3,48.3
813,25.3,21.7,29.8
814,49.7,47.3,49.4
815,73.5,69.1,71.5
816,26.9,23.9,32.2
817,48.2,46.1,48.1
818,25.2,22.1,30.3
819,74.2,70.3,72.7
820,49.2,46.9,48.9
821,26.6,23.3,31.2
822,25.6,22.5,30.6
823,48.8,46.2,48.2
824,73.2,68.5,70.9
825,26.4,23.4,31.5
826,49.8,47.5,49.7
827,25.8,22.7,30.8
828,72.9,68.9,71.4
829,48.4,45.8,47.6
830,26.3,23.1,31.1
831,25.1,21.9,29.9
832,49.4,47.4,49.5
833,73.8,69.5,71.9
834,26.7,23.7,31.7
835,48.7,46.5,48.5
836,25.5,22.3,30.4
837,74.4,70.2,72.6
838,49.1,46.7,48.7
839,26.2,23.5,31.6
840,25.9,22.8,30.9
841,48.5,46.3,48.3
842,73.4,69.3,71.8
843,26.8,23.8,31.9
844,49.6,47.1,49.2
845,25.4,22.2,30.2
846,72.7,68.4,70.7
847,48.9,46.6,48.6
848,26.5,23.2,31.3
849,25.7,22.4,30.5
850,49.9,47.6,49.8
851,73.1,68.6,71.2
852,26.1,23.6,31.8
853,48.3,45.9,47.9
854,25.3,21.8,29.7
855,49.5,47.3,49.4
856,74.1,69.7,72.1
857,26.9,23.9,32.1
858,48.6,46.3,48.3
859,25.2,22.1,30.1
860,73.9,69.8,72.3
861,49.3,47.2,49.3
862,26.6,23.3,31.5
863,25.6,22.5,30.6
864,48.2,46.1,48.1
865,72.8,68.9,71.5
866,26.4,23.4,31.4
867,49.7,47.4,49.5
868,25.8,22.7,30.8
869,73.6,69.2,71.6
870,48.8,46.2,48.2
871,26.3,23.1,31.1
872,25.1,21.9,29.9
873,49.2,46.9,48.9
874,74.3,70.1,72.5
875,43.2,25.7,92.4
876,26.7,23.7,31.7
877,48.4,45.8,47.6
878,25.5,22.3,30.4
879,73.3,69.4,71.9
880,49.8,47.5,49.7
881,26.2,23.5,31.6
882,25.9,22.8,30.9
883,48.7,46.5,48.5
884,72.9,68.7,71.1
885,26.8,23.8,31.9
886,49.4,47.1,49.2
887,25.4,22.2,30.2
888,73.7,69.6,72.2
889,48.1,45.9,47.9
890,26.5,23.2,31.3
891,25.7,22.4,30.5
892,49.1,46.7,48.7
893,74.2,70.3,72.7
894,26.1,23.6,31.8
895,48.5,46.3,48.3
896,25.3,21.7,29.8
897,49.6,47.3,49.4
898,73.5,69.1,71.5
899,26.9,23.9,32.2
900,48.9,46.6,48.6
901,25.2,22.1,30.3
902,72.7,68.4,70.7
903,49.5,47.2,49.3
904,26.6,23.3,31.2
905,25.6,22.5,30.6
906,48.3,45.8,47.8
907,73.2,68.5,70.9
908,26.4,23.4,31.5
909,49.9,47.6,49.8
910,25.8,22.7,30.8
911,74.4,70.2,72.6
912,48.6,46.3,48.3
913,26.3,23.1,31.1
914,25.1,21.9,29.9
915,49.3,47.4,49.5
916,73.8,69.5,71.9
917,26.7,23.7,31.7
918,48.2,46.1,48.1
919,25.5,22.3,30.4
920,72.8,68.9,71.4
921,49.7,47.1,49.2
922,26.2,23.5,31.6
923,25.9,22.8,30.9
924,48.8,46.2,48.2
925,73.4,69.3,71.8
926,26.8,23.8,31.9
927,49.2,46.9,48.9
928,25.4,22.2,30.2
929,74.1,69.7,72.1
930,48.4,45.8,47.6
931,26.5,23.2,31.3
932,25.7,22.4,30.5
933,49.8,47.5,49.7
934,73.1,68.6,71.2
935,26.1,23.6,31.8
936,48.7,46.5,48.5
937,25.3,21.8,29.7
938,49.4,47.3,49.4
939,72.9,68.7,71.1
940,26.9,23.9,32.1
941,48.1,45.9,47.9
942,25.2,22.1,30.1
943,73.9,69.8,72.3
944,49.1,46.7,48.7
945,26.6,23.3,31.5
946,25.6,22.5,30.6
947,48.5,46.3,48.3
948,74.3,70.1,72.5
949,26.4,23.4,31.4
950,49.6,47.4,49.5
951,25.8,22.7,30.8
952,73.6,69.2,71.6
953,48.9,46.6,48.6
954,26.3,23.1,31.1
955,25.1,21.9,29.9
956,49.5,47.2,49.3
957,72.7,68.4,70.7
958,26.7,23.7,31.7
959,48.3,45.8,47.8
960,25.5,22.3,30.4
961,73.3,69.4,71.9
962,49.9,47.6,49.8
963,72.3,91.2,71.5
964,26.2,23.5,31.6
965,25.9,22.8,30.9
966,48.6,46.3,48.3
967,74.2,70.3,72.7
968,26.8,23.8,31.9
969,49.3,47.1,49.2
970,25.4,22.2,30.2
971,73.7,69.6,72.2
972,48.2,46.1,48.1
973,26.5,23.2,31.3
974,25.7,22.4,30.5
975,49.7,47.3,49.4
976,72.8,68.9,71.4
977,26.1,23.6,31.8
978,48.8,46.2,48.2
979,25.3,21.7,29.8
980,49.2,46.9,48.9
981,73.5,69.1,71.5
982,26.9,23.9,32.2
983,48.4,45.8,47.6
984,25.2,22.1,30.3
985,74.4,70.2,72.6
986,49.8,47.5,49.7
987,26.6,23.3,31.2
988,25.6,22.5,30.6
989,48.7,46.5,48.5
990,73.2,68.5,70.9
991,26.4,23.4,31.5
992,49.4,47.4,49.5
993,25.8,22.7,30.8
994,72.9,68.7,71.1
995,48.1,45.9,47.9
996,26.3,23.1,31.1
