id,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,target
21,89.6,-54.2,77.8,41.3,-84.9,50.7,73.5,-37.8,64.2,29.6,-88.7,54.3,76.8,-42.5,60.1,36.9,-92.3,49.4,75.1,-39.8,63.7,32.4,-87.6,52.8,74.3,-43.1,59.6,35.7,-91.9,48.2,73.9,-38.9,65.4,30.5,-86.2,53.1,75.7,-41.7,61.9,34.2,-93.8,47.6,74.5,-39.4,62.3,33.8,-89.1,54.9,1
22,34.9,-71.6,83.7,46.8,-75.2,54.3,36.7,-81.4,50.2,71.9,-38.9,63.8,27.4,-87.6,49.6,74.8,-43.2,60.5,34.1,-91.3,54.7,76.4,-39.7,65.9,31.8,-93.7,51.2,73.6,-42.8,58.4,37.3,-88.9,52.9,75.1,-39.2,64.6,30.7,-92.5,48.8,74.7,-43.6,59.7,35.9,-86.8,53.4,72.3,-38.5,0,0
23,67.2,38.4,-93.8,59.7,77.1,-33.6,65.8,24.9,-80.3,45.6,73.2,-39.1,62.4,29.7,-86.5,51.9,75.8,-43.7,58.3,36.8,-91.6,50.4,74.9,-38.7,64.5,32.3,-93.9,49.1,73.7,-42.1,60.2,35.6,-88.3,52.7,75.4,-39.9,63.8,31.4,-92.7,48.3,74.2,-41.8,59.5,34.9,-87.1,53.9,72.6,-38.2,1
24,-48.7,81.3,55.9,-89.2,46.4,73.8,-41.7,65.3,30.8,-87.9,52.6,76.2,-44.3,61.7,37.9,-93.6,55.1,78.3,-41.2,66.8,33.7,-95.4,51.9,75.8,-45.1,60.6,39.2,-90.8,54.3,77.1,-43.9,64.2,32.1,-94.3,50.7,76.9,-40.8,63.7,35.6,-88.4,56.2,75.3,-44.7,61.4,38.3,-91.7,49.8,0,0
25,58.3,-79.7,71.2,35.9,-83.6,49.1,74.7,-40.3,62.8,28.7,-89.1,53.4,77.6,-45.2,59.6,36.8,-94.3,50.2,76.1,-41.6,64.9,32.4,-90.7,55.8,73.4,-44.8,60.3,37.5,-93.2,51.7,75.9,-40.9,66.7,30.6,-88.1,54.6,77.3,-43.4,61.2,35.1,-95.6,49.3,76.8,-39.7,63.5,34.7,-91.9,56.4,1
26,79.8,44.2,-91.4,63.7,77.9,-36.5,67.3,26.8,-84.2,48.9,75.6,-41.9,63.9,31.7,-89.3,53.8,77.8,-45.6,60.4,38.7,-93.5,51.6,76.7,-40.8,66.1,34.2,-95.1,54.2,74.9,-44.3,61.8,37.9,-90.4,50.9,77.4,-41.5,65.3,33.6,-94.8,49.7,75.2,-44.1,59.8,36.4,-88.6,55.1,74.3,-40.2,0
27,-26.4,71.8,86.9,-49.7,78.6,37.9,-82.1,54.8,74.3,-39.6,67.2,30.8,-87.9,51.7,76.8,-44.5,61.9,35.8,-91.7,55.6,78.1,-41.3,67.8,33.7,-94.3,51.2,75.9,-45.7,60.3,38.9,-89.8,53.7,77.6,-40.9,65.4,32.5,-93.1,48.6,76.4,-43.8,63.2,36.7,-88.2,54.9,74.7,-41.6,0,34.3,1
28,91.3,-57.8,79.6,43.7,-86.5,52.4,75.9,-39.7,66.8,31.9,-90.6,56.7,78.9,-44.8,62.3,39.1,-94.7,51.8,77.4,-42.3,65.9,34.6,-89.4,55.2,76.8,-45.2,61.7,38.4,-93.8,50.6,75.3,-41.9,67.4,32.8,-88.7,55.9,78.6,-43.7,63.8,36.2,-95.9,49.1,76.2,-41.4,64.7,35.9,-91.3,57.3,0
29,37.6,-74.3,85.9,49.2,-77.8,56.8,39.4,-83.7,52.9,74.6,-41.8,66.3,29.7,-89.9,51.9,77.2,-45.6,62.8,36.4,-93.4,57.1,78.7,-42.1,68.2,34.3,-96.1,53.7,76.1,-44.9,60.8,39.7,-91.6,55.4,77.8,-41.6,66.9,33.2,-94.7,51.3,76.9,-45.8,61.6,38.1,-88.9,55.8,74.7,-40.8,0,1
30,69.7,41.2,-95.6,62.3,79.8,-35.9,68.4,27.6,-82.9,47.8,76.3,-43.6,65.7,33.2,-91.1,55.4,78.9,-47.3,62.1,40.3,-95.2,53.9,78.2,-42.7,68.6,36.8,-97.4,56.7,77.1,-46.1,63.9,39.8,-92.3,52.4,79.7,-43.9,67.2,35.7,-96.8,51.8,77.6,-45.4,61.3,38.9,-90.4,56.2,76.4,-42.1,0
31,-51.4,83.7,58.6,-91.8,48.9,76.3,-43.9,67.9,33.2,-90.6,55.1,78.8,-46.7,64.3,40.6,-96.2,57.8,80.9,-43.8,69.4,36.2,-98.1,54.6,78.4,-47.3,63.2,41.7,-93.5,56.9,79.7,-46.2,66.8,34.9,-96.9,53.2,79.3,-43.4,66.1,38.3,-91.2,58.7,78.1,-46.8,64.7,40.9,-94.3,52.4,0,1
32,60.9,-82.3,73.8,38.7,-85.9,51.6,77.3,-42.8,65.4,31.3,-91.7,56.1,80.2,-47.6,62.3,39.4,-96.8,52.9,78.7,-44.2,67.6,35.1,-93.4,58.3,76.1,-47.1,62.9,40.2,-95.7,54.3,78.5,-43.6,69.2,33.4,-90.8,57.2,79.9,-45.9,63.8,37.8,-97.3,51.7,79.4,-42.3,66.1,37.4,-94.6,58.9,0
33,82.4,46.8,-93.9,66.2,80.6,-39.2,69.8,29.3,-86.7,51.4,78.2,-45.3,66.9,34.7,-92.8,56.7,80.4,-48.9,63.1,41.9,-96.7,54.8,79.3,-44.3,69.1,37.6,-98.2,57.9,77.6,-47.8,64.7,40.6,-93.9,53.6,80.8,-45.1,68.4,37.2,-97.6,52.3,78.9,-46.7,62.6,39.7,-91.9,57.8,77.1,-43.8,1
34,-29.1,74.6,89.3,-52.4,81.2,40.7,-84.9,57.3,77.1,-42.3,69.8,33.6,-90.7,54.2,79.4,-47.2,64.6,38.9,-94.3,58.1,80.8,-44.7,70.3,36.4,-97.1,54.7,78.6,-48.4,63.1,41.6,-92.5,56.2,80.2,-44.3,68.1,35.3,-95.8,51.2,79.1,-46.9,65.9,39.3,-90.9,57.4,77.8,-44.2,0,37.1,0
35,93.8,-60.7,82.3,46.2,-88.9,55.1,78.6,-42.4,69.3,34.7,-93.2,59.2,81.7,-47.3,65.1,41.8,-97.4,54.6,80.1,-45.9,68.4,37.9,-92.1,57.9,79.5,-48.1,64.3,41.2,-96.5,53.2,78.1,-44.6,70.1,35.6,-91.4,58.6,81.3,-46.8,66.7,39.1,-98.7,52.4,79.9,-44.1,67.3,38.7,-93.8,59.8,1
36,40.3,-77.8,88.4,51.9,-80.6,59.3,42.1,-86.2,55.6,77.3,-44.7,69.1,32.4,-92.6,54.6,80.1,-48.3,65.7,39.2,-96.1,59.8,81.4,-45.6,71.2,37.1,-99.3,56.4,78.9,-47.6,63.6,42.9,-94.3,57.9,80.6,-44.2,69.7,36.1,-97.4,54.1,79.7,-48.7,64.3,40.8,-91.6,58.3,77.4,-43.6,0,0
37,72.3,44.7,-98.2,65.1,82.6,-38.7,71.2,30.2,-85.6,50.3,79.1,-46.9,68.4,36.8,-94.7,58.9,81.7,-50.6,65.8,43.7,-98.9,56.7,81.1,-46.3,71.8,39.7,-100.2,59.4,80.3,-49.8,67.2,43.1,-96.1,55.9,83.4,-47.6,70.9,39.8,-99.7,54.7,81.6,-48.9,64.9,42.3,-94.2,59.7,79.2,-45.7,1
38,-54.8,86.4,61.7,-94.6,51.6,79.2,-46.7,70.6,36.1,-93.4,57.8,81.7,-49.3,67.1,43.9,-99.1,60.4,83.8,-46.9,72.3,39.4,-101.2,57.3,81.3,-50.1,66.1,44.8,-96.8,59.6,82.9,-49.2,69.7,38.3,-99.8,56.1,82.4,-46.7,69.2,41.6,-94.1,61.3,81.1,-49.7,67.8,43.9,-97.2,55.1,0,0
39,63.7,-85.4,76.9,41.8,-88.7,54.3,80.1,-45.9,68.2,34.7,-94.6,58.9,83.2,-50.4,65.3,42.7,-99.7,55.8,81.6,-47.3,70.4,38.6,-96.2,61.1,79.3,-49.8,65.8,43.6,-98.6,57.2,81.4,-46.9,72.1,36.8,-93.7,60.1,82.9,-48.9,66.9,40.9,-100.4,54.6,82.3,-45.6,69.2,40.7,-97.4,61.7,1
40,85.1,49.7,-96.8,69.3,83.9,-42.1,73.2,32.8,-89.4,54.2,81.3,-48.9,70.1,38.3,-96.1,59.8,83.7,-52.4,66.9,45.8,-99.8,57.9,82.4,-47.8,73.6,41.2,-101.9,60.7,80.9,-51.3,68.9,44.1,-96.7,57.3,85.2,-49.6,73.1,42.3,-102.4,55.9,82.1,-50.3,67.4,44.8,-95.1,61.3,80.7,-48.2,0
41,-32.6,77.9,92.1,-55.7,84.3,44.2,-87.8,60.1,80.4,-45.9,73.2,37.3,-93.9,57.1,82.7,-50.8,67.9,42.6,-97.3,61.2,84.1,-48.3,73.8,40.1,-100.6,57.9,81.9,-51.7,66.3,45.2,-95.8,59.3,83.6,-47.9,71.4,38.9,-99.2,54.7,82.4,-50.1,69.2,42.8,-94.6,60.7,81.1,-47.6,0,40.4,1
42,96.7,-64.3,85.4,49.6,-91.8,58.2,81.9,-45.9,72.6,38.1,-96.7,62.4,85.3,-50.9,68.7,45.3,-100.8,57.9,83.6,-49.4,71.8,41.6,-95.7,61.2,82.9,-51.6,67.9,44.9,-99.8,56.7,81.3,-48.2,73.4,39.2,-95.1,61.9,84.7,-50.3,69.8,42.7,-101.9,55.8,83.2,-47.6,70.9,42.3,-97.1,62.9,0
43,43.8,-81.6,91.7,55.4,-84.2,62.7,45.9,-89.6,58.9,80.8,-48.3,72.4,36.2,-95.9,57.9,83.7,-52.1,69.1,43.1,-99.6,63.2,85.1,-49.3,74.8,40.9,-102.8,59.7,82.3,-51.2,67.2,46.7,-97.9,61.4,84.2,-48.1,73.1,39.9,-100.7,57.6,83.1,-52.4,67.9,44.6,-95.3,61.8,80.9,-47.3,0,1
44,75.8,48.9,-101.3,68.9,86.2,-42.4,75.1,34.7,-88.9,53.8,82.7,-50.6,72.1,40.8,-98.3,62.6,85.9,-54.8,69.4,47.9,-102.7,60.3,84.8,-50.2,76.3,43.9,-105.1,63.2,83.9,-53.8,71.7,47.3,-99.8,59.1,87.6,-52.1,75.8,44.9,-105.9,58.6,85.1,-53.7,70.8,47.2,-98.4,63.8,83.6,-50.1,0
45,-58.6,89.7,65.3,-97.9,55.1,82.9,-50.3,74.2,39.7,-96.8,61.3,85.4,-53.1,70.8,47.6,-102.8,64.2,87.9,-51.4,76.1,43.7,-105.7,60.9,85.1,-54.3,69.8,48.9,-100.4,63.2,87.3,-53.6,73.9,42.7,-103.6,59.7,86.2,-51.2,73.1,45.8,-97.9,65.1,84.9,-53.9,71.6,47.8,-100.9,58.7,0,1
46,67.3,-89.2,80.7,45.6,-92.4,57.9,84.2,-49.8,72.1,38.9,-98.3,62.7,87.6,-54.9,69.2,46.8,-103.7,59.4,85.8,-51.7,74.9,42.3,-99.9,65.1,83.7,-54.2,69.7,47.9,-102.3,60.8,85.9,-51.3,76.4,40.6,-97.6,64.3,87.1,-53.4,71.3,45.2,-105.7,58.2,86.8,-50.1,73.7,44.9,-101.2,65.9,0
47,88.9,53.7,-100.6,73.2,88.1,-46.3,77.9,36.9,-93.2,58.1,86.4,-53.9,75.8,44.2,-102.1,66.3,89.7,-58.3,73.4,51.9,-107.2,63.7,88.1,-54.1,79.8,47.6,-109.4,66.8,86.9,-57.6,75.3,51.2,-103.9,62.9,91.3,-56.7,79.4,48.9,-109.8,62.1,88.6,-57.3,74.9,51.7,-102.4,67.2,87.3,-54.6,1
48,-36.9,82.4,96.8,-60.3,89.1,48.9,-92.6,64.7,86.3,-51.2,77.9,42.1,-99.4,61.8,88.6,-56.7,73.9,48.2,-103.8,66.9,89.7,-54.3,79.2,45.9,-107.1,62.7,87.9,-57.8,72.1,51.3,-102.7,64.9,89.3,-54.1,77.6,44.7,-106.2,60.3,88.1,-56.4,75.8,48.9,-100.7,66.2,87.4,-53.8,0,46.7,0
49,101.3,-70.2,90.8,54.9,-97.6,64.1,88.7,-52.3,79.3,43.8,-103.4,68.9,92.1,-57.6,76.2,51.9,-109.7,64.3,90.4,-56.8,79.1,48.2,-103.6,67.8,89.9,-58.9,75.3,51.7,-108.6,63.2,88.7,-55.1,80.9,45.7,-102.8,68.7,93.2,-58.3,77.4,49.8,-110.7,62.4,90.1,-54.9,78.6,49.3,-104.9,69.8,1
50,48.9,-87.3,97.6,61.2,-90.1,69.8,52.4,-96.7,65.4,88.3,-55.9,79.8,42.7,-104.6,64.3,91.2,-59.8,76.7,50.4,-108.9,70.1,93.7,-57.9,82.3,48.6,-113.2,66.2,90.1,-59.7,74.8,54.3,-106.7,68.9,92.8,-56.3,80.7,47.2,-109.4,64.1,90.7,-60.2,75.3,52.1,-104.1,68.7,88.9,-55.6,0,0
51,83.6,56.2,-108.9,77.1,94.7,-52.8,84.9,42.3,-100.4,64.7,93.8,-61.3,83.6,51.9,-111.2,73.9,98.4,-66.7,81.2,60.3,-115.9,71.2,96.7,-62.1,88.3,55.8,-120.7,74.6,95.1,-65.9,83.7,59.8,-114.3,70.4,100.9,-65.1,88.1,57.3,-119.6,69.7,97.2,-66.4,83.4,60.7,-112.8,75.8,96.3,-63.2,0
52,-42.7,89.6,105.3,-68.9,98.7,56.8,-102.3,72.1,95.6,-60.7,86.4,49.8,-110.7,69.2,98.1,-66.3,82.7,56.9,-115.4,74.6,99.3,-63.8,88.1,54.3,-118.9,70.1,97.4,-67.2,80.3,60.1,-114.2,72.8,98.9,-63.7,86.7,53.2,-117.8,67.9,97.6,-65.9,84.3,57.6,-112.1,74.2,96.8,-63.1,0,55.2,1
53,71.8,-98.7,89.3,53.9,-102.6,65.7,98.1,-61.3,84.7,46.9,-109.8,70.3,103.4,-67.9,85.1,58.7,-116.2,68.9,100.7,-64.3,87.6,51.9,-112.4,73.8,98.3,-67.1,82.4,60.8,-114.7,71.2,101.6,-64.8,89.3,53.7,-110.9,75.9,102.8,-66.7,84.9,58.2,-118.6,69.7,101.2,-63.4,86.7,57.9,-113.8,74.3,0
54,98.7,64.8,-117.3,85.9,104.2,-61.7,93.8,50.1,-111.6,73.2,104.7,-72.8,92.3,61.9,-123.4,82.1,109.6,-78.3,90.7,71.8,-127.2,79.8,107.9,-73.6,97.9,66.2,-133.8,83.7,106.3,-77.9,92.8,71.3,-126.1,79.2,112.4,-76.8,98.3,68.7,-132.9,78.1,108.7,-78.6,92.9,72.3,-125.7,84.6,107.1,-74.9,1
55,-50.3,99.7,116.8,-79.6,109.3,67.9,-113.8,80.9,106.9,-72.3,96.1,59.3,-123.6,77.8,109.4,-78.7,92.3,67.8,-128.1,83.2,110.9,-75.7,98.3,64.9,-131.7,78.6,109.1,-79.3,89.7,71.6,-126.9,81.3,110.7,-75.9,96.8,63.4,-130.3,76.2,109.3,-78.1,93.7,68.3,-124.6,83.1,108.4,-74.8,0,65.9,0
56,79.3,-109.2,99.8,63.7,-114.1,73.9,109.6,-72.8,94.3,56.1,-122.7,78.9,115.1,-80.3,95.6,69.7,-129.8,77.3,112.4,-76.9,97.9,62.3,-125.1,82.7,109.8,-79.6,92.1,72.3,-127.9,79.8,113.2,-77.1,99.7,64.2,-123.4,84.6,114.7,-79.3,94.8,69.1,-131.9,78.2,113.6,-75.8,96.3,68.9,-126.7,83.1,1
57,109.2,76.3,-130.7,95.8,116.9,-73.4,104.7,59.8,-124.3,82.1,117.3,-85.6,103.2,73.9,-137.8,91.7,122.9,-92.1,101.3,84.7,-142.6,89.2,120.7,-87.3,109.1,78.9,-148.2,93.4,119.2,-91.7,103.6,84.2,-140.9,88.7,125.8,-90.6,109.7,81.3,-147.3,87.3,121.9,-92.4,103.8,85.1,-139.2,94.3,120.3,-88.7,0
58,-59.7,111.3,129.8,-93.2,121.9,80.7,-127.3,90.6,119.7,-85.9,107.3,70.8,-137.9,87.2,122.1,-93.4,103.1,80.7,-143.6,93.1,124.3,-89.6,109.8,77.3,-146.9,88.1,122.4,-93.7,100.2,84.9,-141.6,90.8,124.1,-89.3,108.3,75.9,-145.1,85.7,122.6,-92.3,104.7,81.2,-139.8,92.8,121.7,-88.6,0,78.3,1
59,88.7,-122.3,111.6,75.9,-127.8,82.6,122.9,-86.4,105.7,67.3,-137.1,88.3,128.7,-94.8,107.1,82.7,-145.3,86.7,125.9,-91.3,109.3,74.8,-140.6,92.1,123.4,-94.1,103.2,85.7,-143.3,89.2,126.8,-91.6,111.2,76.7,-138.9,94.3,128.1,-93.8,106.3,82.1,-147.6,87.6,127.9,-89.7,107.8,81.9,-142.1,92.7,0
60,121.8,89.7,-146.2,107.3,131.4,-87.9,117.2,71.3,-139.7,92.6,131.9,-101.3,115.7,87.9,-154.3,102.8,138.7,-109.6,113.8,100.3,-160.1,100.7,136.2,-103.9,122.6,93.7,-166.7,104.9,134.7,-108.9,116.2,99.8,-158.4,99.8,141.3,-107.8,123.1,96.7,-165.8,98.2,137.4,-109.7,116.7,101.2,-156.7,105.9,135.8,-105.3,1
61,-71.2,125.8,145.3,-110.7,137.4,96.3,-143.8,102.7,135.2,-102.4,121.8,84.7,-155.3,98.9,137.6,-111.3,116.2,96.3,-161.7,105.1,140.8,-106.9,124.3,92.7,-165.9,99.6,138.1,-111.8,113.7,101.3,-159.2,102.4,140.6,-106.7,122.8,90.8,-164.6,97.2,138.9,-109.8,118.2,97.3,-157.3,104.7,137.1,-105.7,0,93.8,0
62,99.8,-138.7,126.2,90.3,-144.9,93.7,139.4,-103.8,119.6,80.9,-154.7,99.8,145.9,-113.3,121.2,98.7,-164.8,98.2,142.4,-108.9,123.8,89.7,-158.9,104.1,139.9,-112.6,116.7,102.3,-161.8,100.7,143.4,-109.1,125.7,91.7,-156.4,106.8,144.6,-111.9,120.3,98.1,-166.7,99.1,144.4,-107.2,121.8,98.4,-160.6,104.2,1
63,137.3,106.8,-165.7,121.8,148.9,-105.4,132.7,85.8,-158.2,104.7,149.4,-121.3,130.7,105.4,-174.8,116.3,157.2,-131.1,128.8,120.3,-181.6,113.7,154.2,-124.4,138.6,112.3,-188.7,118.4,152.2,-130.4,131.7,119.8,-179.9,112.8,159.8,-129.3,139.1,116.2,-187.8,111.2,155.9,-131.2,132.2,121.7,-177.7,119.4,153.3,-126.8,0
