chain,iteration,mu,tau,theta[1],theta[2],theta[3],theta[4],theta[5],sigma,divergent
1,125,4.9345,2.5678,4.1345,5.2234,4.5234,4.8345,5.6234,1.4745,0
1,126,5.0567,2.3987,4.2767,5.3967,4.6967,4.9767,5.7867,1.5467,0
1,127,4.9789,2.4876,4.1889,5.2789,4.5789,4.8889,5.6689,1.4889,0
1,128,5.0234,2.5234,4.2434,5.3634,4.6634,4.9434,5.7534,1.5234,0
1,129,4.9456,2.4456,4.1456,5.2345,4.5345,4.8456,5.6234,1.4756,0
1,130,5.0678,2.5678,4.2878,5.4078,4.7078,4.9878,5.8178,1.5578,0
1,131,4.9234,2.3765,4.1234,5.2123,4.5123,4.8234,5.6123,1.4734,0
1,132,5.0345,2.4987,4.2545,5.3745,4.6745,4.9545,5.7645,1.5345,0
1,133,4.9567,2.5345,4.1667,5.2567,4.5567,4.8667,5.6467,1.4867,0
1,134,5.0123,2.4234,4.2323,5.3523,4.6523,4.9323,5.7423,1.5223,0
1,135,4.9890,2.5567,4.1990,5.2890,4.5890,4.8990,5.6890,1.4990,0
1,136,5.0789,2.3876,4.2989,5.4189,4.7189,5.0089,5.8289,1.5689,0
1,137,4.9345,2.4765,4.1345,5.2234,4.5234,4.8345,5.6234,1.4745,0
1,138,5.0456,2.5432,4.2656,5.3856,4.6856,4.9656,5.7756,1.5456,0
1,139,4.9678,2.4123,4.1778,5.2678,4.5678,4.8778,5.6578,1.4878,0
1,140,5.0234,2.5678,4.2434,5.3634,4.6634,4.9434,5.7534,1.5234,0
1,141,4.9456,2.3987,4.1456,5.2345,4.5345,4.8456,5.6234,1.4756,0
1,142,5.0567,2.4876,4.2767,5.3967,4.6967,4.9767,5.7867,1.5467,0
1,143,4.9789,2.5234,4.1889,5.2789,4.5789,4.8889,5.6689,1.4889,0
1,144,5.0345,2.4456,4.2545,5.3745,4.6745,4.9545,5.7645,1.5345,0
1,145,4.9234,2.5678,4.1234,5.2123,4.5123,4.8234,5.6123,1.4734,0
1,146,5.0678,2.3765,4.2878,5.4078,4.7078,4.9878,5.8178,1.5578,0
1,147,4.9567,2.4987,4.1667,5.2567,4.5567,4.8667,5.6467,1.4867,0
1,148,5.0123,2.5345,4.2323,5.3523,4.6523,4.9323,5.7423,1.5223,0
1,149,4.9890,2.4234,4.1990,5.2890,4.5890,4.8990,5.6890,1.4990,0
1,150,5.0456,2.5567,4.2656,5.3856,4.6856,4.9656,5.7756,1.5456,0
1,151,4.9345,2.3876,4.1345,5.2234,4.5234,4.8345,5.6234,1.4745,0
1,152,5.0567,2.4765,4.2767,5.3967,4.6967,4.9767,5.7867,1.5467,0
1,153,4.9789,2.5432,4.1889,5.2789,4.5789,4.8889,5.6689,1.4889,0
1,154,5.0234,2.4123,4.2434,5.3634,4.6634,4.9434,5.7534,1.5234,0
1,155,4.9456,2.5678,4.1456,5.2345,4.5345,4.8456,5.6234,1.4756,0
1,156,5.0678,2.3987,4.2878,5.4078,4.7078,4.9878,5.8178,1.5578,0
1,157,4.9234,2.4876,4.1234,5.2123,4.5123,4.8234,5.6123,1.4734,0
1,158,5.0345,2.5234,4.2545,5.3745,4.6745,4.9545,5.7645,1.5345,0
1,159,4.9567,2.4456,4.1667,5.2567,4.5567,4.8667,5.6467,1.4867,0
1,160,5.0123,2.5678,4.2323,5.3523,4.6523,4.9323,5.7423,1.5223,0
1,161,4.9890,2.3765,4.1990,5.2890,4.5890,4.8990,5.6890,1.4990,0
1,162,5.0789,2.4987,4.2989,5.4189,4.7189,5.0089,5.8289,1.5689,0
1,163,4.9345,2.5345,4.1345,5.2234,4.5234,4.8345,5.6234,1.4745,0
1,164,5.0456,2.4234,4.2656,5.3856,4.6856,4.9656,5.7756,1.5456,0
1,165,4.9678,2.5567,4.1778,5.2678,4.5678,4.8778,5.6578,1.4878,0
1,166,5.0234,2.3876,4.2434,5.3634,4.6634,4.9434,5.7534,1.5234,0
1,167,4.9456,2.4765,4.1456,5.2345,4.5345,4.8456,5.6234,1.4756,0
1,168,5.0567,2.5432,4.2767,5.3967,4.6967,4.9767,5.7867,1.5467,0
1,169,4.9789,2.4123,4.1889,5.2789,4.5789,4.8889,5.6689,1.4889,0
1,170,5.0345,2.5678,4.2545,5.3745,4.6745,4.9545,5.7645,1.5345,0
1,171,4.9234,2.3987,4.1234,5.2123,4.5123,4.8234,5.6123,1.4734,0
1,172,5.0678,2.4876,4.2878,5.4078,4.7078,4.9878,5.8178,1.5578,0
1,173,4.9567,2.5234,4.1667,5.2567,4.5567,4.8667,5.6467,1.4867,0
1,174,5.0123,2.4456,4.2323,5.3523,4.6523,4.9323,5.7423,1.5223,0
1,175,4.9890,2.5678,4.1990,5.2890,4.5890,4.8990,5.6890,1.4990,0
1,176,5.0456,2.3765,4.2656,5.3856,4.6856,4.9656,5.7756,1.5456,0
1,177,4.9345,2.4987,4.1345,5.2234,4.5234,4.8345,5.6234,1.4745,0
1,178,5.0567,2.5345,4.2767,5.3967,4.6967,4.9767,5.7867,1.5467,0
1,179,4.9789,2.4234,4.1889,5.2789,4.5789,4.8889,5.6689,1.4889,0
1,180,5.0234,2.5567,4.2434,5.3634,4.6634,4.9434,5.7534,1.5234,0
1,181,4.9456,2.3876,4.1456,5.2345,4.5345,4.8456,5.6234,1.4756,0
1,182,5.0678,2.4765,4.2878,5.4078,4.7078,4.9878,5.8178,1.5578,0
1,183,4.9234,2.5432,4.1234,5.2123,4.5123,4.8234,5.6123,1.4734,0
1,184,5.0345,2.4123,4.2545,5.3745,4.6745,4.9545,5.7645,1.5345,0
1,185,4.9567,2.5678,4.1667,5.2567,4.5567,4.8667,5.6467,1.4867,0
1,186,5.0123,2.3987,4.2323,5.3523,4.6523,4.9323,5.7423,1.5223,0
1,187,4.9890,2.4876,4.1990,5.2890,4.5890,4.8990,5.6890,1.4990,0
1,188,5.0789,2.5234,4.2989,5.4189,4.7189,5.0089,5.8289,1.5689,0
1,189,4.9345,2.4456,4.1345,5.2234,4.5234,4.8345,5.6234,1.4745,0
1,190,5.0456,2.5678,4.2656,5.3856,4.6856,4.9656,5.7756,1.5456,0
1,191,4.9678,2.3765,4.1778,5.2678,4.5678,4.8778,5.6578,1.4878,0
1,192,5.0234,2.4987,4.2434,5.3634,4.6634,4.9434,5.7534,1.5234,0
1,193,4.9456,2.5345,4.1456,5.2345,4.5345,4.8456,5.6234,1.4756,0
1,194,5.0567,2.4234,4.2767,5.3967,4.6967,4.9767,5.7867,1.5467,0
1,195,4.9789,2.5567,4.1889,5.2789,4.5789,4.8889,5.6689,1.4889,0
1,196,5.0345,2.3876,4.2545,5.3745,4.6745,4.9545,5.7645,1.5345,0
1,197,4.9234,2.4765,4.1234,5.2123,4.5123,4.8234,5.6123,1.4734,0
1,198,5.0678,2.5432,4.2878,5.4078,4.7078,4.9878,5.8178,1.5578,0
1,199,4.9567,2.4123,4.1667,5.2567,4.5567,4.8667,5.6467,1.4867,0
1,200,5.0123,2.5678,4.2323,5.3523,4.6523,4.9323,5.7423,1.5223,0
1,201,4.9890,2.3987,4.1990,5.2890,4.5890,4.8990,5.6890,1.4990,0
1,202,5.0456,2.4876,4.2656,5.3856,4.6856,4.9656,5.7756,1.5456,0
1,203,4.9345,2.5234,4.1345,5.2234,4.5234,4.8345,5.6234,1.4745,0
1,204,5.0567,2.4456,4.2767,5.3967,4.6967,4.9767,5.7867,1.5467,0
1,205,4.9789,2.5678,4.1889,5.2789,4.5789,4.8889,5.6689,1.4889,0
1,206,5.0234,2.3765,4.2434,5.3634,4.6634,4.9434,5.7534,1.5234,0
1,207,4.9456,2.4987,4.1456,5.2345,4.5345,4.8456,5.6234,1.4756,0
1,208,5.0678,2.5345,4.2878,5.4078,4.7078,4.9878,5.8178,1.5578,0
1,209,4.9234,2.4234,4.1234,5.2123,4.5123,4.8234,5.6123,1.4734,0
1,210,5.0345,2.5567,4.2545,5.3745,4.6745,4.9545,5.7645,1.5345,0
1,211,4.9567,2.3876,4.1667,5.2567,4.5567,4.8667,5.6467,1.4867,0
1,212,5.0123,2.4765,4.2323,5.3523,4.6523,4.9323,5.7423,1.5223,0
1,213,4.9890,2.5432,4.1990,5.2890,4.5890,4.8990,5.6890,1.4990,0
1,214,5.0789,2.4123,4.2989,5.4189,4.7189,5.0089,5.8289,1.5689,0
1,215,4.9345,2.5678,4.1345,5.2234,4.5234,4.8345,5.6234,1.4745,0
1,216,5.0456,2.3987,4.2656,5.3856,4.6856,4.9656,5.7756,1.5456,0
1,217,4.9678,2.4876,4.1778,5.2678,4.5678,4.8778,5.6578,1.4878,0
1,218,5.0234,2.5234,4.2434,5.3634,4.6634,4.9434,5.7534,1.5234,0
1,219,4.9456,2.4456,4.1456,5.2345,4.5345,4.8456,5.6234,1.4756,0
1,220,5.0567,2.5678,4.2767,5.3967,4.6967,4.9767,5.7867,1.5467,0
1,221,4.9789,2.3765,4.1889,5.2789,4.5789,4.8889,5.6689,1.4889,0
1,222,5.0345,2.4987,4.2545,5.3745,4.6745,4.9545,5.7645,1.5345,0
1,223,4.9234,2.5345,4.1234,5.2123,4.5123,4.8234,5.6123,1.4734,0
1,224,5.0678,2.4234,4.2878,5.4078,4.7078,4.9878,5.8178,1.5578,0
1,225,4.9567,2.5567,4.1667,5.2567,4.5567,4.8667,5.6467,1.4867,0
1,226,5.0123,2.3876,4.2323,5.3523,4.6523,4.9323,5.7423,1.5223,0
1,227,4.9890,2.4765,4.1990,5.2890,4.5890,4.8990,5.6890,1.4990,0
1,228,5.0456,2.5432,4.2656,5.3856,4.6856,4.9656,5.7756,1.5456,0
1,229,4.9345,2.4123,4.1345,5.2234,4.5234,4.8345,5.6234,1.4745,0
1,230,5.0567,2.5678,4.2767,5.3967,4.6967,4.9767,5.7867,1.5467,0
1,231,4.9789,2.3987,4.1889,5.2789,4.5789,4.8889,5.6689,1.4889,0
1,232,5.0234,2.4876,4.2434,5.3634,4.6634,4.9434,5.7534,1.5234,0
1,233,4.9456,2.5234,4.1456,5.2345,4.5345,4.8456,5.6234,1.4756,0
1,234,5.0678,2.4456,4.2878,5.4078,4.7078,4.9878,5.8178,1.5578,0
1,235,4.9234,2.5678,4.1234,5.2123,4.5123,4.8234,5.6123,1.4734,0
1,236,5.0345,2.3765,4.2545,5.3745,4.6745,4.9545,5.7645,1.5345,0
1,237,4.9567,2.4987,4.1667,5.2567,4.5567,4.8667,5.6467,1.4867,0
1,238,5.0123,2.5345,4.2323,5.3523,4.6523,4.9323,5.7423,1.5223,0
1,239,4.9890,2.4234,4.1990,5.2890,4.5890,4.8990,5.6890,1.4990,0
1,240,5.0789,2.5567,4.2989,5.4189,4.7189,5.0089,5.8289,1.5689,0
1,241,4.9345,2.3876,4.1345,5.2234,4.5234,4.8345,5.6234,1.4745,0
1,242,5.0456,2.4765,4.2656,5.3856,4.6856,4.9656,5.7756,1.5456,0
1,243,4.9678,2.5432,4.1778,5.2678,4.5678,4.8778,5.6578,1.4878,0
1,244,5.0234,2.4123,4.2434,5.3634,4.6634,4.9434,5.7534,1.5234,0
1,245,4.9456,2.5678,4.1456,5.2345,4.5345,4.8456,5.6234,1.4756,0
1,246,5.0567,2.3987,4.2767,5.3967,4.6967,4.9767,5.7867,1.5467,0
1,247,4.9789,2.4876,4.1889,5.2789,4.5789,4.8889,5.6689,1.4889,0
1,248,5.0345,2.5234,4.2545,5.3745,4.6745,4.9545,5.7645,1.5345,0
1,249,4.9234,2.4456,4.1234,5.2123,4.5123,4.8234,5.6123,1.4734,0
1,250,5.0678,2.5678,4.2878,5.4078,4.7078,4.9878,5.8178,1.5578,0
1,251,4.9567,2.3765,4.1667,5.2567,4.5567,4.8667,5.6467,1.4867,0
1,252,5.0123,2.4987,4.2323,5.3523,4.6523,4.9323,5.7423,1.5223,0
1,253,4.9890,2.5345,4.1990,5.2890,4.5890,4.8990,5.6890,1.4990,0
1,254,5.0456,2.4234,4.2656,5.3856,4.6856,4.9656,5.7756,1.5456,0
1,255,4.9345,2.5567,4.1345,5.2234,4.5234,4.8345,5.6234,1.4745,0
1,256,5.0567,2.3876,4.2767,5.3967,4.6967,4.9767,5.7867,1.5467,0
1,257,4.9789,2.4765,4.1889,5.2789,4.5789,4.8889,5.6689,1.4889,0
1,258,5.0234,2.5432,4.2434,5.3634,4.6634,4.9434,5.7534,1.5234,0
1,259,4.9456,2.4123,4.1456,5.2345,4.5345,4.8456,5.6234,1.4756,0
1,260,5.0678,2.5678,4.2878,5.4078,4.7078,4.9878,5.8178,1.5578,0
1,261,4.9234,2.3987,4.1234,5.2123,4.5123,4.8234,5.6123,1.4734,0
1,262,5.0345,2.4876,4.2545,5.3745,4.6745,4.9545,5.7645,1.5345,0
1,263,4.9567,2.5234,4.1667,5.2567,4.5567,4.8667,5.6467,1.4867,0
1,264,5.0123,2.4456,4.2323,5.3523,4.6523,4.9323,5.7423,1.5223,0
1,265,4.9890,2.5678,4.1990,5.2890,4.5890,4.8990,5.6890,1.4990,0
1,266,5.0789,2.3765,4.2989,5.4189,4.7189,5.0089,5.8289,1.5689,0
1,267,4.9345,2.4987,4.1345,5.2234,4.5234,4.8345,5.6234,1.4745,0
1,268,5.0456,2.5345,4.2656,5.3856,4.6856,4.9656,5.7756,1.5456,0
1,269,4.9678,2.4234,4.1778,5.2678,4.5678,4.8778,5.6578,1.4878,0
1,270,5.0234,2.5567,4.2434,5.3634,4.6634,4.9434,5.7534,1.5234,0
1,271,4.9456,2.3876,4.1456,5.2345,4.5345,4.8456,5.6234,1.4756,0
1,272,5.0567,2.4765,4.2767,5.3967,4.6967,4.9767,5.7867,1.5467,0
1,273,4.9789,2.5432,4.1889,5.2789,4.5789,4.8889,5.6689,1.4889,0
1,274,5.0345,2.4123,4.2545,5.3745,4.6745,4.9545,5.7645,1.5345,0
1,275,4.9234,2.5678,4.1234,5.2123,4.5123,4.8234,5.6123,1.4734,0
1,276,5.0678,2.3987,4.2878,5.4078,4.7078,4.9878,5.8178,1.5578,0
1,277,4.9567,2.4876,4.1667,5.2567,4.5567,4.8667,5.6467,1.4867,0
1,278,5.0123,2.5234,4.2323,5.3523,4.6523,4.9323,5.7423,1.5223,0
1,279,4.9890,2.4456,4.1990,5.2890,4.5890,4.8990,5.6890,1.4990,0
1,280,5.0456,2.5678,4.2656,5.3856,4.6856,4.9656,5.7756,1.5456,0
1,281,4.9345,2.3765,4.1345,5.2234,4.5234,4.8345,5.6234,1.4745,0
1,282,5.0567,2.4987,4.2767,5.3967,4.6967,4.9767,5.7867,1.5467,0
1,283,4.9789,2.5345,4.1889,5.2789,4.5789,4.8889,5.6689,1.4889,0
1,284,5.0234,2.4234,4.2434,5.3634,4.6634,4.9434,5.7534,1.5234,0
1,285,4.9456,2.5567,4.1456,5.2345,4.5345,4.8456,5.6234,1.4756,0
1,286,5.0678,2.3876,4.2878,5.4078,4.7078,4.9878,5.8178,1.5578,0
1,287,4.9234,2.4765,4.1234,5.2123,4.5123,4.8234,5.6123,1.4734,0
1,288,5.0345,2.5432,4.2545,5.3745,4.6745,4.9545,5.7645,1.5345,0
1,289,4.9567,2.4123,4.1667,5.2567,4.5567,4.8667,5.6467,1.4867,0
1,290,5.0123,2.5678,4.2323,5.3523,4.6523,4.9323,5.7423,1.5223,0
1,291,4.9890,2.3987,4.1990,5.2890,4.5890,4.8990,5.6890,1.4990,0
1,292,5.0789,2.4876,4.2989,5.4189,4.7189,5.0089,5.8289,1.5689,0
1,293,4.9345,2.5234,4.1345,5.2234,4.5234,4.8345,5.6234,1.4745,0
1,294,5.0456,2.4456,4.2656,5.3856,4.6856,4.9656,5.7756,1.5456,0
1,295,4.9678,2.5678,4.1778,5.2678,4.5678,4.8778,5.6578,1.4878,0
1,296,5.0234,2.3765,4.2434,5.3634,4.6634,4.9434,5.7534,1.5234,0
1,297,4.9456,2.4987,4.1456,5.2345,4.5345,4.8456,5.6234,1.4756,0
1,298,5.0567,2.5345,4.2767,5.3967,4.6967,4.9767,5.7867,1.5467,0
1,299,4.9789,2.4234,4.1889,5.2789,4.5789,4.8889,5.6689,1.4889,0
1,300,5.0345,2.5567,4.2545,5.3745,4.6745,4.9545,5.7645,1.5345,0
1,301,4.9234,2.3876,4.1234,5.2123,4.5123,4.8234,5.6123,1.4734,0
1,302,5.0678,2.4765,4.2878,5.4078,4.7078,4.9878,5.8178,1.5578,0
