topic_name,partition,segment_id,size_mb,created_timestamp,age_days
analytics-raw,5,2010,2130,1732915200000,17
analytics-raw,6,2011,2010,1732483200000,22
clickstream-data,5,4010,1970,1732828800000,18
clickstream-data,6,4011,1810,1732396800000,23
application-logs,4,5009,1560,1732742400000,19
application-logs,5,5010,1530,1732310400000,24
session-tracking,4,8009,1100,1732656000000,20
session-tracking,5,8010,1060,1732224000000,25
api-requests,4,12009,1670,1732569600000,21
api-requests,5,12010,1640,1732137600000,26
system-diagnostics,4,13008,1030,1732483200000,22
system-diagnostics,5,13009,990,1732051200000,27
user-events,7,1011,1690,1731792000000,29
analytics-raw,7,2012,1980,1731705600000,30
clickstream-data,7,4012,1840,1731619200000,31
application-logs,6,5011,1510,1731532800000,32
archive-compliance-logs,4,7011,1360,1731446400000,33
archive-financial-records,4,10009,1520,1731360000000,34
user-events,8,1012,1640,1730937600000,37
analytics-raw,8,2013,1950,1730851200000,38
clickstream-data,8,4013,1770,1730764800000,39
application-logs,7,5012,1490,1730678400000,40
session-tracking,6,8011,1040,1730592000000,41
api-requests,6,12011,1620,1730505600000,42
user-events,9,1013,1610,1730073600000,47
analytics-raw,9,2014,1920,1729987200000,48
clickstream-data,9,4014,1730,1729900800000,49
application-logs,8,5013,1470,1729814400000,50
user-events,10,1014,1580,1729209600000,54
analytics-raw,10,2015,1890,1729123200000,55
clickstream-data,10,4015,1710,1729036800000,56
application-logs,9,5014,1450,1728950400000,57
session-tracking,7,8012,1020,1728864000000,58
api-requests,7,12012,1600,1728777600000,59
system-diagnostics,6,13010,980,1728691200000,60
