transaction_id,amount,merchant_category,time_of_day,day_of_week,distance_from_home,distance_from_last,ratio_to_median,is_fraud
TXN000133,67.89,3,16,0,3.5,2.0,0.79,0
TXN000134,2567.89,18,3,5,312.7,278.9,8.34,1
TXN000135,123.45,10,9,3,5.7,3.5,1.19,0
TXN000136,54.32,7,13,1,2.8,1.6,0.93,0
TXN000137,234.56,13,11,4,9.2,6.1,1.90,0
TXN000138,89.12,4,18,2,4.3,2.5,0.88,0
TXN000139,3012.34,19,1,6,367.8,334.5,9.01,1
TXN000140,145.23,2,15,0,6.5,4.2,1.28,0
TXN000141,76.54,11,10,5,3.7,2.1,0.84,0
TXN000142,198.76,8,14,3,8.8,5.8,1.68,0
TXN000143,56.78,5,12,1,2.9,1.7,0.90,0
TXN000144,2345.67,17,4,4,298.4,265.1,7.89,1
TXN000145,123.45,14,16,2,5.8,3.5,1.18,0
TXN000146,67.89,6,9,0,3.4,2.0,0.81,0
TXN000147,234.12,12,13,5,9.3,6.2,1.91,0
TXN000148,98.76,9,11,3,4.5,2.7,0.96,0
TXN000149,1789.23,20,2,6,245.6,212.3,7.45,1
TXN000150,45.32,15,17,1,2.7,1.5,0.95,0
TXN000151,156.78,3,15,4,6.7,4.3,1.31,0
TXN000152,87.65,10,10,2,4.2,2.5,0.86,0
TXN000153,76.54,7,14,0,3.6,2.0,0.83,0
TXN000154,2678.90,16,3,5,323.5,289.8,8.45,1
TXN000155,123.45,13,12,3,5.9,3.6,1.17,0
TXN000156,54.21,4,16,1,2.8,1.6,0.92,0
TXN000157,234.56,2,9,4,9.2,6.1,1.90,0
TXN000158,89.12,11,13,2,4.3,2.5,0.89,0
TXN000159,3234.56,18,1,6,389.6,356.3,9.23,1
TXN000160,145.23,8,11,0,6.4,4.1,1.27,0
TXN000161,67.89,5,18,5,3.5,2.0,0.80,0
TXN000162,198.76,14,15,3,8.7,5.8,1.69,0
TXN000163,56.78,6,10,1,2.9,1.7,0.91,0
TXN000164,2123.45,19,4,4,278.7,245.4,7.78,1
TXN000165,123.45,12,14,2,5.8,3.5,1.19,0
TXN000166,98.76,9,12,0,4.5,2.7,0.97,0
TXN000167,234.12,15,16,5,9.4,6.2,1.92,0
TXN000168,87.65,3,9,3,4.4,2.6,0.87,0
TXN000169,1956.78,17,2,6,267.9,234.6,7.67,1
TXN000170,45.67,10,13,1,2.7,1.5,0.94,0
TXN000171,156.78,7,11,4,6.6,4.3,1.33,0
TXN000172,76.54,13,17,2,3.7,2.1,0.82,0
TXN000173,123.45,4,15,0,5.9,3.6,1.18,0
TXN000174,2456.78,20,3,5,301.3,267.9,8.23,1
TXN000175,67.89,2,10,3,3.5,2.0,0.79,0
TXN000176,234.56,11,14,1,9.3,6.1,1.91,0
TXN000177,54.32,8,12,4,2.8,1.6,0.93,0
TXN000178,89.12,5,16,2,4.3,2.5,0.88,0
TXN000179,3123.45,16,1,6,378.3,345.0,9.12,1
TXN000180,145.23,14,9,0,6.5,4.2,1.28,0
TXN000181,98.76,6,13,5,4.5,2.7,0.96,0
TXN000182,56.78,12,11,3,2.9,1.7,0.90,0
TXN000183,234.12,9,18,1,9.2,6.0,1.89,0
TXN000184,2234.56,18,4,4,289.4,256.1,7.89,1
TXN000185,123.45,15,15,2,5.8,3.5,1.17,0
TXN000186,76.54,3,10,0,3.6,2.0,0.84,0
TXN000187,198.76,10,14,5,8.8,5.8,1.68,0
TXN000188,87.65,7,12,3,4.2,2.5,0.86,0
TXN000189,1834.23,19,2,6,256.8,223.5,7.56,1
TXN000190,45.32,13,16,1,2.7,1.5,0.95,0
TXN000191,156.78,4,9,4,6.7,4.3,1.31,0
TXN000192,67.89,2,13,2,3.5,2.0,0.81,0
TXN000193,234.56,11,11,0,9.3,6.2,1.90,0
TXN000194,2567.89,17,3,5,312.6,278.8,8.34,1
TXN000195,123.45,8,17,3,5.7,3.5,1.19,0
TXN000196,54.21,5,15,1,2.8,1.6,0.92,0
TXN000197,89.12,14,10,4,4.3,2.5,0.89,0
TXN000198,98.76,6,14,2,4.4,2.6,0.97,0
TXN000199,3012.34,20,1,6,367.7,334.4,9.01,1
TXN000200,145.23,12,12,0,6.4,4.1,1.27,0
TXN000201,76.54,9,16,5,3.7,2.1,0.83,0
TXN000202,234.12,15,9,3,9.1,6.0,1.91,0
TXN000203,56.78,3,13,1,2.9,1.7,0.89,0
TXN000204,2345.67,16,4,4,298.5,265.2,7.89,1
TXN000205,123.45,10,11,2,5.8,3.5,1.18,0
TXN000206,67.89,7,18,0,3.4,2.0,0.80,0
TXN000207,198.76,13,15,5,8.7,5.8,1.69,0
TXN000208,87.65,4,10,3,4.2,2.5,0.87,0
TXN000209,1789.23,18,2,6,245.5,212.2,7.45,1
TXN000210,45.67,2,14,1,2.7,1.5,0.94,0
TXN000211,156.78,11,12,4,6.6,4.3,1.32,0
TXN000212,98.76,8,16,2,4.5,2.7,0.96,0
TXN000213,76.54,5,9,0,3.6,2.0,0.82,0
TXN000214,2678.90,19,3,5,323.4,289.7,8.45,1
TXN000215,123.45,14,13,3,5.9,3.6,1.17,0
TXN000216,54.32,6,11,1,2.8,1.6,0.93,0
TXN000217,234.56,12,17,4,9.2,6.1,1.90,0
TXN000218,89.12,9,15,2,4.3,2.5,0.88,0
TXN000219,3234.56,17,1,6,389.5,356.2,9.23,1
TXN000220,145.23,15,10,0,6.5,4.2,1.28,0
TXN000221,67.89,3,14,5,3.5,2.0,0.79,0
TXN000222,198.76,10,12,3,8.8,5.8,1.68,0
TXN000223,56.78,7,16,1,2.9,1.7,0.91,0
TXN000224,2123.45,20,4,4,278.6,245.3,7.78,1
TXN000225,123.45,13,9,2,5.8,3.5,1.19,0
TXN000226,98.76,4,13,0,4.5,2.7,0.97,0
TXN000227,234.12,2,11,5,9.4,6.2,1.92,0
TXN000228,87.65,11,18,3,4.4,2.6,0.86,0
TXN000229,1956.78,16,2,6,267.8,234.5,7.67,1
TXN000230,45.32,8,15,1,2.7,1.5,0.95,0
TXN000231,156.78,5,10,4,6.7,4.3,1.31,0
TXN000232,76.54,14,14,2,3.7,2.1,0.84,0
TXN000233,123.45,6,12,0,5.9,3.6,1.18,0
TXN000234,2456.78,18,3,5,301.2,267.8,8.23,1
TXN000235,67.89,12,16,3,3.5,2.0,0.81,0
TXN000236,234.56,9,9,1,9.3,6.1,1.91,0
TXN000237,54.21,15,13,4,2.8,1.6,0.92,0
TXN000238,89.12,3,11,2,4.3,2.5,0.89,0
TXN000239,3123.45,19,1,6,378.2,344.9,9.12,1
TXN000240,145.23,10,17,0,6.4,4.1,1.27,0
TXN000241,98.76,7,15,5,4.5,2.7,0.96,0
TXN000242,56.78,13,10,3,2.9,1.7,0.90,0
TXN000243,234.12,4,14,1,9.1,6.0,1.89,0
TXN000244,2234.56,17,4,4,289.3,256.0,7.89,1
TXN000245,123.45,2,12,2,5.8,3.5,1.17,0
TXN000246,76.54,11,16,0,3.6,2.0,0.83,0
TXN000247,198.76,8,9,5,8.7,5.8,1.68,0
TXN000248,87.65,5,13,3,4.2,2.5,0.87,0
TXN000249,1834.23,20,2,6,256.7,223.4,7.56,1
TXN000250,45.67,14,11,1,2.7,1.5,0.94,0
TXN000251,67.34,5,14,2,2.4,1.3,0.97,0
TXN000252,123.89,12,18,4,5.7,3.5,1.13,0
TXN000253,78.45,3,10,1,1.3,0.9,0.86,0
TXN000254,245.67,8,20,5,15.4,12.2,2.35,0
TXN000255,92.34,15,12,3,3.5,2.2,0.77,0
TXN000256,54.78,7,16,0,4.6,2.4,1.04,0
TXN000257,101.23,11,9,2,2.2,1.6,0.93,0
TXN000258,156.89,4,13,4,6.8,4.3,1.24,0
TXN000259,82.12,6,19,1,9.0,5.7,0.82,0
TXN000260,38.56,2,11,3,1.9,1.0,0.68,0
TXN000261,167.34,9,15,5,7.3,4.9,1.35,0
TXN000262,91.23,13,8,2,3.6,2.1,0.89,0
TXN000263,245.89,10,17,4,12.4,8.8,1.99,0
TXN000264,58.90,5,14,1,3.0,1.7,0.95,0
TXN000265,2678.34,17,1,6,412.4,379.0,9.13,1
TXN000266,102.45,8,12,3,4.7,2.9,1.02,0
TXN000267,134.56,14,10,0,5.9,3.6,1.16,0
TXN000268,71.23,3,16,2,2.8,1.5,0.84,0
TXN000269,49.67,7,13,4,3.2,1.9,0.90,0
TXN000270,198.45,11,9,1,6.5,4.2,1.46,0
TXN000271,81.90,4,18,3,4.3,2.6,0.80,0
TXN000272,245.12,12,11,2,9.9,6.4,1.88,0
TXN000273,58.78,6,15,0,2.5,1.4,0.97,0
TXN000274,91.23,9,14,5,4.9,3.0,0.88,0
TXN000275,156.78,15,10,3,7.2,4.7,1.29,0
TXN000276,103.45,2,17,1,4.0,2.3,0.94,0
TXN000277,61.89,13,12,4,2.7,1.6,0.88,0
TXN000278,2145.67,18,3,2,356.9,312.6,8.68,1
TXN000279,134.56,8,16,0,5.5,3.4,1.19,0
TXN000280,72.34,10,9,5,3.3,2.0,0.83,0
TXN000281,245.89,5,13,3,8.8,5.9,1.93,0
TXN000282,94.67,14,11,1,4.4,2.7,0.92,0
TXN000283,52.12,7,15,4,2.9,1.7,0.89,0
TXN000284,167.23,11,10,2,6.6,4.3,1.37,0
TXN000285,82.45,3,18,0,3.8,2.2,0.84,0
TXN000286,208.90,12,14,5,9.3,6.2,1.68,0
TXN000287,58.34,6,12,3,2.6,1.5,0.95,0
TXN000288,2312.45,19,4,1,323.6,289.4,8.13,1
TXN000289,91.78,9,16,4,5.0,3.1,0.88,0
TXN000290,134.56,15,9,2,6.0,3.8,1.22,0
TXN000291,103.89,4,13,0,4.2,2.5,0.97,0
TXN000292,72.12,8,11,5,3.4,2.0,0.80,0
TXN000293,245.67,13,17,3,10.5,7.3,1.90,0
TXN000294,1889.23,20,2,6,268.0,234.6,7.79,1
TXN000295,49.89,2,15,1,3.0,1.8,0.93,0
TXN000296,167.34,10,10,4,6.9,4.5,1.33,0
TXN000297,94.56,7,14,2,4.3,2.6,0.87,0
TXN000298,81.78,5,12,0,3.7,2.1,0.85,0
TXN000299,61.23,11,16,3,5.8,3.6,1.20,0
TXN000300,72.45,14,9,1,3.5,2.1,0.82,0
TXN000301,245.89,6,13,4,9.2,6.1,1.95,0
TXN000302,58.90,9,11,2,2.8,1.6,0.94,0
TXN000303,3189.45,16,3,5,334.7,298.8,8.57,1
TXN000304,134.56,12,16,3,5.8,3.6,1.18,0
TXN000305,71.23,3,9,1,3.5,2.1,0.80,0
TXN000306,245.67,8,13,4,9.2,6.1,1.94,0
TXN000307,58.34,15,11,2,2.8,1.6,0.93,0
TXN000308,3401.23,18,1,6,401.3,367.9,9.24,1
TXN000309,103.45,12,15,0,4.9,3.0,0.99,0
TXN000310,156.78,3,10,5,6.4,4.1,1.30,0
TXN000311,91.89,8,18,3,4.6,2.8,0.89,0
TXN000312,61.34,15,14,1,2.9,1.7,0.90,0
TXN000313,2189.45,19,4,4,289.4,256.2,7.93,1
TXN000314,134.56,4,12,2,5.7,3.5,1.17,0
TXN000315,82.12,10,16,0,3.9,2.3,0.83,0
TXN000316,245.89,7,9,5,9.0,6.0,1.89,0
TXN000317,94.67,13,13,3,4.5,2.7,0.92,0
TXN000318,1978.90,17,2,6,278.5,245.7,7.68,1
TXN000319,49.23,2,11,1,2.7,1.6,0.96,0
TXN000320,167.34,11,15,4,6.8,4.4,1.35,0
TXN000321,103.56,5,10,2,4.4,2.6,0.98,0
TXN000322,72.45,14,18,0,3.6,2.1,0.81,0
TXN000323,2623.45,20,3,5,312.9,279.0,8.35,1
TXN000324,134.56,8,14,3,5.9,3.7,1.19,0
TXN000325,58.78,6,12,1,3.0,1.8,0.93,0
TXN000326,245.89,12,16,4,9.6,6.4,1.94,0
TXN000327,91.23,9,9,2,4.7,2.9,0.88,0
TXN000328,3067.89,16,1,6,378.6,345.3,9.02,1
TXN000329,156.78,15,13,0,6.5,4.2,1.28,0
TXN000330,82.45,3,11,5,3.8,2.2,0.84,0
TXN000331,208.90,10,17,3,8.9,5.9,1.70,0
TXN000332,61.34,7,15,1,2.9,1.7,0.91,0
TXN000333,2401.23,18,4,4,298.7,265.4,7.90,1
TXN000334,94.67,4,10,2,4.3,2.6,0.89,0
TXN000335,134.56,13,14,0,5.8,3.6,1.21,0
TXN000336,72.12,2,12,5,3.5,2.1,0.80,0
TXN000337,245.89,11,16,3,9.4,6.3,1.92,0
TXN000338,1845.67,19,2,6,256.8,223.5,7.57,1
TXN000339,49.56,8,9,1,2.8,1.6,0.95,0
TXN000340,167.34,5,13,4,6.7,4.4,1.32,0
TXN000341,103.45,14,11,2,4.5,2.7,0.97,0
TXN000342,91.89,6,18,0,4.2,2.5,0.87,0
TXN000343,2734.56,17,3,5,323.5,289.8,8.46,1
TXN000344,134.56,12,15,3,6.0,3.7,1.18,0
TXN000345,58.90,9,10,1,2.9,1.7,0.94,0
TXN000346,245.89,15,14,4,9.3,6.2,1.91,0
TXN000347,82.45,3,12,2,3.7,2.1,0.85,0
TXN000348,3290.12,20,1,6,389.8,356.5,9.35,1
TXN000349,156.78,10,16,0,6.6,4.3,1.29,0
TXN000350,72.34,7,9,5,3.6,2.1,0.82,0
TXN000351,208.90,13,13,3,8.8,5.9,1.69,0
TXN000352,94.67,4,11,1,4.4,2.6,0.90,0
TXN000353,2178.90,16,4,4,279.0,245.7,7.79,1
TXN000354,61.23,2,17,2,3.0,1.8,0.92,0
TXN000355,134.56,11,15,0,5.9,3.6,1.20,0
TXN000356,103.45,8,10,5,4.6,2.8,0.98,0
TXN000357,245.89,5,14,3,9.5,6.3,1.93,0
TXN000358,2012.34,18,2,6,268.0,234.7,7.68,1
TXN000359,49.78,14,12,1,2.8,1.6,0.96,0
TXN000360,167.34,6,16,4,6.8,4.4,1.34,0
TXN000361,91.89,12,9,2,4.5,2.7,0.89,0
TXN000362,82.45,9,13,0,3.8,2.2,0.83,0
TXN000363,2512.67,19,3,5,301.3,268.0,8.24,1
TXN000364,134.56,15,11,3,6.0,3.7,1.19,0
TXN000365,72.34,3,18,1,3.6,2.1,0.81,0
TXN000366,245.89,10,15,4,9.4,6.2,1.92,0
TXN000367,58.90,7,10,2,2.9,1.7,0.93,0
TXN000368,3178.90,17,1,6,378.5,345.2,9.13,1
TXN000369,94.67,13,14,0,4.4,2.6,0.91,0
TXN000370,156.78,4,12,5,6.5,4.2,1.28,0
TXN000371,103.45,2,16,3,4.6,2.8,0.97,0
TXN000372,61.34,11,9,1,3.0,1.8,0.90,0
TXN000373,2289.45,20,4,4,289.6,256.3,7.90,1
TXN000374,134.56,8,13,2,5.9,3.6,1.18,0
TXN000375,82.45,5,11,0,3.7,2.1,0.84,0
TXN000376,245.89,14,17,5,9.2,6.1,1.90,0
TXN000377,91.23,6,15,3,4.3,2.6,0.88,0
TXN000378,1890.12,16,2,6,257.0,223.7,7.57,1
TXN000379,49.56,12,10,1,2.8,1.6,0.95,0
TXN000380,167.34,9,14,4,6.7,4.4,1.33,0
TXN000381,103.45,15,12,2,4.5,2.7,0.98,0
TXN000382,72.34,3,16,0,3.6,2.1,0.80,0
TXN000383,2623.45,18,3,5,312.8,279.0,8.35,1
TXN000384,134.56,10,9,3,5.8,3.6,1.19,0
TXN000385,58.90,7,13,1,2.9,1.7,0.94,0
TXN000386,245.89,13,11,4,9.3,6.2,1.91,0
TXN000387,94.67,4,18,2,4.4,2.6,0.89,0
TXN000388,3067.89,19,1,6,367.9,334.6,9.02,1
TXN000389,156.78,2,15,0,6.6,4.3,1.29,0
TXN000390,82.45,11,10,5,3.8,2.2,0.85,0
TXN000391,208.90,8,14,3,8.9,5.9,1.70,0
TXN000392,61.34,5,12,1,3.0,1.8,0.92,0
TXN000393,2401.23,17,4,4,298.8,265.5,7.91,1
TXN000394,134.56,14,16,2,5.9,3.6,1.20,0
TXN000395,72.34,6,9,0,3.5,2.1,0.82,0
TXN000396,245.89,12,13,5,9.4,6.3,1.92,0
TXN000397,103.45,9,11,3,4.6,2.8,0.97,0
TXN000398,1845.67,20,2,6,245.7,212.4,7.46,1
TXN000399,49.78,15,17,1,2.8,1.6,0.96,0
TXN000400,167.34,3,15,4,6.8,4.4,1.32,0
TXN000401,91.89,10,10,2,4.3,2.6,0.87,0
TXN000402,82.45,7,14,0,3.7,2.1,0.84,0
TXN000403,2734.56,16,3,5,323.6,289.9,8.46,1
TXN000404,134.56,13,12,3,6.0,3.7,1.18,0
TXN000405,58.90,4,16,1,2.9,1.7,0.93,0
TXN000406,245.89,2,9,4,9.3,6.2,1.91,0
TXN000407,94.67,11,13,2,4.4,2.6,0.90,0
TXN000408,3290.12,18,1,6,389.7,356.4,9.24,1
TXN000409,156.78,8,11,0,6.5,4.2,1.27,0
TXN000410,72.34,5,18,5,3.6,2.1,0.81,0
TXN000411,208.90,14,15,3,8.8,5.9,1.69,0
TXN000412,61.34,6,10,1,3.0,1.8,0.91,0
TXN000413,2178.90,19,4,4,278.9,245.6,7.79,1
TXN000414,134.56,12,14,2,5.9,3.6,1.19,0
TXN000415,103.45,9,12,0,4.6,2.8,0.98,0
TXN000416,245.89,15,16,5,9.5,6.3,1.93,0
TXN000417,82.45,3,9,3,3.8,2.2,0.86,0
TXN000418,2012.34,17,2,6,267.9,234.6,7.68,1
TXN000419,49.56,10,13,1,2.8,1.6,0.95,0
TXN000420,167.34,7,11,4,6.7,4.4,1.34,0
TXN000421,91.89,13,17,2,4.5,2.7,0.88,0
TXN000422,134.56,4,15,0,6.0,3.7,1.20,0
TXN000423,2512.67,20,3,5,301.4,268.1,8.24,1
TXN000424,72.34,2,10,3,3.6,2.1,0.80,0
TXN000425,245.89,11,14,1,9.4,6.2,1.92,0
TXN000426,58.90,8,12,4,2.9,1.7,0.94,0
TXN000427,94.67,5,16,2,4.4,2.6,0.89,0
TXN000428,3178.90,16,1,6,378.4,345.1,9.13,1
TXN000429,156.78,14,9,0,6.6,4.3,1.29,0
TXN000430,103.45,6,13,5,4.6,2.8,0.97,0
TXN000431,61.34,12,11,3,3.0,1.8,0.90,0
TXN000432,245.89,9,18,1,9.3,6.1,1.90,0
TXN000433,2289.45,18,4,4,289.5,256.2,7.90,1
TXN000434,134.56,15,15,2,5.9,3.6,1.18,0
TXN000435,82.45,3,10,0,3.7,2.1,0.85,0
TXN000436,208.90,10,14,5,8.9,5.9,1.70,0
TXN000437,91.23,7,12,3,4.3,2.6,0.88,0
TXN000438,1890.12,19,2,6,256.9,223.6,7.57,1
TXN000439,49.78,13,16,1,2.8,1.6,0.96,0
TXN000440,167.34,4,9,4,6.8,4.4,1.33,0
TXN000441,72.34,2,13,2,3.6,2.1,0.81,0
TXN000442,245.89,11,11,0,9.4,6.3,1.92,0
TXN000443,2623.45,17,3,5,312.7,278.9,8.35,1
TXN000444,134.56,8,17,3,5.8,3.6,1.19,0
TXN000445,58.90,5,15,1,2.9,1.7,0.93,0
TXN000446,94.67,14,10,4,4.4,2.6,0.90,0
TXN000447,103.45,6,14,2,4.5,2.7,0.98,0
TXN000448,3067.89,20,1,6,367.8,334.5,9.02,1
TXN000449,156.78,12,12,0,6.5,4.2,1.28,0
TXN000450,82.45,9,16,5,3.8,2.2,0.84,0
TXN000451,245.89,15,9,3,9.2,6.1,1.91,0
TXN000452,61.34,3,13,1,3.0,1.8,0.92,0
TXN000453,2401.23,16,4,4,298.6,265.3,7.91,1
TXN000454,134.56,10,11,2,5.9,3.6,1.20,0
TXN000455,72.34,7,18,0,3.5,2.1,0.82,0
TXN000456,208.90,13,15,5,8.8,5.9,1.69,0
TXN000457,94.67,4,10,3,4.4,2.6,0.87,0
TXN000458,1845.67,18,2,6,245.6,212.3,7.46,1
TXN000459,49.56,2,14,1,2.8,1.6,0.95,0
TXN000460,167.34,11,12,4,6.7,4.4,1.32,0
