white_pawns,white_knights,white_bishops,white_rooks,white_queens,black_pawns,black_knights,black_bishops,black_rooks,black_queens,true_score
3,2,2,2,1,8,2,2,2,1,-480
8,2,2,2,1,3,2,2,2,1,525
4,2,2,2,1,6,2,2,2,1,-190
6,2,2,2,1,4,2,2,2,1,215
8,2,2,2,1,8,2,2,2,1,25
7,2,2,2,1,7,2,2,2,1,-20
6,2,2,2,1,6,2,2,2,1,10
5,2,2,2,1,5,2,2,2,1,15
4,2,2,2,1,4,2,2,2,1,-10
8,1,1,2,1,8,2,2,2,1,-625
8,2,2,2,1,8,1,1,2,1,665
8,0,0,2,1,8,1,1,2,1,-5
8,1,1,1,1,8,2,2,2,1,-1115
8,2,2,2,1,8,1,1,1,1,1155
7,0,2,2,1,8,2,2,2,1,-405
7,2,0,2,1,8,2,2,2,1,-415
7,2,2,0,1,8,2,2,2,1,-580
8,0,2,2,1,7,2,2,2,1,-200
8,2,0,2,1,7,2,2,2,1,-210
8,2,2,0,1,7,2,2,2,1,-370
8,2,2,2,1,7,0,2,2,1,440
8,2,2,2,1,7,2,0,2,1,450
8,2,2,2,1,7,2,2,0,1,620
6,1,1,2,1,8,2,2,2,1,-825
6,2,2,1,0,8,2,2,2,1,-1155
8,1,1,2,0,6,2,2,2,1,-825
8,2,2,1,1,6,1,1,2,1,175
6,1,1,2,1,8,1,1,2,1,-160
8,2,2,1,1,8,1,1,1,1,505
8,1,1,1,1,8,2,2,2,1,-1130
7,2,2,2,1,8,0,0,2,1,770
8,0,0,2,1,7,2,2,2,1,-525
5,2,2,2,1,8,0,0,2,1,470
8,0,0,2,1,5,2,2,2,1,-330
8,2,2,2,1,8,2,2,2,1,-15
7,2,2,2,1,7,2,2,2,1,20
8,1,2,2,1,8,2,1,2,1,25
8,2,1,2,1,8,1,2,2,1,-30
6,2,2,2,1,7,2,2,2,1,115
7,2,2,2,1,6,2,2,2,1,210
5,2,2,2,1,7,2,2,2,1,-80
7,2,2,2,1,5,2,2,2,1,310
8,2,2,2,1,8,2,1,1,1,350
8,2,1,1,1,8,2,2,2,1,-340
8,1,1,2,1,8,2,2,1,1,-125
8,2,2,1,1,8,1,1,2,1,165
7,1,1,2,1,7,2,2,2,1,-530
7,2,2,2,1,7,1,1,2,1,540
6,1,2,1,1,6,2,1,2,1,-20
6,2,1,2,1,6,1,2,1,1,30
8,0,2,2,0,8,2,0,2,1,-1215
8,2,0,2,1,8,0,2,2,0,1235
7,1,2,1,1,8,2,1,2,1,-610
8,2,1,2,1,7,1,2,1,1,140
5,2,2,1,1,7,2,2,2,1,-520
7,2,2,2,1,5,2,2,1,1,130
4,1,2,2,1,6,2,1,2,1,-395
6,2,1,2,1,4,1,2,2,1,390
8,1,0,2,1,8,2,2,2,1,-605
8,2,2,2,1,8,0,1,2,1,660
7,2,2,1,0,8,2,2,2,1,-1055
8,2,2,2,1,7,2,2,0,0,1240
6,0,2,2,1,7,2,2,2,1,-415
7,2,0,2,1,6,2,2,2,1,-95
8,2,2,0,1,6,2,2,2,1,35
6,2,2,2,1,8,2,2,0,1,235
7,2,2,2,1,8,2,0,2,1,235
8,2,2,2,1,7,0,2,2,1,435
8,0,1,2,1,8,2,2,2,1,-290
8,1,0,2,1,8,2,2,2,1,-300
8,2,2,2,1,8,1,0,2,1,345
8,2,2,2,1,8,0,1,2,1,335
5,1,1,2,1,7,2,2,2,1,-835
7,2,2,2,1,5,1,1,2,1,860
4,2,2,1,1,6,2,2,2,1,-530
6,2,2,2,1,4,2,2,1,1,530
8,1,2,1,0,8,2,1,2,1,-1205
8,2,1,2,1,8,1,2,1,0,1225
7,0,0,2,1,7,2,2,2,1,-645
7,2,2,2,1,7,0,0,2,1,655
6,1,2,2,0,8,2,2,2,1,-1105
8,2,2,2,1,6,1,2,2,0,1125
5,2,1,1,1,7,2,2,2,1,-835
7,2,2,2,1,5,2,1,1,1,865
4,0,2,2,1,6,2,0,2,1,-195
6,2,0,2,1,4,0,2,2,1,205
8,2,2,2,1,8,1,2,1,1,195
8,1,2,1,1,8,2,2,2,1,-195
7,2,1,2,1,7,1,2,2,1,185
7,1,2,2,1,7,2,1,2,1,-175
6,2,2,1,1,6,2,2,1,1,-25
6,2,2,1,1,6,1,2,2,1,160
6,1,2,2,1,6,2,2,1,1,-165
5,2,2,2,0,7,2,2,2,1,-955
7,2,2,2,1,5,2,2,2,0,1145
4,2,2,2,1,6,2,2,2,0,635
6,2,2,2,0,4,2,2,2,1,-625
8,0,0,1,1,8,2,2,2,1,-1120
8,2,2,2,1,8,0,0,1,1,1140
7,1,1,1,1,7,2,2,2,1,-1020
7,2,2,2,1,7,1,1,1,1,1030
6,0,1,2,1,6,2,0,2,1,5
6,1,0,2,1,6,0,2,2,1,-10
