tenure,monthly_charges,total_charges,contract_length,number_of_services,customer_service_calls,age,account_balance,data_usage_gb,gender,internet_service,contract_type,payment_method,tech_support,online_security,streaming_service,churn
9,87.3,785.7,1,6,4,36,85.0,69.7,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
40,57.2,2288.0,24,4,1,56,480.0,36.8,Female,DSL,Two year,Credit card,Yes,Yes,Yes,0
16,75.9,1214.4,12,5,2,42,210.0,51.2,Male,DSL,One year,Credit card,No,Yes,No,0
6,100.8,604.8,1,8,6,30,55.0,85.4,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
60,43.8,2628.0,24,3,0,70,1100.0,16.9,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
11,85.4,939.4,1,6,4,38,100.0,73.6,Male,Fiber,Month-to-month,Mailed check,No,No,Yes,1
34,61.5,2091.0,12,5,2,51,380.0,39.7,Female,DSL,One year,Credit card,Yes,Yes,Yes,0
2,103.2,206.4,1,9,7,27,20.0,91.8,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
58,44.6,2586.8,24,3,0,68,980.0,19.3,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
20,70.3,1406.0,12,4,2,45,260.0,46.7,Male,DSL,One year,Credit card,Yes,Yes,No,0
8,92.6,740.8,1,7,5,33,90.0,76.9,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
48,56.1,2692.8,24,4,1,62,720.0,33.5,Female,DSL,Two year,Credit card,Yes,Yes,No,0
13,79.8,1037.4,1,5,3,39,115.0,58.4,Male,Fiber,Month-to-month,Electronic check,No,Yes,Yes,1
52,50.9,2646.8,24,4,0,65,820.0,27.6,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
5,97.5,487.5,1,8,6,32,65.0,84.2,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
44,60.4,2657.6,24,5,1,57,540.0,37.9,Female,DSL,Two year,Credit card,Yes,Yes,Yes,0
24,66.9,1605.6,12,4,2,48,300.0,42.8,Male,DSL,One year,Credit card,Yes,Yes,Yes,0
3,101.5,304.5,1,9,7,26,30.0,93.4,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
56,47.8,2676.8,24,3,0,71,1020.0,21.2,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
17,74.6,1268.2,12,5,2,43,220.0,49.5,Male,DSL,One year,Credit card,No,Yes,No,0
7,95.7,669.9,1,7,5,35,75.0,79.8,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
46,53.7,2470.2,24,4,1,59,590.0,32.7,Female,DSL,Two year,Credit card,Yes,Yes,No,0
12,83.9,1006.8,1,6,4,38,105.0,65.3,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
50,51.3,2565.0,24,4,0,63,780.0,28.9,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
28,64.2,1797.6,12,5,2,50,340.0,40.6,Female,DSL,One year,Credit card,Yes,Yes,Yes,0
4,98.1,392.4,1,8,7,28,45.0,88.5,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
54,48.9,2640.6,24,3,1,66,920.0,25.4,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
19,71.8,1364.2,12,4,2,46,250.0,47.9,Male,DSL,One year,Credit card,Yes,Yes,No,0
6,99.7,598.2,1,8,6,31,58.0,86.7,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
58,45.5,2639.0,24,3,0,69,1070.0,17.8,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
10,90.2,902.0,1,7,4,36,92.0,72.4,Male,Fiber,Month-to-month,Mailed check,No,No,Yes,1
42,58.3,2448.6,24,4,1,58,560.0,35.2,Female,DSL,Two year,Credit card,Yes,Yes,Yes,0
15,77.4,1161.0,1,5,3,41,125.0,59.6,Male,Fiber,Month-to-month,Electronic check,No,Yes,No,0
52,49.2,2558.4,24,3,0,64,860.0,23.7,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
1,107.3,107.3,1,9,8,24,15.0,97.2,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
62,42.1,2610.2,24,2,0,73,1180.0,14.3,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
21,69.5,1459.5,12,4,2,47,270.0,45.8,Male,DSL,One year,Credit card,Yes,Yes,Yes,0
8,93.8,750.4,1,7,5,34,88.0,77.6,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
48,55.6,2668.8,24,4,1,61,680.0,34.1,Female,DSL,Two year,Credit card,Yes,Yes,No,0
14,80.7,1129.8,1,5,3,40,118.0,61.2,Male,Fiber,Month-to-month,Electronic check,No,Yes,Yes,1
50,50.4,2520.0,24,4,0,65,840.0,26.5,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
26,65.8,1710.8,12,5,2,49,320.0,43.2,Female,DSL,One year,Credit card,Yes,Yes,Yes,0
3,102.9,308.7,1,9,7,27,28.0,94.1,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
56,46.2,2587.2,24,3,0,70,990.0,20.1,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
18,73.2,1317.6,12,5,2,44,240.0,50.3,Male,DSL,One year,Credit card,No,Yes,Yes,0
5,96.9,484.5,1,8,6,30,62.0,83.9,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
54,51.8,2797.2,24,4,1,67,910.0,29.8,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
11,86.2,948.2,1,6,4,37,98.0,70.5,Male,Fiber,Month-to-month,Mailed check,No,No,Yes,1
40,57.9,2316.0,24,4,1,55,490.0,38.2,Female,DSL,Two year,Credit card,Yes,Yes,Yes,0
22,68.1,1498.2,12,4,2,46,285.0,44.1,Male,DSL,One year,Credit card,Yes,Yes,No,0
7,94.8,663.6,1,7,5,33,72.0,78.4,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
46,54.9,2525.4,24,4,1,59,620.0,32.9,Female,DSL,Two year,Credit card,Yes,Yes,No,0
16,76.5,1224.0,12,5,2,42,215.0,52.6,Male,DSL,One year,Credit card,No,Yes,No,0
60,44.2,2652.0,24,3,0,71,1090.0,18.5,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
9,88.5,796.5,1,6,4,35,87.0,71.8,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
38,59.1,2245.8,12,5,2,52,400.0,40.3,Female,DSL,One year,Credit card,Yes,Yes,No,0
2,104.6,209.2,1,9,8,26,22.0,92.7,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
58,43.4,2517.2,24,3,0,68,1010.0,15.6,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
13,82.3,1069.9,1,6,3,39,112.0,63.5,Male,Fiber,Month-to-month,Electronic check,No,Yes,Yes,1
52,48.1,2501.2,24,3,0,63,800.0,24.8,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
25,67.4,1685.0,12,4,2,48,310.0,43.9,Male,DSL,One year,Credit card,Yes,Yes,Yes,0
4,100.3,401.2,1,8,7,29,42.0,89.3,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
56,47.1,2637.6,24,3,0,72,960.0,19.7,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
20,72.1,1442.0,12,4,2,45,265.0,48.1,Male,DSL,One year,Credit card,Yes,Yes,No,0
6,97.8,586.8,1,8,6,32,57.0,85.6,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
48,56.7,2721.6,24,4,1,60,700.0,34.7,Female,DSL,Two year,Credit card,Yes,Yes,No,0
10,91.4,914.0,1,7,4,36,94.0,74.2,Male,Fiber,Month-to-month,Mailed check,No,No,Yes,1
44,60.8,2675.2,24,5,1,56,550.0,38.6,Female,DSL,Two year,Credit card,Yes,Yes,Yes,0
17,75.2,1278.4,12,5,2,43,225.0,50.7,Male,DSL,One year,Credit card,No,Yes,No,0
50,52.1,2605.0,24,4,0,64,830.0,27.3,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
3,103.7,311.1,1,9,7,28,32.0,94.8,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
58,45.9,2662.2,24,3,0,70,1040.0,18.2,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
12,84.6,1015.2,1,6,4,38,108.0,66.9,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
42,58.7,2465.4,24,4,1,57,580.0,36.4,Female,DSL,Two year,Credit card,Yes,Yes,Yes,0
23,69.8,1605.4,12,4,2,47,295.0,45.3,Male,DSL,One year,Credit card,Yes,Yes,Yes,0
5,98.9,494.5,1,8,6,31,64.0,87.1,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
54,50.6,2732.4,24,4,1,66,900.0,28.4,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
15,78.9,1183.5,1,5,3,40,122.0,60.8,Male,Fiber,Month-to-month,Electronic check,No,Yes,Yes,1
52,49.8,2589.6,24,3,0,65,870.0,25.9,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
19,73.8,1402.2,12,5,2,44,245.0,49.1,Male,DSL,One year,Credit card,No,Yes,Yes,0
62,41.7,2585.4,24,2,0,74,1210.0,13.7,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
8,95.2,761.6,1,7,5,34,82.0,79.3,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
46,55.2,2539.2,24,4,1,60,640.0,33.8,Female,DSL,Two year,Credit card,Yes,Yes,No,0
14,81.1,1135.4,1,5,3,41,120.0,62.1,Male,Fiber,Month-to-month,Electronic check,No,Yes,Yes,1
50,51.6,2580.0,24,4,0,63,850.0,27.8,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
27,66.3,1790.1,12,5,2,49,330.0,42.4,Female,DSL,One year,Credit card,Yes,Yes,Yes,0
4,101.8,407.2,1,8,7,27,38.0,90.6,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
56,46.5,2604.0,24,3,0,71,1000.0,20.6,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
11,87.6,963.6,1,6,4,37,102.0,72.8,Male,Fiber,Month-to-month,Mailed check,No,No,Yes,1
40,59.4,2376.0,24,4,1,54,500.0,39.1,Female,DSL,Two year,Credit card,Yes,Yes,Yes,0
21,70.7,1484.7,12,4,2,46,275.0,46.3,Male,DSL,One year,Credit card,Yes,Yes,No,0
6,99.1,594.6,1,8,6,30,60.0,86.2,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
48,57.3,2750.4,24,4,1,61,710.0,35.6,Female,DSL,Two year,Credit card,Yes,Yes,No,0
16,77.2,1235.2,12,5,2,43,220.0,51.9,Male,DSL,One year,Credit card,No,Yes,No,0
58,44.8,2598.4,24,3,0,69,1060.0,17.4,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
9,89.7,807.3,1,6,4,36,89.0,73.5,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
38,60.2,2287.6,12,5,2,53,420.0,41.7,Female,DSL,One year,Credit card,Yes,Yes,No,0
2,106.2,212.4,1,9,8,25,18.0,96.4,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
60,42.9,2574.0,24,3,0,72,1120.0,16.2,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
13,83.5,1085.5,1,6,3,39,116.0,64.7,Male,Fiber,Month-to-month,Electronic check,No,Yes,Yes,1
52,50.2,2610.4,24,4,0,64,820.0,26.1,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
24,68.6,1646.4,12,4,2,48,305.0,44.7,Male,DSL,One year,Credit card,Yes,Yes,Yes,0
5,97.2,486.0,1,8,6,31,63.0,84.8,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
54,49.4,2667.6,24,3,1,67,930.0,26.7,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
18,74.5,1341.0,12,5,2,44,235.0,50.9,Male,DSL,One year,Credit card,No,Yes,Yes,0
7,96.4,674.8,1,7,5,33,74.0,80.1,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
46,56.1,2580.6,24,4,1,59,630.0,34.3,Female,DSL,Two year,Credit card,Yes,Yes,No,0
10,92.8,928.0,1,7,4,35,96.0,75.6,Male,Fiber,Month-to-month,Mailed check,No,No,Yes,1
44,61.4,2701.6,24,5,1,57,570.0,39.4,Female,DSL,Two year,Credit card,Yes,Yes,Yes,0
15,79.6,1194.0,1,5,3,41,128.0,61.9,Male,Fiber,Month-to-month,Electronic check,No,Yes,Yes,1
50,52.7,2635.0,24,4,0,63,860.0,28.5,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
28,65.1,1822.8,12,5,2,50,345.0,41.8,Female,DSL,One year,Credit card,Yes,Yes,Yes,0
3,105.3,315.9,1,9,7,26,34.0,95.7,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
56,47.6,2665.6,24,3,0,70,1030.0,21.4,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
12,85.9,1030.8,1,6,4,38,110.0,67.3,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
42,59.8,2511.6,24,4,1,56,590.0,37.5,Female,DSL,Two year,Credit card,Yes,Yes,Yes,0
22,71.3,1568.6,12,4,2,47,288.0,46.8,Male,DSL,One year,Credit card,Yes,Yes,Yes,0
6,100.5,603.0,1,8,6,32,59.0,88.7,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
48,58.2,2793.6,24,4,1,62,730.0,36.2,Female,DSL,Two year,Credit card,Yes,Yes,No,0
17,76.8,1305.6,12,5,2,43,228.0,52.1,Male,DSL,One year,Credit card,No,Yes,No,0
58,46.1,2673.8,24,3,0,71,1080.0,19.8,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
9,90.8,817.2,1,6,4,35,91.0,74.9,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
40,60.6,2424.0,24,4,1,55,510.0,40.2,Female,DSL,Two year,Credit card,Yes,Yes,Yes,0
26,67.9,1765.4,12,5,2,49,325.0,43.6,Female,DSL,One year,Credit card,Yes,Yes,Yes,0
4,102.4,409.6,1,8,7,28,40.0,91.2,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
54,51.2,2764.8,24,4,1,65,940.0,30.1,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
14,82.8,1159.2,1,5,3,40,119.0,63.8,Male,Fiber,Month-to-month,Electronic check,No,Yes,Yes,1
52,48.7,2538.4,24,3,0,64,830.0,25.2,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
19,75.1,1426.9,12,5,2,45,250.0,51.4,Male,DSL,One year,Credit card,No,Yes,Yes,0
62,43.2,2678.4,24,2,0,73,1190.0,14.9,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
8,94.5,756.0,1,7,5,34,84.0,78.7,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
