site_id,year,day_of_year,latitude,longitude,temperature,salinity,fish_count
SITE_C,2022,272,34.5,-79.1,18.8,33.9,70
SITE_C,2022,328,34.5,-79.1,11.5,34.5,25
SITE_D,2018,8,36.8,-76.5,8.2,30.5,2
SITE_D,2018,55,36.8,-76.5,11.2,30.2,15
SITE_D,2018,102,36.8,-76.5,16.8,29.8,35
SITE_D,2018,145,36.8,-76.5,21.8,29.5,58
SITE_D,2018,180,36.8,-76.5,24.5,29.7,72
SITE_D,2018,222,36.8,-76.5,24.0,30.0,68
SITE_D,2018,265,36.8,-76.5,19.2,30.4,48
SITE_D,2018,312,36.8,-76.5,13.5,30.8,20
SITE_D,2019,32,36.8,-76.5,9.6,30.4,8
SITE_D,2019,92,36.8,-76.5,15.8,29.9,32
SITE_D,2019,140,36.8,-76.5,21.2,29.6,55
SITE_D,2019,175,36.8,-76.5,24.2,29.7,70
SITE_D,2019,208,36.8,-76.5,24.8,29.9,74
SITE_D,2019,258,36.8,-76.5,20.8,30.3,52
SITE_D,2019,308,36.8,-76.5,14.2,30.7,24
SITE_D,2020,15,36.8,-76.5,8.6,30.5,3
SITE_D,2020,75,36.8,-76.5,13.5,30.0,22
SITE_D,2020,132,36.8,-76.5,20.5,29.6,52
SITE_D,2020,172,36.8,-76.5,24.0,29.7,69
SITE_D,2020,212,36.8,-76.5,25.1,29.9,75
SITE_D,2020,248,36.8,-76.5,22.5,30.2,60
SITE_D,2020,295,36.8,-76.5,15.8,30.6,35
SITE_D,2020,345,36.8,-76.5,10.2,30.9,12
SITE_D,2021,42,36.8,-76.5,10.5,30.3,10
SITE_D,2021,118,36.8,-76.5,18.8,29.8,45
SITE_D,2021,162,36.8,-76.5,23.5,29.6,66
SITE_D,2021,202,36.8,-76.5,25.5,29.8,76
SITE_D,2021,242,36.8,-76.5,23.2,30.1,64
SITE_D,2021,292,36.8,-76.5,16.5,30.5,38
SITE_D,2022,28,36.8,-76.5,9.3,30.4,6
SITE_D,2022,105,36.8,-76.5,17.5,29.9,40
SITE_D,2022,155,36.8,-76.5,22.8,29.6,62
SITE_D,2022,190,36.8,-76.5,24.9,29.8,73
SITE_D,2022,230,36.8,-76.5,24.3,30.0,67
SITE_D,2022,282,36.8,-76.5,18.2,30.4,45
SITE_D,2022,338,36.8,-76.5,11.0,30.8,16
SITE_E,2018,20,34.8,-77.8,9.0,35.2,18
SITE_E,2018,68,34.8,-77.8,12.5,34.8,42
SITE_E,2018,122,34.8,-77.8,19.2,34.5,78
SITE_E,2018,165,34.8,-77.8,23.8,34.2,105
SITE_E,2018,205,34.8,-77.8,26.5,34.4,125
SITE_E,2018,242,34.8,-77.8,24.2,34.6,110
SITE_E,2018,292,34.8,-77.8,16.5,35.0,65
SITE_E,2018,348,34.8,-77.8,10.6,35.4,28
SITE_E,2019,35,34.8,-77.8,9.8,35.1,22
SITE_E,2019,100,34.8,-77.8,16.8,34.6,68
SITE_E,2019,150,34.8,-77.8,22.5,34.3,98
SITE_E,2019,190,34.8,-77.8,25.8,34.4,122
SITE_E,2019,228,34.8,-77.8,25.0,34.5,115
SITE_E,2019,275,34.8,-77.8,18.5,34.9,72
SITE_E,2019,322,34.8,-77.8,12.8,35.3,35
SITE_E,2020,10,34.8,-77.8,8.3,35.2,15
SITE_E,2020,78,34.8,-77.8,14.0,34.7,52
SITE_E,2020,135,34.8,-77.8,20.8,34.4,88
SITE_E,2020,178,34.8,-77.8,24.8,34.3,115
SITE_E,2020,218,34.8,-77.8,26.2,34.4,128
SITE_E,2020,260,34.8,-77.8,21.5,34.7,95
SITE_E,2020,305,34.8,-77.8,14.8,35.1,48
SITE_E,2020,355,34.8,-77.8,9.8,35.5,20
SITE_E,2021,25,34.8,-77.8,9.1,35.2,17
SITE_E,2021,112,34.8,-77.8,18.2,34.5,75
SITE_E,2021,168,34.8,-77.8,24.2,34.2,108
SITE_E,2021,195,34.8,-77.8,26.0,34.3,124
SITE_E,2021,238,34.8,-77.8,24.8,34.6,112
SITE_E,2021,285,34.8,-77.8,17.2,34.9,68
SITE_E,2022,50,34.8,-77.8,10.8,35.0,30
SITE_E,2022,125,34.8,-77.8,19.8,34.4,82
SITE_E,2022,185,34.8,-77.8,25.5,34.3,120
SITE_E,2022,225,34.8,-77.8,25.8,34.5,118
SITE_E,2022,270,34.8,-77.8,19.8,34.8,78
SITE_E,2022,332,34.8,-77.8,11.8,35.3,38
