# HELP cache_hit_ratio Cache hit ratio
# TYPE cache_hit_ratio gauge
# HELP cache_response_time_seconds Cache response time
# TYPE cache_response_time_seconds histogram
# HELP cache_evictions_total Total cache evictions
# TYPE cache_evictions_total counter
cache_response_time_seconds_bucket{le="0.025"} 7120 1704110505000
cache_response_time_seconds_bucket{le="0.05"} 7680 1704110505000
cache_response_time_seconds_bucket{le="0.075"} 7840 1704110505000
cache_response_time_seconds_bucket{le="0.1"} 7920 1704110505000
cache_response_time_seconds_bucket{le="0.15"} 7984 1704110505000
cache_response_time_seconds_bucket{le="0.2"} 7992 1704110505000
cache_response_time_seconds_bucket{le="0.5"} 8000 1704110505000
cache_response_time_seconds_bucket{le="1.0"} 8000 1704110505000
cache_response_time_seconds_bucket{le="+Inf"} 8000 1704110505000
cache_response_time_seconds_sum 246.2 1704110505000
cache_response_time_seconds_count 8000 1704110505000
cache_evictions_total 1061 1704110505000
cache_hit_ratio 0.68 1704110520000
cache_response_time_seconds_bucket{le="0.01"} 6840 1704110520000
cache_response_time_seconds_bucket{le="0.025"} 7920 1704110520000
cache_response_time_seconds_bucket{le="0.05"} 8640 1704110520000
cache_response_time_seconds_bucket{le="0.075"} 8820 1704110520000
cache_response_time_seconds_bucket{le="0.1"} 8910 1704110520000
cache_response_time_seconds_bucket{le="0.15"} 8982 1704110520000
cache_response_time_seconds_bucket{le="0.2"} 8991 1704110520000
cache_response_time_seconds_bucket{le="0.5"} 9000 1704110520000
cache_response_time_seconds_bucket{le="1.0"} 9000 1704110520000
cache_response_time_seconds_bucket{le="+Inf"} 9000 1704110520000
cache_response_time_seconds_sum 283.7 1704110520000
cache_response_time_seconds_count 9000 1704110520000
cache_evictions_total 1078 1704110520000
cache_hit_ratio 0.62 1704110535000
cache_response_time_seconds_bucket{le="0.01"} 7300 1704110535000
cache_response_time_seconds_bucket{le="0.025"} 8600 1704110535000
cache_response_time_seconds_bucket{le="0.05"} 9500 1704110535000
cache_response_time_seconds_bucket{le="0.075"} 9700 1704110535000
cache_response_time_seconds_bucket{le="0.1"} 9800 1704110535000
cache_response_time_seconds_bucket{le="0.15"} 9900 1704110535000
cache_response_time_seconds_bucket{le="0.2"} 9950 1704110535000
cache_response_time_seconds_bucket{le="0.5"} 9990 1704110535000
cache_response_time_seconds_bucket{le="1.0"} 10000 1704110535000
cache_response_time_seconds_bucket{le="+Inf"} 10000 1704110535000
cache_response_time_seconds_sum 328.4 1704110535000
cache_response_time_seconds_count 10000 1704110535000
cache_evictions_total 1098 1704110535000
cache_hit_ratio 0.58 1704110550000
cache_response_time_seconds_bucket{le="0.01"} 7700 1704110550000
cache_response_time_seconds_bucket{le="0.025"} 9240 1704110550000
cache_response_time_seconds_bucket{le="0.05"} 10340 1704110550000
cache_response_time_seconds_bucket{le="0.075"} 10560 1704110550000
cache_response_time_seconds_bucket{le="0.1"} 10670 1704110550000
cache_response_time_seconds_bucket{le="0.15"} 10780 1704110550000
cache_response_time_seconds_bucket{le="0.2"} 10890 1704110550000
cache_response_time_seconds_bucket{le="0.5"} 10980 1704110550000
cache_response_time_seconds_bucket{le="1.0"} 11000 1704110550000
cache_response_time_seconds_bucket{le="+Inf"} 11000 1704110550000
cache_response_time_seconds_sum 378.9 1704110550000
cache_response_time_seconds_count 11000 1704110550000
cache_evictions_total 1121 1704110550000
cache_hit_ratio 0.54 1704110565000
cache_response_time_seconds_bucket{le="0.01"} 8040 1704110565000
cache_response_time_seconds_bucket{le="0.025"} 9840 1704110565000
cache_response_time_seconds_bucket{le="0.05"} 11160 1704110565000
cache_response_time_seconds_bucket{le="0.075"} 11400 1704110565000
cache_response_time_seconds_bucket{le="0.1"} 11520 1704110565000
cache_response_time_seconds_bucket{le="0.15"} 11640 1704110565000
cache_response_time_seconds_bucket{le="0.2"} 11760 1704110565000
cache_response_time_seconds_bucket{le="0.5"} 11940 1704110565000
cache_response_time_seconds_bucket{le="1.0"} 12000 1704110565000
cache_response_time_seconds_bucket{le="+Inf"} 12000 1704110565000
cache_response_time_seconds_sum 435.2 1704110565000
cache_response_time_seconds_count 12000 1704110565000
cache_evictions_total 1148 1704110565000
cache_hit_ratio 0.51 1704110580000
cache_response_time_seconds_bucket{le="0.01"} 8320 1704110580000
cache_response_time_seconds_bucket{le="0.025"} 10400 1704110580000
cache_response_time_seconds_bucket{le="0.05"} 11960 1704110580000
cache_response_time_seconds_bucket{le="0.075"} 12220 1704110580000
cache_response_time_seconds_bucket{le="0.1"} 12350 1704110580000
cache_response_time_seconds_bucket{le="0.15"} 12480 1704110580000
cache_response_time_seconds_bucket{le="0.2"} 12610 1704110580000
cache_response_time_seconds_bucket{le="0.5"} 12870 1704110580000
cache_response_time_seconds_bucket{le="1.0"} 13000 1704110580000
cache_response_time_seconds_bucket{le="+Inf"} 13000 1704110580000
cache_response_time_seconds_sum 497.8 1704110580000
cache_response_time_seconds_count 13000 1704110580000
cache_evictions_total 1179 1704110580000
cache_hit_ratio 0.48 1704110595000
cache_response_time_seconds_bucket{le="0.01"} 8540 1704110595000
cache_response_time_seconds_bucket{le="0.025"} 10920 1704110595000
cache_response_time_seconds_bucket{le="0.05"} 12740 1704110595000
cache_response_time_seconds_bucket{le="0.075"} 13020 1704110595000
cache_response_time_seconds_bucket{le="0.1"} 13160 1704110595000
cache_response_time_seconds_bucket{le="0.15"} 13300 1704110595000
cache_response_time_seconds_bucket{le="0.2"} 13440 1704110595000
cache_response_time_seconds_bucket{le="0.5"} 13790 1704110595000
cache_response_time_seconds_bucket{le="1.0"} 14000 1704110595000
cache_response_time_seconds_bucket{le="+Inf"} 14000 1704110595000
cache_response_time_seconds_sum 566.7 1704110595000
cache_response_time_seconds_count 14000 1704110595000
cache_evictions_total 1215 1704110595000
cache_hit_ratio 0.45 1704110610000
cache_response_time_seconds_bucket{le="0.01"} 8700 1704110610000
cache_response_time_seconds_bucket{le="0.025"} 11400 1704110610000
cache_response_time_seconds_bucket{le="0.05"} 13500 1704110610000
cache_response_time_seconds_bucket{le="0.075"} 13800 1704110610000
cache_response_time_seconds_bucket{le="0.1"} 13950 1704110610000
cache_response_time_seconds_bucket{le="0.15"} 14100 1704110610000
cache_response_time_seconds_bucket{le="0.2"} 14250 1704110610000
cache_response_time_seconds_bucket{le="0.5"} 14700 1704110610000
cache_response_time_seconds_bucket{le="1.0"} 15000 1704110610000
cache_response_time_seconds_bucket{le="+Inf"} 15000 1704110610000
cache_response_time_seconds_sum 641.5 1704110610000
cache_response_time_seconds_count 15000 1704110610000
cache_evictions_total 1256 1704110610000
cache_hit_ratio 0.42 1704110625000
cache_response_time_seconds_bucket{le="0.01"} 8800 1704110625000
cache_response_time_seconds_bucket{le="0.025"} 11840 1704110625000
cache_response_time_seconds_bucket{le="0.05"} 14240 1704110625000
cache_response_time_seconds_bucket{le="0.075"} 14560 1704110625000
cache_response_time_seconds_bucket{le="0.1"} 14720 1704110625000
cache_response_time_seconds_bucket{le="0.15"} 14880 1704110625000
cache_response_time_seconds_bucket{le="0.2"} 15040 1704110625000
cache_response_time_seconds_bucket{le="0.5"} 15600 1704110625000
cache_response_time_seconds_bucket{le="1.0"} 16000 1704110625000
cache_response_time_seconds_bucket{le="+Inf"} 16000 1704110625000
cache_response_time_seconds_sum 722.4 1704110625000
cache_response_time_seconds_count 16000 1704110625000
cache_evictions_total 1302 1704110625000
cache_hit_ratio 0.43 1704110640000
cache_response_time_seconds_bucket{le="0.01"} 8960 1704110640000
cache_response_time_seconds_bucket{le="0.025"} 12240 1704110640000
cache_response_time_seconds_bucket{le="0.05"} 14960 1704110640000
cache_response_time_seconds_bucket{le="0.075"} 15300 1704110640000
cache_response_time_seconds_bucket{le="0.1"} 15470 1704110640000
cache_response_time_seconds_bucket{le="0.15"} 15640 1704110640000
cache_response_time_seconds_bucket{le="0.2"} 15810 1704110640000
cache_response_time_seconds_bucket{le="0.5"} 16490 1704110640000
cache_response_time_seconds_bucket{le="1.0"} 17000 1704110640000
cache_response_time_seconds_bucket{le="+Inf"} 17000 1704110640000
cache_response_time_seconds_sum 802.8 1704110640000
cache_response_time_seconds_count 17000 1704110640000
cache_evictions_total 1351 1704110640000
cache_hit_ratio 0.46 1704110655000
cache_response_time_seconds_bucket{le="0.01"} 9180 1704110655000
cache_response_time_seconds_bucket{le="0.025"} 12600 1704110655000
cache_response_time_seconds_bucket{le="0.05"} 15660 1704110655000
cache_response_time_seconds_bucket{le="0.075"} 16020 1704110655000
cache_response_time_seconds_bucket{le="0.1"} 16200 1704110655000
cache_response_time_seconds_bucket{le="0.15"} 16380 1704110655000
cache_response_time_seconds_bucket{le="0.2"} 16560 1704110655000
cache_response_time_seconds_bucket{le="0.5"} 17370 1704110655000
cache_response_time_seconds_bucket{le="1.0"} 18000 1704110655000
cache_response_time_seconds_bucket{le="+Inf"} 18000 1704110655000
cache_response_time_seconds_sum 880.2 1704110655000
cache_response_time_seconds_count 18000 1704110655000
cache_evictions_total 1404 1704110655000
cache_hit_ratio 0.49 1704110670000
cache_response_time_seconds_bucket{le="0.01"} 9460 1704110670000
cache_response_time_seconds_bucket{le="0.025"} 12920 1704110670000
cache_response_time_seconds_bucket{le="0.05"} 16340 1704110670000
cache_response_time_seconds_bucket{le="0.075"} 16720 1704110670000
cache_response_time_seconds_bucket{le="0.1"} 16910 1704110670000
cache_response_time_seconds_bucket{le="0.15"} 17100 1704110670000
cache_response_time_seconds_bucket{le="0.2"} 17290 1704110670000
cache_response_time_seconds_bucket{le="0.5"} 18240 1704110670000
cache_response_time_seconds_bucket{le="1.0"} 19000 1704110670000
cache_response_time_seconds_bucket{le="+Inf"} 19000 1704110670000
cache_response_time_seconds_sum 954.3 1704110670000
cache_response_time_seconds_count 19000 1704110670000
cache_evictions_total 1461 1704110670000
cache_hit_ratio 0.52 1704110685000
cache_response_time_seconds_bucket{le="0.01"} 9800 1704110685000
cache_response_time_seconds_bucket{le="0.025"} 13200 1704110685000
cache_response_time_seconds_bucket{le="0.05"} 16980 1704110685000
cache_response_time_seconds_bucket{le="0.075"} 17380 1704110685000
cache_response_time_seconds_bucket{le="0.1"} 17580 1704110685000
cache_response_time_seconds_bucket{le="0.15"} 17780 1704110685000
cache_response_time_seconds_bucket{le="0.2"} 17980 1704110685000
cache_response_time_seconds_bucket{le="0.5"} 19100 1704110685000
cache_response_time_seconds_bucket{le="1.0"} 20000 1704110685000
cache_response_time_seconds_bucket{le="+Inf"} 20000 1704110685000
cache_response_time_seconds_sum 1024.6 1704110685000
cache_response_time_seconds_count 20000 1704110685000
cache_evictions_total 1522 1704110685000
cache_hit_ratio 0.55 1704110700000
cache_response_time_seconds_bucket{le="0.01"} 10200 1704110700000
cache_response_time_seconds_bucket{le="0.025"} 13440 1704110700000
cache_response_time_seconds_bucket{le="0.05"} 17580 1704110700000
cache_response_time_seconds_bucket{le="0.075"} 18000 1704110700000
cache_response_time_seconds_bucket{le="0.1"} 18210 1704110700000
cache_response_time_seconds_bucket{le="0.15"} 18420 1704110700000
cache_response_time_seconds_bucket{le="0.2"} 18630 1704110700000
cache_response_time_seconds_bucket{le="0.5"} 19950 1704110700000
cache_response_time_seconds_bucket{le="1.0"} 21000 1704110700000
cache_response_time_seconds_bucket{le="+Inf"} 21000 1704110700000
cache_response_time_seconds_sum 1091.4 1704110700000
cache_response_time_seconds_count 21000 1704110700000
cache_evictions_total 1587 1704110700000
cache_hit_ratio 0.58 1704110715000
cache_response_time_seconds_bucket{le="0.01"} 10670 1704110715000
cache_response_time_seconds_bucket{le="0.025"} 13640 1704110715000
cache_response_time_seconds_bucket{le="0.05"} 18140 1704110715000
cache_response_time_seconds_bucket{le="0.075"} 18580 1704110715000
cache_response_time_seconds_bucket{le="0.1"} 18800 1704110715000
cache_response_time_seconds_bucket{le="0.15"} 19020 1704110715000
cache_response_time_seconds_bucket{le="0.2"} 19240 1704110715000
cache_response_time_seconds_bucket{le="0.5"} 20790 1704110715000
cache_response_time_seconds_bucket{le="1.0"} 22000 1704110715000
cache_response_time_seconds_bucket{le="+Inf"} 22000 1704110715000
cache_response_time_seconds_sum 1154.8 1704110715000
cache_response_time_seconds_count 22000 1704110715000
cache_evictions_total 1656 1704110715000
cache_hit_ratio 0.61 1704110730000
cache_response_time_seconds_bucket{le="0.01"} 11200 1704110730000
cache_response_time_seconds_bucket{le="0.025"} 13800 1704110730000
cache_response_time_seconds_bucket{le="0.05"} 18660 1704110730000
cache_response_time_seconds_bucket{le="0.075"} 19120 1704110730000
cache_response_time_seconds_bucket{le="0.1"} 19350 1704110730000
cache_response_time_seconds_bucket{le="0.15"} 19580 1704110730000
cache_response_time_seconds_bucket{le="0.2"} 19810 1704110730000
cache_response_time_seconds_bucket{le="0.5"} 21620 1704110730000
cache_response_time_seconds_bucket{le="1.0"} 23000 1704110730000
cache_response_time_seconds_bucket{le="+Inf"} 23000 1704110730000
cache_response_time_seconds_sum 1214.7 1704110730000
cache_response_time_seconds_count 23000 1704110730000
cache_evictions_total 1728 1704110730000
cache_hit_ratio 0.59 1704110745000
cache_response_time_seconds_bucket{le="0.01"} 11500 1704110745000
cache_response_time_seconds_bucket{le="0.025"} 14280 1704110745000
cache_response_time_seconds_bucket{le="0.05"} 19320 1704110745000
cache_response_time_seconds_bucket{le="0.075"} 19800 1704110745000
cache_response_time_seconds_bucket{le="0.1"} 20040 1704110745000
cache_response_time_seconds_bucket{le="0.15"} 20280 1704110745000
cache_response_time_seconds_bucket{le="0.2"} 20520 1704110745000
cache_response_time_seconds_bucket{le="0.5"} 22560 1704110745000
cache_response_time_seconds_bucket{le="1.0"} 24000 1704110745000
cache_response_time_seconds_bucket{le="+Inf"} 24000 1704110745000
cache_response_time_seconds_sum 1281.6 1704110745000
cache_response_time_seconds_count 24000 1704110745000
cache_evictions_total 1805 1704110745000
cache_hit_ratio 0.56 1704110760000
cache_response_time_seconds_bucket{le="0.01"} 11750 1704110760000
cache_response_time_seconds_bucket{le="0.025"} 14750 1704110760000
cache_response_time_seconds_bucket{le="0.05"} 20000 1704110760000
cache_response_time_seconds_bucket{le="0.075"} 20500 1704110760000
cache_response_time_seconds_bucket{le="0.1"} 20750 1704110760000
cache_response_time_seconds_bucket{le="0.15"} 21000 1704110760000
cache_response_time_seconds_bucket{le="0.2"} 21250 1704110760000
cache_response_time_seconds_bucket{le="0.5"} 23500 1704110760000
cache_response_time_seconds_bucket{le="1.0"} 25000 1704110760000
cache_response_time_seconds_bucket{le="+Inf"} 25000 1704110760000
cache_response_time_seconds_sum 1354.2 1704110760000
cache_response_time_seconds_count 25000 1704110760000
cache_evictions_total 1887 1704110760000
cache_hit_ratio 0.53 1704110775000
cache_response_time_seconds_bucket{le="0.01"} 11960 1704110775000
cache_response_time_seconds_bucket{le="0.025"} 15200 1704110775000
cache_response_time_seconds_bucket{le="0.05"} 20680 1704110775000
cache_response_time_seconds_bucket{le="0.075"} 21200 1704110775000
cache_response_time_seconds_bucket{le="0.1"} 21460 1704110775000
cache_response_time_seconds_bucket{le="0.15"} 21720 1704110775000
cache_response_time_seconds_bucket{le="0.2"} 21980 1704110775000
cache_response_time_seconds_bucket{le="0.5"} 24440 1704110775000
cache_response_time_seconds_bucket{le="1.0"} 26000 1704110775000
cache_response_time_seconds_bucket{le="+Inf"} 26000 1704110775000
cache_response_time_seconds_sum 1432.8 1704110775000
cache_response_time_seconds_count 26000 1704110775000
cache_evictions_total 1974 1704110775000
cache_hit_ratio 0.50 1704110790000
cache_response_time_seconds_bucket{le="0.01"} 12120 1704110790000
cache_response_time_seconds_bucket{le="0.025"} 15620 1704110790000
cache_response_time_seconds_bucket{le="0.05"} 21360 1704110790000
cache_response_time_seconds_bucket{le="0.075"} 21900 1704110790000
cache_response_time_seconds_bucket{le="0.1"} 22170 1704110790000
cache_response_time_seconds_bucket{le="0.15"} 22440 1704110790000
cache_response_time_seconds_bucket{le="0.2"} 22710 1704110790000
cache_response_time_seconds_bucket{le="0.5"} 25380 1704110790000
cache_response_time_seconds_bucket{le="1.0"} 27000 1704110790000
cache_response_time_seconds_bucket{le="+Inf"} 27000 1704110790000
cache_response_time_seconds_sum 1517.4 1704110790000
cache_response_time_seconds_count 27000 1704110790000
cache_evictions_total 2066 1704110790000
cache_hit_ratio 0.48 1704110805000
cache_response_time_seconds_bucket{le="0.01"} 12240 1704110805000
cache_response_time_seconds_bucket{le="0.025"} 16000 1704110805000
cache_response_time_seconds_bucket{le="0.05"} 22040 1704110805000
cache_response_time_seconds_bucket{le="0.075"} 22600 1704110805000
cache_response_time_seconds_bucket{le="0.1"} 22880 1704110805000
cache_response_time_seconds_bucket{le="0.15"} 23160 1704110805000
cache_response_time_seconds_bucket{le="0.2"} 23440 1704110805000
cache_response_time_seconds_bucket{le="0.5"} 26320 1704110805000
cache_response_time_seconds_bucket{le="1.0"} 28000 1704110805000
cache_response_time_seconds_bucket{le="+Inf"} 28000 1704110805000
cache_response_time_seconds_sum 1608.2 1704110805000
cache_response_time_seconds_count 28000 1704110805000
cache_evictions_total 2163 1704110805000
cache_hit_ratio 0.46 1704110820000
cache_response_time_seconds_bucket{le="0.01"} 12320 1704110820000
cache_response_time_seconds_bucket{le="0.025"} 16360 1704110820000
cache_response_time_seconds_bucket{le="0.05"} 22720 1704110820000
cache_response_time_seconds_bucket{le="0.075"} 23300 1704110820000
cache_response_time_seconds_bucket{le="0.1"} 23590 1704110820000
cache_response_time_seconds_bucket{le="0.15"} 23880 1704110820000
cache_response_time_seconds_bucket{le="0.2"} 24170 1704110820000
cache_response_time_seconds_bucket{le="0.5"} 27260 1704110820000
cache_response_time_seconds_bucket{le="1.0"} 29000 1704110820000
cache_response_time_seconds_bucket{le="+Inf"} 29000 1704110820000
cache_response_time_seconds_sum 1704.8 1704110820000
cache_response_time_seconds_count 29000 1704110820000
cache_evictions_total 2265 1704110820000
cache_hit_ratio 0.44 1704110835000
cache_response_time_seconds_bucket{le="0.01"} 12360 1704110835000
cache_response_time_seconds_bucket{le="0.025"} 16680 1704110835000
cache_response_time_seconds_bucket{le="0.05"} 23400 1704110835000
cache_response_time_seconds_bucket{le="0.075"} 24000 1704110835000
cache_response_time_seconds_bucket{le="0.1"} 24300 1704110835000
cache_response_time_seconds_bucket{le="0.15"} 24600 1704110835000
cache_response_time_seconds_bucket{le="0.2"} 24900 1704110835000
cache_response_time_seconds_bucket{le="0.5"} 28200 1704110835000
cache_response_time_seconds_bucket{le="1.0"} 30000 1704110835000
cache_response_time_seconds_bucket{le="+Inf"} 30000 1704110835000
cache_response_time_seconds_sum 1807.5 1704110835000
cache_response_time_seconds_count 30000 1704110835000
cache_evictions_total 2372 1704110835000
cache_hit_ratio 0.47 1704110850000
cache_response_time_seconds_bucket{le="0.01"} 12480 1704110850000
cache_response_time_seconds_bucket{le="0.025"} 16960 1704110850000
cache_response_time_seconds_bucket{le="0.05"} 24060 1704110850000
cache_response_time_seconds_bucket{le="0.075"} 24680 1704110850000
cache_response_time_seconds_bucket{le="0.1"} 24990 1704110850000
cache_response_time_seconds_bucket{le="0.15"} 25300 1704110850000
cache_response_time_seconds_bucket{le="0.2"} 25610 1704110850000
cache_response_time_seconds_bucket{le="0.5"} 29130 1704110850000
cache_response_time_seconds_bucket{le="1.0"} 31000 1704110850000
cache_response_time_seconds_bucket{le="+Inf"} 31000 1704110850000
cache_response_time_seconds_sum 1905.2 1704110850000
cache_response_time_seconds_count 31000 1704110850000
cache_evictions_total 2484 1704110850000
cache_hit_ratio 0.50 1704110865000
cache_response_time_seconds_bucket{le="0.01"} 12640 1704110865000
cache_response_time_seconds_bucket{le="0.025"} 17200 1704110865000
cache_response_time_seconds_bucket{le="0.05"} 24700 1704110865000
cache_response_time_seconds_bucket{le="0.075"} 25340 1704110865000
cache_response_time_seconds_bucket{le="0.1"} 25660 1704110865000
cache_response_time_seconds_bucket{le="0.15"} 25980 1704110865000
cache_response_time_seconds_bucket{le="0.2"} 26300 1704110865000
cache_response_time_seconds_bucket{le="0.5"} 30060 1704110865000
cache_response_time_seconds_bucket{le="1.0"} 32000 1704110865000
cache_response_time_seconds_bucket{le="+Inf"} 32000 1704110865000
cache_response_time_seconds_sum 1998.4 1704110865000
cache_response_time_seconds_count 32000 1704110865000
cache_evictions_total 2601 1704110865000
cache_hit_ratio 0.53 1704110880000
cache_response_time_seconds_bucket{le="0.01"} 12860 1704110880000
cache_response_time_seconds_bucket{le="0.025"} 17400 1704110880000
cache_response_time_seconds_bucket{le="0.05"} 25300 1704110880000
cache_response_time_seconds_bucket{le="0.075"} 25960 1704110880000
cache_response_time_seconds_bucket{le="0.1"} 26290 1704110880000
cache_response_time_seconds_bucket{le="0.15"} 26620 1704110880000
cache_response_time_seconds_bucket{le="0.2"} 26950 1704110880000
cache_response_time_seconds_bucket{le="0.5"} 30980 1704110880000
cache_response_time_seconds_bucket{le="1.0"} 33000 1704110880000
cache_response_time_seconds_bucket{le="+Inf"} 33000 1704110880000
cache_response_time_seconds_sum 2087.1 1704110880000
cache_response_time_seconds_count 33000 1704110880000
cache_evictions_total 2722 1704110880000
cache_hit_ratio 0.56 1704110895000
cache_response_time_seconds_bucket{le="0.01"} 13120 1704110895000
cache_response_time_seconds_bucket{le="0.025"} 17560 1704110895000
cache_response_time_seconds_bucket{le="0.05"} 25860 1704110895000
cache_response_time_seconds_bucket{le="0.075"} 26540 1704110895000
cache_response_time_seconds_bucket{le="0.1"} 26880 1704110895000
cache_response_time_seconds_bucket{le="0.15"} 27220 1704110895000
cache_response_time_seconds_bucket{le="0.2"} 27560 1704110895000
cache_response_time_seconds_bucket{le="0.5"} 31900 1704110895000
cache_response_time_seconds_bucket{le="1.0"} 34000 1704110895000
cache_response_time_seconds_bucket{le="+Inf"} 34000 1704110895000
cache_response_time_seconds_sum 2171.3 1704110895000
cache_response_time_seconds_count 34000 1704110895000
