G1,G2,G3,G4,G5,G6,G7,G8
0.123,0.234,-0.891,0.456,0.234,0.891,0.789,-0.567
-0.567,0.567,0.567,-0.234,0.567,0.567,0.123,0.123
0.456,0.123,0.123,0.123,-0.891,-0.234,-0.891,0.891
0.789,0.891,0.891,0.789,0.123,0.456,0.567,0.567
0.678,-0.234,0.456,0.567,0.789,0.789,0.234,0.234
-0.234,0.567,-0.234,-0.123,0.456,0.234,-0.567,-0.234
0.567,0.123,0.789,0.234,-0.234,-0.891,0.123,0.123
0.234,-0.891,0.567,0.891,0.567,0.567,0.891,0.789
-0.123,0.456,0.234,0.567,0.123,0.123,0.567,0.456
0.891,0.789,-0.891,-0.234,0.891,0.891,-0.234,-0.567
0.456,0.234,0.567,0.456,0.567,0.456,0.456,0.234
-0.891,-0.567,0.123,0.789,-0.456,-0.234,0.789,0.891
0.123,0.123,0.891,0.234,0.234,0.567,0.234,0.567
0.789,0.891,0.567,-0.891,0.789,0.234,-0.123,0.234
0.345,0.567,-0.234,0.567,0.123,-0.567,0.891,-0.234
-0.567,-0.234,0.456,0.123,-0.891,0.891,0.567,0.123
0.234,0.123,0.789,0.891,0.456,0.456,-0.456,0.891
0.567,0.891,0.234,0.456,0.234,-0.234,0.234,0.567
-0.234,0.456,-0.891,-0.567,-0.567,0.123,0.567,0.234
0.891,-0.123,0.567,0.234,0.891,0.789,0.123,-0.123
0.456,0.567,0.123,0.789,0.567,0.567,-0.891,0.456
0.123,0.234,0.891,0.567,-0.234,-0.891,0.456,0.789
-0.891,0.891,0.567,-0.234,0.123,0.234,0.789,0.234
0.789,0.567,-0.234,0.123,0.891,0.567,0.567,-0.567
0.678,-0.234,0.456,0.891,0.567,0.123,-0.234,0.123
-0.234,0.123,0.789,0.567,0.234,0.891,0.123,0.891
0.567,0.891,0.234,-0.123,-0.891,0.567,0.891,0.567
0.234,0.567,-0.891,0.456,0.567,-0.234,0.234,0.234
-0.123,-0.234,0.567,0.789,0.123,0.456,-0.567,-0.234
0.891,0.456,0.123,0.234,0.891,0.789,0.456,0.123
0.456,0.789,0.891,-0.891,0.456,0.234,0.789,0.789
-0.567,0.234,0.567,0.567,-0.234,-0.567,0.234,0.456
0.123,-0.891,-0.234,0.123,0.789,0.123,-0.123,0.234
0.789,0.567,0.456,0.891,0.567,0.891,0.567,-0.567
0.345,0.123,0.789,0.456,-0.123,0.567,-0.891,0.123
-0.456,0.891,0.234,-0.234,0.234,-0.234,0.234,0.891
0.567,0.567,-0.891,0.567,0.891,0.456,0.567,0.567
0.234,-0.234,0.567,0.123,0.567,0.789,0.123,0.234
-0.891,0.456,0.123,0.891,-0.456,0.234,-0.567,-0.234
0.456,0.789,0.891,0.567,0.234,-0.891,0.891,0.123
0.123,0.234,0.567,-0.234,0.123,0.567,0.456,0.789
-0.234,-0.891,-0.234,0.456,0.891,0.123,-0.234,0.456
0.891,0.567,0.456,0.789,0.567,0.891,0.789,0.234
0.678,0.123,0.789,0.234,-0.891,0.456,0.234,-0.567
-0.567,0.891,0.234,-0.567,0.234,-0.234,-0.123,0.123
0.567,0.567,-0.891,0.123,0.567,0.567,0.891,0.891
0.234,-0.234,0.567,0.891,0.123,0.234,0.567,0.567
-0.123,0.456,0.123,0.567,0.891,-0.891,-0.234,0.234
0.789,0.789,0.891,-0.234,0.456,0.567,0.456,-0.234
0.456,0.234,0.567,0.456,-0.567,0.123,0.789,0.123
-0.891,-0.891,0.234,0.789,0.234,0.891,0.123,0.891
0.123,0.567,-0.891,0.234,0.789,0.567,-0.891,0.567
0.891,0.123,0.567,-0.891,0.567,-0.234,0.567,0.234
0.345,0.891,0.123,0.567,-0.234,0.456,0.234,-0.123
-0.234,0.567,0.789,0.123,0.123,0.789,-0.567,0.456
0.567,-0.234,0.456,0.891,0.891,0.234,0.123,0.789
0.234,0.123,0.234,0.567,0.567,-0.567,0.891,0.234
-0.567,0.891,-0.891,-0.234,-0.456,0.123,0.567,-0.567
0.456,0.567,0.567,0.456,0.234,0.891,-0.234,0.123
0.789,-0.123,0.123,0.789,0.789,0.567,0.456,0.891
-0.234,0.234,0.891,0.234,0.123,-0.234,0.789,0.567
0.123,0.891,0.567,-0.567,0.891,0.456,0.234,0.234
0.891,0.456,-0.234,0.123,0.567,0.789,-0.891,-0.234
0.678,-0.891,0.456,0.891,-0.234,0.234,0.567,0.123
-0.567,0.567,0.789,0.567,0.456,-0.891,0.123,0.789
0.234,0.234,0.234,-0.234,0.789,0.567,-0.567,0.456
0.567,-0.567,-0.891,0.456,0.234,0.123,0.234,0.234
-0.123,0.123,0.567,0.789,0.567,0.891,0.891,-0.567
0.891,0.891,0.123,0.234,-0.891,0.567,0.567,0.123
0.456,0.567,0.891,-0.891,0.123,-0.234,-0.234,0.891
-0.891,-0.234,0.567,0.567,0.891,0.456,0.456,0.567
0.123,0.456,0.234,0.123,0.567,0.789,0.789,0.234
0.789,0.789,-0.891,0.891,-0.234,0.234,0.234,-0.234
0.345,0.234,0.567,0.567,0.456,-0.567,-0.891,0.123
-0.456,-0.891,0.123,-0.234,0.789,0.123,0.567,0.891
0.567,0.567,0.891,0.456,0.234,0.891,0.123,0.567
0.234,0.123,0.567,0.789,-0.891,0.567,-0.567,0.234
-0.234,0.891,-0.234,0.234,0.567,-0.234,0.891,-0.234
0.891,0.567,0.456,-0.891,0.123,0.456,0.567,0.123
0.123,-0.234,0.789,0.567,0.891,0.789,-0.234,0.789
-0.567,0.456,0.234,0.123,0.567,0.234,0.456,0.456
0.789,0.789,0.891,0.891,-0.234,-0.891,0.789,0.234
0.678,0.234,0.567,0.456,0.456,0.567,0.234,-0.567
-0.234,-0.891,-0.234,-0.567,0.789,0.123,-0.123,0.123
0.567,0.567,0.123,0.234,0.234,0.891,0.891,0.891
0.234,0.123,0.891,0.789,0.567,0.567,0.567,0.567
-0.891,0.891,0.567,0.567,-0.891,-0.234,-0.234,0.234
0.456,0.567,-0.891,-0.234,0.123,0.456,0.456,-0.234
0.123,-0.234,0.234,0.123,0.891,0.789,0.789,0.123
-0.234,0.456,0.567,0.891,0.567,0.234,0.234,0.891
0.891,0.789,0.123,0.567,-0.456,-0.891,-0.891,0.567
0.567,0.234,0.891,-0.234,0.234,0.567,0.567,0.234
-0.123,-0.891,0.567,0.456,0.789,0.123,0.123,-0.567
0.789,0.567,0.234,0.789,0.567,0.891,0.891,0.456
0.345,0.123,-0.891,0.234,-0.234,0.567,0.567,0.789
-0.567,0.891,0.567,-0.567,0.123,-0.234,-0.234,0.234
0.234,0.567,0.123,0.123,0.891,0.456,0.456,-0.123
0.456,-0.234,0.891,0.891,0.567,0.789,0.789,0.891
-0.891,0.456,0.567,0.567,-0.891,0.234,0.234,0.567
0.123,0.789,-0.234,-0.234,0.234,-0.567,-0.567,0.234
0.891,0.234,0.456,0.456,0.567,0.123,0.123,-0.234
0.678,0.567,0.789,0.789,0.123,0.891,0.891,0.123
-0.234,-0.891,0.234,0.234,0.891,0.567,0.567,0.789
0.567,0.123,-0.891,-0.891,0.567,-0.234,-0.234,0.456
0.234,0.891,0.567,0.567,-0.234,0.456,0.456,0.234
-0.123,0.567,0.123,0.123,0.456,0.789,0.789,-0.567
0.789,-0.234,0.891,0.891,0.789,0.234,0.234,0.123
0.456,0.456,0.567,0.567,0.234,-0.891,-0.891,0.891
-0.891,0.789,-0.234,-0.234,-0.567,0.567,0.567,0.567
0.123,0.234,0.456,0.456,0.123,0.234,0.234,0.234
0.891,-0.567,0.789,0.789,0.891,-0.123,-0.123,-0.234
0.345,0.123,0.234,0.234,0.567,0.891,0.891,0.123
-0.567,0.891,-0.891,-0.891,0.234,0.567,0.567,0.891
0.234,0.567,0.567,0.567,0.456,-0.234,-0.234,0.567
0.567,-0.234,0.123,0.123,-0.891,0.456,0.456,0.234
-0.234,0.456,0.891,0.891,0.567,0.789,0.789,-0.567
0.891,0.789,0.567,0.567,0.123,0.234,0.234,0.123
0.456,0.234,-0.234,-0.234,0.891,-0.567,-0.567,0.891
-0.891,-0.891,0.456,0.456,0.567,0.123,0.123,0.567
0.123,0.567,0.789,0.789,-0.234,0.891,0.891,0.234
0.789,0.123,0.234,0.234,0.456,0.567,0.567,-0.234
0.678,0.891,-0.891,-0.891,0.789,-0.234,-0.234,0.123
-0.234,0.567,0.567,0.567,0.234,0.456,0.456,0.891
0.567,-0.234,0.123,0.123,0.567,0.789,0.789,0.567
0.234,0.456,0.891,0.891,-0.891,0.234,0.234,0.234
-0.123,0.789,0.567,0.567,0.123,-0.567,-0.567,-0.567
0.891,0.234,-0.234,-0.234,0.891,0.123,0.123,0.123
0.456,-0.891,0.456,0.456,0.567,0.891,0.891,0.891
-0.567,0.567,0.789,0.789,0.234,0.567,0.567,0.567
0.123,0.123,0.234,0.234,0.456,-0.234,-0.234,0.234
0.789,0.891,-0.891,-0.891,0.789,0.456,0.456,-0.234
0.345,0.567,0.567,0.567,0.234,0.789,0.789,0.123
-0.456,-0.234,0.123,0.123,-0.567,0.234,0.234,0.891
0.567,0.456,0.891,0.891,0.123,-0.123,-0.123,0.567
0.234,0.789,0.567,0.567,0.891,0.891,0.891,0.234
-0.891,0.234,-0.234,-0.234,0.567,0.567,0.567,-0.567
0.456,-0.891,0.456,0.456,-0.234,-0.234,-0.234,0.123
0.123,0.567,0.789,0.789,0.456,0.456,0.456,0.891
-0.234,0.123,0.234,0.234,0.789,0.789,0.789,0.567
0.891,0.891,-0.891,-0.891,0.234,0.234,0.234,0.234
0.678,0.567,0.567,0.567,0.567,-0.891,-0.891,-0.234
-0.567,-0.234,0.123,0.123,0.123,0.567,0.567,0.123
0.234,0.456,0.891,0.891,0.891,0.234,0.234,0.891
0.567,0.789,0.567,0.567,0.567,-0.567,-0.567,0.567
-0.123,0.234,-0.234,-0.234,-0.234,0.123,0.123,0.234
0.789,-0.891,0.456,0.456,0.456,0.891,0.891,-0.567
0.456,0.567,0.789,0.789,0.789,0.567,0.567,0.123
-0.891,0.123,0.234,0.234,0.234,-0.234,-0.234,0.891
0.123,0.891,-0.891,-0.891,-0.891,0.456,0.456,0.567
0.891,0.567,0.567,0.567,0.567,0.789,0.789,0.234
0.345,-0.234,0.123,0.123,0.123,0.234,0.234,-0.234
-0.567,0.456,0.891,0.891,0.891,-0.123,-0.123,0.123
0.234,0.789,0.567,0.567,0.567,0.891,0.891,0.891
0.567,0.234,-0.234,-0.234,-0.234,0.567,0.567,0.567
-0.234,-0.891,0.456,0.456,0.456,-0.234,-0.234,0.234
0.891,0.567,0.789,0.789,0.789,0.456,0.456,-0.234
0.456,0.123,0.234,0.234,0.234,0.789,0.789,0.123
-0.891,0.891,-0.891,-0.891,-0.891,0.234,0.234,0.891
0.123,0.567,0.567,0.567,0.567,-0.567,-0.567,0.567
0.789,-0.234,0.123,0.123,0.123,0.123,0.123,0.234
0.678,0.456,0.891,0.891,0.891,0.891,0.891,-0.567
-0.234,0.789,0.567,0.567,0.567,0.567,0.567,0.123
0.567,0.234,-0.234,-0.234,-0.234,-0.234,-0.234,0.891
0.234,-0.891,0.456,0.456,0.456,0.456,0.456,0.567
-0.123,0.567,0.789,0.789,0.789,0.789,0.789,0.234
0.891,0.123,0.234,0.234,0.234,0.234,0.234,-0.234
0.456,0.891,-0.891,-0.891,-0.891,-0.891,-0.891,0.123
-0.891,0.567,0.567,0.567,0.567,0.567,0.567,0.891
0.123,-0.234,0.123,0.123,0.123,0.123,0.123,0.567
0.789,0.456,0.891,0.891,0.891,0.891,0.891,0.234
0.345,0.789,0.567,0.567,0.567,0.567,0.567,-0.234
-0.567,0.234,-0.234,-0.234,-0.234,-0.234,-0.234,0.123
0.234,-0.891,0.456,0.456,0.456,0.456,0.456,0.891
0.567,0.567,0.789,0.789,0.789,0.789,0.789,0.567
-0.234,0.123,0.234,0.234,0.234,0.234,0.234,0.234
0.891,0.891,-0.891,-0.891,-0.891,-0.891,-0.891,-0.234
0.456,0.567,0.567,0.567,0.567,0.567,0.567,0.123
-0.891,-0.234,0.123,0.123,0.123,0.123,0.123,0.891
0.123,0.456,0.891,0.891,0.891,0.891,0.891,0.567
0.789,0.789,0.567,0.567,0.567,0.567,0.567,0.234
0.678,0.234,-0.234,-0.234,-0.234,-0.234,-0.234,-0.234
-0.234,-0.891,0.456,0.456,0.456,0.456,0.456,0.123
0.567,0.567,0.789,0.789,0.789,0.789,0.789,0.891
0.234,0.123,0.234,0.234,0.234,0.234,0.234,0.567
-0.123,0.891,-0.891,-0.891,-0.891,-0.891,-0.891,0.234
0.891,0.567,0.567,0.567,0.567,0.567,0.567,-0.234
0.456,-0.234,0.123,0.123,0.123,0.123,0.123,0.123
-0.567,0.456,0.891,0.891,0.891,0.891,0.891,0.891
0.123,0.789,0.567,0.567,0.567,0.567,0.567,0.567
