employee_id,years_experience,education_level,department,gender,age,salary
1065,16,3,TECH,M,40,96000.00
1066,8,2,SALES,F,31,55000.00
1067,4,2,ADMIN,M,27,41000.00
1068,25,4,EXEC,M,52,150000.00
1069,12,3,TECH,M,36,80000.00
1070,6,2,SALES,F,29,49000.00
1071,1,1,ADMIN,F,23,35000.00
1072,19,3,TECH,F,43,108000.00
1073,9,2,SALES,M,32,61000.00
1074,7,2,TECH,M,30,63000.00
1075,3,1,ADMIN,F,26,35000.00
1076,23,3,EXEC,F,50,148000.00
1077,13,3,TECH,M,37,86000.00
1078,5,2,SALES,M,28,51000.00
1079,2,1,ADMIN,M,24,36000.00
1080,17,4,TECH,M,41,118000.00
1081,10,2,SALES,F,33,58000.00
1082,4,2,ADMIN,F,27,40000.00
1083,26,3,EXEC,M,53,150000.00
1084,14,3,TECH,F,38,89000.00
1085,6,2,SALES,M,29,52000.00
1086,3,1,ADMIN,F,26,35000.00
1087,20,3,EXEC,M,46,138000.00
1088,11,2,TECH,M,34,74000.00
1089,5,2,SALES,F,28,47000.00
1090,1,1,ADMIN,M,22,35000.00
1091,15,3,TECH,M,39,94000.00
1092,8,2,SALES,M,31,59000.00
1093,4,1,ADMIN,F,27,38000.00
1094,28,4,EXEC,F,55,150000.00
1095,12,3,TECH,F,36,81000.00
1096,6,2,SALES,M,29,54000.00
1097,2,1,ADMIN,F,25,35000.00
1098,18,3,TECH,M,42,106000.00
1099,9,2,SALES,F,32,56000.00
1100,7,2,TECH,M,30,61000.00
1101,3,1,ADMIN,M,26,37000.00
1102,24,3,EXEC,M,51,150000.00
1103,13,3,TECH,M,37,87000.00
1104,5,2,SALES,F,28,48000.00
1105,1,1,ADMIN,F,23,35000.00
1106,16,4,TECH,F,40,112000.00
1107,8,2,SALES,M,31,60000.00
1108,4,2,ADMIN,M,27,42000.00
1109,27,4,EXEC,M,54,150000.00
1110,14,3,TECH,M,38,90000.00
1111,6,2,SALES,F,29,49000.00
1112,2,1,ADMIN,F,24,35000.00
1113,21,3,EXEC,F,47,140000.00
1114,10,2,TECH,M,33,71000.00
1115,5,2,SALES,M,28,52000.00
1116,3,1,ADMIN,F,26,35000.00
1117,17,3,TECH,M,41,103000.00
1118,9,2,SALES,F,32,57000.00
1119,7,2,TECH,F,30,64000.00
1120,4,1,ADMIN,M,27,39000.00
1121,25,4,EXEC,M,52,150000.00
1122,11,3,TECH,M,34,76000.00
1123,6,2,SALES,F,29,50000.00
1124,1,1,ADMIN,M,22,35000.00
1125,19,3,TECH,M,43,110000.00
1126,8,2,SALES,M,31,59000.00
1127,4,2,ADMIN,F,27,41000.00
1128,29,4,EXEC,F,56,150000.00
1129,12,3,TECH,F,36,83000.00
1130,5,2,SALES,M,28,53000.00
1131,2,1,ADMIN,F,25,35000.00
1132,16,3,TECH,M,40,99000.00
1133,9,2,SALES,F,32,58000.00
1134,7,2,TECH,M,30,65000.00
1135,3,1,ADMIN,M,26,38000.00
1136,23,3,EXEC,M,50,146000.00
1137,13,3,TECH,F,37,85000.00
1138,6,2,SALES,M,29,54000.00
1139,1,1,ADMIN,F,23,35000.00
1140,18,4,TECH,M,42,122000.00
1141,10,2,SALES,F,33,59000.00
1142,4,2,ADMIN,M,27,43000.00
1143,26,3,EXEC,M,53,150000.00
1144,14,3,TECH,M,38,91000.00
1145,5,2,SALES,F,28,49000.00
1146,2,1,ADMIN,F,24,35000.00
1147,20,3,EXEC,F,46,137000.00
1148,11,2,TECH,M,34,75000.00
1149,6,2,SALES,M,29,55000.00
1150,3,1,ADMIN,F,26,36000.00
1151,15,3,TECH,F,39,93000.00
1152,8,2,SALES,M,31,61000.00
1153,4,1,ADMIN,M,27,40000.00
1154,30,4,EXEC,M,57,150000.00
1155,12,3,TECH,M,36,82000.00
1156,5,2,SALES,F,28,50000.00
1157,1,1,ADMIN,F,22,35000.00
1158,17,3,TECH,M,41,104000.00
1159,9,2,SALES,M,32,62000.00
1160,7,2,TECH,F,30,66000.00
1161,3,1,ADMIN,F,26,37000.00
1162,24,4,EXEC,F,51,150000.00
1163,13,3,TECH,M,37,88000.00
1164,6,2,SALES,F,29,51000.00
1165,2,1,ADMIN,M,24,36000.00
1166,19,3,TECH,M,43,111000.00
1167,10,2,SALES,F,33,60000.00
1168,4,2,ADMIN,F,27,42000.00
1169,27,3,EXEC,M,54,150000.00
1170,14,3,TECH,F,38,90000.00
1171,5,2,SALES,M,28,54000.00
1172,1,1,ADMIN,F,23,35000.00
1173,16,3,TECH,M,40,100000.00
1174,8,2,SALES,M,31,62000.00
1175,4,1,ADMIN,F,27,39000.00
1176,28,4,EXEC,M,55,150000.00
1177,12,3,TECH,M,36,84000.00
1178,6,2,SALES,F,29,52000.00
1179,2,1,ADMIN,M,24,37000.00
1180,21,3,EXEC,F,47,141000.00
1181,11,2,TECH,F,34,77000.00
1182,5,2,SALES,M,28,55000.00
1183,3,1,ADMIN,F,26,36000.00
1184,18,3,TECH,M,42,107000.00
1185,9,2,SALES,F,32,59000.00
1186,7,2,TECH,M,30,67000.00
1187,4,2,ADMIN,M,27,44000.00
1188,25,4,EXEC,M,52,150000.00
1189,13,3,TECH,F,37,89000.00
1190,6,2,SALES,M,29,56000.00
1191,1,1,ADMIN,F,22,35000.00
1192,17,3,TECH,M,41,109000.00
1193,10,2,SALES,F,33,61000.00
1194,4,1,ADMIN,F,27,40000.00
1195,29,4,EXEC,F,56,150000.00
1196,14,3,TECH,M,38,92000.00
1197,5,2,SALES,M,28,56000.00
1198,2,1,ADMIN,M,24,38000.00
1199,22,3,EXEC,M,49,144000.00
1200,12,3,TECH,F,36,86000.00
