customer_id,age,income,prior_purchases,engagement_score,received_email,made_purchase
147,51,65.3,6,67.8,1,1
148,38,49.6,2,36.7,0,0
149,42,77.6,13,85.9,1,1
150,27,59.8,4,57.4,1,1
151,56,86.2,10,80.3,1,1
152,33,51.3,8,72.6,1,0
153,48,70.9,1,28.4,0,0
154,36,92.3,14,88.1,1,1
155,44,47.9,5,61.7,1,1
156,26,64.7,11,82.1,1,1
157,52,78.8,9,75.9,1,1
158,39,54.4,0,22.9,0,0
159,31,83.6,12,84.7,1,1
160,47,60.5,6,66.9,1,0
161,35,73.9,15,91.6,1,1
162,50,46.3,3,50.8,0,0
163,28,67.6,7,70.9,1,1
164,43,80.4,13,86.3,1,1
165,37,52.7,2,39.4,0,0
166,49,88.3,10,79.8,1,1
167,32,61.8,4,56.6,1,0
168,46,75.7,8,73.4,1,1
169,24,56.9,11,81.2,1,1
170,54,48.4,1,30.8,0,0
171,40,71.4,14,89.1,1,1
172,34,64.2,5,62.8,1,1
173,45,84.5,9,77.2,1,1
174,29,50.9,0,24.1,0,0
175,51,76.1,12,83.2,1,1
176,38,58.6,6,68.1,1,0
177,42,90.6,15,90.9,1,1
178,27,53.5,3,47.7,0,0
179,55,69.3,8,74.1,1,1
180,33,79.1,13,87.8,1,1
