userId,itemId,rating
43,53,2.5
43,69,4.0
44,10,3.0
44,25,4.0
44,39,3.5
44,54,4.5
44,70,3.0
45,15,4.0
45,32,3.5
45,49,4.5
45,65,2.5
45,80,4.0
46,1,3.5
46,20,4.0
46,36,3.0
46,52,4.5
46,67,3.5
47,8,4.0
47,23,3.5
47,43,4.5
47,60,3.0
47,76,4.0
48,5,3.5
48,19,4.0
48,34,3.0
48,50,4.5
48,66,3.5
49,12,4.0
49,28,3.5
49,44,4.5
49,59,3.0
49,75,4.0
50,3,3.5
50,17,4.0
50,33,3.0
50,48,4.5
50,64,3.5
1,12,4.0
1,34,3.5
1,56,4.5
1,78,3.0
1,90,4.0
2,15,3.5
2,32,4.0
2,49,3.0
2,65,4.5
2,81,3.5
3,8,4.0
3,23,3.5
3,43,4.5
3,60,3.0
3,76,4.0
4,5,3.5
4,19,4.0
4,34,3.0
4,50,4.5
4,66,3.5
5,12,4.0
5,28,3.5
5,44,4.5
5,59,3.0
5,75,4.0
6,3,3.5
6,17,4.0
6,33,3.0
6,48,4.5
6,64,3.5
7,7,4.0
7,22,3.5
7,38,4.5
7,55,3.0
7,71,4.0
8,11,3.5
8,26,4.0
8,41,3.0
8,58,4.5
8,73,3.5
9,14,4.0
9,30,3.5
9,46,4.5
9,62,3.0
9,78,4.0
10,4,3.5
10,18,4.0
10,35,3.0
10,51,4.5
10,68,3.5
11,9,4.0
11,24,3.5
11,40,4.5
11,56,3.0
11,72,4.0
12,2,3.5
12,16,4.0
12,31,3.0
12,47,4.5
12,63,3.5
13,13,4.0
13,27,3.5
13,42,4.5
13,57,3.0
13,74,4.0
14,6,3.5
14,21,4.0
14,37,3.0
14,53,4.5
14,69,3.5
15,10,4.0
15,25,3.5
15,39,4.5
15,54,3.0
15,70,4.0
16,15,3.5
16,32,4.0
16,49,3.0
16,65,4.5
16,80,3.5
17,1,4.0
17,20,3.5
17,36,4.5
17,52,3.0
17,67,4.0
18,8,3.5
18,23,4.0
18,43,3.0
18,60,4.5
18,76,3.5
19,5,4.0
19,19,3.5
19,34,4.5
19,50,3.0
19,66,4.0
20,12,3.5
20,28,4.0
20,44,3.0
20,59,4.5
20,75,3.5
21,3,4.0
21,17,3.5
21,33,4.5
21,48,3.0
21,64,4.0
22,7,3.5
22,22,4.0
22,38,3.0
22,55,4.5
22,71,3.5
23,11,4.0
23,26,3.5
23,41,4.5
23,58,3.0
23,73,4.0
24,14,3.5
24,30,4.0
24,46,3.0
24,62,4.5
24,78,3.5
25,4,4.0
25,18,3.5
25,35,4.5
25,51,3.0
25,68,4.0
26,9,3.5
26,24,4.0
26,40,3.0
26,56,4.5
26,72,3.5
27,2,4.0
27,16,3.5
27,31,4.5
27,47,3.0
27,63,4.0
28,13,3.5
28,27,4.0
28,42,3.0
28,57,4.5
28,74,3.5
29,6,4.0
29,21,3.5
29,37,4.5
29,53,3.0
29,69,4.0
30,10,3.5
30,25,4.0
30,39,3.0
30,54,4.5
30,70,3.5
31,15,4.0
31,32,3.5
31,49,4.5
31,65,3.0
31,81,4.0
32,1,3.5
32,20,4.0
32,36,3.0
32,52,4.5
32,67,3.5
33,8,4.0
33,23,3.5
33,43,4.5
33,60,3.0
33,76,4.0
34,5,3.5
34,19,4.0
34,34,3.0
34,50,4.5
34,66,3.5
35,12,4.0
35,28,3.5
35,44,4.5
35,59,3.0
35,75,4.0
36,3,3.5
36,17,4.0
36,33,3.0
36,48,4.5
36,64,3.5
37,7,4.0
37,22,3.5
37,38,4.5
37,55,3.0
37,71,4.0
38,11,3.5
38,26,4.0
38,41,3.0
38,58,4.5
38,73,3.5
39,14,4.0
39,30,3.5
39,46,4.5
39,62,3.0
39,78,4.0
40,4,3.5
40,18,4.0
40,35,3.0
40,51,4.5
40,68,3.5
41,9,4.0
41,24,3.5
41,40,4.5
41,56,3.0
41,72,4.0
42,2,3.5
42,16,4.0
42,31,3.0
42,47,4.5
42,63,3.5
43,13,4.0
43,27,3.5
43,42,4.5
43,57,3.0
43,74,4.0
44,6,3.5
44,21,4.0
44,37,3.0
44,53,4.5
44,69,3.5
45,10,4.0
45,25,3.5
45,39,4.5
45,54,3.0
45,70,4.0
46,15,3.5
46,32,4.0
46,49,3.0
46,65,4.5
46,80,3.5
47,1,4.0
47,20,3.5
47,36,4.5
47,52,3.0
47,67,4.0
48,8,3.5
48,23,4.0
48,43,3.0
48,60,4.5
48,76,3.5
49,5,4.0
49,19,3.5
49,34,4.5
49,50,3.0
49,66,4.0
50,12,3.5
50,28,4.0
50,44,3.0
50,59,4.5
50,75,3.5
1,15,4.0
1,29,3.5
1,44,4.5
1,59,3.0
1,73,4.0
2,8,3.5
2,23,4.0
2,43,3.0
2,60,4.5
2,76,3.5
3,5,4.0
3,19,3.5
3,34,4.5
3,50,3.0
3,66,4.0
4,12,3.5
4,28,4.0
4,44,3.0
4,59,4.5
4,75,3.5
5,3,4.0
5,17,3.5
5,33,4.5
5,48,3.0
5,64,4.0
6,7,3.5
6,22,4.0
6,38,3.0
6,55,4.5
6,71,3.5
7,11,4.0
7,26,3.5
7,41,4.5
7,58,3.0
7,73,4.0
8,14,3.5
8,30,4.0
8,46,3.0
8,62,4.5
8,78,3.5
9,4,4.0
9,18,3.5
9,35,4.5
9,51,3.0
9,68,4.0
10,9,3.5
10,24,4.0
10,40,3.0
10,56,4.5
10,72,3.5
11,2,4.0
11,16,3.5
11,31,4.5
11,47,3.0
11,63,4.0
12,13,3.5
12,27,4.0
12,42,3.0
12,57,4.5
12,74,3.5
13,6,4.0
13,21,3.5
13,37,4.5
13,53,3.0
13,69,4.0
14,10,3.5
14,25,4.0
14,39,3.0
14,54,4.5
14,70,3.5
15,15,4.0
15,32,3.5
15,49,4.5
15,65,3.0
15,80,4.0
16,1,3.5
16,20,4.0
16,36,3.0
16,52,4.5
16,67,3.5
17,8,4.0
17,23,3.5
17,43,4.5
17,60,3.0
17,76,4.0
18,5,3.5
18,19,4.0
18,34,3.0
18,50,4.5
18,66,3.5
19,12,4.0
19,28,3.5
19,44,4.5
19,59,3.0
19,75,4.0
20,3,3.5
20,17,4.0
20,33,3.0
20,48,4.5
20,64,3.5
21,7,4.0
21,22,3.5
21,38,4.5
21,55,3.0
21,71,4.0
22,11,3.5
22,26,4.0
22,41,3.0
22,58,4.5
22,73,3.5
23,14,4.0
23,30,3.5
23,46,4.5
23,62,3.0
23,78,4.0
24,4,3.5
24,18,4.0
24,35,3.0
24,51,4.5
24,68,3.5
25,9,4.0
25,24,3.5
25,40,4.5
25,56,3.0
25,72,4.0
26,2,3.5
26,16,4.0
26,31,3.0
26,47,4.5
26,63,3.5
27,13,4.0
27,27,3.5
27,42,4.5
27,57,3.0
27,74,4.0
28,6,3.5
28,21,4.0
28,37,3.0
28,53,4.5
28,69,3.5
29,10,4.0
29,25,3.5
29,39,4.5
29,54,3.0
29,70,4.0
30,15,3.5
30,32,4.0
30,49,3.0
30,65,4.5
30,81,3.5
31,1,4.0
31,20,3.5
31,36,4.5
31,52,3.0
31,67,4.0
32,8,3.5
32,23,4.0
32,43,3.0
32,60,4.5
32,76,3.5
33,5,4.0
33,19,3.5
33,34,4.5
33,50,3.0
33,66,4.0
34,12,3.5
34,28,4.0
34,44,3.0
34,59,4.5
34,75,3.5
35,3,4.0
35,17,3.5
35,33,4.5
35,48,3.0
35,64,4.0
36,7,3.5
36,22,4.0
36,38,3.0
36,55,4.5
36,71,3.5
37,11,4.0
37,26,3.5
37,41,4.5
37,58,3.0
37,73,4.0
38,14,3.5
38,30,4.0
38,46,3.0
38,62,4.5
38,78,3.5
39,4,4.0
39,18,3.5
39,35,4.5
39,51,3.0
39,68,4.0
40,9,3.5
40,24,4.0
40,40,3.0
40,56,4.5
40,72,3.5
41,2,4.0
41,16,3.5
41,31,4.5
41,47,3.0
41,63,4.0
42,13,3.5
42,27,4.0
42,42,3.0
42,57,4.5
42,74,3.5
43,6,4.0
43,21,3.5
43,37,4.5
43,53,3.0
43,69,4.0
44,10,3.5
44,25,4.0
44,39,3.0
44,54,4.5
44,70,3.5
45,15,4.0
45,32,3.5
45,49,4.5
45,65,3.0
45,80,4.0
46,1,3.5
46,20,4.0
46,36,3.0
46,52,4.5
46,67,3.5
47,8,4.0
47,23,3.5
47,43,4.5
47,60,3.0
47,76,4.0
48,5,3.5
48,19,4.0
48,34,3.0
48,50,4.5
48,66,3.5
49,12,4.0
49,28,3.5
49,44,4.5
49,59,3.0
49,75,4.0
50,3,3.5
50,17,4.0
50,33,3.0
50,48,4.5
50,64,3.5
1,7,4.0
1,22,3.5
1,38,4.5
1,55,3.0
1,71,4.0
2,11,3.5
2,26,4.0
2,41,3.0
2,58,4.5
2,73,3.5
3,14,4.0
3,30,3.5
3,46,4.5
3,62,3.0
3,78,4.0
4,4,3.5
4,18,4.0
4,35,3.0
4,51,4.5
4,68,3.5
5,9,4.0
5,24,3.5
5,40,4.5
5,56,3.0
5,72,4.0
6,2,3.5
6,16,4.0
6,31,3.0
6,47,4.5
6,63,3.5
7,13,4.0
7,27,3.5
7,42,4.5
7,57,3.0
7,74,4.0
8,6,3.5
8,21,4.0
8,37,3.0
8,53,4.5
8,69,3.5
9,10,4.0
9,25,3.5
9,39,4.5
9,54,3.0
9,70,4.0
10,15,3.5
10,32,4.0
10,49,3.0
10,65,4.5
10,80,3.5
11,1,4.0
11,20,3.5
11,36,4.5
11,52,3.0
11,67,4.0
12,8,3.5
12,23,4.0
12,43,3.0
12,60,4.5
12,76,3.5
13,5,4.0
13,19,3.5
13,34,4.5
13,50,3.0
13,66,4.0
14,12,3.5
14,28,4.0
14,44,3.0
14,59,4.5
14,75,3.5
15,3,4.0
15,17,3.5
15,33,4.5
15,48,3.0
15,64,4.0
16,7,3.5
16,22,4.0
16,38,3.0
16,55,4.5
16,71,3.5
17,11,4.0
17,26,3.5
17,41,4.5
17,58,3.0
17,73,4.0
18,14,3.5
18,30,4.0
18,46,3.0
18,62,4.5
18,78,3.5
19,4,4.0
19,18,3.5
19,35,4.5
19,51,3.0
19,68,4.0
20,9,3.5
20,24,4.0
20,40,3.0
20,56,4.5
20,72,3.5
