Id,OpportunityId,ContactId,Role,IsPrimary
00KXX000006DGfOQAG,006XX000005DGdPQAG,003XX000004DGdOQAG,Business User,false
00KXX000006DGfPQAG,006XX000005DGdQQAG,003XX000004DGdPQAG,Business User,true
00KXX000006DGfQQAG,006XX000005DGdQQAG,003XX000004DGdQQAG,Evaluator,false
00KXX000006DGfRQAG,006XX000005DGdRQAG,003XX000004DGdRQAG,Technical Buyer,true
00KXX000006DGfSQAG,006XX000005DGdRQAG,003XX000004DGdSQAG,Business User,false
00KXX000006DGfTQAG,006XX000005DGdSQAG,003XX000004DGdTQAG,Executive Sponsor,true
00KXX000006DGfUQAG,006XX000005DGdSQAG,003XX000004DGdUQAG,Decision Maker,false
00KXX000006DGfVQAG,006XX000005DGdTQAG,003XX000004DGdVQAG,Business User,true
00KXX000006DGfWQAG,006XX000005DGdTQAG,003XX000004DGdWQAG,Technical Buyer,false
00KXX000006DGfXQAG,006XX000005DGdUQAG,003XX000004DGdXQAG,Evaluator,true
00KXX000006DGfYQAG,006XX000005DGdUQAG,003XX000004DGdYQAG,Business User,false
00KXX000006DGfZQAG,006XX000005DGdVQAG,003XX000004DGdZQAG,Decision Maker,true
00KXX000006DGgAQAG,006XX000005DGdVQAG,003XX000004DGeAQAG,Executive Sponsor,false
00KXX000006DGgBQAG,006XX000005DGdWQAG,003XX000004DGeBQAG,Business User,true
00KXX000006DGgCQAG,006XX000005DGdWQAG,003XX000004DGeCQAG,Technical Buyer,false
00KXX000006DGgDQAG,006XX000005DGdXQAG,003XX000004DGeDQAG,Evaluator,true
00KXX000006DGgEQAG,006XX000005DGdXQAG,003XX000004DGeEQAG,Business User,false
00KXX000006DGgFQAG,006XX000005DGdYQAG,003XX000004DGeFQAG,Decision Maker,true
00KXX000006DGgGQAG,006XX000005DGdYQAG,003XX000004DGeGQAG,Business User,false
00KXX000006DGgHQAG,006XX000005DGdZQAG,003XX000004DGeHQAG,Executive Sponsor,true
00KXX000006DGgIQAG,006XX000005DGdZQAG,003XX000004DGeIQAG,Technical Buyer,false
00KXX000006DGgJQAG,006XX000005DGeAQAG,003XX000004DGeJQAG,Business User,true
00KXX000006DGgKQAG,006XX000005DGeAQAG,003XX000004DGeKQAG,Evaluator,false
00KXX000006DGgLQAG,006XX000005DGeBQAG,003XX000004DGeLQAG,Decision Maker,true
00KXX000006DGgMQAG,006XX000005DGeBQAG,003XX000004DGeMQAG,Business User,false
00KXX000006DGgNQAG,006XX000005DGeCQAG,003XX000004DGeNQAG,Technical Buyer,true
00KXX000006DGgOQAG,006XX000005DGeCQAG,003XX000004DGeOQAG,Business User,false
00KXX000006DGgPQAG,006XX000005DGeDQAG,003XX000004DGePQAG,Executive Sponsor,true
00KXX000006DGgQQAG,006XX000005DGeDQAG,003XX000004DGeQQAG,Evaluator,false
00KXX000006DGgRQAG,006XX000005DGeEQAG,003XX000004DGeRQAG,Business User,true
00KXX000006DGgSQAG,006XX000005DGeEQAG,003XX000004DGeSQAG,Decision Maker,false
00KXX000006DGgTQAG,006XX000005DGeFQAG,003XX000004DGeTQAG,Technical Buyer,true
00KXX000006DGgUQAG,006XX000005DGeFQAG,003XX000004DGeUQAG,Business User,false
00KXX000006DGgVQAG,006XX000005DGeGQAG,003XX000004DGeVQAG,Evaluator,true
00KXX000006DGgWQAG,006XX000005DGeGQAG,003XX000004DGeWQAG,Business User,false
00KXX000006DGgXQAG,006XX000005DGeHQAG,003XX000004DGeXQAG,Decision Maker,true
00KXX000006DGgYQAG,006XX000005DGeHQAG,003XX000004DGeYQAG,Executive Sponsor,false
00KXX000006DGgZQAG,006XX000005DGeIQAG,003XX000004DGeZQAG,Business User,true
00KXX000006DGhAQAG,006XX000005DGeIQAG,003XX000004DGfAQAG,Technical Buyer,false
00KXX000006DGhBQAG,006XX000005DGeJQAG,003XX000004DGfBQAG,Executive Sponsor,true
00KXX000006DGhCQAG,006XX000005DGeJQAG,003XX000004DGfCQAG,Business User,false
00KXX000006DGhDQAG,006XX000005DGeKQAG,003XX000004DGfDQAG,Evaluator,true
00KXX000006DGhEQAG,006XX000005DGeKQAG,003XX000004DGfEQAG,Technical Buyer,false
00KXX000006DGhFQAG,006XX000005DGeLQAG,003XX000004DGfFQAG,Decision Maker,true
00KXX000006DGhGQAG,006XX000005DGeLQAG,003XX000004DGfGQAG,Business User,false
00KXX000006DGhHQAG,006XX000005DGeMQAG,003XX000004DGfHQAG,Business User,true
00KXX000006DGhIQAG,006XX000005DGeMQAG,003XX000004DGfIQAG,Evaluator,false
00KXX000006DGhJQAG,006XX000005DGeNQAG,003XX000004DGfJQAG,Executive Sponsor,true
00KXX000006DGhKQAG,006XX000005DGeNQAG,003XX000004DGfKQAG,Technical Buyer,false
00KXX000006DGhLQAG,006XX000005DGeOQAG,003XX000004DGfLQAG,Decision Maker,true
00KXX000006DGhMQAG,006XX000005DGeOQAG,003XX000004DGfMQAG,Business User,false
00KXX000006DGhNQAG,006XX000005DGePQAG,003XX000004DGfNQAG,Business User,true
00KXX000006DGhOQAG,006XX000005DGePQAG,003XX000004DGfOQAG,Technical Buyer,false
00KXX000006DGhPQAG,006XX000005DGeQQAG,003XX000004DGfPQAG,Evaluator,true
00KXX000006DGhQQAG,006XX000005DGeQQAG,003XX000004DGfQQAG,Business User,false
00KXX000006DGhRQAG,006XX000005DGeRQAG,003XX000004DGfRQAG,Decision Maker,true
00KXX000006DGhSQAG,006XX000005DGeRQAG,003XX000004DGfSQAG,Executive Sponsor,false
00KXX000006DGhTQAG,006XX000005DGeSQAG,003XX000004DGfTQAG,Business User,true
00KXX000006DGhUQAG,006XX000005DGeSQAG,003XX000004DGfUQAG,Technical Buyer,false
00KXX000006DGhVQAG,006XX000005DGeTQAG,003XX000004DGfVQAG,Executive Sponsor,true
00KXX000006DGhWQAG,006XX000005DGeTQAG,003XX000004DGfWQAG,Business User,false
00KXX000006DGhXQAG,006XX000005DGeUQAG,003XX000004DGfXQAG,Evaluator,true
00KXX000006DGhYQAG,006XX000005DGeUQAG,003XX000004DGfYQAG,Technical Buyer,false
00KXX000006DGhZQAG,006XX000005DGeVQAG,003XX000004DGfZQAG,Decision Maker,true
00KXX000006DGiAQAG,006XX000005DGeVQAG,003XX000004DGgAQAG,Business User,false
00KXX000006DGiBQAG,006XX000005DGeWQAG,003XX000004DGgBQAG,Business User,true
00KXX000006DGiCQAG,006XX000005DGeWQAG,003XX000004DGgCQAG,Evaluator,false
00KXX000006DGiDQAG,006XX000005DGeXQAG,003XX000004DGgDQAG,Technical Buyer,true
00KXX000006DGiEQAG,006XX000005DGeXQAG,003XX000004DGgEQAG,Business User,false
00KXX000006DGiFQAG,006XX000005DGeYQAG,003XX000004DGgFQAG,Executive Sponsor,true
00KXX000006DGiGQAG,006XX000005DGeYQAG,003XX000004DGgGQAG,Decision Maker,false
00KXX000006DGiHQAG,006XX000005DGeZQAG,003XX000004DGgHQAG,Business User,true
00KXX000006DGiIQAG,006XX000005DGeZQAG,003XX000004DGgIQAG,Technical Buyer,false
00KXX000006DGiJQAG,006XX000005DGfAQAG,003XX000004DGgJQAG,Evaluator,true
00KXX000006DGiKQAG,006XX000005DGfAQAG,003XX000004DGgKQAG,Business User,false
00KXX000006DGiLQAG,006XX000005DGfBQAG,003XX000004DGgLQAG,Decision Maker,true
00KXX000006DGiMQAG,006XX000005DGfBQAG,003XX000004DGgMQAG,Executive Sponsor,false
00KXX000006DGiNQAG,006XX000005DGfCQAG,003XX000004DGgNQAG,Business User,true
00KXX000006DGiOQAG,006XX000005DGfCQAG,003XX000004DGgOQAG,Technical Buyer,false
00KXX000006DGiPQAG,006XX000005DGfDQAG,003XX000004DGgPQAG,Executive Sponsor,true
00KXX000006DGiQQAG,006XX000005DGfDQAG,003XX000004DGgQQAG,Business User,false
00KXX000006DGiRQAG,006XX000005DGfEQAG,003XX000004DGgRQAG,Evaluator,true
00KXX000006DGiSQAG,006XX000005DGfEQAG,003XX000004DGgSQAG,Technical Buyer,false
00KXX000006DGiTQAG,006XX000005DGfFQAG,003XX000004DGgTQAG,Decision Maker,true
00KXX000006DGiUQAG,006XX000005DGfFQAG,003XX000004DGgUQAG,Business User,false
00KXX000006DGiVQAG,006XX000005DGfGQAG,003XX000004DGgVQAG,Business User,true
00KXX000006DGiWQAG,006XX000005DGfGQAG,003XX000004DGgWQAG,Evaluator,false
00KXX000006DGiXQAG,006XX000005DGfHQAG,003XX000004DGgXQAG,Executive Sponsor,true
00KXX000006DGiYQAG,006XX000005DGfHQAG,003XX000004DGgYQAG,Technical Buyer,false
00KXX000006DGiZQAG,006XX000005DGfIQAG,003XX000004DGgZQAG,Business User,true
00KXX000006DGjAQAG,006XX000005DGfIQAG,003XX000004DGhAQAG,Decision Maker,false
00KXX000006DGjBQAG,006XX000005DGfJQAG,003XX000004DGhBQAG,Technical Buyer,true
00KXX000006DGjCQAG,006XX000005DGfJQAG,003XX000004DGhCQAG,Business User,false
00KXX000006DGjDQAG,006XX000005DGfKQAG,003XX000004DGhDQAG,Evaluator,true
00KXX000006DGjEQAG,006XX000005DGfKQAG,003XX000004DGhEQAG,Business User,false
00KXX000006DGjFQAG,006XX000005DGfLQAG,003XX000004DGhFQAG,Decision Maker,true
00KXX000006DGjGQAG,006XX000005DGfLQAG,003XX000004DGhGQAG,Executive Sponsor,false
00KXX000006DGjHQAG,006XX000005DGfMQAG,003XX000004DGhHQAG,Business User,true
00KXX000006DGjIQAG,006XX000005DGfMQAG,003XX000004DGhIQAG,Technical Buyer,false
00KXX000006DGjJQAG,006XX000005DGfNQAG,003XX000004DGhJQAG,Executive Sponsor,true
00KXX000006DGjKQAG,006XX000005DGfNQAG,003XX000004DGhKQAG,Business User,false
00KXX000006DGjLQAG,006XX000005DGfOQAG,003XX000004DGhLQAG,Evaluator,true
00KXX000006DGjMQAG,006XX000005DGfOQAG,003XX000004DGhMQAG,Technical Buyer,false
00KXX000006DGjNQAG,006XX000005DGfPQAG,003XX000004DGhNQAG,Decision Maker,true
00KXX000006DGjOQAG,006XX000005DGfPQAG,003XX000004DGhOQAG,Business User,false
00KXX000006DGjPQAG,006XX000005DGfQQAG,003XX000004DGhPQAG,Business User,true
00KXX000006DGjQQAG,006XX000005DGfQQAG,003XX000004DGhQQAG,Evaluator,false
00KXX000006DGjRQAG,006XX000005DGfRQAG,003XX000004DGhRQAG,Technical Buyer,true
00KXX000006DGjSQAG,006XX000005DGfRQAG,003XX000004DGhSQAG,Business User,false
00KXX000006DGjTQAG,006XX000005DGfSQAG,003XX000004DGhTQAG,Executive Sponsor,true
00KXX000006DGjUQAG,006XX000005DGfSQAG,003XX000004DGhUQAG,Decision Maker,false
00KXX000006DGjVQAG,006XX000005DGfTQAG,003XX000004DGhVQAG,Business User,true
00KXX000006DGjWQAG,006XX000005DGfTQAG,003XX000004DGhWQAG,Technical Buyer,false
00KXX000006DGjXQAG,006XX000005DGfUQAG,003XX000004DGhXQAG,Evaluator,true
00KXX000006DGjYQAG,006XX000005DGfUQAG,003XX000004DGhYQAG,Business User,false
00KXX000006DGjZQAG,006XX000005DGfVQAG,003XX000004DGhZQAG,Decision Maker,true
00KXX000006DGkAQAG,006XX000005DGfVQAG,003XX000004DGiAQAG,Executive Sponsor,false
00KXX000006DGkBQAG,006XX000005DGfWQAG,003XX000004DGiBQAG,Business User,true
00KXX000006DGkCQAG,006XX000005DGfWQAG,003XX000004DGiCQAG,Technical Buyer,false
00KXX000006DGkDQAG,006XX000005DGfXQAG,003XX000004DGiDQAG,Evaluator,true
00KXX000006DGkEQAG,006XX000005DGfXQAG,003XX000004DGiEQAG,Business User,false
00KXX000006DGkFQAG,006XX000005DGfYQAG,003XX000004DGiFQAG,Decision Maker,true
00KXX000006DGkGQAG,006XX000005DGfYQAG,003XX000004DGiGQAG,Business User,false
00KXX000006DGkHQAG,006XX000005DGfZQAG,003XX000004DGiHQAG,Executive Sponsor,true
00KXX000006DGkIQAG,006XX000005DGfZQAG,003XX000004DGiIQAG,Technical Buyer,false
00KXX000006DGkJQAG,006XX000005DGgAQAG,003XX000004DGiJQAG,Business User,true
00KXX000006DGkKQAG,006XX000005DGgAQAG,003XX000004DGiKQAG,Evaluator,false
00KXX000006DGkLQAG,006XX000005DGgBQAG,003XX000004DGiLQAG,Decision Maker,true
00KXX000006DGkMQAG,006XX000005DGgBQAG,003XX000004DGiMQAG,Business User,false
00KXX000006DGkNQAG,006XX000005DGgCQAG,003XX000004DGiNQAG,Technical Buyer,true
00KXX000006DGkOQAG,006XX000005DGgCQAG,003XX000004DGiOQAG,Business User,false
00KXX000006DGkPQAG,006XX000005DGgDQAG,003XX000004DGiPQAG,Executive Sponsor,true
00KXX000006DGkQQAG,006XX000005DGgDQAG,003XX000004DGiQQAG,Evaluator,false
00KXX000006DGkRQAG,006XX000005DGgEQAG,003XX000004DGiRQAG,Business User,true
00KXX000006DGkSQAG,006XX000005DGgEQAG,003XX000004DGiSQAG,Decision Maker,false
00KXX000006DGkTQAG,006XX000005DGgFQAG,003XX000004DGiTQAG,Technical Buyer,true
00KXX000006DGkUQAG,006XX000005DGgFQAG,003XX000004DGiUQAG,Business User,false
00KXX000006DGkVQAG,006XX000005DGgGQAG,003XX000004DGiVQAG,Evaluator,true
00KXX000006DGkWQAG,006XX000005DGgGQAG,003XX000004DGiWQAG,Business User,false
00KXX000006DGkXQAG,006XX000005DGgHQAG,003XX000004DGiXQAG,Decision Maker,true
00KXX000006DGkYQAG,006XX000005DGgHQAG,003XX000004DGiYQAG,Executive Sponsor,false
00KXX000006DGkZQAG,006XX000005DGgIQAG,003XX000004DGiZQAG,Business User,true
00KXX000006DGlAQAG,006XX000005DGgIQAG,003XX000004DGjAQAG,Technical Buyer,false
00KXX000006DGlBQAG,006XX000005DGgJQAG,003XX000004DGjBQAG,Executive Sponsor,true
00KXX000006DGlCQAG,006XX000005DGgJQAG,003XX000004DGjCQAG,Business User,false
00KXX000006DGlDQAG,006XX000005DGgKQAG,003XX000004DGjDQAG,Evaluator,true
00KXX000006DGlEQAG,006XX000005DGgKQAG,003XX000004DGjEQAG,Technical Buyer,false
00KXX000006DGlFQAG,006XX000005DGgLQAG,003XX000004DGjFQAG,Decision Maker,true
00KXX000006DGlGQAG,006XX000005DGgLQAG,003XX000004DGjGQAG,Business User,false
00KXX000006DGlHQAG,006XX000005DGgMQAG,003XX000004DGjHQAG,Business User,true
00KXX000006DGlIQAG,006XX000005DGgMQAG,003XX000004DGjIQAG,Evaluator,false
00KXX000006DGlJQAG,006XX000005DGgNQAG,003XX000004DGjJQAG,Executive Sponsor,true
00KXX000006DGlKQAG,006XX000005DGgNQAG,003XX000004DGjKQAG,Technical Buyer,false
00KXX000006DGlLQAG,006XX000005DGgOQAG,003XX000004DGjLQAG,Decision Maker,true
00KXX000006DGlMQAG,006XX000005DGgOQAG,003XX000004DGjMQAG,Business User,false
00KXX000006DGlNQAG,006XX000005DGgPQAG,003XX000004DGjNQAG,Business User,true
00KXX000006DGlOQAG,006XX000005DGgPQAG,003XX000004DGjOQAG,Technical Buyer,false
00KXX000006DGlPQAG,006XX000005DGgQQAG,003XX000004DGjPQAG,Evaluator,true
00KXX000006DGlQQAG,006XX000005DGgQQAG,003XX000004DGjQQAG,Business User,false
00KXX000006DGlRQAG,006XX000005DGgRQAG,003XX000004DGjRQAG,Decision Maker,true
00KXX000006DGlSQAG,006XX000005DGgRQAG,003XX000004DGjSQAG,Executive Sponsor,false
00KXX000006DGlTQAG,006XX000005DGgSQAG,003XX000004DGjTQAG,Business User,true
00KXX000006DGlUQAG,006XX000005DGgSQAG,003XX000004DGjUQAG,Technical Buyer,false
00KXX000006DGlVQAG,006XX000005DGgTQAG,003XX000004DGjVQAG,Executive Sponsor,true
00KXX000006DGlWQAG,006XX000005DGgTQAG,003XX000004DGjWQAG,Business User,false
00KXX000006DGlXQAG,006XX000005DGgUQAG,003XX000004DGjXQAG,Evaluator,true
00KXX000006DGlYQAG,006XX000005DGgUQAG,003XX000004DGjYQAG,Technical Buyer,false
00KXX000006DGlZQAG,006XX000005DGgVQAG,003XX000004DGjZQAG,Decision Maker,true
00KXX000006DGmAQAG,006XX000005DGgVQAG,003XX000004DGkAQAG,Business User,false
00KXX000006DGmBQAG,006XX000005DGgWQAG,003XX000004DGkBQAG,Business User,true
00KXX000006DGmCQAG,006XX000005DGgWQAG,003XX000004DGkCQAG,Evaluator,false
00KXX000006DGmDQAG,006XX000005DGgXQAG,003XX000004DGkDQAG,Technical Buyer,true
00KXX000006DGmEQAG,006XX000005DGgXQAG,003XX000004DGkEQAG,Business User,false
00KXX000006DGmFQAG,006XX000005DGgYQAG,003XX000004DGkFQAG,Executive Sponsor,true
00KXX000006DGmGQAG,006XX000005DGgYQAG,003XX000004DGkGQAG,Decision Maker,false
00KXX000006DGmHQAG,006XX000005DGgZQAG,003XX000004DGkHQAG,Business User,true
00KXX000006DGmIQAG,006XX000005DGgZQAG,003XX000004DGkIQAG,Technical Buyer,false
00KXX000006DGmJQAG,006XX000005DGhAQAG,003XX000004DGkJQAG,Evaluator,true
00KXX000006DGmKQAG,006XX000005DGhAQAG,003XX000004DGkKQAG,Business User,false
00KXX000006DGmLQAG,006XX000005DGhBQAG,003XX000004DGkLQAG,Decision Maker,true
00KXX000006DGmMQAG,006XX000005DGhBQAG,003XX000004DGkMQAG,Executive Sponsor,false
00KXX000006DGmNQAG,006XX000005DGhCQAG,003XX000004DGkNQAG,Business User,true
00KXX000006DGmOQAG,006XX000005DGhCQAG,003XX000004DGkOQAG,Technical Buyer,false
00KXX000006DGmPQAG,006XX000005DGhDQAG,003XX000004DGkPQAG,Executive Sponsor,true
00KXX000006DGmQQAG,006XX000005DGhDQAG,003XX000004DGkQQAG,Business User,false
00KXX000006DGmRQAG,006XX000005DGhEQAG,003XX000004DGkRQAG,Evaluator,true
00KXX000006DGmSQAG,006XX000005DGhEQAG,003XX000004DGkSQAG,Technical Buyer,false
00KXX000006DGmTQAG,006XX000005DGhFQAG,003XX000004DGkTQAG,Decision Maker,true
00KXX000006DGmUQAG,006XX000005DGhFQAG,003XX000004DGkUQAG,Business User,false
00KXX000006DGmVQAG,006XX000005DGhGQAG,003XX000004DGkVQAG,Business User,true
00KXX000006DGmWQAG,006XX000005DGhGQAG,003XX000004DGkWQAG,Evaluator,false
00KXX000006DGmXQAG,006XX000005DGhHQAG,003XX000004DGkXQAG,Executive Sponsor,true
00KXX000006DGmYQAG,006XX000005DGhHQAG,003XX000004DGkYQAG,Technical Buyer,false
00KXX000006DGmZQAG,006XX000005DGhIQAG,003XX000004DGkZQAG,Business User,true
00KXX000006DGnAQAG,006XX000005DGhIQAG,003XX000004DGlAQAG,Decision Maker,false
00KXX000006DGnBQAG,006XX000005DGhJQAG,003XX000004DGlBQAG,Technical Buyer,true
00KXX000006DGnCQAG,006XX000005DGhJQAG,003XX000004DGlCQAG,Business User,false
00KXX000006DGnDQAG,006XX000005DGhKQAG,003XX000004DGlDQAG,Evaluator,true
00KXX000006DGnEQAG,006XX000005DGhKQAG,003XX000004DGlEQAG,Business User,false
00KXX000006DGnFQAG,006XX000005DGhLQAG,003XX000004DGlFQAG,Decision Maker,true
00KXX000006DGnGQAG,006XX000005DGhLQAG,003XX000004DGlGQAG,Executive Sponsor,false
00KXX000006DGnHQAG,006XX000005DGhMQAG,003XX000004DGlHQAG,Business User,true
00KXX000006DGnIQAG,006XX000005DGhMQAG,003XX000004DGlIQAG,Technical Buyer,false
00KXX000006DGnJQAG,006XX000005DGhNQAG,003XX000004DGlJQAG,Executive Sponsor,true
00KXX000006DGnKQAG,006XX000005DGhNQAG,003XX000004DGlKQAG,Business User,false
00KXX000006DGnLQAG,006XX000005DGhOQAG,003XX000004DGlLQAG,Evaluator,true
00KXX000006DGnMQAG,006XX000005DGhOQAG,003XX000004DGlMQAG,Technical Buyer,false
00KXX000006DGnNQAG,006XX000005DGhPQAG,003XX000004DGlNQAG,Decision Maker,true
00KXX000006DGnOQAG,006XX000005DGhPQAG,003XX000004DGlOQAG,Business User,false
00KXX000006DGnPQAG,006XX000005DGhQQAG,003XX000004DGlPQAG,Business User,true
00KXX000006DGnQQAG,006XX000005DGhQQAG,003XX000004DGlQQAG,,false
00KXX000006DGnRQAG,006XX000005DGhRQAG,003XX000004DGlRQAG,Technical Buyer,true
00KXX000006DGnSQAG,006XX000005DGhRQAG,003XX000004DGlSQAG,Business User,false
00KXX000006DGnTQAG,006XX000005DGhSQAG,003XX000004DGlTQAG,Executive Sponsor,true
00KXX000006DGnUQAG,006XX000005DGhSQAG,003XX000004DGlUQAG,Decision Maker,false
00KXX000006DGnVQAG,006XX000005DGhTQAG,003XX000004DGlVQAG,Business User,true
00KXX000006DGnWQAG,006XX000005DGhTQAG,003XX000004DGlWQAG,Technical Buyer,false
00KXX000006DGnXQAG,006XX000005DGhUQAG,003XX000004DGlXQAG,Evaluator,true
00KXX000006DGnYQAG,006XX000005DGhUQAG,003XX000004DGlYQAG,,false
00KXX000006DGnZQAG,006XX000005DGhVQAG,003XX000004DGlZQAG,Decision Maker,true
00KXX000006DGoAQAG,006XX000005DGhVQAG,003XX000004DGmAQAG,Executive Sponsor,false
00KXX000006DGoBQAG,006XX000005DGhWQAG,003XX000004DGmBQAG,Business User,true
00KXX000006DGoCQAG,006XX000005DGhWQAG,003XX000004DGmCQAG,Technical Buyer,false
00KXX000006DGoDQAG,006XX000005DGhXQAG,003XX000004DGmDQAG,Evaluator,true
00KXX000006DGoEQAG,006XX000005DGhXQAG,003XX000004DGmEQAG,Business User,false
00KXX000006DGoFQAG,006XX000005DGhYQAG,003XX000004DGmFQAG,Decision Maker,true
00KXX000006DGoGQAG,006XX000005DGhYQAG,003XX000004DGmGQAG,Business User,false
00KXX000006DGoHQAG,006XX000005DGhZQAG,003XX000004DGmHQAG,Executive Sponsor,true
00KXX000006DGoIQAG,006XX000005DGhZQAG,003XX000004DGmIQAG,Technical Buyer,false
00KXX000006DGoJQAG,006XX000005DGiAQAG,003XX000004DGmJQAG,Business User,true
00KXX000006DGoKQAG,006XX000005DGiAQAG,003XX000004DGmKQAG,Evaluator,false
00KXX000006DGoLQAG,006XX000005DGiBQAG,003XX000004DGmLQAG,Decision Maker,true
00KXX000006DGoMQAG,006XX000005DGiBQAG,003XX000004DGmMQAG,Business User,false
00KXX000006DGoNQAG,006XX000005DGiCQAG,003XX000004DGmNQAG,Technical Buyer,true
00KXX000006DGoOQAG,006XX000005DGiCQAG,003XX000004DGmOQAG,Business User,false
00KXX000006DGoPQAG,006XX000005DGiDQAG,003XX000004DGmPQAG,Executive Sponsor,true
00KXX000006DGoQQAG,006XX000005DGiDQAG,003XX000004DGmQQAG,Evaluator,false
00KXX000006DGoRQAG,006XX000005DGiEQAG,003XX000004DGmRQAG,Business User,true
00KXX000006DGoSQAG,006XX000005DGiEQAG,003XX000004DGmSQAG,Decision Maker,false
00KXX000006DGoTQAG,006XX000005DGiFQAG,003XX000004DGmTQAG,Technical Buyer,true
