Id,Name,AccountId,Amount,Stage,CloseDate,Probability,Type
006XX000005DGg7QAG,Mobile Banking App,001XX000003DGd4QAG,625000.00,Closed Won,2023-08-31,100,New Business
006XX000005DGg8QAG,Fraud Detection System,001XX000003DGd4QAG,450000.00,Closed Won,2023-10-25,100,New Business
006XX000005DGg9QAG,Document Management,001XX000003DGd5QAG,175000.00,Closed Won,2023-09-12,100,New Business
006XX000005DGh0QAG,Collaboration Tools,001XX000003DGd5QAG,95000.00,Closed Won,2023-07-18,100,Existing Business
006XX000005DGh1QAG,Video Conferencing Setup,001XX000003DGd6QAG,65000.00,Closed Won,2023-11-03,100,New Business
006XX000005DGh2QAG,HR Management System,001XX000003DGd7QAG,315000.00,Closed Won,2023-08-22,100,New Business
006XX000005DGh3QAG,Payroll Integration,001XX000003DGd7QAG,185000.00,Closed Won,2023-10-14,100,Existing Business
006XX000005DGh4QAG,Learning Management System,001XX000003DGd8QAG,245000.00,Closed Won,2023-09-06,100,New Business
006XX000005DGh5QAG,Performance Tracking Tool,001XX000003DGd8QAG,135000.00,Closed Won,2023-07-30,100,New Business
006XX000005DGh6QAG,Supply Chain Solution,001XX000003DGd9QAG,555000.00,Closed Won,2023-11-17,100,New Business
006XX000005DGh7QAG,Inventory Management,001XX000003DGd9QAG,285000.00,Closed Won,2023-08-09,100,New Business
006XX000005DGh8QAG,Quality Assurance System,001XX000003DGe0QAG,395000.00,Closed Won,2023-10-01,100,New Business
006XX000005DGh9QAG,Manufacturing Analytics,001XX000003DGe1QAG,465000.00,Closed Won,2023-09-14,100,New Business
006XX000005DGi0QAG,Maintenance Scheduler,001XX000003DGe1QAG,175000.00,Closed Won,2023-07-23,100,Existing Business
006XX000005DGi1QAG,Energy Management Platform,001XX000003DGe2QAG,525000.00,Closed Won,2023-11-07,100,New Business
006XX000005DGi2QAG,Sustainability Dashboard,001XX000003DGe2QAG,225000.00,Closed Won,2023-08-16,100,New Business
006XX000005DGi3QAG,Fleet Management System,001XX000003DGe3QAG,335000.00,Closed Won,2023-10-09,100,New Business
006XX000005DGi4QAG,Route Optimization,001XX000003DGe3QAG,185000.00,Closed Won,2023-09-27,100,Existing Business
006XX000005DGi5QAG,Asset Tracking Solution,001XX000003DGe4QAG,275000.00,Closed Won,2023-07-12,100,New Business
006XX000005DGi6QAG,Maintenance Management,001XX000003DGe5QAG,195000.00,Closed Won,2023-11-25,100,New Business
006XX000005DGi7QAG,Reporting Platform,001XX000003DGe6QAG,155000.00,Closed Won,2023-08-05,100,New Business
006XX000005DGi8QAG,Dashboard Development,001XX000003DGe6QAG,115000.00,Closed Won,2023-10-20,100,Existing Business
006XX000005DGi9QAG,Telehealth Platform,001XX000003DGe7QAG,585000.00,Closed Won,2023-09-03,100,New Business
006XX000005DGj0QAG,Medical Records System,001XX000003DGe7QAG,425000.00,Closed Won,2023-07-16,100,New Business
006XX000005DGj1QAG,Appointment Scheduling,001XX000003DGe8QAG,145000.00,Closed Won,2023-11-11,100,New Business
006XX000005DGj2QAG,Billing Integration,001XX000003DGe8QAG,185000.00,Closed Won,2023-08-26,100,Existing Business
006XX000005DGj3QAG,Insurance Claims System,001XX000003DGe9QAG,395000.00,Closed Won,2023-10-12,100,New Business
006XX000005DGj4QAG,Customer Service Portal,001XX000003DGf0QAG,225000.00,Closed Won,2023-09-08,100,New Business
006XX000005DGj5QAG,Call Center Solution,001XX000003DGf0QAG,315000.00,Closed Won,2023-07-21,100,New Business
006XX000005DGj6QAG,Knowledge Base System,001XX000003DGf1QAG,125000.00,Closed Won,2023-11-19,100,New Business
006XX000005DGj7QAG,Ticketing Platform,001XX000003DGf1QAG,165000.00,Closed Won,2023-08-14,100,Existing Business
006XX000005DGj8QAG,Social Media Integration,001XX000003DGf2QAG,95000.00,Closed Won,2023-10-06,100,New Business
006XX000005DGj9QAG,Campaign Management Tool,001XX000003DGf3QAG,235000.00,Closed Won,2023-09-19,100,New Business
006XX000005DGk0QAG,Lead Scoring System,001XX000003DGf3QAG,185000.00,Closed Won,2023-07-27,100,Existing Business
006XX000005DGk1QAG,Sales Enablement Platform,001XX000003DGf4QAG,345000.00,Closed Won,2023-11-13,100,New Business
006XX000005DGk2QAG,Proposal Automation,001XX000003DGf4QAG,175000.00,Closed Won,2023-08-20,100,New Business
006XX000005DGk3QAG,Contract Management,001XX000003DGf5QAG,265000.00,Closed Won,2023-10-15,100,New Business
006XX000005DGk4QAG,Signature Solution,001XX000003DGf5QAG,85000.00,Closed Won,2023-09-11,100,Existing Business
006XX000005DGk5QAG,Vendor Management System,001XX000003DGf6QAG,425000.00,Closed Won,2023-07-19,100,New Business
006XX000005DGk6QAG,Procurement Platform,001XX000003DGf6QAG,295000.00,Closed Won,2023-11-22,100,New Business
006XX000005DGk7QAG,Budget Planning Tool,001XX000003DGf7QAG,185000.00,Closed Won,2023-08-11,100,New Business
006XX000005DGk8QAG,Expense Management,001XX000003DGf7QAG,145000.00,Closed Won,2023-10-24,100,Existing Business
006XX000005DGk9QAG,Financial Forecasting,001XX000003DGf8QAG,355000.00,Closed Won,2023-09-16,100,New Business
006XX000005DGl0QAG,Treasury Management,001XX000003DGf8QAG,275000.00,Closed Won,2023-07-08,100,New Business
006XX000005DGl1QAG,Audit Management System,001XX000003DGf9QAG,245000.00,Closed Won,2023-11-26,100,New Business
006XX000005DGl2QAG,Compliance Tracking,001XX000003DGf9QAG,195000.00,Closed Won,2023-08-18,100,Existing Business
006XX000005DGl3QAG,Initial Discovery Call,001XX000003DGb2QAG,75000.00,Prospecting,2024-02-15,10,New Business
006XX000005DGl4QAG,Product Demo Scheduled,001XX000003DGb3QAG,125000.00,Prospecting,2024-02-20,10,New Business
006XX000005DGl5QAG,Requirements Gathering,001XX000003DGb5QAG,185000.00,Qualification,2024-02-25,25,New Business
006XX000005DGl6QAG,Solution Design Phase,001XX000003DGb8QAG,245000.00,Qualification,2024-03-01,25,New Business
006XX000005DGl7QAG,Proposal Submitted,001XX000003DGc1QAG,315000.00,Proposal,2024-03-05,50,New Business
006XX000005DGl8QAG,Contract Review,001XX000003DGc2QAG,425000.00,Negotiation,2024-03-10,75,New Business
006XX000005DGl9QAG,Pricing Discussion,001XX000003DGc4QAG,195000.00,Negotiation,2024-03-15,75,Existing Business
006XX000005DGm0QAG,Lost to Competitor,001XX000003DGb7QAG,385000.00,Closed Lost,2023-09-30,0,New Business
006XX000005DGm1QAG,Budget Constraints,001XX000003DGc0QAG,275000.00,Closed Lost,2023-10-12,0,New Business
006XX000005DGm2QAG,No Decision Made,001XX000003DGc3QAG,155000.00,Closed Lost,2023-11-08,0,New Business
006XX000005DGm3QAG,Timing Not Right,001XX000003DGc5QAG,225000.00,Closed Lost,2023-08-22,0,New Business
006XX000005DGm4QAG,Project Postponed,001XX000003DGc7QAG,95000.00,Closed Lost,2023-10-18,0,New Business
006XX000005DGm5QAG,Initial Outreach,001XX000003DGc8QAG,65000.00,Prospecting,2024-02-28,10,New Business
006XX000005DGm6QAG,Stakeholder Meeting,001XX000003DGc9QAG,145000.00,Prospecting,2024-03-03,10,New Business
006XX000005DGm7QAG,Needs Assessment,001XX000003DGd1QAG,205000.00,Qualification,2024-03-08,25,New Business
006XX000005DGm8QAG,Technical Evaluation,001XX000003DGd3QAG,335000.00,Qualification,2024-03-12,25,New Business
006XX000005DGm9QAG,RFP Response,001XX000003DGd5QAG,275000.00,Proposal,2024-03-18,50,New Business
006XX000005DGn0QAG,Final Presentation,001XX000003DGd6QAG,445000.00,Proposal,2024-03-22,50,New Business
006XX000005DGn1QAG,Terms Discussion,001XX000003DGd8QAG,185000.00,Negotiation,2024-03-25,75,New Business
006XX000005DGn2QAG,Legal Review,001XX000003DGd9QAG,395000.00,Negotiation,2024-03-28,75,New Business
006XX000005DGn3QAG,Chose Different Solution,001XX000003DGe0QAG,225000.00,Closed Lost,2023-09-15,0,New Business
006XX000005DGn4QAG,Internal Solution,001XX000003DGe2QAG,165000.00,Closed Lost,2023-10-27,0,New Business
006XX000005DGn5QAG,Lack of Engagement,001XX000003DGe4QAG,125000.00,Closed Lost,2023-11-19,0,New Business
006XX000005DGn6QAG,Price Too High,001XX000003DGe5QAG,285000.00,Closed Lost,2023-08-29,0,New Business
006XX000005DGn7QAG,Feature Gap,001XX000003DGe6QAG,195000.00,Closed Lost,2023-10-05,0,New Business
006XX000005DGn8QAG,New Lead Contact,001XX000003DGe8QAG,85000.00,Prospecting,2024-03-01,10,New Business
006XX000005DGn9QAG,Introduction Meeting,001XX000003DGe9QAG,115000.00,Prospecting,2024-03-04,10,New Business
006XX000005DGo0QAG,Discovery Workshop,001XX000003DGf1QAG,245000.00,Qualification,2024-03-09,25,New Business
006XX000005DGo1QAG,POC Planning,001XX000003DGf2QAG,325000.00,Qualification,2024-03-14,25,New Business
006XX000005DGo2QAG,Custom Proposal,001XX000003DGf4QAG,455000.00,Proposal,2024-03-19,50,New Business
006XX000005DGo3QAG,Executive Review,001XX000003DGf5QAG,375000.00,Proposal,2024-03-23,50,New Business
006XX000005DGo4QAG,MSA Negotiation,001XX000003DGf7QAG,265000.00,Negotiation,2024-03-26,75,New Business
006XX000005DGo5QAG,Finalize Terms,001XX000003DGf8QAG,345000.00,Negotiation,2024-03-29,75,New Business
006XX000005DGo6QAG,Went with Incumbent,001XX000003DGf9QAG,215000.00,Closed Lost,2023-09-21,0,New Business
006XX000005DGo7QAG,No Budget Approved,001XX000003DGg0QAG,175000.00,Closed Lost,2023-10-31,0,New Business
006XX000005DGo8QAG,Decision Delayed,001XX000003DGg1QAG,295000.00,Closed Lost,2023-11-23,0,New Business
006XX000005DGo9QAG,Exploration Phase,001XX000003DGg2QAG,95000.00,Prospecting,2024-03-06,10,New Business
006XX000005DGp0QAG,Qualification Call,001XX000003DGg3QAG,155000.00,Prospecting,2024-03-11,10,New Business
006XX000005DGp1QAG,Requirements Review,001XX000003DGg4QAG,285000.00,Qualification,2024-03-16,25,New Business
006XX000005DGp2QAG,Solution Mapping,001XX000003DGg5QAG,365000.00,Qualification,2024-03-20,25,New Business
006XX000005DGp3QAG,Proposal Development,001XX000003DGg6QAG,425000.00,Proposal,2024-03-24,50,New Business
006XX000005DGp4QAG,Competitive Analysis,001XX000003DGg7QAG,185000.00,Qualification,2024-03-13,25,New Business
006XX000005DGp5QAG,Expansion Opportunity,001XX000003DGb2QAG,225000.00,Qualification,2024-03-17,25,Existing Business
006XX000005DGp6QAG,Renewal Discussion,001XX000003DGb3QAG,295000.00,Negotiation,2024-03-27,75,Renewal
006XX000005DGp7QAG,Upsell Opportunity,001XX000003DGb4QAG,175000.00,Proposal,2024-03-21,50,Existing Business
006XX000005DGp8QAG,Additional Services,001XX000003DGb6QAG,145000.00,Qualification,2024-03-07,25,Existing Business
006XX000005DGp9QAG,Cross-sell Initiative,001XX000003DGb9QAG,265000.00,Proposal,2024-03-19,50,Existing Business
006XX000005DGq0QAG,Platform Expansion,001XX000003DGc6QAG,385000.00,Negotiation,2024-03-28,75,Existing Business
006XX000005DGq1QAG,Service Upgrade,001XX000003DGc8QAG,125000.00,Qualification,2024-03-10,25,Existing Business
006XX000005DGq2QAG,New Module Addition,001XX000003DGd0QAG,215000.00,Proposal,2024-03-22,50,Existing Business
006XX000005DGq3QAG,Contract Extension,001XX000003DGd2QAG,335000.00,Negotiation,2024-03-29,75,Renewal
006XX000005DGq4QAG,Feature Enhancement,001XX000003DGd4QAG,195000.00,Qualification,2024-03-15,25,Existing Business
006XX000005DGq5QAG,Additional Licenses,001XX000003DGd7QAG,155000.00,Proposal,2024-03-23,50,Existing Business
006XX000005DGq6QAG,Department Rollout,001XX000003DGd9QAG,425000.00,Negotiation,2024-03-30,75,Existing Business
006XX000005DGq7QAG,Training Services,001XX000003DGe1QAG,75000.00,Qualification,2024-03-12,25,Professional Services
006XX000005DGq8QAG,Consulting Package,001XX000003DGe3QAG,165000.00,Proposal,2024-03-24,50,Professional Services
006XX000005DGq9QAG,Implementation Support,001XX000003DGe7QAG,245000.00,Negotiation,2024-03-31,75,Professional Services
006XX000005DGr0QAG,Annual Renewal,001XX000003DGe8QAG,285000.00,Negotiation,2024-04-02,75,Renewal
006XX000005DGr1QAG,Multi-year Deal,001XX000003DGf0QAG,565000.00,Proposal,2024-03-25,50,Renewal
006XX000005DGr2QAG,Competitive Upgrade,001XX000003DGf3QAG,395000.00,Qualification,2024-03-18,25,New Business
006XX000005DGr3QAG,Strategic Partnership,001XX000003DGf6QAG,725000.00,Proposal,2024-03-26,50,New Business
006XX000005DGr4QAG,Pilot Program,001XX000003DGf8QAG,125000.00,Qualification,2024-03-14,25,New Business
006XX000005DGr5QAG,Enterprise Agreement,001XX000003DGg1QAG,895000.00,Negotiation,2024-04-01,75,New Business
006XX000005DGr6QAG,Volume Licensing,001XX000003DGg4QAG,445000.00,Proposal,2024-03-27,50,New Business
006XX000005DGr7QAG,Departmental Trial,001XX000003DGg6QAG,85000.00,Prospecting,2024-03-08,10,New Business
006XX000005DGr8QAG,Proof of Concept,001XX000003DGg7QAG,55000.00,Qualification,2024-03-16,25,New Business
006XX000005DGr9QAG,Infrastructure Project,001XX000003DGh0QAG,525000.00,Proposal,2024-03-28,50,New Business
006XX000005DGs0QAG,Digital Initiative,001XX000003DGh1QAG,635000.00,Negotiation,2024-04-03,75,New Business
006XX000005DGs1QAG,Modernization Effort,001XX000003DGh3QAG,475000.00,Proposal,2024-03-29,50,New Business
006XX000005DGs2QAG,Legacy Replacement,001XX000003DGh5QAG,385000.00,Qualification,2024-03-21,25,New Business
006XX000005DGs3QAG,Cloud Transition,001XX000003DGh7QAG,555000.00,Negotiation,2024-04-04,75,New Business
006XX000005DGs4QAG,Security Upgrade,001XX000003DGh9QAG,295000.00,Proposal,2024-03-30,50,New Business
006XX000005DGs5QAG,Compliance Project,001XX000003DGi1QAG,345000.00,Qualification,2024-03-22,25,New Business
006XX000005DGs6QAG,Automation Initiative,001XX000003DGi3QAG,415000.00,Proposal,2024-03-31,50,New Business
006XX000005DGs7QAG,Integration Project,001XX000003DGi5QAG,265000.00,Negotiation,2024-04-05,75,New Business
006XX000005DGs8QAG,Data Migration,001XX000003DGi7QAG,185000.00,Qualification,2024-03-23,25,New Business
006XX000005DGs9QAG,Analytics Implementation,001XX000003DGi9QAG,495000.00,Proposal,2024-04-01,50,New Business
006XX000005DGt0QAG,Dashboard Project,001XX000003DGj1QAG,225000.00,Qualification,2024-03-24,25,New Business
006XX000005DGt1QAG,Reporting Solution,001XX000003DGj3QAG,315000.00,Negotiation,2024-04-06,75,New Business
006XX000005DGt2QAG,Monitoring System,001XX000003DGj5QAG,375000.00,Proposal,2024-04-02,50,New Business
006XX000005DGt3QAG,Alerting Platform,001XX000003DGj7QAG,155000.00,Qualification,2024-03-25,25,New Business
006XX000005DGt4QAG,Optimization Project,001XX000003DGj9QAG,435000.00,Negotiation,2024-04-07,75,New Business
006XX000005DGt5QAG,Performance Tuning,001XX000003DGk1QAG,245000.00,Proposal,2024-04-03,50,New Business
006XX000005DGt6QAG,Scalability Enhancement,001XX000003DGk3QAG,325000.00,Qualification,2024-03-26,25,New Business
006XX000005DGt7QAG,Reliability Improvement,001XX000003DGk5QAG,395000.00,Negotiation,2024-04-08,75,New Business
006XX000005DGt8QAG,Disaster Recovery,001XX000003DGk7QAG,285000.00,Proposal,2024-04-04,50,New Business
006XX000005DGt9QAG,Business Continuity,001XX000003DGk9QAG,355000.00,Qualification,2024-03-27,25,New Business
006XX000005DGu0QAG,Redundancy Setup,001XX000003DGl1QAG,425000.00,Negotiation,2024-04-09,75,New Business
006XX000005DGu1QAG,Backup Solution,001XX000003DGl3QAG,195000.00,Proposal,2024-04-05,50,New Business
006XX000005DGu2QAG,Archive System,001XX000003DGb5QAG,165000.00,Qualification,2024-03-28,25,Existing Business
006XX000005DGu3QAG,Retention Policy,001XX000003DGb7QAG,125000.00,Proposal,2024-04-06,50,New Business
006XX000005DGu4QAG,Governance Framework,001XX000003DGc1QAG,275000.00,Negotiation,2024-04-10,75,New Business
006XX000005DGu5QAG,Policy Management,001XX000003DGc4QAG,215000.00,Qualification,2024-03-29,25,New Business
006XX000005DGu6QAG,Access Control,001XX000003DGc5QAG,185000.00,Proposal,2024-04-07,50,New Business
006XX000005DGu7QAG,Identity Management,001XX000003DGc7QAG,335000.00,Negotiation,2024-04-11,75,New Business
006XX000005DGu8QAG,Authentication System,001XX000003DGc9QAG,255000.00,Qualification,2024-03-30,25,New Business
006XX000005DGu9QAG,Authorization Platform,001XX000003DGd1QAG,295000.00,Proposal,2024-04-08,50,New Business
006XX000005DGv0QAG,Single Sign-On,001XX000003DGd3QAG,175000.00,Negotiation,2024-04-12,75,New Business
006XX000005DGv1QAG,Federation Setup,001XX000003DGd5QAG,225000.00,Qualification,2024-03-31,25,New Business
006XX000005DGv2QAG,Directory Integration,001XX000003DGd6QAG,195000.00,Proposal,2024-04-09,50,New Business
006XX000005DGv3QAG,Provisioning Automation,001XX000003DGd8QAG,265000.00,Negotiation,2024-04-13,75,New Business
006XX000005DGv4QAG,Lifecycle Management,001XX000003DGe0QAG,315000.00,Qualification,2024-04-01,25,New Business
006XX000005DGv5QAG,Workflow Engine,001XX000003DGe2QAG,385000.00,Proposal,2024-04-10,50,New Business
006XX000005DGv6QAG,Process Automation,001XX000003DGe4QAG,445000.00,Negotiation,2024-04-14,75,New Business
006XX000005DGv7QAG,Rule Engine,001XX000003DGe5QAG,235000.00,Qualification,2024-04-02,25,New Business
006XX000005DGv8QAG,Decision Engine,001XX000003DGe6QAG,275000.00,Proposal,2024-04-11,50,New Business
006XX000005DGv9QAG,AI Platform,001XX000003DGe9QAG,625000.00,Negotiation,2024-04-15,75,New Business
006XX000005DGw0QAG,Machine Learning,001XX000003DGf1QAG,545000.00,Proposal,2024-04-12,50,New Business
006XX000005DGw1QAG,Predictive Analytics,001XX000003DGf2QAG,465000.00,Qualification,2024-04-03,25,New Business
006XX000005DGw2QAG,Natural Language Processing,001XX000003DGf4QAG,525000.00,Negotiation,2024-04-16,75,New Business
006XX000005DGw3QAG,Computer Vision,001XX000003DGf5QAG,585000.00,Proposal,2024-04-13,50,New Business
006XX000005DGw4QAG,Recommendation Engine,001XX000003DGf7QAG,395000.00,Qualification,2024-04-04,25,New Business
006XX000005DGw5QAG,Personalization Platform,001XX000003DGf9QAG,455000.00,Negotiation,2024-04-17,75,New Business
006XX000005DGw6QAG,Customer Intelligence,001XX000003DGg0QAG,515000.00,Proposal,2024-04-14,50,New Business
006XX000005DGw7QAG,Behavioral Analytics,001XX000003DGg2QAG,365000.00,Qualification,2024-04-05,25,New Business
006XX000005DGw8QAG,Sentiment Analysis,001XX000003DGg3QAG,285000.00,Proposal,2024-04-15,50,New Business
006XX000005DGw9QAG,Voice of Customer,001XX000003DGg5QAG,325000.00,Negotiation,2024-04-18,75,New Business
006XX000005DGx0QAG,Feedback Management,001XX000003DGg7QAG,245000.00,Qualification,2024-04-06,25,New Business
006XX000005DGx1QAG,Survey Platform,001XX000003DGh0QAG,195000.00,Proposal,2024-04-16,50,New Business
006XX000005DGx2QAG,Research Tools,001XX000003DGh1QAG,215000.00,Negotiation,2024-04-19,75,New Business
006XX000005DGx3QAG,User Testing,001XX000003DGh3QAG,165000.00,Qualification,2024-04-07,25,New Business
006XX000005DGx4QAG,A/B Testing Platform,001XX000003DGh5QAG,275000.00,Proposal,2024-04-17,50,New Business
006XX000005DGx5QAG,Experimentation Framework,001XX000003DGh7QAG,335000.00,Negotiation,2024-04-20,75,New Business
006XX000005DGx6QAG,Feature Flags,001XX000003DGh9QAG,145000.00,Qualification,2024-04-08,25,New Business
006XX000005DGx7QAG,Release Management,001XX000003DGi1QAG,255000.00,Proposal,2024-04-18,50,New Business
006XX000005DGx8QAG,Deployment Automation,001XX000003DGi3QAG,315000.00,Negotiation,2024-04-21,75,New Business
006XX000005DGx9QAG,CI/CD Pipeline,001XX000003DGi5QAG,385000.00,Qualification,2024-04-09,25,New Business
006XX000005DGy0QAG,DevOps Platform,001XX000003DGi7QAG,455000.00,Proposal,2024-04-19,50,New Business
006XX000005DGy1QAG,Container Platform,001XX000003DGi9QAG,525000.00,Negotiation,2024-04-22,75,New Business
006XX000005DGy2QAG,Orchestration Solution,001XX000003DGj1QAG,495000.00,Qualification,2024-04-10,25,New Business
006XX000005DGy3QAG,Service Mesh,001XX000003DGj3QAG,365000.00,Proposal,2024-04-20,50,New Business
006XX000005DGy4QAG,API Gateway,001XX000003DGj5QAG,295000.00,Negotiation,2024-04-23,75,New Business
006XX000005DGy5QAG,Microservices Platform,001XX000003DGj7QAG,575000.00,Qualification,2024-04-11,25,New Business
006XX000005DGy6QAG,Serverless Infrastructure,001XX000003DGj9QAG,425000.00,Proposal,2024-04-21,50,New Business
006XX000005DGy7QAG,Edge Computing,001XX000003DGk1QAG,485000.00,Negotiation,2024-04-24,75,New Business
006XX000005DGy8QAG,IoT Platform,001XX000003DGk3QAG,645000.00,Qualification,2024-04-12,25,New Business
006XX000005DGy9QAG,Sensor Network,001XX000003DGk5QAG,395000.00,Proposal,2024-04-22,50,New Business
006XX000005DGz0QAG,Real-time Processing,001XX000003DGk7QAG,515000.00,Negotiation,2024-04-25,75,New Business
006XX000005DGz1QAG,Stream Analytics,001XX000003DGk9QAG,445000.00,Qualification,2024-04-13,25,New Business
006XX000005DGz2QAG,Event Processing,001XX000003DGl1QAG,375000.00,Proposal,2024-04-23,50,New Business
006XX000005DGz3QAG,Message Queue,001XX000003DGl3QAG,285000.00,Negotiation,2024-04-26,75,New Business
006XX000005DGz4QAG,Pub/Sub System,001XX000003DGb8QAG,325000.00,Qualification,2024-04-14,25,New Business
006XX000005DGz5QAG,Data Pipeline,001XX000003DGc0QAG,455000.00,Proposal,2024-04-24,50,New Business
006XX000005DGz6QAG,ETL Solution,001XX000003DGc2QAG,395000.00,Negotiation,2024-04-27,75,New Business
006XX000005DGz7QAG,Data Warehouse,001XX000003DGc3QAG,685000.00,Qualification,2024-04-15,25,New Business
006XX000005DGz8QAG,Data Lake,001XX000003DGc6QAG,745000.00,Proposal,2024-04-25,50,New Business
006XX000005DGz9QAG,Big Data Platform,001XX000003DGc8QAG,825000.00,Negotiation,2024-04-28,75,New Business
006XX000005DH00QAG,Blockchain Solution,001XX000003DGd0QAG,565000.00,Qualification,2024-04-16,25,New Business
006XX000005DH01QAG,Smart Contracts,001XX000003DGd2QAG,485000.00,Proposal,2024-04-26,50,New Business
006XX000005DH02QAG,Distributed Ledger,001XX000003DGd4QAG,625000.00,Negotiation,2024-04-29,75,New Business
006XX000005DH03QAG,Digital Wallet,001XX000003DGd7QAG,355000.00,Qualification,2024-04-17,25,New Business
006XX000005DH04QAG,Payment Processing,001XX000003DGd9QAG,525000.00,Proposal,2024-04-27,50,New Business
006XX000005DH05QAG,Transaction Engine,001XX000003DGe1QAG,465000.00,Negotiation,2024-04-30,75,New Business
006XX000005DH06QAG,Reconciliation System,001XX000003DGe3QAG,395000.00,Qualification,2024-04-18,25,New Business
006XX000005DH07QAG,Settlement Platform,001XX000003DGe7QAG,435000.00,Proposal,2024-04-28,50,New Business
006XX000005DH08QAG,Clearing System,001XX000003DGe8QAG,505000.00,Negotiation,2024-05-01,75,New Business
006XX000005DH09QAG,Trading Platform,001XX000003DGf0QAG,765000.00,Qualification,2024-04-19,25,New Business
006XX000005DH10QAG,Portfolio Management,001XX000003DGf3QAG,685000.00,Proposal,2024-04-29,50,New Business
