Id,Name,Industry,CreatedDate,Type
001XX000003DGbWQAG,PharmaCare Solutions,Healthcare,2020-01-31,Customer
001XX000003DGbXQAG,Quantum Computing Inc,Technology,2021-06-12,Customer
001XX000003DGbYQAG,Strategic Investments,Finance,2019-02-23,Customer
001XX000003DGbZQAG,Community Hospital Group,Healthcare,2020-09-16,Customer
001XX000003DGc0QAG,Manufacturing Dynamics,Manufacturing,2018-12-05,Customer
001XX000003DGc1QAG,Industrial Solutions Co,Manufacturing,2019-07-18,Customer
001XX000003DGc2QAG,AutoParts Global,Manufacturing,2020-04-29,Customer
001XX000003DGc3QAG,Precision Engineering Ltd,Manufacturing,2021-01-07,Customer
001XX000003DGc4QAG,Factory Systems Inc,Manufacturing,2019-09-14,Customer
001XX000003DGc5QAG,Production Technologies,Manufacturing,2020-10-26,Customer
001XX000003DGc6QAG,Assembly Line Experts,Manufacturing,2018-06-11,Customer
001XX000003DGc7QAG,Heavy Industry Corp,Manufacturing,2021-03-22,Customer
001XX000003DGc8QAG,Materials Processing LLC,Manufacturing,2019-11-30,Customer
001XX000003DGc9QAG,Equipment Manufacturing,Manufacturing,2020-05-08,Customer
001XX000003DGcAQAG,Retail Excellence Stores,Retail,2018-08-17,Customer
001XX000003DGcBQAG,ShopSmart Chain,Retail,2019-12-21,Customer
001XX000003DGcCQAG,Fashion Outlets Ltd,Retail,2020-07-03,Customer
001XX000003DGcDQAG,Consumer Goods Retail,Retail,2021-02-11,Customer
001XX000003DGcEQAG,Mega Store Corporation,Retail,2019-04-25,Customer
001XX000003DGcFQAG,Boutique Retail Group,Retail,2020-11-14,Customer
001XX000003DGcGQAG,Market Leaders Inc,Retail,2018-10-28,Customer
001XX000003DGcHQAG,Premium Retail Solutions,Retail,2021-05-19,Customer
001XX000003DGcIQAG,Consulting Partners LLC,Other,2019-06-07,Customer
001XX000003DGcJQAG,Legal Services Group,Other,2020-03-13,Customer
001XX000003DGcKQAG,Education Systems Inc,Other,2021-09-24,Customer
001XX000003DGcLQAG,Transportation Logistics,Other,2018-11-16,Customer
001XX000003DGcMQAG,Energy Solutions Corp,Other,2019-08-29,Customer
001XX000003DGcNQAG,Telecommunications Ltd,Other,2020-01-05,Customer
001XX000003DGcOQAG,Real Estate Holdings,Other,2021-07-18,Customer
001XX000003DGcPQAG,Media Broadcasting Co,Other,2019-03-27,Customer
001XX000003DGcQQAG,Prospect Tech Company,Technology,2021-10-12,Prospect
001XX000003DGcRQAG,Future Finance Ltd,Finance,2021-11-08,Prospect
001XX000003DGcSQAG,Emerging Health Co,Healthcare,2021-09-15,Prospect
001XX000003DGcTQAG,StartUp Innovations,Technology,2021-08-22,Prospect
001XX000003DGcUQAG,New Bank Ventures,Finance,2021-07-30,Prospect
001XX000003DGcVQAG,Modern Medical Systems,Healthcare,2021-06-19,Prospect
001XX000003DGcWQAG,Tech Prospects Inc,Technology,2021-05-27,Prospect
001XX000003DGcXQAG,Financial Opportunities,,2021-04-14,Prospect
001XX000003DGcYQAG,Healthcare Innovations,Healthcare,2021-03-21,Prospect
001XX000003DGcZQAG,Software Ventures,Technology,2021-02-28,Prospect
001XX000003DGd0QAG,Banking Solutions Pro,,2021-01-16,Prospect
001XX000003DGd1QAG,Clinical Research Group,Healthcare,2020-12-24,Prospect
001XX000003DGd2QAG,Platform Technologies,Technology,2020-11-11,Prospect
001XX000003DGd3QAG,Investment Future Corp,Finance,2020-10-19,Prospect
001XX000003DGd4QAG,Diagnostic Labs Inc,Healthcare,2020-09-26,Prospect
001XX000003DGd5QAG,Cloud Services Pro,Technology,2020-08-14,Prospect
001XX000003DGd6QAG,Credit Services LLC,,2020-07-21,Prospect
001XX000003DGd7QAG,Telemedicine Partners,Healthcare,2020-06-28,Prospect
001XX000003DGd8QAG,DevOps Solutions,Technology,2020-05-15,Prospect
001XX000003DGd9QAG,Mortgage Lending Group,Finance,2020-04-22,Prospect
001XX000003DGdAQAG,Urgent Care Network,Healthcare,2020-03-29,Prospect
001XX000003DGdBQAG,Analytics Platform Inc,Technology,2020-02-15,Prospect
001XX000003DGdCQAG,Asset Management Co,Finance,2020-01-22,Prospect
001XX000003DGdDQAG,Pharmacy Chain Group,Healthcare,2019-12-19,Prospect
001XX000003DGdEQAG,Security Software Ltd,Technology,2019-11-26,Prospect
001XX000003DGdFQAG,Trading Systems Corp,Finance,2019-10-13,Prospect
001XX000003DGdGQAG,Allied Manufacturing,Manufacturing,2019-09-20,Partner
001XX000003DGdHQAG,Distribution Partners,Retail,2019-08-17,Partner
001XX000003DGdIQAG,Technology Alliance Inc,Technology,2019-07-24,Partner
001XX000003DGdJQAG,Financial Services Partner,Finance,2019-06-11,Partner
001XX000003DGdKQAG,Healthcare Alliance,Healthcare,2019-05-18,Partner
001XX000003DGdLQAG,Integration Partners,Technology,2019-04-25,Partner
001XX000003DGdMQAG,Strategic Alliance Corp,,2019-03-12,Partner
001XX000003DGdNQAG,Reseller Network Inc,Technology,2019-02-17,Partner
001XX000003DGdOQAG,Channel Partners LLC,Finance,2019-01-24,Partner
001XX000003DGdPQAG,Medical Equipment Co,Healthcare,2018-12-21,Partner
001XX000003DGdQQAG,Software Resellers,Technology,2018-11-28,Partner
001XX000003DGdRQAG,Finance Partner Group,,2018-10-15,Partner
001XX000003DGdSQAG,Health Systems Alliance,Healthcare,2018-09-22,Partner
001XX000003DGdTQAG,Tech Distribution Co,Technology,2018-08-29,Partner
001XX000003DGdUQAG,Banking Technology Ltd,Finance,2018-07-16,Partner
001XX000003DGdVQAG,Universal Systems Corp,,2021-11-25,Customer
001XX000003DGdWQAG,Global Trade Industries,,2021-10-30,Customer
001XX000003DGdXQAG,Pacific Enterprises,Manufacturing,2021-09-17,Customer
001XX000003DGdYQAG,Atlantic Industries Inc,,2021-08-24,Customer
001XX000003DGdZQAG,Midwest Solutions Group,Other,2021-07-21,Customer
001XX000003DGe0QAG,Horizon Technologies,Technology,2021-06-28,Customer
001XX000003DGe1QAG,Summit Financial Services,Finance,2021-05-15,Customer
001XX000003DGe2QAG,Valley Healthcare Network,Healthcare,2021-04-22,Customer
001XX000003DGe3QAG,Peak Performance Systems,Technology,2021-03-19,Customer
001XX000003DGe4QAG,Central Banking Group,Finance,2021-02-26,Customer
001XX000003DGe5QAG,Coastal Medical Practices,Healthcare,2021-01-13,Customer
001XX000003DGe6QAG,Mountain Tech Corporation,Technology,2020-12-20,Customer
001XX000003DGe7QAG,River City Finance,,2020-11-27,Customer
001XX000003DGe8QAG,Lake Regional Hospital,Healthcare,2020-10-14,Customer
001XX000003DGe9QAG,Skyline Software Group,Technology,2020-09-21,Customer
001XX000003DGeAQAG,Harbor Investments Ltd,Finance,2020-08-28,Customer
001XX000003DGeBQAG,Bay Area Health Systems,Healthcare,2020-07-15,Customer
001XX000003DGeCQAG,Bridge Technologies Inc,Technology,2020-06-22,Customer
001XX000003DGeDQAG,Crown Financial Corp,Finance,2020-05-29,Customer
001XX000003DGeEQAG,Liberty Healthcare Group,Healthcare,2020-04-16,Customer
001XX000003DGeFQAG,Eagle Tech Solutions,Technology,2020-03-23,Customer
001XX000003DGeGQAG,Pioneer Banking Services,Finance,2020-02-29,Customer
001XX000003DGeHQAG,Heritage Medical Center,Healthcare,2020-01-16,Customer
001XX000003DGeIQAG,Victory Systems Corp,Technology,2019-12-23,Customer
001XX000003DGeJQAG,Triumph Finance Group,Finance,2019-11-20,Customer
001XX000003DGeKQAG,Unity Health Partners,Healthcare,2019-10-27,Customer
001XX000003DGeLQAG,Genesis Technologies,Technology,2019-09-13,Customer
001XX000003DGeMQAG,Apex Financial Holdings,Finance,2019-08-20,Customer
001XX000003DGeNQAG,Pinnacle Health Network,Healthcare,2019-07-27,Customer
001XX000003DGeOQAG,Vertex Software Systems,Technology,2019-06-14,Customer
001XX000003DGePQAG,Cornerstone Bank Corp,Finance,2019-05-21,Customer
001XX000003DGeQQAG,Foundation Medical LLC,Healthcare,2019-04-28,Customer
001XX000003DGeRQAG,Keystone Tech Industries,Technology,2019-03-15,Customer
001XX000003DGeSQAG,Benchmark Finance Co,Finance,2019-02-20,Customer
001XX000003DGeTQAG,Milestone Healthcare,Healthcare,2019-01-27,Customer
001XX000003DGeUQAG,Nexus Technology Group,Technology,2018-12-14,Customer
001XX000003DGeVQAG,Fusion Financial Services,Finance,2018-11-21,Customer
001XX000003DGeWQAG,Synergy Medical Systems,Healthcare,2018-10-28,Customer
001XX000003DGeXQAG,Catalyst Tech Solutions,Technology,2018-09-15,Customer
001XX000003DGeYQAG,Momentum Banking Group,Finance,2018-08-22,Customer
001XX000003DGeZQAG,Vitality Health Services,Healthcare,2018-07-29,Customer
001XX000003DGf0QAG,Quantum Leap Technologies,Technology,2018-06-16,Customer
001XX000003DGf1QAG,Zenith Financial Partners,Finance,2018-05-23,Customer
001XX000003DGf2QAG,Optimum Healthcare Corp,Healthcare,2018-04-30,Customer
