timestamp,snapshot_id,volume_id,elapsed_seconds,progress_percent,volume_read_iops,volume_write_iops,snapshot_throughput_mbps,volume_queue_depth,cpu_usage_percent,memory_usage_percent,network_throughput_mbps
2024-01-15 09:35:00,snap-0d4e5f6g7h8i9,vol-4d5e6f7g8h9i0,300,8,4456,2867,25,32,84,75,138
2024-01-15 09:35:30,snap-0d4e5f6g7h8i9,vol-4d5e6f7g8h9i0,330,8,4512,2923,23,32,85,75,134
2024-01-15 09:36:00,snap-0d4e5f6g7h8i9,vol-4d5e6f7g8h9i0,360,9,4567,2989,21,32,85,75,130
2024-01-15 10:00:00,snap-0e5f6g7h8i9j0,vol-5e6f7g8h9i0j1,0,0,987,234,145,3,18,42,285
2024-01-15 10:00:30,snap-0e5f6g7h8i9j0,vol-5e6f7g8h9i0j1,30,7,1001,245,148,3,19,43,290
2024-01-15 10:01:00,snap-0e5f6g7h8i9j0,vol-5e6f7g8h9i0j1,60,15,1023,256,151,4,20,44,295
2024-01-15 10:01:30,snap-0e5f6g7h8i9j0,vol-5e6f7g8h9i0j1,90,23,1045,267,154,4,21,45,300
2024-01-15 10:02:00,snap-0e5f6g7h8i9j0,vol-5e6f7g8h9i0j1,120,31,1067,278,157,5,22,46,305
2024-01-15 10:02:30,snap-0e5f6g7h8i9j0,vol-5e6f7g8h9i0j1,150,39,1089,289,160,5,23,47,310
2024-01-15 10:03:00,snap-0e5f6g7h8i9j0,vol-5e6f7g8h9i0j1,180,48,1101,301,163,6,24,48,315
2024-01-15 10:03:30,snap-0e5f6g7h8i9j0,vol-5e6f7g8h9i0j1,210,56,1123,312,166,6,25,49,320
2024-01-15 10:04:00,snap-0e5f6g7h8i9j0,vol-5e6f7g8h9i0j1,240,65,1145,323,169,7,26,50,325
2024-01-15 10:04:30,snap-0e5f6g7h8i9j0,vol-5e6f7g8h9i0j1,270,74,1167,334,172,7,27,51,330
2024-01-15 10:05:00,snap-0e5f6g7h8i9j0,vol-5e6f7g8h9i0j1,300,83,1189,345,175,8,28,52,335
2024-01-15 10:05:30,snap-0e5f6g7h8i9j0,vol-5e6f7g8h9i0j1,330,92,1201,356,178,8,29,53,340
2024-01-15 10:06:00,snap-0e5f6g7h8i9j0,vol-5e6f7g8h9i0j1,360,100,1223,367,180,9,30,54,345
2024-01-15 10:30:00,snap-0f6g7h8i9j0k1,vol-6f7g8h9i0j1k2,0,0,4234,2712,38,27,75,69,168
2024-01-15 10:30:30,snap-0f6g7h8i9j0k1,vol-6f7g8h9i0j1k2,30,2,4312,2789,35,28,77,70,162
2024-01-15 10:31:00,snap-0f6g7h8i9j0k1,vol-6f7g8h9i0j1k2,60,4,4389,2856,32,29,79,71,156
2024-01-15 10:31:30,snap-0f6g7h8i9j0k1,vol-6f7g8h9i0j1k2,90,5,4467,2923,30,30,81,72,151
2024-01-15 10:32:00,snap-0f6g7h8i9j0k1,vol-6f7g8h9i0j1k2,120,5,4534,2989,28,31,82,73,146
2024-01-15 10:32:30,snap-0f6g7h8i9j0k1,vol-6f7g8h9i0j1k2,150,5,4612,3045,26,32,83,74,141
2024-01-15 10:33:00,snap-0f6g7h8i9j0k1,vol-6f7g8h9i0j1k2,180,6,4689,3112,24,32,84,74,136
2024-01-15 10:33:30,snap-0f6g7h8i9j0k1,vol-6f7g8h9i0j1k2,210,6,4756,3178,22,32,85,75,132
2024-01-15 10:34:00,snap-0f6g7h8i9j0k1,vol-6f7g8h9i0j1k2,240,6,4823,3245,20,32,85,75,128
2024-01-15 10:34:30,snap-0f6g7h8i9j0k1,vol-6f7g8h9i0j1k2,270,6,4901,3301,19,32,85,75,124
2024-01-15 10:35:00,snap-0f6g7h8i9j0k1,vol-6f7g8h9i0j1k2,300,7,4978,3367,17,32,84,74,120
2024-01-15 11:00:00,snap-0g7h8i9j0k1l2,vol-7g8h9i0j1k2l3,0,0,1456,678,115,7,32,49,235
2024-01-15 11:00:30,snap-0g7h8i9j0k1l2,vol-7g8h9i0j1k2l3,30,6,1478,689,118,8,33,50,240
2024-01-15 11:01:00,snap-0g7h8i9j0k1l2,vol-7g8h9i0j1k2l3,60,13,1501,701,121,8,34,51,245
2024-01-15 11:01:30,snap-0g7h8i9j0k1l2,vol-7g8h9i0j1k2l3,90,20,1523,712,124,9,35,52,250
2024-01-15 11:02:00,snap-0g7h8i9j0k1l2,vol-7g8h9i0j1k2l3,120,27,1545,723,127,9,36,53,255
2024-01-15 11:02:30,snap-0g7h8i9j0k1l2,vol-7g8h9i0j1k2l3,150,35,1567,734,130,10,37,54,260
2024-01-15 11:03:00,snap-0g7h8i9j0k1l2,vol-7g8h9i0j1k2l3,180,43,1589,745,133,10,38,55,265
2024-01-15 11:03:30,snap-0g7h8i9j0k1l2,vol-7g8h9i0j1k2l3,210,51,1612,756,136,11,39,56,270
2024-01-15 11:04:00,snap-0g7h8i9j0k1l2,vol-7g8h9i0j1k2l3,240,59,1634,767,139,11,40,57,275
2024-01-15 11:04:30,snap-0g7h8i9j0k1l2,vol-7g8h9i0j1k2l3,270,67,1656,778,142,12,41,58,280
2024-01-15 11:05:00,snap-0g7h8i9j0k1l2,vol-7g8h9i0j1k2l3,300,76,1678,789,145,12,42,59,285
2024-01-15 11:05:30,snap-0g7h8i9j0k1l2,vol-7g8h9i0j1k2l3,330,85,1701,801,148,13,43,60,290
2024-01-15 11:06:00,snap-0g7h8i9j0k1l2,vol-7g8h9i0j1k2l3,360,94,1723,812,151,13,44,61,295
2024-01-15 11:06:30,snap-0g7h8i9j0k1l2,vol-7g8h9i0j1k2l3,390,100,1745,823,154,14,45,62,300
2024-01-15 11:30:00,snap-0h8i9j0k1l2m3,vol-8h9i0j1k2l3m4,0,0,2567,1456,68,16,54,59,198
2024-01-15 11:30:30,snap-0h8i9j0k1l2m3,vol-8h9i0j1k2l3m4,30,4,2623,1512,64,17,56,60,192
2024-01-15 11:31:00,snap-0h8i9j0k1l2m3,vol-8h9i0j1k2l3m4,60,8,2678,1567,61,18,58,61,186
2024-01-15 11:31:30,snap-0h8i9j0k1l2m3,vol-8h9i0j1k2l3m4,90,12,2734,1623,58,19,60,62,180
2024-01-15 11:32:00,snap-0h8i9j0k1l2m3,vol-8h9i0j1k2l3m4,120,17,2789,1678,55,20,62,63,174
2024-01-15 11:32:30,snap-0h8i9j0k1l2m3,vol-8h9i0j1k2l3m4,150,22,2845,1734,52,21,64,64,168
2024-01-15 11:33:00,snap-0h8i9j0k1l2m3,vol-8h9i0j1k2l3m4,180,27,2901,1789,49,22,66,65,162
2024-01-15 11:33:30,snap-0h8i9j0k1l2m3,vol-8h9i0j1k2l3m4,210,33,2956,1845,46,23,68,66,156
2024-01-15 11:34:00,snap-0h8i9j0k1l2m3,vol-8h9i0j1k2l3m4,240,39,3012,1901,43,24,70,67,151
2024-01-15 11:34:30,snap-0h8i9j0k1l2m3,vol-8h9i0j1k2l3m4,270,45,3067,1956,41,25,71,68,146
2024-01-15 11:35:00,snap-0h8i9j0k1l2m3,vol-8h9i0j1k2l3m4,300,52,3123,2012,38,26,72,69,141
2024-01-15 11:35:30,snap-0h8i9j0k1l2m3,vol-8h9i0j1k2l3m4,330,59,3178,2067,36,27,73,70,136
2024-01-15 11:36:00,snap-0h8i9j0k1l2m3,vol-8h9i0j1k2l3m4,360,67,3234,2123,34,28,74,71,132
2024-01-15 11:36:30,snap-0h8i9j0k1l2m3,vol-8h9i0j1k2l3m4,390,75,3289,2178,32,29,75,72,128
2024-01-15 11:37:00,snap-0h8i9j0k1l2m3,vol-8h9i0j1k2l3m4,420,83,3345,2234,30,30,76,73,124
2024-01-15 11:37:30,snap-0h8i9j0k1l2m3,vol-8h9i0j1k2l3m4,450,92,3401,2289,28,31,77,74,120
2024-01-15 11:38:00,snap-0h8i9j0k1l2m3,vol-8h9i0j1k2l3m4,480,100,3456,2345,26,32,78,75,116
2024-01-15 12:00:00,snap-0i9j0k1l2m3n4,vol-9i0j1k2l3m4n5,0,0,4567,2678,55,25,71,68,175
2024-01-15 12:00:30,snap-0i9j0k1l2m3n4,vol-9i0j1k2l3m4n5,30,3,4634,2745,51,26,73,69,169
2024-01-15 12:01:00,snap-0i9j0k1l2m3n4,vol-9i0j1k2l3m4n5,60,5,4701,2812,48,27,75,70,163
2024-01-15 12:01:30,snap-0i9j0k1l2m3n4,vol-9i0j1k2l3m4n5,90,5,4767,2878,45,28,77,71,158
2024-01-15 12:02:00,snap-0i9j0k1l2m3n4,vol-9i0j1k2l3m4n5,120,5,4834,2945,42,29,79,72,152
2024-01-15 12:02:30,snap-0i9j0k1l2m3n4,vol-9i0j1k2l3m4n5,150,5,4901,3012,40,30,80,73,147
