timestamp,source_ip,destination_ip,protocol,destination_port
2024-01-15 09:29:34,10.0.1.22,10.0.2.100,TCP,5432
2024-01-15 09:30:12,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:30:45,10.0.1.12,10.0.2.100,TCP,3306
2024-01-15 09:31:23,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:31:56,10.0.1.56,10.0.3.50,TCP,80
2024-01-15 09:32:34,10.0.1.8,10.0.2.100,TCP,3306
2024-01-15 09:33:12,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:33:45,10.0.1.45,10.0.3.51,TCP,443
2024-01-15 09:34:23,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:34:56,10.0.1.12,10.0.2.100,TCP,3306
2024-01-15 09:35:34,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:36:12,10.0.1.33,172.16.1.10,TCP,22
2024-01-15 09:36:45,10.0.1.8,10.0.2.100,TCP,3306
2024-01-15 09:37:23,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:37:56,10.0.1.22,10.0.2.100,TCP,6379
2024-01-15 09:38:34,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:39:12,10.0.1.12,10.0.2.100,TCP,3306
2024-01-15 09:39:45,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:40:23,10.0.1.56,10.0.3.50,TCP,80
2024-01-15 09:40:56,10.0.1.8,10.0.2.100,TCP,3306
2024-01-15 09:41:34,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:42:12,10.0.1.45,10.0.3.51,TCP,443
2024-01-15 09:42:45,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:43:23,10.0.1.12,10.0.2.100,TCP,3306
2024-01-15 09:43:56,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:44:34,10.0.1.33,172.16.1.10,UDP,53
2024-01-15 09:45:12,10.0.1.8,10.0.2.100,TCP,3306
2024-01-15 09:45:45,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:46:23,10.0.1.22,10.0.3.50,TCP,80
2024-01-15 09:46:56,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:47:34,10.0.1.12,10.0.2.100,TCP,3306
2024-01-15 09:48:12,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:48:45,10.0.1.56,10.0.3.51,TCP,443
2024-01-15 09:49:23,10.0.1.8,10.0.2.100,TCP,3306
2024-01-15 09:49:56,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:50:34,10.0.1.45,172.16.1.10,TCP,8080
2024-01-15 09:51:12,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:51:45,10.0.1.12,10.0.2.100,TCP,3306
2024-01-15 09:52:23,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:52:56,10.0.1.33,10.0.2.100,TCP,5432
2024-01-15 09:53:34,10.0.1.8,10.0.2.100,TCP,3306
2024-01-15 09:54:12,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:54:45,10.0.1.22,10.0.3.50,TCP,80
2024-01-15 09:55:23,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:55:56,10.0.1.12,10.0.2.100,TCP,3306
2024-01-15 09:56:34,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:57:12,10.0.1.56,10.0.3.51,TCP,443
2024-01-15 09:57:45,10.0.1.8,10.0.2.100,TCP,3306
2024-01-15 09:58:23,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:58:56,10.0.1.45,172.16.1.10,TCP,22
2024-01-15 09:59:34,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 10:00:12,10.0.1.12,10.0.2.100,TCP,3306
2024-01-15 10:00:45,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 10:01:23,10.0.1.33,10.0.2.100,TCP,6379
2024-01-15 10:01:56,10.0.1.8,10.0.2.100,TCP,3306
2024-01-15 10:02:34,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 10:03:12,10.0.1.22,10.0.3.50,TCP,80
2024-01-15 10:03:45,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 10:04:23,10.0.1.12,10.0.2.100,TCP,3306
2024-01-15 10:04:56,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 10:05:34,10.0.1.56,10.0.3.51,TCP,443
2024-01-15 10:06:12,10.0.1.8,10.0.2.100,TCP,3306
2024-01-15 10:06:45,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 10:07:23,10.0.1.45,172.16.1.10,UDP,53
2024-01-15 10:07:56,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 10:08:34,10.0.1.12,10.0.2.100,TCP,3306
2024-01-15 10:09:12,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 10:09:45,10.0.1.33,10.0.3.50,TCP,80
2024-01-15 10:10:23,10.0.1.8,10.0.2.100,TCP,3306
2024-01-15 10:10:56,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 10:11:34,10.0.1.22,10.0.2.100,TCP,5432
2024-01-15 10:12:12,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 10:12:45,10.0.1.12,10.0.2.100,TCP,3306
2024-01-15 10:13:23,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 10:13:56,10.0.1.56,10.0.3.51,TCP,443
2024-01-15 10:14:34,10.0.1.8,10.0.2.100,TCP,3306
2024-01-15 10:15:12,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 10:15:45,10.0.1.45,172.16.1.10,TCP,8080
2024-01-15 10:16:23,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 10:16:56,10.0.1.12,10.0.2.100,TCP,3306
2024-01-15 10:17:34,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 10:18:12,10.0.1.33,10.0.3.50,TCP,80
2024-01-15 10:18:45,10.0.1.8,10.0.2.100,TCP,3306
2024-01-15 10:19:23,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 10:19:56,10.0.1.22,10.0.2.100,TCP,6379
2024-01-15 10:20:34,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 10:21:12,10.0.1.12,10.0.2.100,TCP,3306
2024-01-15 10:21:45,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 10:22:23,10.0.1.56,10.0.3.51,TCP,443
2024-01-15 10:22:56,10.0.1.8,10.0.2.100,TCP,3306
2024-01-15 10:23:34,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 10:24:12,10.0.1.45,172.16.1.10,TCP,22
2024-01-15 10:24:45,10.0.1.22,10.0.3.50,TCP,80
2024-01-15 10:25:23,10.0.1.12,10.0.2.100,TCP,3306
2024-01-15 10:25:56,10.0.1.33,10.0.3.51,TCP,443
2024-01-15 10:26:34,10.0.1.8,10.0.2.100,TCP,3306
2024-01-15 10:27:12,10.0.1.56,172.16.1.10,UDP,53
2024-01-15 10:27:45,10.0.1.45,10.0.2.100,TCP,5432
2024-01-15 10:28:23,10.0.1.22,10.0.2.100,TCP,3306
2024-01-15 10:28:56,10.0.1.12,10.0.3.50,TCP,80
2024-01-15 10:29:34,10.0.1.33,10.0.2.100,TCP,3306
2024-01-15 10:30:12,10.0.1.8,10.0.3.51,TCP,443
2024-01-15 10:30:45,10.0.1.56,10.0.2.100,TCP,3306
2024-01-15 10:31:23,10.0.1.45,172.16.1.10,TCP,8080
2024-01-15 10:31:56,10.0.1.22,10.0.2.100,TCP,3306
2024-01-15 10:32:34,10.0.1.12,10.0.3.50,TCP,80
2024-01-15 10:33:12,10.0.1.33,10.0.2.100,TCP,3306
2024-01-15 10:33:45,10.0.1.8,10.0.3.51,TCP,443
2024-01-15 10:34:23,10.0.1.56,10.0.2.100,TCP,3306
2024-01-15 10:34:56,10.0.1.45,172.16.1.10,TCP,22
2024-01-15 10:35:34,10.0.1.22,10.0.2.100,TCP,3306
2024-01-15 10:36:12,10.0.1.12,10.0.2.100,TCP,6379
2024-01-15 10:36:45,10.0.1.33,10.0.2.100,TCP,3306
2024-01-15 10:37:23,10.0.1.8,10.0.3.50,TCP,80
2024-01-15 10:37:56,10.0.1.56,10.0.2.100,TCP,3306
2024-01-15 10:38:34,10.0.1.45,10.0.3.51,TCP,443
2024-01-15 10:39:12,10.0.1.22,10.0.2.100,TCP,3306
2024-01-15 10:39:45,10.0.1.12,172.16.1.10,UDP,53
2024-01-15 10:40:23,10.0.1.33,10.0.2.100,TCP,3306
2024-01-15 10:40:56,10.0.1.8,10.0.3.50,TCP,80
2024-01-15 10:41:34,10.0.1.56,10.0.2.100,TCP,3306
2024-01-15 10:42:12,10.0.1.45,10.0.2.100,TCP,5432
2024-01-15 10:42:45,10.0.1.22,10.0.2.100,TCP,3306
2024-01-15 10:43:23,10.0.1.12,10.0.3.51,TCP,443
2024-01-15 10:43:56,10.0.1.33,10.0.2.100,TCP,3306
2024-01-15 10:44:34,10.0.1.8,172.16.1.10,TCP,8080
2024-01-15 10:45:12,10.0.1.56,10.0.2.100,TCP,3306
2024-01-15 10:45:45,10.0.1.45,10.0.3.50,TCP,80
2024-01-15 10:46:23,10.0.1.22,10.0.2.100,TCP,3306
2024-01-15 10:46:56,10.0.1.12,10.0.3.51,TCP,443
2024-01-15 10:47:34,10.0.1.33,10.0.2.100,TCP,3306
