snapshot_id,volume_id,volume_size_gb,volume_type,start_time,completion_time,duration_seconds,status,change_rate_gb,iops,throughput_mbps
snap-3e3f4a5b6c7d8,vol-3e4f5a6b7c8d9,1100,gp2,2024-01-17 12:45:50,2024-01-17 13:04:25,1115,timeout,108.3,3300,250
snap-3f4a5b6c7d8e9,vol-4f5a6b7c8d9e0,500,gp3,2024-01-17 13:30:15,2024-01-17 13:40:42,627,completed,36.5,3500,500
snap-4a5b6c7d8e9f0,vol-5a6b7c8d9e0f1,800,io2,2024-01-17 14:15:25,2024-01-17 14:23:50,505,completed,55.8,12000,750
snap-4b6c7d8e9f0a1,vol-6b7c8d9e0f1a2,400,gp2,2024-01-17 15:05:40,2024-01-17 15:21:15,935,timeout,58.7,1200,250
snap-4c7d8e9f0a1b2,vol-7c8d9e0f1a2b3,750,gp3,2024-01-17 16:20:30,2024-01-17 16:32:45,735,completed,56.2,5500,750
snap-4d8e9f0a1b2c3,vol-8d9e0f1a2b3c4,1300,gp2,2024-01-18 08:10:15,2024-01-18 08:29:40,1165,timeout,118.4,3900,250
snap-4e9f0a1b2c3d4,vol-9e0f1a2b3c4d5,550,io1,2024-01-18 09:25:20,2024-01-18 09:33:35,495,completed,40.2,9000,650
snap-4f0a1b2c3d4e5,vol-0f1a2b3c4d5e6,300,gp3,2024-01-18 10:15:45,2024-01-18 10:24:20,515,completed,19.8,3000,450
snap-5a1b2c3d4e5f6,vol-1a2b3c4d5e6f7,900,gp2,2024-01-18 11:30:10,2024-01-18 11:48:55,1125,timeout,94.6,2700,250
snap-5b2c3d4e5f6a7,vol-2b3c4d5e6f7a8,650,gp3,2024-01-18 12:20:35,2024-01-18 12:33:18,763,completed,50.3,4500,600
snap-5c3d4e5f6a7b8,vol-3c4d5e6f7a8b9,1600,io2,2024-01-18 13:15:50,2024-01-18 13:25:25,575,completed,82.7,18000,900
snap-5d4e5f6a7b8c9,vol-4d5e6f7a8b9c0,450,gp2,2024-01-18 14:05:20,2024-01-18 14:21:35,975,timeout,64.5,1350,250
snap-5e5f6a7b8c9d0,vol-5e6f7a8b9c0d1,700,gp3,2024-01-18 15:20:15,2024-01-18 15:31:48,693,completed,51.8,5000,700
snap-5f6a7b8c9d0e1,vol-6f7a8b9c0d1e2,1050,gp2,2024-01-18 16:10:40,2024-01-18 16:29:25,1125,timeout,102.9,3150,250
snap-6a7b8c9d0e1f2,vol-7a8b9c0d1e2f3,350,io1,2024-01-19 08:15:25,2024-01-19 08:22:30,425,completed,26.4,7500,600
snap-6b8c9d0e1f2a3,vol-8b9c0d1e2f3a4,600,gp3,2024-01-19 09:30:10,2024-01-19 09:41:35,685,completed,46.7,4000,550
snap-6c9d0e1f2a3b4,vol-9c0d1e2f3a4b5,850,gp2,2024-01-19 10:20:45,2024-01-19 10:39:50,1145,timeout,88.3,2550,250
snap-6d0e1f2a3b4c5,vol-0d1e2f3a4b5c6,500,gp3,2024-01-19 11:15:30,2024-01-19 11:26:15,645,completed,38.9,3500,500
snap-6e1f2a3b4c5d6,vol-1e2f3a4b5c6d7,1200,io2,2024-01-19 12:30:20,2024-01-19 12:39:45,565,completed,68.5,15000,850
snap-6f2a3b4c5d6e7,vol-2f3a4b5c6d7e8,400,gp2,2024-01-19 13:20:15,2024-01-19 13:36:30,975,timeout,60.2,1200,250
snap-7a3b4c5d6e7f8,vol-3a4b5c6d7e8f9,750,gp3,2024-01-19 14:15:40,2024-01-19 14:28:25,765,completed,57.6,5500,700
snap-7b4c5d6e7f8a9,vol-4b5c6d7e8f9a0,950,gp2,2024-01-19 15:10:25,2024-01-19 15:29:40,1155,timeout,96.8,2850,250
snap-7c5d6e7f8a9b0,vol-5c6d7e8f9a0b1,550,io1,2024-01-19 16:05:30,2024-01-19 16:13:15,465,completed,41.3,9500,680
snap-7d6e7f8a9b0c1,vol-6d7e8f9a0b1c2,300,gp3,2024-01-20 08:20:15,2024-01-20 08:29:10,535,completed,20.5,3000,450
snap-7e7f8a9b0c1d2,vol-7e8f9a0b1c2d3,1100,gp2,2024-01-20 09:15:35,2024-01-20 09:34:50,1155,timeout,106.4,3300,250
snap-7f8a9b0c1d2e3,vol-8f9a0b1c2d3e4,650,gp3,2024-01-20 10:30:20,2024-01-20 10:43:15,775,completed,50.9,4500,650
snap-8a9b0c1d2e3f4,vol-9a0b1c2d3e4f5,1400,io2,2024-01-20 11:20:45,2024-01-20 11:30:20,575,completed,76.2,17000,900
snap-8b0c1d2e3f4a5,vol-0b1c2d3e4f5a6,450,gp2,2024-01-20 12:15:10,2024-01-20 12:31:25,975,timeout,63.8,1350,250
snap-8c1d2e3f4a5b6,vol-1c2d3e4f5a6b7,700,gp3,2024-01-20 13:25:30,2024-01-20 13:37:45,735,completed,54.3,5000,700
snap-8d2e3f4a5b6c7,vol-2d3e4f5a6b7c8,1000,gp2,2024-01-20 14:10:15,2024-01-20 14:29:30,1155,timeout,100.7,3000,250
snap-8e3f4a5b6c7d8,vol-3e4f5a6b7c8d9,350,io1,2024-01-20 15:20:40,2024-01-20 15:27:25,405,completed,25.8,7200,580
snap-8f4a5b6c7d8e9,vol-4f5a6b7c8d9e0,600,gp3,2024-01-20 16:15:25,2024-01-20 16:26:50,685,completed,47.5,4000,600
snap-9a5b6c7d8e9f0,vol-5a6b7c8d9e0f1,850,gp2,2024-01-21 08:10:30,2024-01-21 08:29:45,1155,timeout,90.1,2550,250
snap-9b6c7d8e9f0a1,vol-6b7c8d9e0f1a2,500,gp3,2024-01-21 09:25:15,2024-01-21 09:36:30,675,completed,40.2,3500,550
snap-9c7d8e9f0a1b2,vol-7c8d9e0f1a2b3,1250,io2,2024-01-21 10:15:40,2024-01-21 10:25:15,575,completed,70.8,16000,850
snap-9d8e9f0a1b2c3,vol-8d9e0f1a2b3c4,400,gp2,2024-01-21 11:30:20,2024-01-21 11:46:35,975,timeout,59.4,1200,250
snap-9e9f0a1b2c3d4,vol-9e0f1a2b3c4d5,750,gp3,2024-01-21 12:20:10,2024-01-21 12:33:25,795,completed,58.7,5500,750
snap-9f0a1b2c3d4e5,vol-0f1a2b3c4d5e6,950,gp2,2024-01-21 13:15:35,2024-01-21 13:35:10,1175,timeout,97.3,2850,250
snap-0a1b2c3d4e5f7,vol-1a2b3c4d5e6f8,550,io1,2024-01-21 14:10:25,2024-01-21 14:18:30,485,completed,42.6,9200,670
snap-0b2c3d4e5f6a8,vol-2b3c4d5e6f7a9,300,gp3,2024-01-21 15:25:15,2024-01-21 15:34:30,555,completed,21.3,3000,450
snap-0c3d4e5f6a7b9,vol-3c4d5e6f7a8b0,1150,gp2,2024-01-21 16:15:40,2024-01-21 16:35:25,1185,timeout,110.2,3450,250
snap-0d4e5f6a7b8c0,vol-4d5e6f7a8b9c1,650,gp3,2024-01-22 08:20:30,2024-01-22 08:33:45,795,completed,52.4,4500,650
snap-0e5f6a7b8c9d1,vol-5e6f7a8b9c0d2,1500,io2,2024-01-22 09:15:20,2024-01-22 09:24:55,575,completed,80.9,18000,950
snap-0f6a7b8c9d0e2,vol-6f7a8b9c0d1e3,450,gp2,2024-01-22 10:30:15,2024-01-22 10:46:50,995,timeout,65.7,1350,250
snap-1a7b8c9d0e1f3,vol-7a8b9c0d1e2f4,700,gp3,2024-01-22 11:20:40,2024-01-22 11:33:15,755,completed,55.8,5000,700
snap-1b8c9d0e1f2a4,vol-8b9c0d1e2f3a5,1050,gp2,2024-01-22 12:15:25,2024-01-22 12:35:10,1185,timeout,104.5,3150,250
snap-1c9d0e1f2a3b5,vol-9c0d1e2f3a4b6,350,io1,2024-01-22 13:25:30,2024-01-22 13:32:45,435,completed,27.9,7800,620
snap-1d0e1f2a3b4c6,vol-0d1e2f3a4b5c7,600,gp3,2024-01-22 14:15:15,2024-01-22 14:27:30,735,completed,49.6,4000,600
snap-1e1f2a3b4c5d7,vol-1e2f3a4b5c6d8,900,gp2,2024-01-22 15:10:40,2024-01-22 15:30:25,1185,timeout,93.8,2700,250
snap-1f2a3b4c5d6e8,vol-2f3a4b5c6d7e9,500,gp3,2024-01-22 16:20:20,2024-01-22 16:31:45,685,completed,39.4,3500,550
snap-2a3b4c5d6e7f9,vol-3a4b5c6d7e8f0,1350,io2,2024-01-23 08:15:35,2024-01-23 08:25:20,585,completed,74.6,17500,900
snap-2b4c5d6e7f8a0,vol-4b5c6d7e8f9a1,400,gp2,2024-01-23 09:30:10,2024-01-23 09:46:45,995,timeout,61.3,1200,250
snap-2c5d6e7f8a9b1,vol-5c6d7e8f9a0b2,750,gp3,2024-01-23 10:20:25,2024-01-23 10:33:50,805,completed,59.2,5500,750
snap-2d6e7f8a9b0c2,vol-6d7e8f9a0b1c3,1000,gp2,2024-01-23 11:15:40,2024-01-23 11:35:35,1195,timeout,101.8,3000,250
snap-2e7f8a9b0c1d3,vol-7e8f9a0b1c2d4,550,io1,2024-01-23 12:25:15,2024-01-23 12:33:40,505,completed,43.7,9800,700
snap-2f8a9b0c1d2e4,vol-8f9a0b1c2d3e5,300,gp3,2024-01-23 13:15:30,2024-01-23 13:25:15,585,completed,22.8,3000,450
snap-3a9b0c1d2e3f5,vol-9a0b1c2d3e4f6,850,gp2,2024-01-23 14:10:20,2024-01-23 14:30:25,1205,timeout,91.4,2550,250
snap-3b0c1d2e3f4a6,vol-0b1c2d3e4f5a7,650,gp3,2024-01-23 15:20:45,2024-01-23 15:34:20,815,completed,53.6,4500,650
snap-3c1d2e3f4a5b7,vol-1c2d3e4f5a6b8,1700,io2,2024-01-23 16:15:10,2024-01-23 16:25:05,595,completed,86.3,19000,1000
snap-3d2e3f4a5b6c8,vol-2d3e4f5a6b7c9,450,gp2,2024-01-24 08:20:35,2024-01-24 08:37:30,1015,timeout,66.9,1350,250
snap-3e3f4a5b6c7d9,vol-3e4f5a6b7c8d0,700,gp3,2024-01-24 09:15:20,2024-01-24 09:28:45,765,completed,56.4,5000,700
snap-3f4a5b6c7d8e0,vol-4f5a6b7c8d9e1,950,gp2,2024-01-24 10:30:15,2024-01-24 10:50:20,1205,timeout,98.7,2850,250
snap-4a5b6c7d8e9f1,vol-5a6b7c8d9e0f2,350,io1,2024-01-24 11:20:40,2024-01-24 11:28:05,445,completed,28.5,7600,610
snap-4b6c7d8e9f0a2,vol-6b7c8d9e0f1a3,600,gp3,2024-01-24 12:15:25,2024-01-24 12:27:50,745,completed,50.8,4000,600
snap-4c7d8e9f0a1b3,vol-7c8d9e0f1a2b4,1100,gp2,2024-01-24 13:25:10,2024-01-24 13:45:35,1225,timeout,107.9,3300,250
snap-4d8e9f0a1b2c4,vol-8d9e0f1a2b3c5,500,gp3,2024-01-24 14:15:30,2024-01-24 14:27:15,705,completed,41.5,3500,550
snap-4e9f0a1b2c3d5,vol-9e0f1a2b3c4d6,1300,io2,2024-01-24 15:20:45,2024-01-24 15:30:30,585,completed,72.4,16500,880
snap-4f0a1b2c3d4e6,vol-0f1a2b3c4d5e7,400,gp2,2024-01-24 16:10:20,2024-01-24 16:27:15,1015,timeout,62.6,1200,250
snap-5a1b2c3d4e5f7,vol-1a2b3c4d5e6f8,750,gp3,2024-01-25 08:15:35,2024-01-25 08:29:20,825,completed,60.3,5500,750
snap-5b2c3d4e5f6a8,vol-2b3c4d5e6f7a9,1000,gp2,2024-01-25 09:30:10,2024-01-25 09:50:35,1225,timeout,103.2,3000,250
snap-5c3d4e5f6a7b9,vol-3c4d5e6f7a8b0,550,io1,2024-01-25 10:20:25,2024-01-25 10:28:50,505,completed,44.8,10000,720
snap-5d4e5f6a7b8c0,vol-4d5e6f7a8b9c1,300,gp3,2024-01-25 11:15:40,2024-01-25 11:25:35,595,completed,23.7,3000,450
snap-5e5f6a7b8c9d1,vol-5e6f7a8b9c0d2,900,gp2,2024-01-25 12:25:15,2024-01-25 12:45:50,1235,timeout,95.6,2700,250
snap-5f6a7b8c9d0e2,vol-6f7a8b9c0d1e3,650,gp3,2024-01-25 13:15:30,2024-01-25 13:29:25,835,completed,54.9,4500,650
snap-6a7b8c9d0e1f3,vol-7a8b9c0d1e2f4,1600,io2,2024-01-25 14:20:45,2024-01-25 14:30:50,605,completed,84.7,18500,950
snap-6b8c9d0e1f2a4,vol-8b9c0d1e2f3a5,450,gp2,2024-01-25 15:10:20,2024-01-25 15:27:35,1035,timeout,67.8,1350,250
snap-6c9d0e1f2a3b5,vol-9c0d1e2f3a4b6,700,gp3,2024-01-25 16:20:10,2024-01-25 16:33:55,825,completed,58.1,5000,700
snap-6d0e1f2a3b4c6,vol-0d1e2f3a4b5c7,1050,gp2,2024-01-26 08:15:25,2024-01-26 08:36:10,1245,timeout,105.8,3150,250
snap-6e1f2a3b4c5d7,vol-1e2f3a4b5c6d8,350,io1,2024-01-26 09:30:40,2024-01-26 09:38:25,465,completed,29.6,8000,640
snap-6f2a3b4c5d6e8,vol-2f3a4b5c6d7e9,600,gp3,2024-01-26 10:20:15,2024-01-26 10:33:10,775,completed,52.3,4000,600
snap-7a3b4c5d6e7f9,vol-3a4b5c6d7e8f0,850,gp2,2024-01-26 11:25:30,2024-01-26 11:46:25,1255,timeout,89.5,2550,250
snap-7b4c5d6e7f8a0,vol-4b5c6d7e8f9a1,500,gp3,2024-01-26 12:15:45,2024-01-26 12:27:50,725,completed,42.7,3500,550
snap-7c5d6e7f8a9b1,vol-5c6d7e8f9a0b2,1450,io2,2024-01-26 13:20:10,2024-01-26 13:30:15,605,completed,78.9,17800,920
snap-7d6e7f8a9b0c2,vol-6d7e8f9a0b1c3,400,gp2,2024-01-26 14:15:35,2024-01-26 14:32:50,1035,timeout,64.2,1200,250
snap-7e7f8a9b0c1d3,vol-7e8f9a0b1c2d4,750,gp3,2024-01-26 15:25:20,2024-01-26 15:39:35,855,completed,61.5,5500,750
snap-7f8a9b0c1d2e4,vol-8f9a0b1c2d3e5,1000,gp2,2024-01-26 16:10:45,2024-01-26 16:31:50,1265,timeout,102.4,3000,250
snap-8a9b0c1d2e3f5,vol-9a0b1c2d3e4f6,550,io1,2024-01-27 08:20:30,2024-01-27 08:29:15,525,completed,45.9,9600,690
snap-8b0c1d2e3f4a6,vol-0b1c2d3e4f5a7,300,gp3,2024-01-27 09:15:15,2024-01-27 09:25:30,615,completed,24.6,3000,450
snap-8c1d2e3f4a5b7,vol-1c2d3e4f5a6b8,950,gp2,2024-01-27 10:30:40,2024-01-27 10:51:55,1275,timeout,99.8,2850,250
snap-8d2e3f4a5b6c8,vol-2d3e4f5a6b7c9,650,gp3,2024-01-27 11:20:25,2024-01-27 11:34:50,865,completed,56.7,4500,650
snap-8e3f4a5b6c7d9,vol-3e4f5a6b7c8d0,1750,io2,2024-01-27 12:25:10,2024-01-27 12:35:35,625,completed,90.2,19500,1000
snap-8f4a5b6c7d8e0,vol-4f5a6b7c8d9e1,450,gp2,2024-01-27 13:15:45,2024-01-27 13:33:20,1055,timeout,68.4,1350,250
snap-9a5b6c7d8e9f1,vol-5a6b7c8d9e0f2,700,gp3,2024-01-27 14:20:30,2024-01-27 14:34:55,865,completed,59.8,5000,700
snap-9b6c7d8e9f0a2,vol-6b7c8d9e0f1a3,1100,gp2,2024-01-27 15:10:15,2024-01-27 15:31:50,1295,timeout,108.6,3300,250
snap-9c7d8e9f0a1b3,vol-7c8d9e0f1a2b4,350,io1,2024-01-27 16:25:40,2024-01-27 16:33:35,475,completed,30.8,8200,650
snap-9d8e9f0a1b2c4,vol-8d9e0f1a2b3c5,600,gp3,2024-01-28 08:15:20,2024-01-28 08:28:45,805,completed,53.4,4000,600
snap-9e9f0a1b2c3d5,vol-9e0f1a2b3c4d6,900,gp2,2024-01-28 09:30:35,2024-01-28 09:52:10,1315,timeout,94.3,2700,250
snap-9f0a1b2c3d4e6,vol-0f1a2b3c4d5e7,500,gp3,2024-01-28 10:20:15,2024-01-28 10:32:50,755,completed,43.9,3500,550
snap-0a1b2c3d4e5f8,vol-1a2b3c4d5e6f9,1200,io2,2024-01-28 11:25:40,2024-01-28 11:35:35,595,completed,69.7,15500,870
snap-0b2c3d4e5f6a9,vol-2b3c4d5e6f7a0,400,gp2,2024-01-28 12:15:25,2024-01-28 12:32:50,1045,timeout,65.3,1200,250
snap-0c3d4e5f6a7b0,vol-3c4d5e6f7a8b1,750,gp3,2024-01-28 13:20:10,2024-01-28 13:34:55,885,completed,62.8,5500,750
snap-0d4e5f6a7b8c1,vol-4d5e6f7a8b9c2,1050,gp2,2024-01-28 14:10:45,2024-01-28 14:32:40,1315,timeout,106.9,3150,250
snap-0e5f6a7b8c9d2,vol-5e6f7a8b9c0d3,550,io1,2024-01-28 15:25:30,2024-01-28 15:34:25,535,completed,46.2,10200,740
snap-0f6a7b8c9d0e3,vol-6f7a8b9c0d1e4,300,gp3,2024-01-28 16:15:15,2024-01-28 16:26:00,645,completed,25.4,3000,450
snap-1a7b8c9d0e1f4,vol-7a8b9c0d1e2f5,850,gp2,2024-01-29 08:20:40,2024-01-29 08:42:35,1335,timeout,92.7,2550,250
snap-1b8c9d0e1f2a5,vol-8b9c0d1e2f3a6,650,gp3,2024-01-29 09:15:25,2024-01-29 09:30:30,905,completed,57.9,4500,650
snap-1c9d0e1f2a3b6,vol-9c0d1e2f3a4b7,1550,io2,2024-01-29 10:30:10,2024-01-29 10:40:25,615,completed,82.5,18200,940
snap-1d0e1f2a3b4c7,vol-0d1e2f3a4b5c8,450,gp2,2024-01-29 11:20:35,2024-01-29 11:38:10,1055,timeout,69.6,1350,250
snap-1e1f2a3b4c5d8,vol-1e2f3a4b5c6d9,700,gp3,2024-01-29 12:25:20,2024-01-29 12:40:15,895,completed,61.2,5000,700
snap-1f2a3b4c5d6e9,vol-2f3a4b5c6d7e0,950,gp2,2024-01-29 13:15:45,2024-01-29 13:38:20,1355,timeout,100.1,2850,250
snap-2a3b4c5d6e7f0,vol-3a4b5c6d7e8f1,350,io1,2024-01-29 14:20:10,2024-01-29 14:28:25,495,completed,31.9,8400,660
snap-2b4c5d6e7f8a1,vol-4b5c6d7e8f9a2,600,gp3,2024-01-29 15:10:35,2024-01-29 15:24:20,825,completed,54.6,4000,600
snap-2c5d6e7f8a9b2,vol-5c6d7e8f9a0b3,800,gp2,2024-01-29 16:25:15,2024-01-29 16:47:50,1355,timeout,87.4,2400,250
snap-2d6e7f8a9b0c3,vol-6d7e8f9a0b1c4,500,gp3,2024-01-30 08:15:40,2024-01-30 08:28:25,765,completed,44.8,3500,550
snap-2e7f8a9b0c1d4,vol-7e8f9a0b1c2d5,1400,io2,2024-01-30 09:30:25,2024-01-30 09:40:40,615,completed,76.8,17200,910
