timestamp,energy_kwh,day_of_week,hour
2024-09-10 06:00:00,37.4,1,6
2024-09-10 07:00:00,50.6,1,7
2024-09-10 08:00:00,65.8,1,8
2024-09-10 09:00:00,81.3,1,9
2024-09-10 10:00:00,87.9,1,10
2024-09-10 11:00:00,91.7,1,11
2024-09-10 12:00:00,90.2,1,12
2024-09-10 13:00:00,89.1,1,13
2024-09-10 14:00:00,10.2,1,14
2024-09-10 15:00:00,88.9,1,15
2024-09-10 16:00:00,84.7,1,16
2024-09-10 17:00:00,76.2,1,17
2024-09-10 18:00:00,60.1,1,18
2024-09-10 19:00:00,54.2,1,19
2024-09-10 20:00:00,50.6,1,20
2024-09-10 21:00:00,47.4,1,21
2024-09-10 22:00:00,42.9,1,22
2024-09-10 23:00:00,38.2,1,23
2024-09-11 00:00:00,32.5,2,0
2024-09-11 01:00:00,29.9,2,1
2024-09-11 02:00:00,27.7,2,2
2024-09-11 03:00:00,26.7,2,3
2024-09-11 04:00:00,28.5,2,4
2024-09-11 05:00:00,31.4,2,5
2024-09-11 06:00:00,37.1,2,6
2024-09-11 07:00:00,50.3,2,7
2024-09-11 08:00:00,65.4,2,8
2024-09-11 09:00:00,79.8,2,9
2024-09-11 10:00:00,86.7,2,10
2024-09-11 11:00:00,90.6,2,11
2024-09-11 12:00:00,88.9,2,12
2024-09-11 13:00:00,90.3,2,13
2024-09-11 14:00:00,92.7,2,14
2024-09-11 15:00:00,87.9,2,15
2024-09-11 16:00:00,83.7,2,16
2024-09-11 17:00:00,75.8,2,17
2024-09-11 18:00:00,59.7,2,18
2024-09-11 19:00:00,53.9,2,19
2024-09-11 20:00:00,50.4,2,20
2024-09-11 21:00:00,47.1,2,21
2024-09-11 22:00:00,42.6,2,22
2024-09-11 23:00:00,37.8,2,23
2024-09-12 00:00:00,33.8,3,0
2024-09-12 01:00:00,30.6,3,1
2024-09-12 02:00:00,28.6,3,2
2024-09-12 03:00:00,27.4,3,3
2024-09-12 04:00:00,29.1,3,4
2024-09-12 05:00:00,31.9,3,5
2024-09-12 06:00:00,37.6,3,6
2024-09-12 07:00:00,50.8,3,7
2024-09-12 08:00:00,66.2,3,8
2024-09-12 09:00:00,81.9,3,9
2024-09-12 10:00:00,88.4,3,10
2024-09-12 11:00:00,92.3,3,11
2024-09-12 12:00:00,90.6,3,12
2024-09-12 13:00:00,91.8,3,13
2024-09-12 14:00:00,94.7,3,14
2024-09-12 15:00:00,89.6,3,15
2024-09-12 16:00:00,85.8,3,16
2024-09-12 17:00:00,77.6,3,17
2024-09-12 18:00:00,61.8,3,18
2024-09-12 19:00:00,55.9,3,19
2024-09-12 20:00:00,52.3,3,20
2024-09-12 21:00:00,49.4,3,21
2024-09-12 22:00:00,44.8,3,22
2024-09-12 23:00:00,39.8,3,23
2024-09-13 00:00:00,34.1,4,0
2024-09-13 01:00:00,30.9,4,1
2024-09-13 02:00:00,28.9,4,2
2024-09-13 03:00:00,27.6,4,3
2024-09-13 04:00:00,29.4,4,4
2024-09-13 05:00:00,32.1,4,5
2024-09-13 06:00:00,37.9,4,6
2024-09-13 07:00:00,51.2,4,7
2024-09-13 08:00:00,66.7,4,8
2024-09-13 09:00:00,82.3,4,9
2024-09-13 10:00:00,88.9,4,10
2024-09-13 11:00:00,92.8,4,11
2024-09-13 12:00:00,91.1,4,12
2024-09-13 13:00:00,90.2,4,13
2024-09-13 14:00:00,93.4,4,14
2024-09-13 15:00:00,88.3,4,15
2024-09-13 16:00:00,84.1,4,16
2024-09-13 17:00:00,76.7,4,17
2024-09-13 18:00:00,60.6,4,18
2024-09-13 19:00:00,54.8,4,19
2024-09-13 20:00:00,51.2,4,20
2024-09-13 21:00:00,48.3,4,21
2024-09-13 22:00:00,43.7,4,22
2024-09-13 23:00:00,38.9,4,23
2024-09-14 00:00:00,27.3,5,0
2024-09-14 01:00:00,25.1,5,1
2024-09-14 02:00:00,23.4,5,2
2024-09-14 03:00:00,22.7,5,3
2024-09-14 04:00:00,24.2,5,4
2024-09-14 05:00:00,26.8,5,5
2024-09-14 06:00:00,30.6,5,6
2024-09-14 07:00:00,39.8,5,7
2024-09-14 08:00:00,50.7,5,8
2024-09-14 09:00:00,60.3,5,9
2024-09-14 10:00:00,66.8,5,10
2024-09-14 11:00:00,70.4,5,11
2024-09-14 12:00:00,68.9,5,12
2024-09-14 13:00:00,69.7,5,13
2024-09-14 14:00:00,71.9,5,14
2024-09-14 15:00:00,67.3,5,15
2024-09-14 16:00:00,63.8,5,16
2024-09-14 17:00:00,58.6,5,17
2024-09-14 18:00:00,46.7,5,18
2024-09-14 19:00:00,42.4,5,19
2024-09-14 20:00:00,39.6,5,20
2024-09-14 21:00:00,37.1,5,21
2024-09-14 22:00:00,34.2,5,22
2024-09-14 23:00:00,30.8,5,23
2024-09-15 00:00:00,26.9,6,0
2024-09-15 01:00:00,24.8,6,1
2024-09-15 02:00:00,23.1,6,2
2024-09-15 03:00:00,22.4,6,3
2024-09-15 04:00:00,23.8,6,4
2024-09-15 05:00:00,26.4,6,5
2024-09-15 06:00:00,30.3,6,6
2024-09-15 07:00:00,39.4,6,7
2024-09-15 08:00:00,50.1,6,8
2024-09-15 09:00:00,59.7,6,9
2024-09-15 10:00:00,66.2,6,10
2024-09-15 11:00:00,69.8,6,11
2024-09-15 12:00:00,68.4,6,12
2024-09-15 13:00:00,69.2,6,13
2024-09-15 14:00:00,71.3,6,14
2024-09-15 15:00:00,66.9,6,15
2024-09-15 16:00:00,63.2,6,16
2024-09-15 17:00:00,58.1,6,17
2024-09-15 18:00:00,46.2,6,18
2024-09-15 19:00:00,42.1,6,19
2024-09-15 20:00:00,39.1,6,20
2024-09-15 21:00:00,36.8,6,21
2024-09-15 22:00:00,33.9,6,22
2024-09-15 23:00:00,30.6,6,23
2024-09-16 00:00:00,34.3,0,0
2024-09-16 01:00:00,31.1,0,1
2024-09-16 02:00:00,29.2,0,2
2024-09-16 03:00:00,28.1,0,3
2024-09-16 04:00:00,29.8,0,4
2024-09-16 05:00:00,32.6,0,5
2024-09-16 06:00:00,38.2,0,6
2024-09-16 07:00:00,51.7,0,7
2024-09-16 08:00:00,67.3,0,8
2024-09-16 09:00:00,82.8,0,9
2024-09-16 10:00:00,89.6,0,10
2024-09-16 11:00:00,93.4,0,11
2024-09-16 12:00:00,91.9,0,12
2024-09-16 13:00:00,92.7,0,13
2024-09-16 14:00:00,95.3,0,14
2024-09-16 15:00:00,90.4,0,15
2024-09-16 16:00:00,86.7,0,16
2024-09-16 17:00:00,78.9,0,17
2024-09-16 18:00:00,62.8,0,18
2024-09-16 19:00:00,56.7,0,19
2024-09-16 20:00:00,53.4,0,20
2024-09-16 21:00:00,50.3,0,21
2024-09-16 22:00:00,45.8,0,22
2024-09-16 23:00:00,40.7,0,23
2024-09-17 00:00:00,34.7,1,0
2024-09-17 01:00:00,31.6,1,1
2024-09-17 02:00:00,29.6,1,2
2024-09-17 03:00:00,28.4,1,3
2024-09-17 04:00:00,30.3,1,4
2024-09-17 05:00:00,33.2,1,5
2024-09-17 06:00:00,38.9,1,6
2024-09-17 07:00:00,52.3,1,7
2024-09-17 08:00:00,67.9,1,8
2024-09-17 09:00:00,83.7,1,9
2024-09-17 10:00:00,90.2,1,10
2024-09-17 11:00:00,94.1,1,11
2024-09-17 12:00:00,92.4,1,12
2024-09-17 13:00:00,91.6,1,13
2024-09-17 14:00:00,94.8,1,14
2024-09-17 15:00:00,89.7,1,15
2024-09-17 16:00:00,85.9,1,16
2024-09-17 17:00:00,78.3,1,17
2024-09-17 18:00:00,62.4,1,18
2024-09-17 19:00:00,56.2,1,19
2024-09-17 20:00:00,52.8,1,20
2024-09-17 21:00:00,49.7,1,21
2024-09-17 22:00:00,45.1,1,22
2024-09-17 23:00:00,40.3,1,23
2024-09-18 00:00:00,34.2,2,0
2024-09-18 01:00:00,31.4,2,1
2024-09-18 02:00:00,29.4,2,2
2024-09-18 03:00:00,28.2,2,3
2024-09-18 04:00:00,30.1,2,4
2024-09-18 05:00:00,32.9,2,5
2024-09-18 06:00:00,38.6,2,6
2024-09-18 07:00:00,51.9,2,7
2024-09-18 08:00:00,67.6,2,8
2024-09-18 09:00:00,83.1,2,9
2024-09-18 10:00:00,89.8,2,10
2024-09-18 11:00:00,93.7,2,11
2024-09-18 12:00:00,92.1,2,12
2024-09-18 13:00:00,91.3,2,13
2024-09-18 14:00:00,94.1,2,14
2024-09-18 15:00:00,89.3,2,15
2024-09-18 16:00:00,85.4,2,16
2024-09-18 17:00:00,77.9,2,17
2024-09-18 18:00:00,61.9,2,18
2024-09-18 19:00:00,55.8,2,19
2024-09-18 20:00:00,52.1,2,20
2024-09-18 21:00:00,49.2,2,21
2024-09-18 22:00:00,44.6,2,22
2024-09-18 23:00:00,39.7,2,23
2024-09-19 00:00:00,34.6,3,0
2024-09-19 01:00:00,31.8,3,1
2024-09-19 02:00:00,29.8,3,2
2024-09-19 03:00:00,28.7,3,3
2024-09-19 04:00:00,30.6,3,4
2024-09-19 05:00:00,33.4,3,5
2024-09-19 06:00:00,39.1,3,6
2024-09-19 07:00:00,52.7,3,7
2024-09-19 08:00:00,68.4,3,8
2024-09-19 09:00:00,84.2,3,9
2024-09-19 10:00:00,90.7,3,10
2024-09-19 11:00:00,94.6,3,11
2024-09-19 12:00:00,93.1,3,12
2024-09-19 13:00:00,92.9,3,13
2024-09-19 14:00:00,95.8,3,14
2024-09-19 15:00:00,90.8,3,15
2024-09-19 16:00:00,86.9,3,16
2024-09-19 17:00:00,79.3,3,17
2024-09-19 18:00:00,63.2,3,18
2024-09-19 19:00:00,57.3,3,19
2024-09-19 20:00:00,53.7,3,20
2024-09-19 21:00:00,50.8,3,21
2024-09-19 22:00:00,46.2,3,22
2024-09-19 23:00:00,41.2,3,23
2024-09-20 00:00:00,35.3,4,0
2024-09-20 01:00:00,32.4,4,1
2024-09-20 02:00:00,30.4,4,2
2024-09-20 03:00:00,29.2,4,3
2024-09-20 04:00:00,31.1,4,4
2024-09-20 05:00:00,33.9,4,5
2024-09-20 06:00:00,39.7,4,6
2024-09-20 07:00:00,53.3,4,7
2024-09-20 08:00:00,68.9,4,8
2024-09-20 09:00:00,84.8,4,9
2024-09-20 10:00:00,91.4,4,10
2024-09-20 11:00:00,95.2,4,11
2024-09-20 12:00:00,93.7,4,12
2024-09-20 13:00:00,92.4,4,13
2024-09-20 14:00:00,148.6,4,14
2024-09-20 15:00:00,89.9,4,15
2024-09-20 16:00:00,86.3,4,16
2024-09-20 17:00:00,78.7,4,17
2024-09-20 18:00:00,62.7,4,18
2024-09-20 19:00:00,56.9,4,19
2024-09-20 20:00:00,53.2,4,20
2024-09-20 21:00:00,50.1,4,21
2024-09-20 22:00:00,45.6,4,22
2024-09-20 23:00:00,40.8,4,23
2024-09-21 00:00:00,28.4,5,0
2024-09-21 01:00:00,26.3,5,1
2024-09-21 02:00:00,24.7,5,2
2024-09-21 03:00:00,23.9,5,3
2024-09-21 04:00:00,25.6,5,4
2024-09-21 05:00:00,27.9,5,5
2024-09-21 06:00:00,31.8,5,6
2024-09-21 07:00:00,41.2,5,7
2024-09-21 08:00:00,52.3,5,8
2024-09-21 09:00:00,62.1,5,9
2024-09-21 10:00:00,68.7,5,10
2024-09-21 11:00:00,72.3,5,11
2024-09-21 12:00:00,70.8,5,12
2024-09-21 13:00:00,71.6,5,13
2024-09-21 14:00:00,73.8,5,14
2024-09-21 15:00:00,69.1,5,15
2024-09-21 16:00:00,65.7,5,16
2024-09-21 17:00:00,60.4,5,17
2024-09-21 18:00:00,48.3,5,18
2024-09-21 19:00:00,43.9,5,19
2024-09-21 20:00:00,41.2,5,20
2024-09-21 21:00:00,38.7,5,21
2024-09-21 22:00:00,35.8,5,22
2024-09-21 23:00:00,32.3,5,23
2024-09-22 00:00:00,28.1,6,0
2024-09-22 01:00:00,25.9,6,1
2024-09-22 02:00:00,24.3,6,2
2024-09-22 03:00:00,23.6,6,3
2024-09-22 04:00:00,25.2,6,4
2024-09-22 05:00:00,27.6,6,5
2024-09-22 06:00:00,31.4,6,6
2024-09-22 07:00:00,40.8,6,7
2024-09-22 08:00:00,51.7,6,8
2024-09-22 09:00:00,61.6,6,9
2024-09-22 10:00:00,68.1,6,10
2024-09-22 11:00:00,71.7,6,11
2024-09-22 12:00:00,70.3,6,12
2024-09-22 13:00:00,71.1,6,13
2024-09-22 14:00:00,73.2,6,14
2024-09-22 15:00:00,68.7,6,15
