V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
-1.34,0.67,-0.78,1.45,-0.56,0.89,-1.67,0.78,-0.45,1.23,-0.89,0.56,-1.34,0.78,-0.67,1.56,-0.45,0.67,-1.23,0.89,-0.67,1.34,-0.78,0.45,-1.12,0.67,-0.56,0.78,276.54,0
0.78,-1.56,0.67,-0.34,1.45,-0.78,0.56,-1.23,0.89,-0.67,1.34,-0.56,0.78,-1.45,0.67,-0.34,1.12,-0.67,0.89,-1.56,0.45,-0.78,1.34,-0.45,0.89,-1.67,0.56,-0.67,156.78,0
-0.91,1.23,-0.56,0.78,-1.34,0.67,-0.45,1.56,-0.78,0.45,-1.12,0.89,-0.67,1.34,-0.56,0.78,-1.45,0.67,-0.34,1.23,-0.89,0.56,-1.78,0.67,-0.45,1.34,-0.89,0.56,198.34,0
1.56,-0.67,0.89,-1.34,0.45,-0.78,1.23,-0.67,0.56,-1.45,0.89,-0.34,1.67,-0.56,0.78,-1.23,0.45,-0.89,1.34,-0.67,0.56,-1.56,0.78,-0.45,1.12,-0.56,0.67,-0.89,83.45,0
-1.12,0.89,-0.67,1.34,-0.78,0.45,-1.56,0.67,-0.89,1.45,-0.56,0.78,-1.23,0.89,-0.67,1.34,-0.78,0.45,-1.67,0.56,-0.78,1.23,-0.67,0.89,-1.34,0.45,-0.56,0.67,312.89,0
0.45,-1.23,0.78,-0.56,1.67,-0.89,0.34,-1.45,0.78,-0.56,1.23,-0.67,0.45,-1.78,0.89,-0.56,1.34,-0.67,0.78,-1.45,0.56,-0.89,1.67,-0.34,0.78,-1.23,0.45,-0.67,145.67,0
-0.78,1.56,-0.67,0.45,-1.34,0.89,-0.56,1.23,-0.78,0.67,-1.45,0.56,-0.89,1.67,-0.45,0.78,-1.34,0.56,-0.67,1.45,-0.89,0.67,-1.23,0.56,-0.78,1.34,-0.67,0.45,234.56,0
1.45,-0.78,0.56,-1.23,0.89,-0.67,1.34,-0.56,0.78,-1.67,0.45,-0.89,1.23,-0.67,0.56,-1.45,0.78,-0.67,1.56,-0.45,0.89,-1.34,0.67,-0.56,1.23,-0.78,0.45,-0.89,98.76,0
-1.56,0.67,-0.89,1.34,-0.67,0.78,-1.45,0.89,-0.56,1.23,-0.78,0.45,-1.67,0.56,-0.78,1.45,-0.67,0.89,-1.34,0.78,-0.56,1.12,-0.89,0.67,-1.45,0.56,-0.78,0.89,287.34,0
0.67,-1.34,0.89,-0.56,1.23,-0.78,0.45,-1.67,0.56,-0.89,1.34,-0.78,0.67,-1.45,0.56,-0.78,1.23,-0.56,0.89,-1.67,0.45,-0.78,1.45,-0.56,0.67,-1.34,0.89,-0.56,167.89,0
-0.89,1.45,-0.67,0.78,-1.56,0.67,-0.45,1.34,-0.89,0.56,-1.23,0.78,-0.67,1.45,-0.56,0.89,-1.67,0.78,-0.45,1.34,-0.67,0.56,-1.45,0.78,-0.56,1.23,-0.67,0.45,201.23,0
1.67,-0.56,0.78,-1.45,0.67,-0.89,1.23,-0.67,0.89,-1.56,0.45,-0.78,1.34,-0.56,0.67,-1.23,0.89,-0.67,1.45,-0.78,0.56,-1.67,0.89,-0.45,1.12,-0.67,0.56,-0.78,76.54,0
-1.23,0.78,-0.56,1.67,-0.89,0.45,-1.34,0.67,-0.78,1.45,-0.89,0.56,-1.67,0.78,-0.45,1.23,-0.67,0.56,-1.45,0.89,-0.67,1.34,-0.78,0.56,-1.23,0.67,-0.89,0.78,323.45,0
0.89,-1.67,0.56,-0.45,1.34,-0.78,0.67,-1.45,0.89,-0.67,1.23,-0.56,0.78,-1.34,0.67,-0.45,1.56,-0.78,0.67,-1.23,0.89,-0.56,1.34,-0.67,0.45,-1.56,0.78,-0.67,123.89,0
-0.56,1.34,-0.78,0.67,-1.45,0.89,-0.67,1.56,-0.45,0.78,-1.34,0.67,-0.89,1.23,-0.56,0.78,-1.45,0.67,-0.89,1.56,-0.78,0.45,-1.34,0.67,-0.56,1.45,-0.78,0.67,212.67,0
1.34,-0.67,0.89,-1.56,0.78,-0.45,1.23,-0.78,0.56,-1.34,0.67,-0.89,1.45,-0.67,0.78,-1.56,0.45,-0.67,1.34,-0.89,0.78,-1.23,0.56,-0.67,1.45,-0.89,0.67,-0.56,89.12,0
-1.45,0.89,-0.67,1.23,-0.56,0.78,-1.67,0.56,-0.89,1.34,-0.67,0.78,-1.45,0.89,-0.67,1.56,-0.78,0.45,-1.23,0.67,-0.89,1.45,-0.56,0.78,-1.34,0.89,-0.67,0.56,298.76,0
0.78,-1.45,0.67,-0.89,1.56,-0.67,0.45,-1.34,0.78,-0.56,1.45,-0.67,0.89,-1.56,0.78,-0.67,1.23,-0.89,0.56,-1.45,0.67,-0.78,1.34,-0.56,0.89,-1.67,0.45,-0.78,178.45,0
-0.67,1.56,-0.89,0.45,-1.23,0.78,-0.56,1.45,-0.67,0.89,-1.56,0.78,-0.45,1.34,-0.67,0.89,-1.23,0.56,-0.78,1.67,-0.45,0.78,-1.56,0.89,-0.67,1.23,-0.45,0.56,245.89,0
1.23,-0.78,0.56,-1.34,0.89,-0.67,1.56,-0.45,0.78,-1.23,0.67,-0.56,1.45,-0.78,0.89,-1.67,0.56,-0.78,1.34,-0.67,0.45,-1.23,0.78,-0.56,1.67,-0.89,0.78,-0.45,95.67,0
-1.67,0.56,-0.78,1.45,-0.67,0.89,-1.23,0.78,-0.56,1.34,-0.89,0.67,-1.56,0.78,-0.67,1.45,-0.89,0.56,-1.34,0.78,-0.67,1.23,-0.89,0.45,-1.56,0.67,-0.78,0.89,334.56,0
0.56,-1.34,0.78,-0.67,1.45,-0.89,0.56,-1.23,0.67,-0.78,1.56,-0.89,0.45,-1.67,0.78,-0.56,1.34,-0.67,0.89,-1.56,0.78,-0.45,1.23,-0.67,0.56,-1.45,0.89,-0.78,156.23,0
-0.89,1.67,-0.56,0.78,-1.34,0.67,-0.89,1.45,-0.56,0.78,-1.23,0.89,-0.67,1.56,-0.78,0.45,-1.67,0.89,-0.56,1.34,-0.78,0.67,-1.45,0.56,-0.89,1.67,-0.78,0.45,223.45,0
1.56,-0.89,0.67,-1.23,0.78,-0.56,1.34,-0.67,0.89,-1.45,0.78,-0.67,1.23,-0.89,0.56,-1.34,0.67,-0.89,1.56,-0.78,0.67,-1.45,0.89,-0.67,1.23,-0.56,0.78,-0.89,87.89,0
-1.34,0.78,-0.89,1.56,-0.67,0.45,-1.45,0.89,-0.67,1.23,-0.78,0.56,-1.34,0.67,-0.89,1.78,-0.56,0.67,-1.45,0.89,-0.78,1.34,-0.67,0.56,-1.23,0.78,-0.89,0.67,312.34,0
0.67,-1.56,0.89,-0.45,1.34,-0.78,0.67,-1.45,0.56,-0.89,1.34,-0.78,0.67,-1.23,0.89,-0.56,1.45,-0.78,0.67,-1.34,0.56,-0.89,1.67,-0.78,0.45,-1.23,0.67,-0.56,167.56,0
-0.78,1.45,-0.67,0.89,-1.56,0.78,-0.45,1.34,-0.78,0.67,-1.45,0.89,-0.56,1.23,-0.67,0.78,-1.56,0.89,-0.67,1.45,-0.78,0.56,-1.34,0.67,-0.78,1.56,-0.89,0.67,256.78,0
1.45,-0.67,0.78,-1.56,0.89,-0.67,1.23,-0.89,0.56,-1.34,0.78,-0.67,1.45,-0.56,0.89,-1.67,0.78,-0.56,1.34,-0.67,0.89,-1.45,0.56,-0.78,1.23,-0.67,0.89,-0.56,102.34,0
-1.56,0.89,-0.67,1.34,-0.78,0.56,-1.45,0.67,-0.89,1.56,-0.78,0.45,-1.23,0.89,-0.67,1.34,-0.78,0.67,-1.56,0.89,-0.45,1.23,-0.78,0.67,-1.45,0.89,-0.56,0.78,289.67,0
0.78,-1.23,0.67,-0.89,1.45,-0.78,0.56,-1.67,0.89,-0.56,1.23,-0.67,0.89,-1.45,0.78,-0.67,1.34,-0.89,0.56,-1.23,0.78,-0.67,1.56,-0.45,0.89,-1.34,0.78,-0.67,134.56,0
-0.67,1.34,-0.89,0.56,-1.45,0.78,-0.67,1.56,-0.45,0.89,-1.34,0.67,-0.78,1.45,-0.89,0.56,-1.23,0.78,-0.67,1.56,-0.89,0.67,-1.45,0.78,-0.56,1.34,-0.89,0.56,245.23,0
1.34,-0.89,0.56,-1.23,0.78,-0.67,1.45,-0.56,0.89,-1.67,0.78,-0.45,1.23,-0.67,0.56,-1.45,0.89,-0.78,1.56,-0.67,0.45,-1.34,0.78,-0.89,1.67,-0.56,0.78,-0.67,93.78,0
-1.45,0.67,-0.78,1.56,-0.89,0.67,-1.34,0.78,-0.56,1.45,-0.67,0.89,-1.56,0.78,-0.67,1.34,-0.89,0.56,-1.45,0.78,-0.67,1.56,-0.89,0.45,-1.23,0.67,-0.78,0.89,323.89,0
0.89,-1.56,0.78,-0.67,1.34,-0.89,0.56,-1.45,0.67,-0.78,1.56,-0.89,0.67,-1.34,0.78,-0.56,1.45,-0.67,0.89,-1.56,0.78,-0.67,1.23,-0.89,0.56,-1.45,0.78,-0.89,145.34,0
-0.56,1.45,-0.89,0.67,-1.34,0.78,-0.56,1.23,-0.89,0.67,-1.56,0.78,-0.67,1.45,-0.56,0.89,-1.67,0.78,-0.56,1.34,-0.67,0.89,-1.45,0.56,-0.78,1.23,-0.67,0.89,267.45,0
1.23,-0.67,0.89,-1.45,0.78,-0.56,1.67,-0.89,0.67,-1.34,0.56,-0.78,1.45,-0.89,0.67,-1.23,0.78,-0.67,1.56,-0.89,0.78,-1.34,0.56,-0.67,1.45,-0.89,0.56,-0.78,109.56,0
-1.67,0.78,-0.89,1.45,-0.56,0.67,-1.34,0.89,-0.78,1.56,-0.67,0.45,-1.45,0.78,-0.89,1.67,-0.56,0.78,-1.34,0.89,-0.67,1.45,-0.78,0.56,-1.67,0.89,-0.67,0.78,301.23,0
0.67,-1.45,0.89,-0.78,1.56,-0.67,0.45,-1.34,0.78,-0.89,1.45,-0.67,0.56,-1.56,0.89,-0.78,1.34,-0.67,0.56,-1.45,0.89,-0.78,1.67,-0.56,0.67,-1.23,0.89,-0.78,178.67,0
-0.78,1.56,-0.67,0.89,-1.45,0.78,-0.89,1.34,-0.67,0.56,-1.23,0.89,-0.78,1.67,-0.56,0.78,-1.45,0.67,-0.89,1.56,-0.78,0.67,-1.34,0.89,-0.67,1.45,-0.78,0.56,234.78,0
1.56,-0.78,0.67,-1.34,0.89,-0.78,1.45,-0.67,0.56,-1.23,0.89,-0.78,1.34,-0.67,0.89,-1.56,0.78,-0.67,1.45,-0.89,0.56,-1.67,0.78,-0.67,1.34,-0.89,0.67,-0.78,98.23,0
-1.34,0.89,-0.78,1.67,-0.56,0.78,-1.45,0.67,-0.89,1.34,-0.78,0.56,-1.67,0.89,-0.78,1.45,-0.67,0.56,-1.34,0.78,-0.89,1.67,-0.56,0.78,-1.45,0.89,-0.78,0.67,289.45,0
0.78,-1.34,0.89,-0.67,1.45,-0.89,0.78,-1.56,0.67,-0.89,1.34,-0.78,0.67,-1.45,0.89,-0.67,1.56,-0.78,0.89,-1.34,0.67,-0.89,1.45,-0.78,0.56,-1.67,0.89,-0.67,156.89,0
-0.89,1.67,-0.78,0.56,-1.34,0.89,-0.67,1.45,-0.78,0.89,-1.56,0.67,-0.89,1.34,-0.78,0.67,-1.45,0.89,-0.78,1.56,-0.67,0.89,-1.34,0.78,-0.67,1.23,-0.89,0.78,278.34,0
1.45,-0.89,0.78,-1.56,0.67,-0.78,1.34,-0.67,0.89,-1.45,0.78,-0.89,1.56,-0.67,0.78,-1.34,0.89,-0.78,1.67,-0.56,0.89,-1.45,0.78,-0.89,1.34,-0.67,0.78,-0.89,115.67,0
-1.56,0.78,-0.89,1.45,-0.67,0.89,-1.67,0.78,-0.56,1.34,-0.89,0.78,-1.45,0.67,-0.89,1.56,-0.78,0.89,-1.45,0.67,-0.78,1.34,-0.89,0.67,-1.56,0.78,-0.89,0.89,334.78,0
0.89,-1.67,0.78,-0.56,1.34,-0.89,0.67,-1.45,0.89,-0.78,1.56,-0.67,0.89,-1.34,0.78,-0.89,1.45,-0.67,0.78,-1.56,0.89,-0.67,1.34,-0.89,0.78,-1.45,0.67,-0.89,167.23,0
-0.67,1.45,-0.89,0.78,-1.56,0.67,-0.89,1.34,-0.78,0.67,-1.45,0.89,-0.78,1.56,-0.67,0.89,-1.34,0.78,-0.89,1.45,-0.67,0.78,-1.56,0.89,-0.78,1.34,-0.67,0.89,256.89,0
1.34,-0.78,0.89,-1.67,0.78,-0.89,1.56,-0.78,0.67,-1.45,0.89,-0.78,1.34,-0.89,0.67,-1.56,0.78,-0.89,1.45,-0.67,0.78,-1.34,0.89,-0.78,1.56,-0.67,0.89,-0.78,102.89,0
-1.45,0.89,-0.78,1.56,-0.67,0.78,-1.34,0.89,-0.67,1.45,-0.78,0.89,-1.56,0.67,-0.78,1.45,-0.89,0.67,-1.56,0.78,-0.89,1.45,-0.67,0.78,-1.34,0.89,-0.78,0.67,312.56,0
0.78,-1.45,0.89,-0.78,1.56,-0.67,0.89,-1.34,0.78,-0.67,1.45,-0.89,0.78,-1.56,0.67,-0.89,1.34,-0.78,0.89,-1.45,0.67,-0.78,1.56,-0.89,0.67,-1.34,0.78,-0.89,189.45,0
-0.89,1.56,-0.78,0.67,-1.45,0.89,-0.78,1.67,-0.56,0.89,-1.34,0.78,-0.89,1.45,-0.67,0.78,-1.56,0.89,-0.78,1.34,-0.89,0.78,-1.45,0.67,-0.89,1.56,-0.78,0.67,267.67,0
1.56,-0.89,0.78,-1.45,0.67,-0.89,1.34,-0.78,0.89,-1.56,0.67,-0.89,1.45,-0.78,0.89,-1.67,0.78,-0.89,1.34,-0.78,0.67,-1.56,0.89,-0.78,1.45,-0.89,0.78,-0.67,123.45,0
-1.67,0.89,-0.78,1.34,-0.89,0.78,-1.56,0.67,-0.89,1.45,-0.78,0.67,-1.34,0.89,-0.78,1.56,-0.67,0.89,-1.67,0.78,-0.89,1.34,-0.78,0.89,-1.45,0.67,-0.89,0.78,345.67,0
0.67,-1.56,0.89,-0.78,1.45,-0.89,0.67,-1.34,0.89,-0.78,1.56,-0.67,0.89,-1.45,0.78,-0.89,1.67,-0.78,0.89,-1.34,0.67,-0.89,1.45,-0.78,0.89,-1.56,0.67,-0.89,178.89,0
-0.78,1.67,-0.89,0.78,-1.34,0.89,-0.78,1.45,-0.89,0.78,-1.56,0.67,-0.89,1.34,-0.78,0.89,-1.45,0.67,-0.89,1.56,-0.78,0.89,-1.67,0.78,-0.89,1.34,-0.78,0.89,298.23,0
1.45,-0.78,0.89,-1.56,0.78,-0.89,1.67,-0.89,0.78,-1.34,0.67,-0.89,1.56,-0.78,0.89,-1.45,0.67,-0.89,1.78,-0.89,0.78,-1.34,0.67,-0.89,1.45,-0.78,0.89,-0.67,134.23,0
-1.34,0.78,-0.89,1.56,-0.78,0.89,-1.45,0.89,-0.78,1.67,-0.89,0.78,-1.56,0.67,-0.89,1.34,-0.78,0.89,-1.45,0.67,-0.89,1.56,-0.78,0.89,-1.67,0.78,-0.89,0.89,323.67,0
0.89,-1.45,0.78,-0.89,1.67,-0.78,0.89,-1.56,0.78,-0.89,1.45,-0.78,0.89,-1.34,0.67,-0.89,1.56,-0.89,0.78,-1.45,0.89,-0.78,1.34,-0.67,0.89,-1.45,0.78,-0.89,201.56,0
-0.78,1.34,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,-1.45,0.89,-0.78,1.56,-0.89,0.78,-1.34,0.89,-0.78,1.45,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,289.89,0
1.67,-0.89,0.78,-1.45,0.89,-0.78,1.56,-0.89,0.78,-1.67,0.89,-0.78,1.34,-0.89,0.78,-1.56,0.89,-0.78,1.45,-0.89,0.78,-1.67,0.89,-0.78,1.34,-0.89,0.78,-0.89,145.78,0
-1.56,0.89,-0.78,1.67,-0.89,0.78,-1.34,0.89,-0.78,1.56,-0.89,0.78,-1.67,0.89,-0.78,1.45,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,-1.34,0.89,-0.78,0.89,356.45,0
0.78,-1.67,0.89,-0.78,1.56,-0.89,0.78,-1.45,0.89,-0.78,1.67,-0.89,0.78,-1.56,0.89,-0.78,1.45,-0.89,0.78,-1.67,0.89,-0.78,1.56,-0.89,0.78,-1.34,0.89,-0.78,167.67,0
-0.89,1.56,-0.78,0.89,-1.67,0.78,-0.89,1.45,-0.78,0.89,-1.56,0.78,-0.89,1.67,-0.78,0.89,-1.45,0.78,-0.89,1.56,-0.78,0.89,-1.67,0.78,-0.89,1.45,-0.78,0.89,278.56,0
1.56,-0.89,0.78,-1.67,0.89,-0.78,1.45,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,-1.45,0.89,-0.78,1.56,-0.89,0.78,-1.45,0.89,-0.78,1.67,-0.89,0.78,-0.89,156.34,0
-1.45,0.89,-0.78,1.56,-0.89,0.78,-1.67,0.89,-0.78,1.45,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,-1.45,0.89,-0.78,1.56,-0.89,0.78,-1.67,0.89,-0.78,0.89,334.89,0
0.89,-1.56,0.78,-0.89,1.67,-0.89,0.78,-1.45,0.89,-0.78,1.56,-0.89,0.78,-1.67,0.89,-0.78,1.56,-0.89,0.78,-1.45,0.89,-0.78,1.67,-0.89,0.78,-1.56,0.89,-0.78,189.67,0
-0.78,1.67,-0.89,0.78,-1.56,0.89,-0.78,1.45,-0.89,0.78,-1.67,0.89,-0.78,1.56,-0.89,0.78,-1.67,0.89,-0.78,1.45,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,267.89,0
1.67,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,-1.45,0.89,-0.78,1.56,-0.89,0.78,-1.67,0.89,-0.78,1.45,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,-0.89,178.23,0
-1.56,0.89,-0.78,1.67,-0.89,0.78,-1.45,0.89,-0.78,1.56,-0.89,0.78,-1.67,0.89,-0.78,1.56,-0.89,0.78,-1.67,0.89,-0.78,1.45,-0.89,0.78,-1.56,0.89,-0.78,0.89,367.23,0
0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.56,-0.89,0.78,-1.45,0.89,-0.78,1.67,-0.89,0.78,-1.56,0.89,-0.78,1.45,-0.89,0.78,-1.67,0.89,-0.78,201.78,0
-0.89,1.67,-0.78,0.89,-1.56,0.78,-0.89,1.67,-0.78,0.89,-1.45,0.78,-0.89,1.56,-0.78,0.89,-1.67,0.78,-0.89,1.56,-0.78,0.89,-1.45,0.78,-0.89,1.67,-0.78,0.89,256.34,0
1.67,-0.89,0.78,-1.45,0.89,-0.78,1.56,-0.89,0.78,-1.67,0.89,-0.78,1.45,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.56,-0.89,0.78,-0.89,189.34,0
-1.67,0.89,-0.78,1.56,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.45,0.89,-0.78,1.56,-0.89,0.78,-1.67,0.89,-0.78,1.56,-0.89,0.78,-1.45,0.89,-0.78,0.89,378.45,0
0.89,-1.67,0.78,-0.89,1.56,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.56,-0.89,0.78,-1.67,0.89,-0.78,1.56,-0.89,0.78,-1.45,0.89,-0.78,212.89,0
-0.78,1.56,-0.89,0.78,-1.67,0.89,-0.78,1.56,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.56,-0.89,0.78,289.23,0
1.56,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.56,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,-0.89,198.56,0
-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,0.89,389.67,0
0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.56,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,223.45,0
-0.89,1.67,-0.78,0.89,-1.67,0.78,-0.89,1.67,-0.78,0.89,-1.67,0.78,-0.89,1.56,-0.78,0.89,-1.67,0.78,-0.89,1.67,-0.78,0.89,-1.56,0.78,-0.89,1.67,-0.78,0.89,298.67,0
1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.56,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.56,-0.89,0.78,-0.89,207.78,0
-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.56,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.56,0.89,-0.78,0.89,398.89,0
0.89,-1.67,0.78,-0.89,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,234.56,0
-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.56,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,312.45,0
1.67,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-1.56,0.89,-0.78,1.67,-0.89,0.78,-1.67,0.89,-0.78,1.67,-0.89,0.78,-0.89,217.89,0
