applicant_id,age,income,debt_ratio,credit_score,employment_years,loan_amount,defaulted
1074,26,31.4,2.08,565,0.9,48.0,1
1075,52,118.5,0.31,825,24.3,265.0,0
1076,38,74.2,0.59,715,11.2,165.0,0
1077,44,,0.42,760,16.4,190.0,0
1078,31,46.9,1.42,635,3.4,90.0,1
1079,50,103.4,0.35,805,20.3,235.0,0
1080,35,63.1,0.94,695,7.9,133.0,0
1081,27,37.8,1.78,580,1.3,64.0,1
1082,53,123.7,0.27,845,25.9,272.0,0
1083,40,76.9,,730,12.1,161.0,0
1084,46,88.2,0.44,775,17.6,196.0,0
1085,32,50.6,1.28,645,3.8,94.0,1
1086,48,99.8,0.37,790,19.7,225.0,0
1087,37,68.3,0.82,705,9.4,146.0,0
1088,29,39.7,1.72,590,1.7,68.0,1
1089,51,110.6,0.32,815,22.4,250.0,0
1090,36,65.9,0.88,700,8.7,140.0,0
1091,42,,0.49,765,13.4,180.0,0
1092,30,44.2,1.55,615,2.6,84.0,1
1093,54,127.3,0.28,840,27.1,280.0,0
1094,39,71.6,0.67,720,10.6,156.0,0
1095,45,86.8,0.45,770,16.8,193.0,0
1096,33,52.4,1.15,670,4.9,108.0,1
1097,47,96.1,0.40,785,18.5,213.0,0
1098,34,57.2,,695,6.2,123.0,1
1099,41,80.4,0.55,745,13.9,171.0,0
1100,28,41.6,1.65,600,2.2,79.0,1
1101,49,104.7,0.34,810,20.8,238.0,0
1102,35,62.5,0.92,690,7.3,136.0,0
1103,25,30.2,2.12,270,0.7,46.0,1
1104,55,129.8,0.26,850,28.3,283.0,0
1105,38,73.7,0.61,725,11.8,163.0,0
1106,44,,0.48,760,17.2,187.0,0
1107,31,48.1,1.38,630,3.3,91.0,1
1108,50,106.9,0.33,820,21.5,246.0,0
1109,36,64.8,0.85,700,8.1,141.0,0
1110,27,34.5,1.85,570,1.2,61.0,1
1111,52,120.2,0.29,830,25.1,270.0,0
1112,40,75.5,,715,12.4,162.0,0
1113,46,87.6,0.43,775,17.9,194.0,0
1114,32,51.3,1.25,650,3.7,96.0,1
1115,48,100.5,0.36,795,19.1,227.0,0
1116,37,67.8,0.78,710,9.1,147.0,0
1117,29,-3.8,1.88,550,1.5,55.0,1
1118,51,111.4,0.31,815,22.7,252.0,0
1119,35,60.3,0.96,695,7.2,137.0,0
1120,43,,0.52,755,14.1,179.0,0
1121,30,43.4,1.58,610,2.4,81.0,1
1122,54,126.1,0.28,835,26.5,277.0,0
1123,39,70.9,0.64,720,10.3,157.0,0
1124,45,84.7,0.46,770,16.1,189.0,0
1125,33,54.6,1.08,675,5.3,115.0,1
1126,47,95.3,0.39,790,18.2,211.0,0
1127,36,65.2,,705,8.5,144.0,0
1128,42,82.7,0.54,750,14.9,174.0,0
1129,31,46.5,1.45,625,2.9,86.0,1
1130,49,105.1,0.34,810,20.5,241.0,0
1131,34,58.7,0.89,690,6.6,126.0,1
1132,26,32.8,2.05,560,0.9,49.0,1
1133,53,122.4,0.28,840,25.6,274.0,0
1134,38,74.8,0.60,725,11.6,164.0,0
1135,44,,0.44,765,16.6,191.0,0
1136,32,49.8,1.35,640,3.5,93.0,1
1137,50,108.2,0.33,820,21.8,249.0,0
1138,35,63.9,0.93,695,7.7,134.0,0
1139,27,36.1,1.82,575,1.3,63.0,1
1140,52,119.7,0.30,830,24.8,267.0,0
1141,40,77.1,,720,12.8,162.0,0
1142,46,89.5,0.42,780,18.3,197.0,0
1143,33,52.9,1.22,660,4.4,109.0,1
1144,48,102.8,0.35,800,20.1,233.0,0
1145,37,69.6,0.81,710,9.6,149.0,0
1146,28,40.9,1.68,595,1.8,72.0,1
1147,51,112.8,0.32,825,23.2,257.0,0
1148,36,66.4,0.86,700,8.9,142.0,0
1149,41,,0.50,760,13.6,181.0,0
1150,29,42.8,1.62,605,2.3,78.0,1
1151,54,128.6,0.27,845,27.4,281.0,0
1152,39,72.8,0.66,725,11.1,159.0,0
1153,45,86.1,0.45,775,16.5,192.0,0
1154,34,55.1,1.12,670,5.5,118.0,1
1155,47,97.4,0.38,790,18.7,216.0,0
1156,35,64.5,,700,7.9,139.0,0
1157,42,81.3,0.56,745,14.7,176.0,0
1158,30,45.7,1.52,620,2.8,87.0,1
1159,49,106.3,0.34,815,21.3,244.0,0
1160,36,62.1,0.90,695,7.4,131.0,0
1161,26,33.2,2.18,580,1.0,51.0,1
1162,55,131.5,0.26,855,28.9,287.0,0
1163,38,75.9,0.62,730,12.3,166.0,0
1164,44,,0.47,765,17.5,186.0,0
1165,31,47.6,1.41,635,3.1,89.0,1
1166,50,104.2,0.35,805,20.9,239.0,0
1167,37,68.7,0.83,705,9.8,151.0,0
1168,27,38.3,1.75,585,1.4,66.0,1
1169,52,117.9,0.30,825,24.6,266.0,0
1170,40,76.3,,715,12.6,160.0,0
1171,46,88.9,0.43,780,18.8,199.0,0
1172,33,53.5,1.19,665,4.7,111.0,1
1173,48,101.1,0.36,795,19.4,229.0,0
1174,34,59.4,0.87,690,6.9,127.0,1
1175,25,31.7,2.10,555,0.8,47.0,1
1176,53,124.3,0.27,840,26.2,276.0,0
1177,39,73.3,0.63,720,11.4,161.0,0
1178,45,85.9,0.46,770,17.1,190.0,0
1179,32,50.2,1.31,645,3.9,95.0,1
1180,49,107.6,0.33,815,21.6,247.0,0
