treatment,purchase_amount,age,browsing_time,past_purchases,account_age_days,avg_session_duration
1,310.20,44,221,14,1210,57.3
0,98.40,25,46,2,118,15.6
1,264.70,36,192,11,875,48.4
1,288.60,41,205,13,1025,52.4
0,123.70,31,69,5,265,23.2
1,329.90,47,228,15,1320,61.8
0,94.30,24,41,2,95,14.3
1,272.50,37,196,11,895,49.9
1,226.40,33,173,10,735,42.9
0,109.10,28,58,3,180,19.5
1,314.80,45,223,14,1235,58.1
0,100.50,26,47,2,122,16.7
1,260.90,35,188,11,815,47.4
1,292.70,42,206,13,1050,53.1
0,121.60,30,67,4,252,22.9
1,338.50,49,233,16,1405,64.5
0,91.20,23,39,1,82,13.1
1,269.80,38,195,12,915,50.6
1,218.30,34,171,10,740,42.2
0,115.40,29,60,3,188,19.9
1,308.40,43,222,14,1225,57.9
0,97.10,25,45,2,115,15.8
1,262.60,36,190,11,850,48.1
1,287.20,40,204,12,995,51.7
0,124.30,31,70,5,270,23.6
1,326.80,46,227,15,1300,60.4
0,92.90,24,40,1,90,13.5
1,274.10,37,197,11,900,50.3
1,224.60,33,172,9,725,42.6
0,110.70,28,59,3,175,19.3
1,313.50,44,224,14,1240,58.5
0,99.00,26,46,2,120,16.3
1,258.20,35,189,11,825,47.6
1,290.80,41,206,13,1040,52.9
0,122.50,30,68,4,260,23.1
1,332.60,48,230,16,1375,63.2
0,89.70,22,38,1,75,12.5
1,271.30,39,196,12,930,51.1
1,220.90,32,170,9,710,41.7
0,117.80,29,62,4,205,20.6
1,306.90,43,220,14,1200,57.1
0,95.40,25,44,2,110,15.4
1,265.50,36,191,11,865,48.7
1,289.10,42,205,13,1015,52.6
0,123.10,31,69,5,263,23.4
1,330.70,47,229,15,1335,61.5
0,93.80,24,41,2,98,14.1
1,273.90,37,197,12,920,50.7
1,227.20,33,173,10,730,43.1
0,112.30,28,60,3,192,20.1
1,319.60,45,226,15,1275,59.8
0,100.90,26,48,2,125,16.9
1,261.80,35,189,11,835,47.9
1,293.40,41,207,13,1055,53.3
0,125.80,31,71,5,275,24.1
1,340.30,49,234,16,1420,65.2
0,90.10,23,37,1,70,12.3
1,270.60,38,195,12,925,51.3
1,222.70,34,172,10,750,42.8
0,118.90,29,63,4,218,21.5
1,311.20,44,223,14,1230,58.9
0,98.60,25,46,2,117,16.1
1,267.40,36,192,11,870,49.1
1,288.80,40,205,12,1010,52.2
0,126.40,31,72,5,280,24.3
1,335.10,48,231,16,1385,64.1
0,91.80,24,39,1,85,13.4
1,276.20,37,198,12,935,51.5
1,229.50,33,174,10,745,43.4
0,114.10,28,61,3,200,20.4
1,317.90,45,225,15,1265,59.2
0,102.30,26,49,2,128,17.2
1,263.20,35,190,11,855,48.9
1,294.60,42,208,13,1070,53.7
0,127.90,32,73,5,288,24.8
