timestamp,src_ip,dst_ip,src_port,dst_port,protocol,flags,payload_size
1699920071,192.168.1.101,172.16.0.10,80,51345,TCP,SYN|ACK,0
1699920072,172.16.0.10,192.168.1.101,51345,80,TCP,ACK,934
1699920075,203.0.113.45,192.168.1.100,54021,22,TCP,SYN,0
1699920076,203.0.113.45,192.168.1.100,54022,22,TCP,SYN,0
1699920077,203.0.113.45,192.168.1.100,54023,22,TCP,SYN,0
1699920078,203.0.113.45,192.168.1.100,54024,22,TCP,SYN,0
1699920080,192.168.1.75,192.168.1.100,49901,22,TCP,SYN,0
1699920081,192.168.1.100,192.168.1.75,22,49901,TCP,SYN|ACK,0
1699920082,192.168.1.75,192.168.1.100,49901,22,TCP,ACK,512
1699920085,203.0.113.45,192.168.1.100,54025,22,TCP,SYN,0
1699920086,203.0.113.45,192.168.1.100,54026,22,TCP,SYN,0
1699920087,203.0.113.45,192.168.1.100,54027,22,TCP,SYN,0
1699920090,10.0.0.15,192.168.1.100,48678,443,TCP,SYN,0
1699920091,192.168.1.100,10.0.0.15,443,48678,TCP,SYN|ACK,0
1699920095,203.0.113.45,192.168.1.100,54028,22,TCP,SYN,0
1699920096,203.0.113.45,192.168.1.100,54029,22,TCP,SYN,0
1699920097,203.0.113.45,192.168.1.100,54030,22,TCP,SYN,0
1699920098,203.0.113.45,192.168.1.100,54031,22,TCP,SYN,0
1699920100,192.168.1.50,192.168.1.100,52567,80,TCP,SYN,0
1699920101,192.168.1.100,192.168.1.50,80,52567,TCP,SYN|ACK,0
1699920105,203.0.113.45,192.168.1.100,54032,22,TCP,SYN,0
1699920106,203.0.113.45,192.168.1.100,54033,22,TCP,SYN,0
1699920107,203.0.113.45,192.168.1.100,54034,22,TCP,SYN,0
1699920110,172.16.0.10,192.168.1.100,51456,3306,TCP,SYN,0
1699920111,192.168.1.100,172.16.0.10,3306,51456,TCP,SYN|ACK,0
1699920115,203.0.113.45,192.168.1.100,54035,22,TCP,SYN,0
1699920116,203.0.113.45,192.168.1.100,54036,22,TCP,SYN,0
1699920117,203.0.113.45,192.168.1.100,54037,22,TCP,SYN,0
1699920118,203.0.113.45,192.168.1.100,54038,22,TCP,SYN,0
1699920120,192.168.1.75,192.168.1.101,50012,443,TCP,SYN,0
1699920121,192.168.1.101,192.168.1.75,443,50012,TCP,SYN|ACK,0
1699920125,203.0.113.45,192.168.1.100,54039,22,TCP,SYN,0
1699920126,203.0.113.45,192.168.1.100,54040,22,TCP,SYN,0
1699920127,203.0.113.45,192.168.1.100,54041,22,TCP,SYN,0
1699920130,10.0.0.15,192.168.1.101,48789,80,TCP,SYN,0
1699920131,192.168.1.101,10.0.0.15,80,48789,TCP,SYN|ACK,0
1699920135,203.0.113.45,192.168.1.100,54042,22,TCP,SYN,0
1699920136,203.0.113.45,192.168.1.100,54043,22,TCP,SYN,0
1699920137,203.0.113.45,192.168.1.100,54044,22,TCP,SYN,0
1699920138,203.0.113.45,192.168.1.100,54045,22,TCP,SYN,0
1699920140,192.168.1.50,192.168.1.100,52678,8080,TCP,SYN,0
1699920141,192.168.1.100,192.168.1.50,8080,52678,TCP,SYN|ACK,0
1699920145,203.0.113.45,192.168.1.100,54046,22,TCP,SYN,0
1699920146,203.0.113.45,192.168.1.100,54047,22,TCP,SYN,0
1699920147,203.0.113.45,192.168.1.100,54048,22,TCP,SYN,0
1699920150,172.16.0.10,192.168.1.100,51567,443,TCP,SYN,0
1699920151,192.168.1.100,172.16.0.10,443,51567,TCP,SYN|ACK,0
1699920155,203.0.113.45,192.168.1.100,54049,22,TCP,SYN,0
1699920156,203.0.113.45,192.168.1.100,54050,22,TCP,SYN,0
1699920157,203.0.113.45,192.168.1.100,54051,22,TCP,SYN,0
1699920158,203.0.113.45,192.168.1.100,54052,22,TCP,SYN,0
1699920160,192.168.1.75,192.168.1.100,50123,80,TCP,SYN,0
1699920161,192.168.1.100,192.168.1.75,80,50123,TCP,SYN|ACK,0
1699920165,203.0.113.45,192.168.1.100,54053,22,TCP,SYN,0
1699920166,203.0.113.45,192.168.1.100,54054,22,TCP,SYN,0
1699920167,203.0.113.45,192.168.1.100,54055,22,TCP,SYN,0
1699920168,203.0.113.45,192.168.1.100,54056,80,TCP,SYN,0
1699920170,10.0.0.15,192.168.1.100,48890,443,TCP,SYN,0
1699920171,192.168.1.100,10.0.0.15,443,48890,TCP,SYN|ACK,0
1699920175,203.0.113.45,192.168.1.100,54057,22,TCP,SYN,0
1699920176,203.0.113.45,192.168.1.100,54058,22,TCP,SYN,0
1699920177,203.0.113.45,192.168.1.100,54059,22,TCP,SYN,0
1699920178,203.0.113.45,192.168.1.100,54060,22,TCP,SYN,0
1699920180,192.168.1.50,192.168.1.101,52789,443,TCP,SYN,0
1699920181,192.168.1.101,192.168.1.50,443,52789,TCP,SYN|ACK,0
1699920185,203.0.113.45,192.168.1.100,54061,22,TCP,SYN,0
1699920186,203.0.113.45,192.168.1.100,54062,22,TCP,SYN,0
1699920187,203.0.113.45,192.168.1.100,54063,22,TCP,SYN,0
1699920190,172.16.0.10,192.168.1.101,51678,80,TCP,SYN,0
1699920191,192.168.1.101,172.16.0.10,80,51678,TCP,SYN|ACK,0
1699920195,203.0.113.45,192.168.1.100,54064,22,TCP,SYN,0
1699920196,203.0.113.45,192.168.1.100,54065,22,TCP,SYN,0
1699920197,203.0.113.45,192.168.1.100,54066,22,TCP,SYN,0
1699920198,203.0.113.45,192.168.1.100,54067,22,TCP,SYN,0
1699920200,192.168.1.75,192.168.1.100,50234,3306,TCP,SYN,0
1699920201,192.168.1.100,192.168.1.75,3306,50234,TCP,SYN|ACK,0
1699920205,203.0.113.45,192.168.1.100,54068,22,TCP,SYN,0
1699920206,203.0.113.45,192.168.1.100,54069,22,TCP,SYN,0
1699920207,203.0.113.45,192.168.1.100,54070,22,TCP,SYN,0
1699920210,10.0.0.15,192.168.1.100,48991,8080,TCP,SYN,0
1699920211,192.168.1.100,10.0.0.15,8080,48991,TCP,SYN|ACK,0
1699920215,203.0.113.45,192.168.1.100,54071,22,TCP,SYN,0
1699920216,203.0.113.45,192.168.1.100,54072,22,TCP,SYN,0
1699920217,203.0.113.45,192.168.1.100,54073,22,TCP,SYN,0
1699920218,203.0.113.45,192.168.1.100,54074,22,TCP,SYN,0
1699920220,192.168.1.50,192.168.1.100,52890,443,TCP,SYN,0
1699920221,192.168.1.100,192.168.1.50,443,52890,TCP,SYN|ACK,0
1699920225,203.0.113.45,192.168.1.100,54075,22,TCP,SYN,0
1699920226,203.0.113.45,192.168.1.100,54076,22,TCP,SYN,0
1699920227,203.0.113.45,192.168.1.100,54077,22,TCP,SYN,0
1699920230,172.16.0.10,192.168.1.100,51789,443,TCP,SYN,0
1699920231,192.168.1.100,172.16.0.10,443,51789,TCP,SYN|ACK,0
1699920235,203.0.113.45,192.168.1.100,54078,22,TCP,SYN,0
1699920236,203.0.113.45,192.168.1.100,54079,22,TCP,SYN,0
1699920237,203.0.113.45,192.168.1.100,54080,22,TCP,SYN,0
1699920238,203.0.113.45,192.168.1.100,54081,22,TCP,SYN,0
1699920240,192.168.1.75,192.168.1.101,50345,80,TCP,SYN,0
1699920241,192.168.1.101,192.168.1.75,80,50345,TCP,SYN|ACK,0
1699920245,203.0.113.45,192.168.1.100,54082,22,TCP,SYN,0
1699920246,203.0.113.45,192.168.1.100,54083,22,TCP,SYN,0
1699920247,203.0.113.45,192.168.1.100,54084,22,TCP,SYN,0
1699920250,10.0.0.15,192.168.1.100,49012,443,TCP,SYN,0
1699920251,192.168.1.100,10.0.0.15,443,49012,TCP,SYN|ACK,0
1699920255,203.0.113.45,192.168.1.100,54085,22,TCP,SYN,0
1699920256,203.0.113.45,192.168.1.100,54086,22,TCP,SYN,0
1699920257,203.0.113.45,192.168.1.100,54087,22,TCP,SYN,0
1699920258,203.0.113.45,192.168.1.100,54088,22,TCP,SYN,0
1699920260,192.168.1.50,192.168.1.100,52991,80,TCP,SYN,0
1699920261,192.168.1.100,192.168.1.50,80,52991,TCP,SYN|ACK,0
1699920265,203.0.113.45,192.168.1.100,54089,22,TCP,SYN,0
1699920266,203.0.113.45,192.168.1.100,54090,22,TCP,SYN,0
1699920267,203.0.113.45,192.168.1.100,54091,22,TCP,SYN,0
1699920268,203.0.113.45,192.168.1.100,54092,443,TCP,SYN,0
1699920270,172.16.0.10,192.168.1.101,51890,443,TCP,SYN,0
1699920271,192.168.1.101,172.16.0.10,443,51890,TCP,SYN|ACK,0
1699920275,203.0.113.45,192.168.1.100,54093,22,TCP,SYN,0
1699920276,203.0.113.45,192.168.1.100,54094,22,TCP,SYN,0
1699920277,203.0.113.45,192.168.1.100,54095,22,TCP,SYN,0
1699920278,203.0.113.45,192.168.1.100,54096,22,TCP,SYN,0
1699920280,192.168.1.75,192.168.1.100,50456,8080,TCP,SYN,0
1699920281,192.168.1.100,192.168.1.75,8080,50456,TCP,SYN|ACK,0
1699920285,203.0.113.45,192.168.1.100,54097,22,TCP,SYN,0
1699920286,203.0.113.45,192.168.1.100,54098,22,TCP,SYN,0
1699920287,203.0.113.45,192.168.1.100,54099,22,TCP,SYN,0
1699920290,10.0.0.15,192.168.1.101,49123,80,TCP,SYN,0
1699920291,192.168.1.101,10.0.0.15,80,49123,TCP,SYN|ACK,0
1699920295,203.0.113.45,192.168.1.100,54100,22,TCP,SYN,0
1699920296,203.0.113.45,192.168.1.100,54101,22,TCP,SYN,0
1699920297,203.0.113.45,192.168.1.100,54102,22,TCP,SYN,0
1699920298,203.0.113.45,192.168.1.100,54103,22,TCP,SYN,0
1699920300,192.168.1.50,192.168.1.100,53012,443,TCP,FIN|ACK,0
1699920305,203.0.113.45,192.168.1.100,54104,22,TCP,SYN,0
1699920306,203.0.113.45,192.168.1.100,54105,22,TCP,SYN,0
1699920307,203.0.113.45,192.168.1.100,54106,22,TCP,SYN,0
1699920310,172.16.0.10,192.168.1.100,51991,3306,TCP,FIN|ACK,0
1699920315,203.0.113.45,192.168.1.100,54107,22,TCP,SYN,0
1699920316,203.0.113.45,192.168.1.100,54108,22,TCP,SYN,0
1699920317,203.0.113.45,192.168.1.100,54109,22,TCP,SYN,0
1699920318,203.0.113.45,192.168.1.100,54110,22,TCP,SYN,0
