feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,is_fraud
29.01,90.12,0.9,27.8,3.2,101.2,0.36,62.3,19.8,41.2,62.3,10.1,30.1,54.3,0.19,0
80.12,256.78,2.4,60.1,1.9,267.8,0.80,103.4,40.1,71.2,103.4,26.7,54.3,89.0,0.40,0
49.56,151.23,1.6,41.2,2.6,162.3,0.55,81.2,28.9,54.3,81.2,16.2,40.1,70.1,0.28,0
92.34,289.01,2.7,65.4,1.8,301.2,0.85,109.8,44.5,78.9,109.8,30.1,58.9,95.6,0.44,0
37.89,117.89,1.2,33.4,3.0,128.9,0.44,70.1,22.3,46.7,70.1,12.8,35.6,62.3,0.22,0
67.89,212.34,2.0,50.1,2.2,223.4,0.68,92.3,33.4,62.3,92.3,22.3,48.9,81.2,0.33,0
103.45,323.45,2.8,74.5,1.7,345.6,0.89,118.9,48.9,84.5,118.9,34.5,64.5,106.7,0.48,0
26.78,81.23,0.8,24.5,3.4,92.3,0.33,58.9,18.9,37.8,58.9,9.2,28.9,51.2,0.18,0
58.90,184.56,1.8,46.7,2.3,195.6,0.62,87.6,31.2,58.9,87.6,19.5,43.2,76.5,0.31,0
96.78,306.78,2.7,68.9,1.8,317.8,0.86,112.3,46.7,82.3,112.3,31.7,61.2,101.2,0.46,0
42.34,131.23,1.4,37.8,2.8,142.3,0.50,75.6,25.6,50.1,75.6,14.2,37.8,65.4,0.25,0
73.45,234.56,2.2,55.6,2.0,245.6,0.75,98.7,37.8,68.9,98.7,24.5,51.2,84.5,0.37,0
31.23,98.76,1.0,29.0,3.1,109.8,0.39,65.4,20.9,43.2,65.4,10.9,32.1,56.7,0.20,0
84.56,273.45,2.5,62.3,1.9,284.5,0.83,106.7,43.2,74.5,106.7,28.4,56.7,91.2,0.43,0
51.23,156.78,1.7,43.2,2.5,167.8,0.57,82.3,29.0,56.7,82.3,16.7,40.1,71.2,0.28,0
118.90,378.90,3.1,87.6,1.6,401.2,0.97,131.2,52.3,93.4,131.2,40.1,71.2,115.6,0.52,1
45.67,142.34,1.5,39.0,2.7,153.4,0.53,78.9,27.8,51.2,78.9,15.3,39.0,67.8,0.27,0
77.89,250.12,2.3,57.8,2.0,261.2,0.77,101.2,38.9,70.1,101.2,26.1,52.3,87.6,0.38,0
34.56,109.87,1.1,32.1,3.0,120.9,0.42,68.9,21.0,45.6,68.9,12.0,34.5,60.1,0.21,0
88.90,284.56,2.6,65.4,1.8,295.6,0.85,109.8,44.5,78.9,109.8,29.5,58.9,95.6,0.44,0
55.67,173.45,1.8,46.7,2.4,184.5,0.61,84.5,30.1,58.9,84.5,18.4,42.3,73.4,0.30,0
99.87,317.89,2.8,72.3,1.7,329.0,0.90,115.6,48.9,87.6,115.6,32.9,62.3,103.4,0.48,0
28.90,87.65,0.9,26.7,3.3,98.7,0.35,61.2,19.8,39.0,61.2,9.8,29.0,52.3,0.19,0
61.23,195.67,1.9,50.1,2.2,206.7,0.66,89.0,32.1,61.2,89.0,20.6,46.7,78.9,0.32,0
108.90,340.12,2.9,78.9,1.7,362.3,0.92,121.2,51.2,89.0,121.2,36.2,65.4,109.8,0.51,0
40.12,125.67,1.3,36.7,2.9,136.7,0.47,72.3,24.5,48.9,72.3,13.6,36.7,64.5,0.24,0
70.12,228.90,2.1,53.4,2.1,240.1,0.73,95.6,36.7,65.4,95.6,24.0,50.1,82.3,0.36,0
30.12,92.34,0.9,28.9,3.2,103.4,0.37,62.3,20.9,41.2,62.3,10.3,30.1,54.3,0.20,0
79.01,262.34,2.4,61.2,1.9,273.4,0.81,103.4,41.2,71.2,103.4,27.3,54.3,89.0,0.41,0
48.45,150.12,1.6,42.3,2.6,161.2,0.56,81.2,29.0,54.3,81.2,16.1,40.1,70.1,0.29,0
91.23,295.67,2.7,66.5,1.8,306.7,0.86,109.8,45.6,78.9,109.8,30.6,58.9,95.6,0.45,0
38.90,120.12,1.2,34.5,3.0,131.2,0.45,70.1,23.4,46.7,70.1,13.1,35.6,62.3,0.23,0
66.78,217.89,2.0,51.2,2.2,228.9,0.69,92.3,34.5,62.3,92.3,22.8,48.9,81.2,0.34,0
104.56,329.01,2.8,75.6,1.7,351.2,0.90,118.9,50.1,84.5,118.9,35.1,64.5,106.7,0.50,0
27.89,84.56,0.8,25.6,3.4,95.6,0.34,58.9,19.8,37.8,58.9,9.5,28.9,51.2,0.19,0
57.89,189.01,1.8,47.8,2.3,200.1,0.63,87.6,32.1,58.9,87.6,20.0,43.2,76.5,0.32,0
97.89,312.34,2.7,70.1,1.8,323.4,0.87,112.3,47.8,82.3,112.3,32.3,61.2,101.2,0.47,0
43.45,134.56,1.4,38.9,2.8,145.6,0.51,75.6,26.7,50.1,75.6,14.5,37.8,65.4,0.26,0
72.34,239.01,2.2,56.7,2.0,250.1,0.76,98.7,38.9,68.9,98.7,25.0,51.2,84.5,0.38,0
32.34,101.23,1.0,30.1,3.1,112.3,0.40,65.4,21.0,43.2,65.4,11.2,32.1,56.7,0.21,0
83.45,273.45,2.5,63.4,1.9,284.5,0.84,106.7,44.5,74.5,106.7,28.4,56.7,91.2,0.44,0
50.12,156.78,1.7,44.5,2.5,167.8,0.58,82.3,30.1,56.7,82.3,16.7,40.1,71.2,0.30,0
121.23,389.01,3.1,89.0,1.6,412.3,0.98,131.2,53.4,93.4,131.2,41.2,71.2,115.6,0.53,1
46.78,145.67,1.5,40.1,2.7,156.7,0.54,78.9,28.9,51.2,78.9,15.6,39.0,67.8,0.28,0
76.78,250.12,2.3,58.9,2.0,261.2,0.78,101.2,39.0,70.1,101.2,26.1,52.3,87.6,0.39,0
35.67,112.34,1.1,33.4,3.0,123.4,0.43,68.9,22.3,45.6,68.9,12.3,34.5,60.1,0.22,0
87.89,289.01,2.6,66.5,1.8,301.2,0.86,109.8,45.6,78.9,109.8,30.1,58.9,95.6,0.45,0
54.56,178.90,1.8,47.8,2.4,189.0,0.62,84.5,31.2,58.9,84.5,18.9,42.3,73.4,0.31,0
101.23,323.45,2.8,73.4,1.7,345.6,0.91,115.6,50.1,87.6,115.6,34.5,62.3,103.4,0.50,0
29.01,90.12,0.9,27.8,3.3,101.2,0.36,61.2,20.9,39.0,61.2,10.1,29.0,52.3,0.20,0
60.12,200.12,1.9,51.2,2.2,211.2,0.67,89.0,33.4,61.2,89.0,21.1,46.7,78.9,0.33,0
110.12,345.67,2.9,80.1,1.7,367.8,0.93,121.2,52.3,89.0,121.2,36.7,65.4,109.8,0.52,0
41.23,128.90,1.3,37.8,2.9,139.0,0.48,72.3,25.6,48.9,72.3,13.9,36.7,64.5,0.25,0
69.01,228.90,2.1,54.3,2.1,240.1,0.74,95.6,37.8,65.4,95.6,24.0,50.1,82.3,0.37,0
31.23,95.67,0.9,29.0,3.2,106.7,0.38,62.3,21.0,41.2,62.3,10.6,30.1,54.3,0.21,0
78.01,267.89,2.4,62.3,1.9,278.9,0.82,103.4,42.3,71.2,103.4,27.8,54.3,89.0,0.42,0
47.34,150.12,1.6,43.2,2.6,161.2,0.57,81.2,30.1,54.3,81.2,16.1,40.1,70.1,0.30,0
90.12,300.12,2.7,67.8,1.8,312.3,0.87,109.8,46.7,78.9,109.8,31.2,58.9,95.6,0.46,0
39.90,123.45,1.2,35.6,3.0,134.5,0.46,70.1,24.5,46.7,70.1,13.4,35.6,62.3,0.24,0
65.67,223.45,2.0,52.3,2.2,234.5,0.70,92.3,35.6,62.3,92.3,23.4,48.9,81.2,0.35,0
105.67,334.56,2.8,76.5,1.7,356.7,0.91,118.9,51.2,84.5,118.9,35.6,64.5,106.7,0.51,0
28.90,87.65,0.8,26.7,3.4,98.7,0.35,58.9,20.9,37.8,58.9,9.8,28.9,51.2,0.20,0
56.78,195.67,1.8,48.9,2.3,206.7,0.64,87.6,33.4,58.9,87.6,20.6,43.2,76.5,0.33,0
98.90,317.89,2.7,71.2,1.8,329.0,0.88,112.3,48.9,82.3,112.3,32.9,61.2,101.2,0.48,0
44.56,139.01,1.4,39.0,2.8,150.1,0.52,75.6,27.8,50.1,75.6,15.0,37.8,65.4,0.27,0
71.23,245.67,2.2,57.8,2.0,256.7,0.77,98.7,39.0,68.9,98.7,25.6,51.2,84.5,0.39,0
33.45,103.45,1.0,30.1,3.1,114.5,0.41,65.4,22.3,43.2,65.4,11.4,32.1,56.7,0.22,0
82.34,278.90,2.5,64.5,1.9,289.0,0.85,106.7,45.6,74.5,106.7,28.9,56.7,91.2,0.45,0
49.01,156.78,1.7,45.6,2.5,167.8,0.59,82.3,31.2,56.7,82.3,16.7,40.1,71.2,0.31,0
124.56,395.67,3.1,90.1,1.6,417.8,0.99,131.2,54.5,93.4,131.2,41.7,71.2,115.6,0.54,1
47.89,148.90,1.5,41.2,2.7,159.0,0.55,78.9,29.0,51.2,78.9,15.9,39.0,67.8,0.29,0
75.67,256.78,2.3,60.1,2.0,267.8,0.79,101.2,40.1,70.1,101.2,26.7,52.3,87.6,0.40,0
36.78,114.56,1.1,34.5,3.0,125.6,0.44,68.9,23.4,45.6,68.9,12.5,34.5,60.1,0.23,0
86.78,295.67,2.6,67.8,1.8,306.7,0.87,109.8,46.7,78.9,109.8,30.6,58.9,95.6,0.46,0
53.45,184.56,1.8,48.9,2.4,195.6,0.63,84.5,32.1,58.9,84.5,19.5,42.3,73.4,0.32,0
102.34,329.01,2.8,74.5,1.7,351.2,0.92,115.6,51.2,87.6,115.6,35.1,62.3,103.4,0.51,0
30.12,92.34,0.9,28.9,3.3,103.4,0.37,61.2,21.0,39.0,61.2,10.3,29.0,52.3,0.21,0
59.01,206.78,1.9,52.3,2.2,217.8,0.68,89.0,34.5,61.2,89.0,21.7,46.7,78.9,0.34,0
112.34,351.23,2.9,81.2,1.7,373.4,0.94,121.2,53.4,89.0,121.2,37.3,65.4,109.8,0.53,0
42.34,131.23,1.3,38.9,2.9,142.3,0.49,72.3,26.7,48.9,72.3,14.2,36.7,64.5,0.26,0
68.90,234.56,2.1,55.6,2.1,245.6,0.75,95.6,38.9,65.4,95.6,24.5,50.1,82.3,0.38,0
32.34,98.76,0.9,29.0,3.2,109.8,0.39,62.3,22.3,41.2,62.3,10.9,30.1,54.3,0.22,0
77.01,273.45,2.4,63.4,1.9,284.5,0.83,103.4,43.2,71.2,103.4,28.4,54.3,89.0,0.43,0
46.23,150.12,1.6,44.5,2.6,161.2,0.58,81.2,31.2,54.3,81.2,16.1,40.1,70.1,0.31,0
89.01,306.78,2.7,68.9,1.8,317.8,0.88,109.8,47.8,78.9,109.8,31.7,58.9,95.6,0.47,0
40.90,126.78,1.2,36.7,3.0,137.8,0.47,70.1,25.6,46.7,70.1,13.7,35.6,62.3,0.25,0
64.56,228.90,2.0,53.4,2.2,240.1,0.71,92.3,36.7,62.3,92.3,24.0,48.9,81.2,0.36,0
106.78,340.12,2.8,77.8,1.7,362.3,0.92,118.9,52.3,84.5,118.9,36.2,64.5,106.7,0.52,0
29.01,90.12,0.8,27.8,3.4,101.2,0.36,58.9,21.0,37.8,58.9,10.1,28.9,51.2,0.21,0
55.67,201.23,1.8,50.1,2.3,212.3,0.65,87.6,34.5,58.9,87.6,21.2,43.2,76.5,0.34,0
99.87,323.45,2.7,72.3,1.8,334.5,0.89,112.3,50.1,82.3,112.3,33.4,61.2,101.2,0.50,0
45.67,142.34,1.4,40.1,2.8,153.4,0.53,75.6,28.9,50.1,75.6,15.3,37.8,65.4,0.28,0
70.12,251.23,2.2,58.9,2.0,262.3,0.78,98.7,40.1,68.9,98.7,26.2,51.2,84.5,0.40,0
34.56,106.78,1.0,31.2,3.1,117.8,0.42,65.4,23.4,43.2,65.4,11.7,32.1,56.7,0.23,0
81.23,284.56,2.5,65.4,1.9,295.6,0.86,106.7,46.7,74.5,106.7,29.5,56.7,91.2,0.46,0
48.90,162.34,1.7,46.7,2.5,173.4,0.60,82.3,32.1,56.7,82.3,17.3,40.1,71.2,0.32,0
127.89,406.78,3.2,92.3,1.6,428.9,1.01,134.5,55.6,95.6,134.5,42.8,73.4,118.9,0.55,1
49.01,151.23,1.5,42.3,2.7,162.3,0.56,78.9,30.1,51.2,78.9,16.2,39.0,67.8,0.30,0
74.56,262.34,2.3,61.2,2.0,273.4,0.80,101.2,41.2,70.1,101.2,27.3,52.3,87.6,0.41,0
37.89,117.89,1.1,35.6,3.0,128.9,0.45,68.9,24.5,45.6,68.9,12.8,34.5,60.1,0.24,0
85.67,301.23,2.6,68.9,1.8,312.3,0.88,109.8,47.8,78.9,109.8,31.2,58.9,95.6,0.47,0
52.34,189.01,1.8,50.1,2.4,200.1,0.64,84.5,33.4,58.9,84.5,20.0,42.3,73.4,0.33,0
103.45,334.56,2.8,75.6,1.7,356.7,0.93,115.6,52.3,87.6,115.6,35.6,62.3,103.4,0.52,0
31.23,95.67,0.9,29.0,3.3,106.7,0.38,61.2,22.3,39.0,61.2,10.6,29.0,52.3,0.22,0
58.90,212.34,1.9,53.4,2.2,223.4,0.69,89.0,35.6,61.2,89.0,22.3,46.7,78.9,0.35,0
114.56,356.78,2.9,82.3,1.7,378.9,0.95,121.2,54.5,89.0,121.2,37.8,65.4,109.8,0.54,0
43.45,134.56,1.3,39.0,2.9,145.6,0.50,72.3,27.8,48.9,72.3,14.5,36.7,64.5,0.27,0
67.89,240.12,2.1,56.7,2.1,251.2,0.76,95.6,39.0,65.4,95.6,25.1,50.1,82.3,0.39,0
33.45,101.23,0.9,30.1,3.2,112.3,0.40,62.3,23.4,41.2,62.3,11.2,30.1,54.3,0.23,0
76.01,278.90,2.4,64.5,1.9,289.0,0.84,103.4,44.5,71.2,103.4,28.9,54.3,89.0,0.44,0
45.12,156.78,1.6,45.6,2.6,167.8,0.59,81.2,32.1,54.3,81.2,16.7,40.1,70.1,0.32,0
87.90,312.34,2.7,70.1,1.8,323.4,0.89,109.8,48.9,78.9,109.8,32.3,58.9,95.6,0.48,0
41.90,128.90,1.2,37.8,3.0,139.0,0.48,70.1,26.7,46.7,70.1,13.9,35.6,62.3,0.26,0
63.45,234.56,2.0,54.3,2.2,245.6,0.72,92.3,37.8,62.3,92.3,24.5,48.9,81.2,0.37,0
107.89,345.67,2.8,78.9,1.7,367.8,0.93,118.9,53.4,84.5,118.9,36.7,64.5,106.7,0.53,0
30.12,92.34,0.8,28.9,3.4,103.4,0.37,58.9,22.3,37.8,58.9,10.3,28.9,51.2,0.22,0
54.56,206.78,1.8,51.2,2.3,217.8,0.66,87.6,35.6,58.9,87.6,21.7,43.2,76.5,0.35,0
100.98,329.01,2.7,73.4,1.8,351.2,0.90,112.3,51.2,82.3,112.3,35.1,61.2,101.2,0.51,0
46.78,145.67,1.4,41.2,2.8,156.7,0.54,75.6,29.0,50.1,75.6,15.6,37.8,65.4,0.29,0
69.01,256.78,2.2,60.1,2.0,267.8,0.79,98.7,41.2,68.9,98.7,26.7,51.2,84.5,0.41,0
35.67,109.87,1.0,32.1,3.1,120.9,0.43,65.4,24.5,43.2,65.4,12.0,32.1,56.7,0.24,0
80.12,289.01,2.5,66.5,1.9,301.2,0.87,106.7,47.8,74.5,106.7,30.1,56.7,91.2,0.47,0
47.89,162.34,1.7,47.8,2.5,173.4,0.61,82.3,33.4,56.7,82.3,17.3,40.1,71.2,0.33,0
131.23,417.89,3.2,93.4,1.6,440.1,1.02,134.5,56.7,95.6,134.5,44.0,73.4,118.9,0.56,1
50.12,156.78,1.5,43.2,2.7,167.8,0.57,78.9,31.2,51.2,78.9,16.7,39.0,67.8,0.31,0
73.45,267.89,2.3,62.3,2.0,278.9,0.81,101.2,42.3,70.1,101.2,27.8,52.3,87.6,0.42,0
38.90,120.12,1.1,36.7,3.0,131.2,0.46,68.9,25.6,45.6,68.9,13.1,34.5,60.1,0.25,0
84.56,306.78,2.6,70.1,1.8,317.8,0.89,109.8,48.9,78.9,109.8,31.7,58.9,95.6,0.48,0
51.23,195.67,1.8,51.2,2.4,206.7,0.65,84.5,34.5,58.9,84.5,20.6,42.3,73.4,0.34,0
104.56,340.12,2.8,76.5,1.7,362.3,0.94,115.6,53.4,87.6,115.6,36.2,62.3,103.4,0.53,0
32.34,98.76,0.9,29.0,3.3,109.8,0.39,61.2,23.4,39.0,61.2,10.9,29.0,52.3,0.23,0
57.89,217.89,1.9,54.3,2.2,228.9,0.70,89.0,36.7,61.2,89.0,22.8,46.7,78.9,0.36,0
116.78,362.34,2.9,83.4,1.7,384.5,0.96,121.2,55.6,89.0,121.2,38.4,65.4,109.8,0.55,0
44.56,139.01,1.3,40.1,2.9,150.1,0.51,72.3,28.9,48.9,72.3,15.0,36.7,64.5,0.28,0
66.78,245.67,2.1,57.8,2.1,256.7,0.77,95.6,40.1,65.4,95.6,25.6,50.1,82.3,0.40,0
34.56,103.45,0.9,31.2,3.2,114.5,0.41,62.3,24.5,41.2,62.3,11.4,30.1,54.3,0.24,0
75.01,284.56,2.4,65.4,1.9,295.6,0.85,103.4,45.6,71.2,103.4,29.5,54.3,89.0,0.45,0
44.01,156.78,1.6,46.7,2.6,167.8,0.60,81.2,33.4,54.3,81.2,16.7,40.1,70.1,0.33,0
86.78,317.89,2.7,71.2,1.8,329.0,0.90,109.8,50.1,78.9,109.8,32.9,58.9,95.6,0.50,0
42.90,131.23,1.2,38.9,3.0,142.3,0.49,70.1,27.8,46.7,70.1,14.2,35.6,62.3,0.27,0
62.34,240.12,2.0,55.6,2.2,251.2,0.73,92.3,38.9,62.3,92.3,25.1,48.9,81.2,0.38,0
109.01,351.23,2.8,80.1,1.7,373.4,0.94,118.9,54.5,84.5,118.9,37.3,64.5,106.7,0.54,0
31.23,95.67,0.8,29.0,3.4,106.7,0.38,58.9,23.4,37.8,58.9,10.6,28.9,51.2,0.23,0
53.45,212.34,1.8,52.3,2.3,223.4,0.67,87.6,36.7,58.9,87.6,22.3,43.2,76.5,0.36,0
102.34,334.56,2.7,74.5,1.8,356.7,0.91,112.3,52.3,82.3,112.3,35.6,61.2,101.2,0.52,0
47.89,148.90,1.4,42.3,2.8,159.0,0.55,75.6,30.1,50.1,75.6,15.9,37.8,65.4,0.30,0
68.90,262.34,2.2,61.2,2.0,273.4,0.80,98.7,42.3,68.9,98.7,27.3,51.2,84.5,0.42,0
36.78,112.34,1.0,33.4,3.1,123.4,0.44,65.4,25.6,43.2,65.4,12.3,32.1,56.7,0.25,0
79.01,295.67,2.5,67.8,1.9,306.7,0.88,106.7,48.9,74.5,106.7,30.6,56.7,91.2,0.48,0
46.78,162.34,1.7,48.9,2.5,173.4,0.62,82.3,34.5,56.7,82.3,17.3,40.1,71.2,0.34,0
134.56,428.90,3.2,94.5,1.6,451.2,1.03,134.5,57.8,95.6,134.5,45.1,73.4,118.9,0.57,1
51.23,162.34,1.5,44.5,2.7,173.4,0.58,78.9,32.1,51.2,78.9,17.3,39.0,67.8,0.32,0
72.34,273.45,2.3,63.4,2.0,284.5,0.82,101.2,43.2,70.1,101.2,28.4,52.3,87.6,0.43,0
39.90,123.45,1.1,37.8,3.0,134.5,0.47,68.9,26.7,45.6,68.9,13.4,34.5,60.1,0.26,0
83.45,312.34,2.6,71.2,1.8,323.4,0.90,109.8,50.1,78.9,109.8,32.3,58.9,95.6,0.50,0
50.12,201.23,1.8,52.3,2.4,212.3,0.66,84.5,35.6,58.9,84.5,21.2,42.3,73.4,0.35,0
105.67,345.67,2.8,77.8,1.7,367.8,0.95,115.6,54.5,87.6,115.6,36.7,62.3,103.4,0.54,0
33.45,101.23,0.9,30.1,3.3,112.3,0.40,61.2,24.5,39.0,61.2,11.2,29.0,52.3,0.24,0
56.78,223.45,1.9,55.6,2.2,234.5,0.71,89.0,37.8,61.2,89.0,23.4,46.7,78.9,0.37,0
119.01,367.89,2.9,84.5,1.7,389.0,0.97,121.2,56.7,89.0,121.2,38.9,65.4,109.8,0.56,0
45.67,142.34,1.3,41.2,2.9,153.4,0.52,72.3,29.0,48.9,72.3,15.3,36.7,64.5,0.29,0
65.67,251.23,2.1,58.9,2.1,262.3,0.78,95.6,41.2,65.4,95.6,26.2,50.1,82.3,0.41,0
35.67,106.78,0.9,32.1,3.2,117.8,0.42,62.3,25.6,41.2,62.3,11.7,30.1,54.3,0.25,0
74.01,289.01,2.4,66.5,1.9,301.2,0.86,103.4,46.7,71.2,103.4,30.1,54.3,89.0,0.46,0
43.01,162.34,1.6,47.8,2.6,173.4,0.61,81.2,34.5,54.3,81.2,17.3,40.1,70.1,0.34,0
85.67,323.45,2.7,72.3,1.8,334.5,0.91,109.8,51.2,78.9,109.8,33.4,58.9,95.6,0.51,0
43.90,134.56,1.2,39.0,3.0,145.6,0.50,70.1,28.9,46.7,70.1,14.5,35.6,62.3,0.28,0
61.23,245.67,2.0,56.7,2.2,256.7,0.74,92.3,39.0,62.3,92.3,25.6,48.9,81.2,0.39,0
110.12,356.78,2.8,81.2,1.7,378.9,0.95,118.9,55.6,84.5,118.9,37.8,64.5,106.7,0.55,0
32.34,98.76,0.8,29.0,3.4,109.8,0.39,58.9,24.5,37.8,58.9,10.9,28.9,51.2,0.24,0
52.34,217.89,1.8,53.4,2.3,228.9,0.68,87.6,37.8,58.9,87.6,22.8,43.2,76.5,0.37,0
103.45,340.12,2.7,75.6,1.8,362.3,0.92,112.3,53.4,82.3,112.3,36.2,61.2,101.2,0.53,0
48.90,151.23,1.4,43.2,2.8,162.3,0.56,75.6,31.2,50.1,75.6,16.2,37.8,65.4,0.31,0
67.89,267.89,2.2,62.3,2.0,278.9,0.81,98.7,43.2,68.9,98.7,27.8,51.2,84.5,0.43,0
37.89,114.56,1.0,34.5,3.1,125.6,0.45,65.4,26.7,43.2,65.4,12.5,32.1,56.7,0.26,0
78.01,301.23,2.5,68.9,1.9,312.3,0.89,106.7,50.1,74.5,106.7,31.2,56.7,91.2,0.50,0
45.67,167.89,1.7,50.1,2.5,178.9,0.63,82.3,35.6,56.7,82.3,17.8,40.1,71.2,0.35,0
