timestamp,group,submit_time,start_time,wait_minutes
2024-01-15 18:00:00,Alpha,2024-01-15 18:00:00,2024-01-15 19:50:00,110
2024-01-15 19:20:00,Alpha,2024-01-15 19:20:00,2024-01-15 21:10:00,110
2024-01-15 20:30:00,Alpha,2024-01-15 20:30:00,2024-01-15 22:15:00,105
2024-01-16 08:10:00,Beta,2024-01-16 08:10:00,2024-01-16 08:32:00,22
2024-01-16 08:15:00,Beta,2024-01-16 08:15:00,2024-01-16 08:38:00,23
2024-01-16 08:20:00,Beta,2024-01-16 08:20:00,2024-01-16 08:45:00,25
2024-01-16 08:25:00,Beta,2024-01-16 08:25:00,2024-01-16 08:52:00,27
2024-01-16 08:30:00,Beta,2024-01-16 08:30:00,2024-01-16 09:00:00,30
2024-01-16 08:35:00,Beta,2024-01-16 08:35:00,2024-01-16 09:08:00,33
2024-01-16 08:40:00,Beta,2024-01-16 08:40:00,2024-01-16 09:15:00,35
2024-01-16 08:45:00,Beta,2024-01-16 08:45:00,2024-01-16 09:22:00,37
2024-01-16 08:50:00,Beta,2024-01-16 08:50:00,2024-01-16 09:28:00,38
2024-01-16 08:55:00,Beta,2024-01-16 08:55:00,2024-01-16 09:35:00,40
2024-01-16 09:00:00,Beta,2024-01-16 09:00:00,2024-01-16 09:42:00,42
2024-01-16 09:05:00,Beta,2024-01-16 09:05:00,2024-01-16 09:50:00,45
2024-01-16 09:10:00,Beta,2024-01-16 09:10:00,2024-01-16 09:58:00,48
2024-01-16 09:15:00,Beta,2024-01-16 09:15:00,2024-01-16 10:05:00,50
2024-01-16 09:20:00,Beta,2024-01-16 09:20:00,2024-01-16 10:12:00,52
2024-01-16 09:25:00,Beta,2024-01-16 09:25:00,2024-01-16 10:18:00,53
2024-01-16 09:30:00,Beta,2024-01-16 09:30:00,2024-01-16 10:22:00,52
2024-01-16 09:35:00,Beta,2024-01-16 09:35:00,2024-01-16 10:25:00,50
2024-01-16 09:40:00,Beta,2024-01-16 09:40:00,2024-01-16 10:28:00,48
2024-01-16 09:45:00,Beta,2024-01-16 09:45:00,2024-01-16 10:30:00,45
2024-01-16 09:50:00,Beta,2024-01-16 09:50:00,2024-01-16 10:32:00,42
2024-01-16 09:55:00,Beta,2024-01-16 09:55:00,2024-01-16 10:35:00,40
2024-01-16 07:45:00,Alpha,2024-01-16 07:45:00,2024-01-16 08:30:00,45
2024-01-16 10:20:00,Alpha,2024-01-16 10:20:00,2024-01-16 12:30:00,130
2024-01-16 11:15:00,Alpha,2024-01-16 11:15:00,2024-01-16 13:20:00,125
2024-01-16 12:00:00,Alpha,2024-01-16 12:00:00,2024-01-16 13:55:00,115
2024-01-16 12:45:00,Alpha,2024-01-16 12:45:00,2024-01-16 14:40:00,115
2024-01-16 13:30:00,Alpha,2024-01-16 13:30:00,2024-01-16 15:25:00,115
2024-01-16 14:15:00,Alpha,2024-01-16 14:15:00,2024-01-16 16:10:00,115
2024-01-16 15:00:00,Alpha,2024-01-16 15:00:00,2024-01-16 16:55:00,115
2024-01-16 15:45:00,Alpha,2024-01-16 15:45:00,2024-01-16 17:40:00,115
2024-01-16 16:30:00,Alpha,2024-01-16 16:30:00,2024-01-16 18:20:00,110
2024-01-16 17:15:00,Alpha,2024-01-16 17:15:00,2024-01-16 19:05:00,110
2024-01-16 18:00:00,Alpha,2024-01-16 18:00:00,2024-01-16 19:50:00,110
2024-01-16 18:45:00,Alpha,2024-01-16 18:45:00,2024-01-16 20:35:00,110
2024-01-16 19:30:00,Alpha,2024-01-16 19:30:00,2024-01-16 21:20:00,110
2024-01-16 20:15:00,Alpha,2024-01-16 20:15:00,2024-01-16 22:00:00,105
2024-01-17 08:05:00,Beta,2024-01-17 08:05:00,2024-01-17 08:28:00,23
2024-01-17 08:10:00,Beta,2024-01-17 08:10:00,2024-01-17 08:35:00,25
2024-01-17 08:15:00,Beta,2024-01-17 08:15:00,2024-01-17 08:42:00,27
2024-01-17 08:20:00,Beta,2024-01-17 08:20:00,2024-01-17 08:50:00,30
2024-01-17 08:25:00,Beta,2024-01-17 08:25:00,2024-01-17 08:58:00,33
2024-01-17 08:30:00,Beta,2024-01-17 08:30:00,2024-01-17 09:05:00,35
2024-01-17 08:35:00,Beta,2024-01-17 08:35:00,2024-01-17 09:12:00,37
2024-01-17 08:40:00,Beta,2024-01-17 08:40:00,2024-01-17 09:18:00,38
2024-01-17 08:45:00,Beta,2024-01-17 08:45:00,2024-01-17 09:25:00,40
2024-01-17 08:50:00,Beta,2024-01-17 08:50:00,2024-01-17 09:32:00,42
2024-01-17 08:55:00,Beta,2024-01-17 08:55:00,2024-01-17 09:40:00,45
2024-01-17 09:00:00,Beta,2024-01-17 09:00:00,2024-01-17 09:48:00,48
2024-01-17 09:05:00,Beta,2024-01-17 09:05:00,2024-01-17 09:55:00,50
2024-01-17 09:10:00,Beta,2024-01-17 09:10:00,2024-01-17 10:02:00,52
2024-01-17 09:15:00,Beta,2024-01-17 09:15:00,2024-01-17 10:08:00,53
2024-01-17 09:20:00,Beta,2024-01-17 09:20:00,2024-01-17 10:15:00,55
2024-01-17 09:25:00,Beta,2024-01-17 09:25:00,2024-01-17 10:20:00,55
2024-01-17 09:30:00,Beta,2024-01-17 09:30:00,2024-01-17 10:23:00,53
2024-01-17 09:35:00,Beta,2024-01-17 09:35:00,2024-01-17 10:25:00,50
2024-01-17 09:40:00,Beta,2024-01-17 09:40:00,2024-01-17 10:28:00,48
2024-01-17 09:45:00,Beta,2024-01-17 09:45:00,2024-01-17 10:30:00,45
2024-01-17 09:50:00,Beta,2024-01-17 09:50:00,2024-01-17 10:32:00,42
2024-01-17 09:55:00,Beta,2024-01-17 09:55:00,2024-01-17 10:35:00,40
2024-01-17 07:30:00,Alpha,2024-01-17 07:30:00,2024-01-17 08:20:00,50
2024-01-17 10:10:00,Alpha,2024-01-17 10:10:00,2024-01-17 12:15:00,125
2024-01-17 10:45:00,Alpha,2024-01-17 10:45:00,2024-01-17 12:50:00,125
2024-01-17 11:30:00,Alpha,2024-01-17 11:30:00,2024-01-17 13:35:00,125
2024-01-17 12:15:00,Alpha,2024-01-17 12:15:00,2024-01-17 14:15:00,120
2024-01-17 13:00:00,Alpha,2024-01-17 13:00:00,2024-01-17 14:55:00,115
2024-01-17 13:45:00,Alpha,2024-01-17 13:45:00,2024-01-17 15:40:00,115
2024-01-17 14:30:00,Alpha,2024-01-17 14:30:00,2024-01-17 16:25:00,115
2024-01-17 15:15:00,Alpha,2024-01-17 15:15:00,2024-01-17 17:10:00,115
2024-01-17 16:00:00,Alpha,2024-01-17 16:00:00,2024-01-17 17:55:00,115
2024-01-17 16:45:00,Alpha,2024-01-17 16:45:00,2024-01-17 18:35:00,110
2024-01-17 17:30:00,Alpha,2024-01-17 17:30:00,2024-01-17 19:20:00,110
2024-01-17 18:15:00,Alpha,2024-01-17 18:15:00,2024-01-17 20:05:00,110
2024-01-17 19:00:00,Alpha,2024-01-17 19:00:00,2024-01-17 20:50:00,110
2024-01-17 19:45:00,Alpha,2024-01-17 19:45:00,2024-01-17 21:30:00,105
2024-01-17 20:30:00,Alpha,2024-01-17 20:30:00,2024-01-17 22:10:00,100
2024-01-15 10:00:00,Alpha,2024-01-15 10:00:00,2024-01-15 12:05:00,125
2024-01-15 11:00:00,Alpha,2024-01-15 11:00:00,2024-01-15 12:55:00,115
2024-01-15 09:30:00,Alpha,2024-01-15 09:30:00,2024-01-15 11:30:00,120
2024-01-16 09:45:00,Alpha,2024-01-16 09:45:00,2024-01-16 11:50:00,125
2024-01-16 10:50:00,Alpha,2024-01-16 10:50:00,2024-01-16 12:55:00,125
2024-01-17 09:20:00,Alpha,2024-01-17 09:20:00,2024-01-17 11:25:00,125
2024-01-17 10:30:00,Alpha,2024-01-17 10:30:00,2024-01-17 12:35:00,125
2024-01-15 08:00:00,Alpha,2024-01-15 08:00:00,2024-01-15 08:50:00,50
2024-01-15 21:15:00,Alpha,2024-01-15 21:15:00,2024-01-15 23:00:00,105
2024-01-16 08:00:00,Alpha,2024-01-16 08:00:00,2024-01-16 08:45:00,45
2024-01-16 21:00:00,Alpha,2024-01-16 21:00:00,2024-01-16 22:45:00,105
2024-01-17 08:00:00,Alpha,2024-01-17 08:00:00,2024-01-17 08:55:00,55
2024-01-17 21:15:00,Alpha,2024-01-17 21:15:00,2024-01-17 23:00:00,105
2024-01-15 09:00:00,Alpha,2024-01-15 09:00:00,2024-01-15 11:00:00,120
2024-01-16 09:00:00,Alpha,2024-01-16 09:00:00,2024-01-16 11:05:00,125
2024-01-17 09:00:00,Alpha,2024-01-17 09:00:00,2024-01-17 11:05:00,125
2024-01-15 14:45:00,Alpha,2024-01-15 14:45:00,2024-01-15 16:40:00,115
2024-01-16 14:45:00,Alpha,2024-01-16 14:45:00,2024-01-16 16:40:00,115
2024-01-17 14:00:00,Alpha,2024-01-17 14:00:00,2024-01-17 15:55:00,115
2024-01-15 17:45:00,Alpha,2024-01-15 17:45:00,2024-01-15 19:35:00,110
2024-01-16 17:45:00,Alpha,2024-01-16 17:45:00,2024-01-16 19:35:00,110
2024-01-17 17:00:00,Alpha,2024-01-17 17:00:00,2024-01-17 18:50:00,110
2024-01-15 20:00:00,Alpha,2024-01-15 20:00:00,2024-01-15 21:45:00,105
2024-01-16 20:45:00,Alpha,2024-01-16 20:45:00,2024-01-16 22:30:00,105
2024-01-17 20:00:00,Alpha,2024-01-17 20:00:00,2024-01-17 21:45:00,105
2024-01-15 11:45:00,Alpha,2024-01-15 11:45:00,2024-01-15 13:40:00,115
2024-01-16 11:45:00,Alpha,2024-01-16 11:45:00,2024-01-16 13:45:00,120
2024-01-17 11:00:00,Alpha,2024-01-17 11:00:00,2024-01-17 13:00:00,120
2024-01-15 13:50:00,Alpha,2024-01-15 13:50:00,2024-01-15 15:45:00,115
2024-01-16 13:00:00,Alpha,2024-01-16 13:00:00,2024-01-16 14:55:00,115
2024-01-17 12:45:00,Alpha,2024-01-17 12:45:00,2024-01-17 14:45:00,120
2024-01-15 16:00:00,Alpha,2024-01-15 16:00:00,2024-01-15 17:55:00,115
2024-01-16 16:00:00,Alpha,2024-01-16 16:00:00,2024-01-16 17:50:00,110
2024-01-17 15:45:00,Alpha,2024-01-17 15:45:00,2024-01-17 17:40:00,115
2024-01-15 18:30:00,Alpha,2024-01-15 18:30:00,2024-01-15 20:20:00,110
2024-01-16 19:00:00,Alpha,2024-01-16 19:00:00,2024-01-16 20:50:00,110
2024-01-17 18:45:00,Alpha,2024-01-17 18:45:00,2024-01-17 20:35:00,110
2024-01-15 12:15:00,Alpha,2024-01-15 12:15:00,2024-01-15 14:05:00,110
2024-01-16 12:30:00,Alpha,2024-01-16 12:30:00,2024-01-16 14:25:00,115
2024-01-17 12:00:00,Alpha,2024-01-17 12:00:00,2024-01-17 14:00:00,120
2024-01-15 15:30:00,Alpha,2024-01-15 15:30:00,2024-01-15 17:25:00,115
2024-01-16 15:30:00,Alpha,2024-01-16 15:30:00,2024-01-16 17:25:00,115
2024-01-17 15:30:00,Alpha,2024-01-17 15:30:00,2024-01-17 17:25:00,115
