customer_id,product_category,amount,purchase_date
CUST0037,Electronics,850.00,2023-04-10
CUST0008,Books,28.50,2023-05-18
CUST0030,Clothing,149.99,2023-06-26
CUST0012,Electronics,1825.00,2023-08-03
CUST0043,Food,47.70,2023-09-11
CUST0024,Electronics,975.00,2023-10-19
CUST0015,Books,34.99,2023-11-27
CUST0034,Clothing,179.99,2024-01-04
CUST0007,Electronics,1250.00,2023-01-12
CUST0046,Food,41.50,2023-02-19
CUST0011,Electronics,2125.00,2023-03-29
CUST0039,Books,25.99,2023-05-06
CUST0005,Clothing,164.99,2023-06-14
CUST0028,Electronics,725.50,2023-07-22
CUST0019,Food,39.95,2023-08-29
CUST0042,Electronics,1625.00,2023-10-06
CUST0003,Books,31.50,2023-11-13
CUST0033,Clothing,214.99,2023-12-21
CUST0009,Electronics,899.99,2024-01-29
CUST0026,Food,50.25,2023-01-20
CUST0017,Electronics,2375.00,2023-02-27
CUST0044,Books,22.99,2023-04-06
CUST0021,Clothing,139.99,2023-05-14
CUST0006,Electronics,1075.00,2023-06-22
CUST0031,Food,45.60,2023-07-30
CUST0014,Electronics,1725.00,2023-09-07
CUST0038,Books,36.50,2023-10-15
CUST0029,Clothing,199.99,2023-11-23
CUST0002,Electronics,825.00,2023-12-31
CUST0040,Food,53.40,2024-01-18
CUST0013,Electronics,2450.00,2023-01-25
CUST0035,Books,20.99,2023-03-05
CUST0025,Clothing,154.99,2023-04-12
CUST0047,Electronics,1150.00,2023-05-20
CUST0010,Food,37.85,2023-06-27
CUST0032,Electronics,975.50,2023-08-04
CUST0018,Books,43.99,2023-09-12
CUST0004,Clothing,189.99,2023-10-20
CUST0036,Electronics,1875.00,2023-11-28
CUST0020,Food,48.75,2024-01-07
CUST0041,Electronics,650.00,2023-01-15
CUST0016,Books,27.50,2023-02-22
CUST0027,Clothing,144.99,2023-04-01
CUST0001,Electronics,2225.00,2023-05-09
CUST0045,Food,40.30,2023-06-16
CUST0022,Electronics,1425.00,2023-07-24
CUST0037,Books,33.99,2023-09-01
CUST0008,Clothing,174.99,2023-10-09
CUST0030,Electronics,799.99,2023-11-17
CUST0012,Food,46.20,2023-12-25
CUST0043,Electronics,1950.00,2024-01-12
CUST0024,Books,29.50,2023-01-29
CUST0015,Clothing,129.99,2023-03-09
CUST0034,Electronics,1575.00,2023-04-17
CUST0007,Food,51.90,2023-05-25
CUST0046,Electronics,925.00,2023-07-03
CUST0011,Books,38.99,2023-08-11
CUST0039,Clothing,209.99,2023-09-19
CUST0005,Electronics,2325.00,2023-10-27
CUST0028,Food,44.85,2023-12-05
CUST0019,Electronics,1225.00,2024-01-23
CUST0042,Books,24.99,2023-01-07
CUST0003,Clothing,119.99,2023-02-14
CUST0033,Electronics,875.50,2023-03-24
CUST0009,Food,35.70,2023-05-01
CUST0026,Electronics,1750.00,2023-06-09
CUST0017,Books,42.50,2023-07-17
