customer_id,total_transactions,avg_transaction_amount,preferred_category,preferred_payment,customer_segment,lifetime_value,last_purchase_date,active_status
837469,23,156.34,Toys,Cash,New,3595.82,2023-01-28,False
519826,93,489.67,Clothing,Debit Card,Standard,17567.31,2023-10-23,True
746193,153,856.45,Electronics,Credit Card,Premium,34234.85,2023-11-18,True
382947,62,345.78,Books,PayPal,Standard,10890.36,2023-06-25,True
918347,181,1045.67,Electronics,Credit Card,Premium,39890.37,2023-12-26,True
264819,44,256.34,Food,Debit Card,Basic,11278.96,2023-05-11,True
728546,109,589.45,Home,PayPal,Premium,21456.05,2023-08-31,True
593827,67,367.89,Sports,Credit Card,Standard,12678.63,2023-10-17,True
816294,223,1389.34,Electronics,Credit Card,Premium,48234.82,2023-12-10,True
347592,29,189.23,Clothing,Cash,Basic,5487.67,2023-03-15,False
685214,104,556.78,Home,Debit Card,Standard,19890.12,2023-09-13,True
521763,138,745.34,Electronics,PayPal,Premium,29456.92,2023-11-05,True
769428,75,412.67,Sports,Credit Card,Standard,14678.25,2023-07-28,True
291853,190,1123.45,Electronics,Credit Card,Premium,42456.55,2023-12-23,True
824637,20,145.89,Toys,Cash,New,2917.80,2023-02-05,False
537294,85,456.23,Clothing,Debit Card,Standard,16234.55,2023-10-26,True
748162,160,901.34,Electronics,Credit Card,Premium,36890.40,2023-11-23,True
395281,59,334.56,Books,PayPal,Standard,10234.04,2023-06-12,True
916248,175,1012.67,Electronics,Credit Card,Premium,38234.25,2023-12-04,True
258743,37,212.45,Food,Debit Card,Basic,7860.65,2023-04-19,True
731829,111,601.23,Home,PayPal,Premium,22345.53,2023-09-28,True
584916,70,389.67,Sports,Credit Card,Standard,13567.90,2023-07-12,True
829351,211,1289.56,Electronics,Credit Card,Premium,46234.16,2023-12-16,True
362714,25,167.89,Clothing,Cash,Basic,4197.25,2023-03-02,False
697452,98,523.45,Home,Debit Card,Standard,18890.10,2023-08-20,True
524186,134,723.67,Electronics,PayPal,Premium,28567.78,2023-10-11,True
783194,76,423.45,Sports,Credit Card,Standard,14789.20,2023-06-27,True
294768,182,1056.78,Electronics,Credit Card,Premium,40567.34,2023-11-29,True
846521,17,123.67,Toys,Cash,New,2102.39,2023-01-22,False
518374,91,489.23,Clothing,Debit Card,Standard,17234.93,2023-09-17,True
729563,146,812.45,Electronics,Credit Card,Premium,32678.70,2023-11-13,True
367428,60,323.89,Books,PayPal,Standard,10234.40,2023-05-29,True
914827,193,1145.34,Electronics,Credit Card,Premium,42890.62,2023-12-27,True
249783,42,234.67,Food,Debit Card,Basic,9856.14,2023-04-24,True
736584,105,567.34,Home,PayPal,Premium,20456.70,2023-08-15,True
582169,68,378.45,Sports,Credit Card,Standard,13234.60,2023-10-06,True
817429,216,1345.67,Electronics,Credit Card,Premium,47567.52,2023-12-13,True
348617,27,178.23,Clothing,Cash,Basic,4812.21,2023-02-20,False
691824,100,534.89,Home,Debit Card,Standard,19456.90,2023-09-09,True
526847,139,756.78,Electronics,PayPal,Premium,29890.42,2023-11-06,True
768524,74,401.34,Sports,Credit Card,Standard,14234.16,2023-07-20,True
293746,188,1098.67,Electronics,Credit Card,Premium,41678.76,2023-12-25,True
835214,21,145.23,Toys,Cash,New,3049.83,2023-01-14,False
514769,89,467.56,Clothing,Debit Card,Standard,16890.84,2023-10-21,True
742318,155,867.89,Electronics,Credit Card,Premium,35234.95,2023-11-20,True
384927,57,312.67,Books,PayPal,Standard,9234.19,2023-06-08,True
918526,179,1034.78,Electronics,Credit Card,Premium,39567.22,2023-12-07,True
261485,40,223.56,Food,Debit Card,Basic,8942.40,2023-05-15,True
729648,112,612.45,Home,PayPal,Premium,22456.40,2023-08-28,True
591827,72,389.23,Sports,Credit Card,Standard,13567.56,2023-10-18,True
826491,224,1412.34,Electronics,Credit Card,Premium,48890.16,2023-12-18,True
349172,26,167.67,Clothing,Cash,Basic,4359.42,2023-03-11,False
683547,103,545.67,Home,Debit Card,Standard,19234.01,2023-09-23,True
527946,137,734.56,Electronics,PayPal,Premium,28890.72,2023-11-09,True
764819,78,434.78,Sports,Credit Card,Standard,15234.84,2023-07-25,True
291638,185,1078.45,Electronics,Credit Card,Premium,40890.25,2023-12-22,True
842517,18,134.45,Toys,Cash,New,2420.10,2023-02-08,False
536281,94,501.34,Clothing,Debit Card,Standard,17890.16,2023-09-20,True
745928,152,845.23,Electronics,Credit Card,Premium,33678.96,2023-11-14,True
392614,61,334.89,Books,PayPal,Standard,10567.29,2023-06-21,True
915743,176,1023.67,Electronics,Credit Card,Premium,38567.12,2023-12-11,True
256387,38,212.56,Food,Debit Card,Basic,8077.28,2023-04-26,True
738542,108,578.67,Home,PayPal,Premium,21234.36,2023-09-02,True
586294,69,367.56,Sports,Credit Card,Standard,12678.84,2023-10-12,True
819624,212,1301.45,Electronics,Credit Card,Premium,46567.40,2023-12-19,True
341852,30,189.45,Clothing,Cash,Basic,5683.50,2023-03-17,False
694728,99,523.78,Home,Debit Card,Standard,18890.22,2023-08-24,True
528319,135,728.90,Electronics,PayPal,Premium,28567.15,2023-11-01,True
781635,73,398.23,Sports,Credit Card,Standard,14234.79,2023-07-14,True
295163,191,1134.67,Electronics,Credit Card,Premium,42678.97,2023-12-28,True
847296,22,156.78,Toys,Cash,New,3449.16,2023-01-26,False
519473,86,456.89,Clothing,Debit Card,Standard,16234.54,2023-10-24,True
746825,157,878.45,Electronics,Credit Card,Premium,35890.65,2023-11-22,True
384561,58,323.45,Books,PayPal,Standard,9567.10,2023-05-31,True
917258,180,1045.89,Electronics,Credit Card,Premium,39890.20,2023-12-05,True
263847,43,245.67,Food,Debit Card,Basic,10563.81,2023-04-13,True
732849,110,589.56,Home,PayPal,Premium,21567.60,2023-08-19,True
594826,71,389.34,Sports,Credit Card,Standard,13567.14,2023-10-08,True
826574,220,1367.78,Electronics,Credit Card,Premium,47890.16,2023-12-14,True
348925,28,178.90,Clothing,Cash,Basic,5009.20,2023-02-25,False
691537,101,534.45,Home,Debit Card,Standard,19234.45,2023-09-16,True
524769,140,767.34,Electronics,PayPal,Premium,30234.76,2023-11-08,True
768249,77,423.67,Sports,Credit Card,Standard,14789.59,2023-07-29,True
293517,186,1089.45,Electronics,Credit Card,Premium,41678.70,2023-12-24,True
835746,19,134.56,Toys,Cash,New,2556.64,2023-01-20,False
516824,92,489.45,Clothing,Debit Card,Standard,17567.40,2023-10-22,True
741826,154,856.67,Electronics,Credit Card,Premium,34567.18,2023-11-17,True
386279,59,334.67,Books,PayPal,Standard,10234.53,2023-06-16,True
916384,177,1012.34,Electronics,Credit Card,Premium,38234.18,2023-12-09,True
258461,41,234.45,Food,Debit Card,Basic,9612.45,2023-05-06,True
729516,113,612.67,Home,PayPal,Premium,22567.71,2023-08-27,True
593847,70,378.67,Sports,Credit Card,Standard,13234.90,2023-10-15,True
827416,217,1356.45,Electronics,Credit Card,Premium,47890.65,2023-12-17,True
349628,29,189.56,Clothing,Cash,Basic,5497.24,2023-03-20,False
684729,104,556.34,Home,Debit Card,Standard,19890.36,2023-09-12,True
526198,136,734.89,Electronics,PayPal,Premium,29234.04,2023-11-03,True
769548,75,412.78,Sports,Credit Card,Standard,14678.50,2023-07-23,True
291734,189,1112.34,Electronics,Credit Card,Premium,42567.26,2023-12-26,True
846273,20,145.34,Toys,Cash,New,2906.80,2023-02-13,False
537418,90,478.56,Clothing,Debit Card,Standard,17234.40,2023-09-24,True
748526,159,889.67,Electronics,Credit Card,Premium,36234.53,2023-11-21,True
395817,60,323.78,Books,PayPal,Standard,10234.80,2023-06-18,True
914629,174,1001.45,Electronics,Credit Card,Premium,38234.10,2023-12-08,True
257946,39,223.78,Food,Debit Card,Basic,8727.42,2023-04-28,True
736284,111,601.45,Home,PayPal,Premium,22456.95,2023-08-30,True
584729,72,389.45,Sports,Credit Card,Standard,13567.20,2023-10-19,True
829547,213,1312.56,Electronics,Credit Card,Premium,46890.28,2023-12-15,True
362847,27,178.45,Clothing,Cash,Basic,4817.15,2023-03-08,False
697584,98,512.67,Home,Debit Card,Standard,18890.66,2023-08-21,True
524839,134,723.45,Electronics,PayPal,Premium,28567.30,2023-11-04,True
783641,76,423.56,Sports,Credit Card,Standard,14789.76,2023-07-17,True
294857,183,1067.89,Electronics,Credit Card,Premium,40890.87,2023-12-29,True
846582,18,123.78,Toys,Cash,New,2228.04,2023-01-23,False
518926,91,489.34,Clothing,Debit Card,Standard,17234.94,2023-10-27,True
729847,147,823.67,Electronics,Credit Card,Premium,32890.49,2023-11-19,True
367924,61,334.78,Books,PayPal,Standard,10567.58,2023-06-24,True
915826,194,1145.56,Electronics,Credit Card,Premium,42890.64,2023-12-12,True
249518,42,245.89,Food,Debit Card,Basic,10327.38,2023-05-09,True
736947,105,567.45,Home,PayPal,Premium,20456.25,2023-08-16,True
582947,68,378.56,Sports,Credit Card,Standard,13234.08,2023-10-03,True
817649,218,1367.89,Electronics,Credit Card,Premium,47890.02,2023-12-20,True
348729,28,178.67,Clothing,Cash,Basic,5002.76,2023-02-27,False
691826,100,534.78,Home,Debit Card,Standard,19456.80,2023-09-18,True
526749,138,745.67,Electronics,PayPal,Premium,29678.46,2023-11-07,True
768547,74,401.45,Sports,Credit Card,Standard,14234.30,2023-07-21,True
293849,187,1089.67,Electronics,Credit Card,Premium,41678.29,2023-12-23,True
835629,21,145.45,Toys,Cash,New,3054.45,2023-01-29,False
514826,89,467.67,Clothing,Debit Card,Standard,16890.63,2023-10-28,True
742519,156,878.67,Electronics,Credit Card,Premium,35890.52,2023-11-24,True
384726,58,312.78,Books,PayPal,Standard,9234.24,2023-06-11,True
918647,178,1023.78,Electronics,Credit Card,Premium,38567.24,2023-12-06,True
261847,40,223.67,Food,Debit Card,Basic,8946.80,2023-04-20,True
729684,112,612.56,Home,PayPal,Premium,22456.72,2023-08-25,True
591849,71,389.56,Sports,Credit Card,Standard,13567.76,2023-10-16,True
826749,221,1389.67,Electronics,Credit Card,Premium,48234.07,2023-12-21,True
349286,26,167.78,Clothing,Cash,Basic,4362.28,2023-03-14,False
683749,103,545.78,Home,Debit Card,Standard,19234.34,2023-09-26,True
527849,137,734.67,Electronics,PayPal,Premium,28890.79,2023-11-10,True
764928,78,434.89,Sports,Credit Card,Standard,15234.42,2023-07-27,True
291847,185,1078.56,Electronics,Credit Card,Premium,40890.40,2023-12-27,True
842638,19,134.67,Toys,Cash,New,2558.73,2023-02-10,False
536492,94,501.45,Clothing,Debit Card,Standard,17890.30,2023-09-21,True
745827,153,856.78,Electronics,Credit Card,Premium,34234.34,2023-11-15,True
392847,62,345.67,Books,PayPal,Standard,10890.54,2023-06-26,True
915648,176,1012.78,Electronics,Credit Card,Premium,38567.28,2023-12-10,True
256849,38,212.67,Food,Debit Card,Basic,8081.46,2023-04-22,True
738649,108,578.78,Home,PayPal,Premium,21234.24,2023-09-03,True
586427,69,367.67,Sports,Credit Card,Standard,12678.43,2023-10-13,True
819748,212,1301.56,Electronics,Credit Card,Premium,46567.12,2023-12-16,True
341926,30,189.67,Clothing,Cash,Basic,5690.10,2023-03-19,False
694826,99,523.89,Home,Debit Card,Standard,18890.11,2023-08-22,True
528427,135,728.78,Electronics,PayPal,Premium,28567.30,2023-11-02,True
781749,73,398.34,Sports,Credit Card,Standard,14234.82,2023-07-16,True
295284,191,1134.78,Electronics,Credit Card,Premium,42678.98,2023-12-30,True
847395,22,156.89,Toys,Cash,New,3451.58,2023-01-27,False
519574,86,456.78,Clothing,Debit Card,Standard,16234.08,2023-10-25,True
746928,157,878.56,Electronics,Credit Card,Premium,35890.52,2023-11-25,True
384672,58,323.56,Books,PayPal,Standard,9567.48,2023-05-30,True
917364,180,1045.78,Electronics,Credit Card,Premium,39890.40,2023-12-07,True
263948,43,245.78,Food,Debit Card,Basic,10568.54,2023-04-14,True
732947,110,589.67,Home,PayPal,Premium,21567.70,2023-08-18,True
594927,71,389.45,Sports,Credit Card,Standard,13567.95,2023-10-09,True
826675,220,1367.67,Electronics,Credit Card,Premium,47890.40,2023-12-13,True
348736,28,178.78,Clothing,Cash,Basic,5005.84,2023-02-24,False
691638,101,534.56,Home,Debit Card,Standard,19234.56,2023-09-15,True
524869,140,767.45,Electronics,PayPal,Premium,30234.30,2023-11-11,True
768349,77,423.78,Sports,Credit Card,Standard,14789.06,2023-07-30,True
293618,186,1089.56,Electronics,Credit Card,Premium,41678.16,2023-12-25,True
835847,19,134.78,Toys,Cash,New,2560.82,2023-01-21,False
516927,92,489.56,Clothing,Debit Card,Standard,17567.52,2023-10-23,True
741927,154,856.78,Electronics,Credit Card,Premium,34567.32,2023-11-16,True
386378,59,334.78,Books,PayPal,Standard,10234.62,2023-06-17,True
916485,177,1012.45,Electronics,Credit Card,Premium,38234.65,2023-12-11,True
258562,41,234.56,Food,Debit Card,Basic,9616.96,2023-05-07,True
729617,113,612.78,Home,PayPal,Premium,22567.14,2023-08-26,True
593948,70,378.78,Sports,Credit Card,Standard,13234.60,2023-10-14,True
827517,217,1356.56,Electronics,Credit Card,Premium,47890.52,2023-12-18,True
349729,29,189.67,Clothing,Cash,Basic,5500.43,2023-03-21,False
684827,104,556.45,Home,Debit Card,Standard,19890.80,2023-09-14,True
526298,136,734.78,Electronics,PayPal,Premium,29234.08,2023-11-05,True
769649,75,412.89,Sports,Credit Card,Standard,14678.75,2023-07-24,True
291835,189,1112.45,Electronics,Credit Card,Premium,42567.05,2023-12-28,True
846374,20,145.45,Toys,Cash,New,2909.00,2023-02-14,False
537519,90,478.67,Clothing,Debit Card,Standard,17234.30,2023-09-25,True
748627,159,889.78,Electronics,Credit Card,Premium,36234.02,2023-11-20,True
395918,60,323.89,Books,PayPal,Standard,10234.40,2023-06-19,True
914728,174,1001.56,Electronics,Credit Card,Premium,38234.24,2023-12-09,True
257847,39,223.89,Food,Debit Card,Basic,8731.71,2023-04-29,True
736385,111,601.56,Home,PayPal,Premium,22456.96,2023-08-31,True
584826,72,389.56,Sports,Credit Card,Standard,13567.12,2023-10-20,True
829648,213,1312.67,Electronics,Credit Card,Premium,46890.71,2023-12-14,True
362948,27,178.56,Clothing,Cash,Basic,4821.12,2023-03-09,False
697683,98,512.78,Home,Debit Card,Standard,18890.44,2023-08-23,True
524938,134,723.56,Electronics,PayPal,Premium,28567.04,2023-11-06,True
783742,76,423.67,Sports,Credit Card,Standard,14789.92,2023-07-18,True
294956,183,1067.78,Electronics,Credit Card,Premium,40890.34,2023-12-31,True
846683,18,123.89,Toys,Cash,New,2230.02,2023-01-24,False
519027,91,489.45,Clothing,Debit Card,Standard,17234.95,2023-10-26,True
729948,147,823.78,Electronics,Credit Card,Premium,32890.06,2023-11-18,True
368025,61,334.89,Books,PayPal,Standard,10567.29,2023-06-25,True
915927,194,1145.67,Electronics,Credit Card,Premium,42890.98,2023-12-15,True
249619,42,245.78,Food,Debit Card,Basic,10322.76,2023-05-10,True
737048,105,567.56,Home,PayPal,Premium,20456.80,2023-08-17,True
583048,68,378.67,Sports,Credit Card,Standard,13234.56,2023-10-04,True
817748,218,1367.78,Electronics,Credit Card,Premium,47890.04,2023-12-19,True
348826,28,178.78,Clothing,Cash,Basic,5005.84,2023-02-28,False
691927,100,534.89,Home,Debit Card,Standard,19456.90,2023-09-19,True
526849,138,745.78,Electronics,PayPal,Premium,29678.64,2023-11-12,True
768648,74,401.56,Sports,Credit Card,Standard,14234.44,2023-07-22,True
293948,187,1089.78,Electronics,Credit Card,Premium,41678.26,2023-12-24,True
835728,21,145.56,Toys,Cash,New,3056.76,2023-01-30,False
514927,89,467.78,Clothing,Debit Card,Standard,16890.42,2023-10-29,True
742618,156,878.78,Electronics,Credit Card,Premium,35890.28,2023-11-23,True
384827,58,312.89,Books,PayPal,Standard,9234.62,2023-06-12,True
918748,178,1023.89,Electronics,Credit Card,Premium,38567.42,2023-12-08,True
261948,40,223.78,Food,Debit Card,Basic,8951.20,2023-04-21,True
729785,112,612.67,Home,PayPal,Premium,22456.04,2023-08-28,True
591948,71,389.67,Sports,Credit Card,Standard,13567.57,2023-10-17,True
826848,221,1389.78,Electronics,Credit Card,Premium,48234.38,2023-12-22,True
349387,26,167.89,Clothing,Cash,Basic,4365.14,2023-03-16,False
683849,103,545.89,Home,Debit Card,Standard,19234.67,2023-09-27,True
527948,137,734.78,Electronics,PayPal,Premium,28890.86,2023-11-13,True
765029,78,434.78,Sports,Credit Card,Standard,15234.84,2023-07-28,True
291946,185,1078.67,Electronics,Credit Card,Premium,40890.95,2023-12-26,True
842739,19,134.78,Toys,Cash,New,2560.82,2023-02-11,False
536593,94,501.56,Clothing,Debit Card,Standard,17890.64,2023-09-22,True
745928,153,856.89,Electronics,Credit Card,Premium,34234.17,2023-11-14,True
392948,62,345.78,Books,PayPal,Standard,10890.36,2023-06-27,True
915749,176,1012.89,Electronics,Credit Card,Premium,38567.04,2023-12-13,True
256948,38,212.78,Food,Debit Card,Basic,8085.64,2023-04-23,True
738748,108,578.89,Home,PayPal,Premium,21234.12,2023-09-04,True
586528,69,367.78,Sports,Credit Card,Standard,12678.82,2023-10-11,True
819849,212,1301.67,Electronics,Credit Card,Premium,46567.04,2023-12-17,True
342027,30,189.78,Clothing,Cash,Basic,5693.40,2023-03-22,False
694927,99,523.78,Home,Debit Card,Standard,18890.22,2023-08-24,True
528528,135,728.89,Electronics,PayPal,Premium,28567.15,2023-11-03,True
781849,73,398.45,Sports,Credit Card,Standard,14234.85,2023-07-19,True
295385,191,1134.89,Electronics,Credit Card,Premium,42678.99,2023-12-29,True
847496,22,156.78,Toys,Cash,New,3449.16,2023-01-28,False
519675,86,456.89,Clothing,Debit Card,Standard,16234.54,2023-10-24,True
747029,157,878.67,Electronics,Credit Card,Premium,35890.19,2023-11-26,True
384773,58,323.67,Books,PayPal,Standard,9567.86,2023-06-01,True
917465,180,1045.89,Electronics,Credit Card,Premium,39890.20,2023-12-10,True
264049,43,245.89,Food,Debit Card,Basic,10573.27,2023-04-15,True
733048,110,589.78,Home,PayPal,Premium,21567.80,2023-08-19,True
595028,71,389.56,Sports,Credit Card,Standard,13567.76,2023-10-07,True
826776,220,1367.78,Electronics,Credit Card,Premium,47890.16,2023-12-16,True
348837,28,178.89,Clothing,Cash,Basic,5008.92,2023-02-26,False
691739,101,534.67,Home,Debit Card,Standard,19234.67,2023-09-14,True
524968,140,767.56,Electronics,PayPal,Premium,30234.40,2023-11-09,True
768448,77,423.89,Sports,Credit Card,Standard,14789.53,2023-07-31,True
293719,186,1089.67,Electronics,Credit Card,Premium,41678.62,2023-12-27,True
835948,19,134.89,Toys,Cash,New,2562.91,2023-01-22,False
517028,92,489.67,Clothing,Debit Card,Standard,17567.64,2023-10-21,True
742028,154,856.89,Electronics,Credit Card,Premium,34567.06,2023-11-17,True
386479,59,334.89,Books,PayPal,Standard,10234.51,2023-06-18,True
916586,177,1012.56,Electronics,Credit Card,Premium,38234.32,2023-12-12,True
258663,41,234.67,Food,Debit Card,Basic,9621.47,2023-05-08,True
729718,113,612.89,Home,PayPal,Premium,22567.57,2023-08-27,True
594049,70,378.89,Sports,Credit Card,Standard,13234.30,2023-10-15,True
827618,217,1356.67,Electronics,Credit Card,Premium,47890.39,2023-12-20,True
349829,29,189.78,Clothing,Cash,Basic,5503.62,2023-03-23,False
684928,104,556.56,Home,Debit Card,Standard,19890.24,2023-09-13,True
526399,136,734.89,Electronics,PayPal,Premium,29234.04,2023-11-04,True
769748,75,412.78,Sports,Credit Card,Standard,14678.50,2023-07-25,True
291936,189,1112.56,Electronics,Credit Card,Premium,42567.84,2023-12-31,True
846475,20,145.56,Toys,Cash,New,2911.20,2023-02-15,False
537618,90,478.78,Clothing,Debit Card,Standard,17234.20,2023-09-26,True
748728,159,889.89,Electronics,Credit Card,Premium,36234.51,2023-11-22,True
396019,60,323.78,Books,PayPal,Standard,10234.80,2023-06-20,True
