transaction_id,customer_id,amount,transaction_date,category
T075,C016,123.45,2024-03-19,Food
T076,C029,789.01,2024-03-20,Home
T077,C017,56.78,2024-03-21,Books
T078,C030,2234.56,2024-03-22,Electronics
T079,C018,345.67,2024-03-23,Clothing
T080,C001,678.90,2024-03-24,Home
T081,C019,89.01,2024-03-25,Food
T082,C002,1678.90,2024-03-26,Electronics
T083,C020,234.56,2024-03-27,Books
T084,C003,567.89,2024-03-28,Clothing
T085,C021,123.45,2024-03-29,Food
T086,C004,4234.56,2024-03-30,Electronics
T087,C022,78.90,2024-03-31,Home
T088,C005,890.12,2024-04-01,Books
T089,C023,345.67,2024-04-02,Clothing
T090,C006,2567.89,2024-04-03,Electronics
T091,C024,56.78,2024-04-04,Food
T092,C007,789.01,2024-04-05,Home
T093,C025,234.56,2024-04-06,Books
T094,C008,1890.12,2024-04-07,Electronics
T095,C026,123.45,2024-04-08,Clothing
T096,C009,678.90,2024-04-09,Home
T097,C027,89.01,2024-04-10,Food
T098,C010,3567.89,2024-04-11,Electronics
T099,C028,234.56,2024-04-12,Books
T100,C011,567.89,2024-04-13,Clothing
T101,C029,45.67,2024-04-14,Food
T102,C012,2890.12,2024-04-15,Electronics
T103,C030,123.45,2024-04-16,Home
T104,C013,789.01,2024-04-17,Books
T105,C001,234.56,2024-04-18,Clothing
T106,C014,4567.89,2024-04-19,Electronics
T107,C002,78.90,2024-04-20,Food
T108,C015,890.12,2024-04-21,Home
T109,C003,345.67,2024-04-22,Books
T110,C016,1678.90,2024-04-23,Electronics
T111,C004,56.78,2024-04-24,Clothing
T112,C017,789.01,2024-04-25,Home
T113,C005,234.56,2024-04-26,Food
T114,C018,3234.56,2024-04-27,Electronics
T115,C006,123.45,2024-04-28,Books
T116,C019,678.90,2024-04-29,Clothing
T117,C007,89.01,2024-04-30,Food
T118,C020,2456.78,2024-05-01,Electronics
T119,C008,345.67,2024-05-02,Home
T120,C021,567.89,2024-05-03,Books
T121,C009,78.90,2024-05-04,Clothing
T122,C022,1890.12,2024-05-05,Electronics
T123,C010,234.56,2024-05-06,Food
T124,C023,890.01,2024-05-07,Home
T125,C011,123.45,2024-05-08,Books
T126,C024,4123.45,2024-05-09,Electronics
T127,C012,56.78,2024-05-10,Clothing
T128,C025,789.01,2024-05-11,Home
T129,C013,345.67,2024-05-12,Food
T130,C026,2678.90,2024-05-13,Electronics
T131,C014,234.56,2024-05-14,Books
T132,C027,567.89,2024-05-15,Clothing
T133,C015,89.01,2024-05-16,Food
T134,C028,3890.12,2024-05-17,Electronics
T135,C016,123.45,2024-05-18,Home
T136,C029,678.90,2024-05-19,Books
T137,C017,45.67,2024-05-20,Clothing
T138,C030,2234.56,2024-05-21,Electronics
T139,C018,234.56,2024-05-22,Food
T140,C001,890.12,2024-05-23,Home
T141,C019,123.45,2024-05-24,Books
T142,C002,1567.89,2024-05-25,Electronics
T143,C020,345.67,2024-05-26,Clothing
T144,C003,678.90,2024-05-27,Home
T145,C021,56.78,2024-05-28,Food
T146,C004,4234.56,2024-05-29,Electronics
T147,C022,234.56,2024-05-30,Books
T148,C005,789.01,2024-05-31,Clothing
T149,C023,123.45,2024-06-01,Food
T150,C006,2890.12,2024-06-02,Electronics
