1000
1.234 -5.432 4.321 7.890 -1.234 6.789 9.876 -8.901 2.345 5.678
9.876 -4.321 3.210 6.789 -9.876 5.678 8.765 -7.890 1.234 4.567
8.765 -3.210 2.345 5.678 -8.765 4.567 7.654 -6.789 9.012 3.456
7.654 -2.345 1.234 4.567 -7.654 3.456 6.543 -5.678 8.901 2.345
6.543 -1.234 9.012 3.456 -6.543 2.345 5.432 -4.567 7.890 1.234
5.432 -9.012 8.901 2.345 -5.432 1.234 4.321 -3.456 6.789 9.876
4.321 -8.901 7.890 1.234 -4.321 9.876 3.210 -2.345 5.678 8.765
3.210 -7.890 6.789 9.876 -3.210 8.765 2.345 -1.234 4.567 7.654
2.345 -6.789 5.678 8.765 -2.345 7.654 1.234 -9.012 3.456 6.543
1.234 -5.678 4.567 7.654 -1.234 6.543 9.012 -8.901 2.345 5.432
9.012 -4.567 3.456 6.543 -9.012 5.432 8.901 -7.890 1.234 4.321
8.901 -3.456 2.345 5.432 -8.901 4.321 7.890 -6.789 9.012 3.210
7.890 -2.345 1.234 4.321 -7.890 3.210 6.789 -5.678 8.901 2.345
6.789 -1.234 9.876 3.210 -6.789 2.345 5.678 -4.567 7.890 1.234
5.678 -9.876 8.765 2.345 -5.678 1.234 4.567 -3.456 6.789 9.012
4.567 -8.765 7.654 1.234 -4.567 9.012 3.456 -2.345 5.678 8.901
3.456 -7.654 6.543 9.012 -3.456 8.901 2.345 -1.234 4.567 7.890
2.345 -6.543 5.432 8.901 -2.345 7.890 1.234 -9.012 3.456 6.789
1.234 -5.432 4.321 7.890 -1.234 6.789 9.876 -8.901 2.345 5.678
9.876 -4.321 3.210 6.789 -9.876 5.678 8.765 -7.890 1.234 4.567
8.765 -3.210 2.345 5.678 -8.765 4.567 7.654 -6.789 9.012 3.456
7.654 -2.345 1.234 4.567 -7.654 3.456 6.543 -5.678 8.901 2.345
6.543 -1.234 9.012 3.456 -6.543 2.345 5.432 -4.567 7.890 1.234
5.432 -9.012 8.901 2.345 -5.432 1.234 4.321 -3.456 6.789 9.876
4.321 -8.901 7.890 1.234 -4.321 9.876 3.210 -2.345 5.678 8.765
3.210 -7.890 6.789 9.876 -3.210 8.765 2.345 -1.234 4.567 7.654
2.345 -6.789 5.678 8.765 -2.345 7.654 1.234 -9.012 3.456 6.543
1.234 -5.678 4.567 7.654 -1.234 6.543 9.012 -8.901 2.345 5.432
9.012 -4.567 3.456 6.543 -9.012 5.432 8.901 -7.890 1.234 4.321
8.901 -3.456 2.345 5.432 -8.901 4.321 7.890 -6.789 9.012 3.210
7.890 -2.345 1.234 4.321 -7.890 3.210 6.789 -5.678 8.901 2.345
6.789 -1.234 9.876 3.210 -6.789 2.345 5.678 -4.567 7.890 1.234
5.678 -9.876 8.765 2.345 -5.678 1.234 4.567 -3.456 6.789 9.012
4.567 -8.765 7.654 1.234 -4.567 9.012 3.456 -2.345 5.678 8.901
3.456 -7.654 6.543 9.012 -3.456 8.901 2.345 -1.234 4.567 7.890
2.345 -6.543 5.432 8.901 -2.345 7.890 1.234 -9.012 3.456 6.789
1.234 -5.432 4.321 7.890 -1.234 6.789 9.876 -8.901 2.345 5.678
9.876 -4.321 3.210 6.789 -9.876 5.678 8.765 -7.890 1.234 4.567
8.765 -3.210 2.345 5.678 -8.765 4.567 7.654 -6.789 9.012 3.456
7.654 -2.345 1.234 4.567 -7.654 3.456 6.543 -5.678 8.901 2.345
6.543 -1.234 9.012 3.456 -6.543 2.345 5.432 -4.567 7.890 1.234
5.432 -9.012 8.901 2.345 -5.432 1.234 4.321 -3.456 6.789 9.876
4.321 -8.901 7.890 1.234 -4.321 9.876 3.210 -2.345 5.678 8.765
3.210 -7.890 6.789 9.876 -3.210 8.765 2.345 -1.234 4.567 7.654
2.345 -6.789 5.678 8.765 -2.345 7.654 1.234 -9.012 3.456 6.543
1.234 -5.678 4.567 7.654 -1.234 6.543 9.012 -8.901 2.345 5.432
9.012 -4.567 3.456 6.543 -9.012 5.432 8.901 -7.890 1.234 4.321
8.901 -3.456 2.345 5.432 -8.901 4.321 7.890 -6.789 9.012 3.210
7.890 -2.345 1.234 4.321 -7.890 3.210 6.789 -5.678 8.901 2.345
6.789 -1.234 9.876 3.210 -6.789 2.345 5.678 -4.567 7.890 1.234
5.678 -9.876 8.765 2.345 -5.678 1.234 4.567 -3.456 6.789 9.012
4.567 -8.765 7.654 1.234 -4.567 9.012 3.456 -2.345 5.678 8.901
3.456 -7.654 6.543 9.012 -3.456 8.901 2.345 -1.234 4.567 7.890
2.345 -6.543 5.432 8.901 -2.345 7.890 1.234 -9.012 3.456 6.789
1.234 -5.432 4.321 7.890 -1.234 6.789 9.876 -8.901 2.345 5.678
9.876 -4.321 3.210 6.789 -9.876 5.678 8.765 -7.890 1.234 4.567
8.765 -3.210 2.345 5.678 -8.765 4.567 7.654 -6.789 9.012 3.456
