employee_id,satisfaction,remote_days,years_employed,department
345,4,4,12.3,Engineering
346,1,0,3.1,Admin
347,2,1,8.5,Support
348,3,2,2.4,Sales
349,5,5,19.6,Engineering
350,4,3,11.1,Engineering
351,3,2,5.7,Sales
352,2,0,7.2,Support
353,4,4,16.8,Engineering
354,5,5,22.3,Engineering
355,3,3,1.8,Sales
356,1,0,6.5,Admin
357,4,4,14.1,Engineering
358,2,1,3.4,Support
359,5,5,21.8,Engineering
360,3,2,2.9,Sales
361,4,3,9.4,Engineering
362,2,0,5.3,Support
363,3,3,4.7,Sales
364,5,5,17.3,Engineering
365,4,4,10.6,Engineering
366,1,0,2.5,Admin
367,2,1,7.8,Support
368,3,2,6.1,Sales
369,5,5,15.2,Engineering
370,4,3,12.7,Engineering
371,3,2,1.6,Sales
372,2,0,8.9,Support
373,4,4,18.7,Engineering
374,5,5,23.9,Engineering
375,3,3,3.6,Sales
376,1,0,5.6,Admin
377,4,4,13.4,Engineering
378,2,1,2.7,Support
379,5,5,20.1,Engineering
380,3,2,4.9,Sales
381,4,3,8.6,Engineering
382,2,0,6.8,Support
383,3,3,5.3,Sales
384,5,5,16.9,Engineering
385,4,4,11.4,Engineering
386,1,0,3.2,Admin
387,2,1,7.1,Support
388,3,2,2.3,Sales
389,5,5,19.3,Engineering
390,4,3,10.8,Engineering
391,3,2,5.9,Sales
392,2,0,4.4,Support
393,4,4,17.2,Engineering
394,5,5,22.6,Engineering
395,3,3,1.7,Sales
396,1,0,8.1,Admin
397,4,4,14.9,Engineering
398,2,1,3.5,Support
399,5,5,21.3,Engineering
400,3,2,2.8,Sales
401,4,3,9.9,Engineering
402,2,0,7.4,Support
403,3,3,6.3,Sales
404,5,5,18.1,Engineering
405,4,4,12.6,Engineering
406,1,0,2.9,Admin
407,2,1,5.7,Support
408,3,2,4.1,Sales
409,5,5,15.7,Engineering
410,4,3,11.9,Engineering
411,3,2,1.4,Sales
412,2,0,6.6,Support
413,4,4,18.4,Engineering
414,5,5,24.5,Engineering
415,3,3,3.7,Sales
416,1,0,7.7,Admin
417,4,4,13.8,Engineering
418,2,1,2.6,Support
419,5,5,20.7,Engineering
420,3,2,5.2,Sales
421,4,3,8.2,Engineering
422,2,0,4.8,Support
423,3,3,6.7,Sales
424,5,5,17.7,Engineering
425,4,4,10.2,Engineering
426,1,0,3.4,Admin
427,2,1,8.8,Support
428,3,2,2.5,Sales
429,5,5,19.9,Engineering
430,4,3,12.2,Engineering
431,3,2,5.8,Sales
432,2,0,7.9,Support
433,4,4,16.1,Engineering
434,5,5,23.4,Engineering
435,3,3,1.9,Sales
436,1,0,6.9,Admin
437,4,4,14.6,Engineering
438,2,1,3.3,Support
439,5,5,21.9,Engineering
440,3,2,2.7,Sales
441,4,3,9.1,Engineering
442,2,0,5.4,Support
443,3,3,4.6,Sales
444,5,5,18.6,Engineering
445,4,4,11.7,Engineering
446,1,0,2.7,Admin
447,2,1,7.2,Support
448,3,2,6.4,Sales
449,5,5,16.2,Engineering
450,4,3,10.4,Engineering
451,3,2,1.5,Sales
452,2,0,8.3,Support
453,4,4,19.4,Engineering
454,5,5,22.8,Engineering
455,3,3,3.8,Sales
456,1,0,5.1,Admin
457,4,4,13.3,Engineering
458,2,1,2.8,Support
459,5,5,20.5,Engineering
460,3,2,4.7,Sales
461,4,3,8.9,Engineering
462,2,0,6.1,Support
463,3,3,5.6,Sales
464,5,5,17.8,Engineering
465,4,4,12.4,Engineering
466,1,0,3.6,Admin
467,2,1,7.7,Support
468,3,2,2.1,Sales
469,5,5,19.2,Engineering
470,4,3,11.3,Engineering
471,3,2,5.3,Sales
472,2,0,4.9,Support
473,4,4,16.6,Engineering
474,5,5,23.7,Engineering
475,3,3,1.8,Sales
476,1,0,8.6,Admin
477,4,4,14.4,Engineering
478,2,1,3.2,Support
479,5,5,21.5,Engineering
480,3,2,2.9,Sales
481,4,3,9.8,Engineering
482,2,0,7.3,Support
483,3,3,6.8,Sales
484,5,5,18.3,Engineering
485,4,4,10.9,Engineering
486,1,0,2.6,Admin
487,2,1,5.9,Support
488,3,2,4.4,Sales
489,5,5,15.3,Engineering
490,4,3,12.1,Engineering
491,3,2,1.7,Sales
492,2,0,6.4,Support
493,4,4,17.4,Engineering
494,5,5,22.2,Engineering
495,3,3,3.9,Sales
496,1,0,7.9,Admin
497,4,4,13.7,Engineering
498,2,1,2.8,Support
499,5,5,20.9,Engineering
500,3,2,5.4,Sales
