2024-01-15 12:15:32 UTC | CORE | INFO | (pkg/collector/runner/runner.go:295) | Check collector started
2024-01-15 12:15:58 UTC | CORE | WARNING | (pkg/collector/python/datadog_agent.go:142) | postgres check took 4178ms to run
2024-01-15 12:15:59 UTC | CORE | WARNING | (pkg/collector/python/datadog_agent.go:142) | postgres check took 3845ms to run
2024-01-15 12:16:00 UTC | CORE | WARNING | (pkg/collector/python/datadog_agent.go:142) | postgres check took 4067ms to run
2024-01-15 12:16:01 UTC | CORE | WARNING | (pkg/collector/python/datadog_agent.go:142) | postgres check took 3723ms to run
2024-01-15 12:16:02 UTC | CORE | WARNING | (pkg/collector/python/datadog_agent.go:142) | postgres check took 4294ms to run
2024-01-15 12:16:03 UTC | CORE | WARNING | (pkg/collector/python/datadog_agent.go:142) | postgres check took 3989ms to run
2024-01-15 12:16:05 UTC | CORE | INFO | (pkg/collector/python/datadog_agent.go:128) | disk check ran successfully in 118ms
2024-01-15 12:16:04 UTC | CORE | WARNING | (pkg/collector/scheduler/scheduler.go:201) | Collection interval of 1s may be too aggressive for postgres check
2024-01-15 12:16:04 UTC | CORE | WARNING | (pkg/collector/python/datadog_agent.go:142) | postgres check took 4133ms to run
2024-01-15 12:16:05 UTC | CORE | WARNING | (pkg/collector/python/datadog_agent.go:142) | postgres check took 3801ms to run
2024-01-15 12:16:06 UTC | CORE | WARNING | (pkg/collector/python/datadog_agent.go:142) | postgres check took 4241ms to run
2024-01-15 12:16:07 UTC | CORE | WARNING | (pkg/collector/python/datadog_agent.go:142) | postgres check took 3934ms to run
2024-01-15 12:16:10 UTC | CORE | INFO | (pkg/collector/python/datadog_agent.go:128) | apache check ran successfully in 101ms
2024-01-15 12:16:08 UTC | CORE | WARNING | (pkg/collector/python/datadog_agent.go:142) | postgres check took 4102ms to run
2024-01-15 12:16:09 UTC | CORE | WARNING | (pkg/collector/python/datadog_agent.go:142) | postgres check took 3756ms to run
2024-01-15 12:16:10 UTC | CORE | WARNING | (pkg/collector/python/datadog_agent.go:142) | postgres check took 4389ms to run
2024-01-15 12:16:11 UTC | CORE | INFO | (pkg/collector/python/datadog_agent.go:128) | mysql check ran successfully in 156ms
2024-01-15 12:16:11 UTC | CORE | WARNING | (pkg/collector/python/datadog_agent.go:142) | postgres check took 3867ms to run
2024-01-15 12:16:12 UTC | CORE | INFO | (pkg/collector/python/datadog_agent.go:128) | nginx check ran successfully in 79ms
2024-01-15 12:16:12 UTC | CORE | WARNING | (pkg/collector/python/datadog_agent.go:142) | postgres check took 4198ms to run
