transaction_id,customer_id,product_id,amount,transaction_date
TXN-100098,CUST-178,PROD-99992,2567.90,2024-02-16 11:45:00
TXN-100099,CUST-179,PROD-5019,1890.25,2024-02-16 14:30:00
TXN-100100,CUST-180,PROD-5020,4456.70,2024-02-17 08:15:00
TXN-100074,CUST-159,PROD-5029,4890.25,2024-02-08 11:45:00
TXN-100101,CUST-10012,PROD-5021,2678.50,2024-02-17 11:00:00
TXN-100102,CUST-181,PROD-5022,3567.80,2024-02-17 13:45:00
TXN-100103,CUST-182,PROD-99993,1456.90,2024-02-18 09:30:00
TXN-100104,CUST-183,PROD-5023,2890.75,2024-02-18 12:15:00
TXN-100105,CUST-184,PROD-5024,4234.50,2024-02-18 15:00:00
TXN-100106,CUST-10013,PROD-5025,1678.80,2024-02-19 08:30:00
TXN-100107,CUST-185,PROD-5026,3456.90,2024-02-19 11:15:00
TXN-100108,CUST-186,PROD-99994,2123.45,2024-02-19 14:00:00
TXN-100109,CUST-187,PROD-5027,1890.50,2024-02-20 09:00:00
TXN-100110,CUST-188,PROD-5028,4567.80,2024-02-20 11:45:00
TXN-100085,CUST-168,PROD-5008,4123.25,2024-02-12 09:30:00
TXN-100111,CUST-10014,PROD-5029,2678.90,2024-02-20 14:30:00
TXN-100112,CUST-189,PROD-5030,3234.50,2024-02-21 08:45:00
TXN-100113,CUST-190,PROD-99995,1567.75,2024-02-21 11:30:00
TXN-100114,CUST-191,PROD-5001,2890.00,2024-02-21 14:15:00
TXN-100115,CUST-192,PROD-5002,4123.45,2024-02-22 09:00:00
TXN-100116,CUST-10015,PROD-5003,1456.80,2024-02-22 11:45:00
TXN-100117,CUST-193,PROD-5004,3567.90,2024-02-22 14:30:00
TXN-100118,CUST-194,PROD-99996,2345.50,2024-02-23 08:15:00
TXN-100119,CUST-195,PROD-5005,1890.75,2024-02-23 11:00:00
TXN-100120,CUST-196,PROD-5006,4456.80,2024-02-23 13:45:00
TXN-100095,CUST-176,PROD-5016,4123.45,2024-02-15 11:30:00
TXN-100121,CUST-10016,PROD-5007,2678.90,2024-02-24 09:30:00
TXN-100122,CUST-197,PROD-5008,3234.50,2024-02-24 12:15:00
TXN-100123,CUST-198,PROD-99997,1567.80,2024-02-24 15:00:00
TXN-100124,CUST-199,PROD-5009,2890.25,2024-02-25 08:30:00
TXN-100125,CUST-200,PROD-5010,4234.50,2024-02-25 11:15:00
TXN-100126,CUST-10017,PROD-5011,1678.90,2024-02-25 14:00:00
TXN-100127,CUST-101,PROD-5012,3456.75,2024-02-26 09:00:00
TXN-100128,CUST-102,PROD-99998,2123.45,2024-02-26 11:45:00
TXN-100129,CUST-103,PROD-5013,1890.50,2024-02-26 14:30:00
TXN-100130,CUST-104,PROD-5014,4567.80,2024-02-27 08:45:00
TXN-100105,CUST-184,PROD-5024,4234.50,2024-02-18 15:00:00
TXN-100131,CUST-10018,PROD-5015,2678.90,2024-02-27 11:30:00
TXN-100132,CUST-105,PROD-5016,3234.50,2024-02-27 14:15:00
TXN-100133,CUST-106,PROD-99999,1456.75,2024-02-28 09:00:00
TXN-100134,CUST-107,PROD-5017,2890.00,2024-02-28 11:45:00
TXN-100135,CUST-108,PROD-5018,4123.45,2024-02-28 14:30:00
TXN-100136,CUST-10019,PROD-5019,1567.80,2024-02-29 08:15:00
TXN-100137,CUST-109,PROD-5020,3567.90,2024-02-29 11:00:00
TXN-100138,CUST-110,PROD-99991,2345.50,2024-02-29 13:45:00
TXN-100139,CUST-111,PROD-5021,1890.75,2024-03-01 09:30:00
TXN-100140,CUST-112,PROD-5022,4456.80,2024-03-01 12:15:00
TXN-100115,CUST-192,PROD-5002,4123.45,2024-02-22 09:00:00
TXN-100141,CUST-10020,PROD-5023,2678.90,2024-03-01 15:00:00
TXN-100142,CUST-113,PROD-5024,3234.50,2024-03-02 08:30:00
TXN-100143,CUST-114,PROD-99992,1567.80,2024-03-02 11:15:00
TXN-100144,CUST-115,PROD-5025,2890.25,2024-03-02 14:00:00
TXN-100145,CUST-116,PROD-5026,4234.50,2024-03-03 09:00:00
TXN-100146,CUST-10021,PROD-5027,1678.90,2024-03-03 11:45:00
TXN-100147,CUST-117,PROD-5028,3456.75,2024-03-03 14:30:00
TXN-100148,CUST-118,PROD-99993,2123.45,2024-03-04 08:45:00
TXN-100149,CUST-119,PROD-5029,1890.50,2024-03-04 11:30:00
TXN-100150,CUST-120,PROD-5030,4567.80,2024-03-04 14:15:00
TXN-100125,CUST-200,PROD-5010,4234.50,2024-02-25 11:15:00
TXN-100151,CUST-10022,PROD-5001,2678.90,2024-03-05 09:00:00
TXN-100152,CUST-121,PROD-5002,3234.50,2024-03-05 11:45:00
TXN-100153,CUST-122,PROD-99994,1456.75,2024-03-05 14:30:00
TXN-100154,CUST-123,PROD-5003,2890.00,2024-03-06 08:15:00
TXN-100155,CUST-124,PROD-5004,4123.45,2024-03-06 11:00:00
TXN-100156,CUST-125,PROD-5005,1567.80,2024-03-06 13:45:00
TXN-100157,CUST-126,PROD-5006,3567.90,2024-03-07 09:30:00
TXN-100158,CUST-127,PROD-5007,2345.50,2024-03-07 12:15:00
TXN-100159,CUST-128,PROD-5008,1890.75,2024-03-07 15:00:00
TXN-100160,CUST-129,PROD-5009,4456.80,2024-03-08 08:30:00
TXN-100135,CUST-108,PROD-5018,4123.45,2024-02-28 14:30:00
TXN-100161,CUST-130,PROD-5010,2678.90,2024-03-08 11:15:00
TXN-100162,CUST-131,PROD-5011,3234.50,2024-03-08 14:00:00
TXN-100163,CUST-132,PROD-5012,1567.80,2024-03-09 09:00:00
TXN-100164,CUST-133,PROD-5013,2890.25,2024-03-09 11:45:00
TXN-100165,CUST-134,PROD-5014,4234.50,2024-03-09 14:30:00
TXN-100166,CUST-135,PROD-5015,1678.90,2024-03-10 08:45:00
TXN-100167,CUST-136,PROD-5016,3456.75,2024-03-10 11:30:00
TXN-100168,CUST-137,PROD-5017,2123.45,2024-03-10 14:15:00
TXN-100169,CUST-138,PROD-5018,1890.50,2024-03-11 09:00:00
TXN-100170,CUST-139,PROD-5019,4567.80,2024-03-11 11:45:00
