feature_a,feature_b,feature_c,feature_d,outcome
0.56,78.7,cat2,typeA,1
-2.67,24.3,cat3,typeB,0
1.78,61.9,cat1,typeC,1
-0.23,87.5,cat2,typeA,0
2.45,33.2,cat3,typeB,1
-1.67,70.6,cat1,typeC,0
0.12,16.8,cat2,typeA,1
-2.12,53.4,cat3,typeB,0
1.56,89.1,cat1,typeC,1
-0.78,35.7,cat2,typeA,0
2.67,72.3,cat3,typeB,1
-1.45,28.9,cat1,typeC,0
0.89,65.5,cat2,typeA,1
-2.56,91.8,cat3,typeB,0
1.23,47.2,cat1,typeC,1
-0.45,84.6,cat2,typeA,0
2.34,30.1,cat3,typeB,1
-1.89,66.7,cat1,typeC,0
0.67,93.4,cat2,typeA,1
-2.01,39.8,cat3,typeB,0
1.91,76.5,cat1,typeC,1
-0.34,22.3,cat2,typeA,0
2.78,58.9,cat3,typeB,1
-1.12,85.2,cat1,typeC,0
0.45,41.6,cat2,typeA,1
-2.89,78.1,cat3,typeB,0
1.67,24.7,cat1,typeC,1
-0.56,61.4,cat2,typeA,0
2.12,97.8,cat3,typeB,1
-1.78,48.2,cat1,typeC,0
0.23,84.9,cat2,typeA,1
-2.45,31.5,cat3,typeB,0
1.34,68.3,cat1,typeC,1
-0.67,94.7,cat2,typeA,0
2.56,40.1,cat3,typeB,1
-1.56,76.8,cat1,typeC,0
0.78,23.4,cat2,typeA,1
-2.23,59.6,cat3,typeB,0
1.45,96.2,cat1,typeC,1
-0.89,45.9,cat2,typeA,0
2.01,82.5,cat3,typeB,1
-1.23,28.3,cat1,typeC,0
0.34,64.7,cat2,typeA,1
-2.67,91.1,cat3,typeB,0
1.89,37.4,cat1,typeC,1
-0.12,73.8,cat2,typeA,0
2.67,19.6,cat3,typeB,1
-1.91,56.2,cat1,typeC,0
0.56,92.9,cat2,typeA,1
-2.34,38.7,cat3,typeB,0
1.78,75.4,cat1,typeC,1
-0.45,21.1,cat2,typeA,0
2.23,57.8,cat3,typeB,1
-1.67,86.3,cat1,typeC,0
0.89,44.5,cat2,typeA,1
-2.12,81.9,cat3,typeB,0
1.56,27.2,cat1,typeC,1
-0.78,63.6,cat2,typeA,0
2.89,90.4,cat3,typeB,1
-1.34,42.8,cat1,typeC,0
0.12,79.1,cat2,typeA,1
-2.78,25.5,cat3,typeB,0
1.23,61.7,cat1,typeC,1
-0.56,88.3,cat2,typeA,0
2.45,34.9,cat3,typeB,1
-1.89,71.2,cat1,typeC,0
0.67,17.6,cat2,typeA,1
-2.56,53.8,cat3,typeB,0
1.91,89.5,cat1,typeC,1
-0.23,36.1,cat2,typeA,0
2.34,72.7,cat3,typeB,1
-1.45,29.4,cat1,typeC,0
0.78,65.8,cat2,typeA,1
-2.01,92.3,cat3,typeB,0
1.67,47.6,cat1,typeC,1
-0.34,85.1,cat2,typeA,0
2.78,30.9,cat3,typeB,1
-1.78,67.4,cat1,typeC,0
0.45,94.2,cat2,typeA,1
-2.67,40.5,cat3,typeB,0
1.34,76.9,cat1,typeC,1
-0.89,22.7,cat2,typeA,0
2.56,59.3,cat3,typeB,1
-1.23,86.8,cat1,typeC,0
0.23,41.2,cat2,typeA,1
-2.45,78.6,cat3,typeB,0
1.89,24.1,cat1,typeC,1
-0.67,60.7,cat2,typeA,0
2.12,97.4,cat3,typeB,1
-1.56,48.9,cat1,typeC,0
0.56,85.3,cat2,typeA,1
-2.89,32.6,cat3,typeB,0
1.78,68.1,cat1,typeC,1
-0.12,94.8,cat2,typeA,0
2.67,40.3,cat3,typeB,1
-1.91,77.5,cat1,typeC,0
0.89,23.9,cat2,typeA,1
-2.34,60.2,cat3,typeB,0
1.45,96.7,cat1,typeC,1
-0.45,46.4,cat2,typeA,0
2.23,83.1,cat3,typeB,1
-1.67,29.8,cat1,typeC,0
0.78,65.5,cat2,typeA,1
-2.12,91.9,cat3,typeB,0
1.56,37.6,cat1,typeC,1
-0.78,74.2,cat2,typeA,0
2.01,20.4,cat3,typeB,1
-1.34,56.8,cat1,typeC,0
0.34,93.5,cat2,typeA,1
-2.78,39.1,cat3,typeB,0
1.23,75.7,cat1,typeC,1
-0.56,21.3,cat2,typeA,0
2.89,58.9,cat3,typeB,1
-1.89,86.4,cat1,typeC,0
0.67,44.7,cat2,typeA,1
-2.56,81.2,cat3,typeB,0
1.91,27.5,cat1,typeC,1
-0.23,63.9,cat2,typeA,0
2.45,90.6,cat3,typeB,1
-1.45,42.3,cat1,typeC,0
0.12,79.1,cat2,typeA,1
-2.23,25.8,cat3,typeB,0
1.67,62.4,cat1,typeC,1
-0.89,88.7,cat2,typeA,0
2.67,35.2,cat3,typeB,1
-1.78,71.8,cat1,typeC,0
0.45,17.9,cat2,typeA,1
-2.01,54.3,cat3,typeB,0
1.34,90.1,cat1,typeC,1
-0.67,36.5,cat2,typeA,0
2.34,73.2,cat3,typeB,1
-1.56,29.7,cat1,typeC,0
0.89,66.4,cat2,typeA,1
-2.67,92.8,cat3,typeB,0
1.78,48.1,cat1,typeC,1
-0.34,85.6,cat2,typeA,0
2.56,31.4,cat3,typeB,1
-1.12,68.9,cat1,typeC,0
0.56,94.3,cat2,typeA,1
-2.89,40.7,cat3,typeB,0
1.23,77.5,cat1,typeC,1
-0.45,23.2,cat2,typeA,0
2.12,59.8,cat3,typeB,1
-1.91,87.4,cat1,typeC,0
0.78,41.9,cat2,typeA,1
-2.45,78.6,cat3,typeB,0
1.67,24.5,cat1,typeC,1
-0.78,61.2,cat2,typeA,0
2.89,97.9,cat3,typeB,1
-1.34,49.3,cat1,typeC,0
0.23,85.7,cat2,typeA,1
-2.34,32.1,cat3,typeB,0
1.45,68.8,cat1,typeC,1
-0.56,95.4,cat2,typeA,0
2.23,40.6,cat3,typeB,1
-1.67,77.2,cat1,typeC,0
0.34,23.8,cat2,typeA,1
-2.78,60.5,cat3,typeB,0
1.89,96.9,cat1,typeC,1
-0.12,46.7,cat2,typeA,0
2.67,83.4,cat3,typeB,1
-1.89,30.1,cat1,typeC,0
0.67,65.8,cat2,typeA,1
-2.12,92.3,cat3,typeB,0
1.56,38.2,cat1,typeC,1
-0.89,74.9,cat2,typeA,0
2.45,20.6,cat3,typeB,1
-1.45,57.3,cat1,typeC,0
0.89,93.8,cat2,typeA,1
-2.56,39.5,cat3,typeB,0
1.78,76.1,cat1,typeC,1
-0.23,22.4,cat2,typeA,0
2.34,59.7,cat3,typeB,1
-1.78,86.9,cat1,typeC,0
0.45,45.2,cat2,typeA,1
-2.01,82.5,cat3,typeB,0
1.23,28.7,cat1,typeC,1
-0.67,64.3,cat2,typeA,0
2.01,91.1,cat3,typeB,1
-1.23,42.8,cat1,typeC,0
0.56,79.6,cat2,typeA,1
-2.67,26.3,cat3,typeB,0
1.91,62.9,cat1,typeC,1
-0.34,89.2,cat2,typeA,0
2.78,35.7,cat3,typeB,1
-1.56,72.4,cat1,typeC,0
0.12,18.5,cat2,typeA,1
-2.23,54.8,cat3,typeB,0
1.67,90.6,cat1,typeC,1
-0.45,37.1,cat2,typeA,0
2.56,73.7,cat3,typeB,1
-1.91,30.2,cat1,typeC,0
0.78,66.9,cat2,typeA,1
-2.34,93.5,cat3,typeB,0
1.34,48.4,cat1,typeC,1
-0.89,86.1,cat2,typeA,0
2.12,31.8,cat3,typeB,1
-1.67,69.5,cat1,typeC,0
0.23,95.2,cat2,typeA,1
-2.89,41.3,cat3,typeB,0
1.89,77.9,cat1,typeC,1
-0.56,23.6,cat2,typeA,0
2.67,60.4,cat3,typeB,1
-1.34,87.8,cat1,typeC,0
0.67,42.5,cat2,typeA,1
-2.45,79.2,cat3,typeB,0
1.56,25.1,cat1,typeC,1
-0.78,61.7,cat2,typeA,0
2.89,98.4,cat3,typeB,1
-1.89,49.8,cat1,typeC,0
0.34,86.3,cat2,typeA,1
-2.12,32.9,cat3,typeB,0
1.78,69.5,cat1,typeC,1
-0.12,95.7,cat2,typeA,0
2.45,41.2,cat3,typeB,1
-1.45,77.8,cat1,typeC,0
0.89,24.3,cat2,typeA,1
-2.56,60.9,cat3,typeB,0
1.23,97.6,cat1,typeC,1
-0.67,47.1,cat2,typeA,0
2.34,83.8,cat3,typeB,1
-1.78,30.5,cat1,typeC,0
0.45,66.2,cat2,typeA,1
-2.78,92.9,cat3,typeB,0
1.67,38.7,cat1,typeC,1
-0.34,75.4,cat2,typeA,0
2.23,21.2,cat3,typeB,1
-1.56,57.9,cat1,typeC,0
0.78,94.5,cat2,typeA,1
-2.01,40.1,cat3,typeB,0
1.45,76.8,cat1,typeC,1
-0.89,22.7,cat2,typeA,0
2.12,59.3,cat3,typeB,1
-1.23,87.6,cat1,typeC,0
0.56,45.8,cat2,typeA,1
-2.67,82.4,cat3,typeB,0
1.91,28.9,cat1,typeC,1
-0.45,64.7,cat2,typeA,0
2.78,91.5,cat3,typeB,1
-1.91,43.2,cat1,typeC,0
0.12,80.1,cat2,typeA,1
-2.34,26.8,cat3,typeB,0
1.34,63.4,cat1,typeC,1
-0.78,89.7,cat2,typeA,0
2.67,36.3,cat3,typeB,1
-1.67,73.1,cat1,typeC,0
0.67,19.2,cat2,typeA,1
-2.89,55.6,cat3,typeB,0
1.56,91.3,cat1,typeC,1
-0.23,37.8,cat2,typeA,0
2.45,74.5,cat3,typeB,1
-1.34,30.9,cat1,typeC,0
0.89,67.6,cat2,typeA,1
-2.12,94.2,cat3,typeB,0
1.78,48.7,cat1,typeC,1
-0.56,86.9,cat2,typeA,0
2.34,32.4,cat3,typeB,1
-1.89,70.3,cat1,typeC,0
0.34,96.1,cat2,typeA,1
-2.56,41.8,cat3,typeB,0
1.23,78.6,cat1,typeC,1
-0.67,24.5,cat2,typeA,0
2.56,61.2,cat3,typeB,1
-1.45,88.4,cat1,typeC,0
0.45,43.1,cat2,typeA,1
-2.23,79.8,cat3,typeB,0
1.89,25.7,cat1,typeC,1
-0.34,62.4,cat2,typeA,0
2.89,98.9,cat3,typeB,1
-1.78,50.3,cat1,typeC,0
0.78,87.1,cat2,typeA,1
-2.45,33.6,cat3,typeB,0
1.67,70.2,cat1,typeC,1
-0.89,16.4,cat2,typeA,0
2.12,53.8,cat3,typeB,1
-1.56,90.7,cat1,typeC,0
0.23,39.5,cat2,typeA,1
-2.78,76.3,cat3,typeB,0
1.45,22.1,cat1,typeC,1
-0.12,58.7,cat2,typeA,0
2.67,95.4,cat3,typeB,1
-1.23,47.9,cat1,typeC,0
0.56,84.6,cat2,typeA,1
-2.34,29.2,cat3,typeB,0
1.91,65.8,cat1,typeC,1
-0.45,92.3,cat2,typeA,0
2.45,38.9,cat3,typeB,1
-1.67,75.7,cat1,typeC,0
0.67,21.4,cat2,typeA,1
-2.01,58.2,cat3,typeB,0
1.34,94.9,cat1,typeC,1
-0.78,46.6,cat2,typeA,0
2.23,83.3,cat3,typeB,1
-1.89,31.1,cat1,typeC,0
0.89,68.5,cat2,typeA,1
-2.67,95.8,cat3,typeB,0
1.78,42.3,cat1,typeC,1
-0.23,79.7,cat2,typeA,0
2.56,27.6,cat3,typeB,1
-1.34,64.2,cat1,typeC,0
0.12,91.1,cat2,typeA,1
-2.56,37.4,cat3,typeB,0
1.67,74.8,cat1,typeC,1
-0.56,20.9,cat2,typeA,0
2.34,57.5,cat3,typeB,1
-1.91,88.9,cat1,typeC,0
0.34,44.2,cat2,typeA,1
-2.12,81.6,cat3,typeB,0
1.56,26.7,cat1,typeC,1
-0.89,63.3,cat2,typeA,0
2.78,90.8,cat3,typeB,1
-1.45,49.1,cat1,typeC,0
0.78,86.5,cat2,typeA,1
-2.89,33.8,cat3,typeB,0
1.23,70.4,cat1,typeC,1
-0.34,17.2,cat2,typeA,0
2.12,54.9,cat3,typeB,1
-1.78,91.6,cat1,typeC,0
0.67,40.3,cat2,typeA,1
-2.45,77.1,cat3,typeB,0
1.89,23.5,cat1,typeC,1
-0.67,59.8,cat2,typeA,0
2.89,96.2,cat3,typeB,1
-1.56,48.4,cat1,typeC,0
0.45,85.7,cat2,typeA,1
-2.34,30.1,cat3,typeB,0
1.34,66.9,cat1,typeC,1
-0.12,93.4,cat2,typeA,0
2.67,39.6,cat3,typeB,1
-1.23,76.8,cat1,typeC,0
0.89,22.3,cat2,typeA,1
-2.78,59.5,cat3,typeB,0
1.91,95.1,cat1,typeC,1
-0.45,47.7,cat2,typeA,0
2.45,84.2,cat3,typeB,1
-1.67,31.9,cat1,typeC,0
0.23,69.6,cat2,typeA,1
-2.23,96.7,cat3,typeB,0
1.78,43.4,cat1,typeC,1
-0.78,80.8,cat2,typeA,0
2.56,28.2,cat3,typeB,1
-1.34,65.1,cat1,typeC,0
0.56,92.5,cat2,typeA,1
-2.56,38.7,cat3,typeB,0
