income,credit_score,debt_ratio,employment_years,loan_amount,approved,protected_group
103.2,795,0.21,12,83.2,1,0
62.0,710,0.37,6,48.2,1,0
46.3,615,0.58,3,33.3,0,1
83.8,759,0.27,10,63.8,1,0
37.4,575,0.69,1,22.7,0,1
123.8,825,0.16,18,110.3,1,0
67.8,729,0.33,7,52.5,1,0
50.1,628,0.56,3,37.0,0,1
80.3,754,0.29,9,60.0,1,0
42.1,598,0.63,2,27.8,0,1
110.6,806,0.19,14,90.6,1,0
64.0,718,0.35,7,49.6,1,0
48.1,622,0.57,3,35.1,0,1
81.2,756,0.28,9,61.3,1,0
39.0,583,0.66,1,24.7,0,1
117.7,818,0.17,16,101.7,1,0
66.7,726,0.34,7,51.5,1,0
49.3,625,0.56,3,36.2,0,1
75.8,744,0.30,8,55.8,1,0
40.5,590,0.64,1,26.2,0,1
101.5,793,0.21,12,81.1,1,0
61.6,708,0.37,6,48.0,1,0
46.9,618,0.58,3,33.9,0,1
86.1,762,0.26,11,66.2,1,0
37.9,578,0.68,1,23.3,0,1
121.0,821,0.16,17,106.4,1,0
68.4,730,0.32,8,53.3,1,0
50.7,629,0.55,4,37.7,1,1
80.6,755,0.28,9,60.6,1,0
42.3,599,0.62,2,28.1,0,1
107.7,801,0.19,13,87.7,1,0
62.8,713,0.36,6,48.7,1,0
47.4,620,0.57,3,34.6,0,1
82.3,758,0.28,10,62.5,1,0
38.3,579,0.68,1,23.7,0,1
114.9,814,0.18,15,95.5,1,0
65.9,722,0.34,7,50.7,1,0
48.7,623,0.57,3,35.6,0,1
76.8,746,0.30,8,57.0,1,0
40.7,589,0.65,1,26.3,0,1
104.1,797,0.20,13,84.4,1,0
61.0,705,0.38,6,47.6,1,0
45.8,611,0.59,2,32.7,0,1
84.6,760,0.27,10,64.6,1,0
37.3,574,0.69,1,22.5,0,1
123.2,824,0.16,17,109.1,1,0
67.7,728,0.33,7,52.4,1,0
50.0,627,0.56,3,36.9,0,1
79.4,753,0.29,9,59.3,1,0
41.9,597,0.63,2,27.5,0,1
109.9,805,0.19,14,90.0,1,0
63.9,717,0.36,7,49.4,1,0
48.0,621,0.57,3,35.0,0,1
81.4,757,0.28,9,61.5,1,0
38.9,582,0.67,1,24.6,0,1
117.1,817,0.17,16,100.8,1,0
66.6,725,0.34,7,51.4,1,0
49.2,625,0.57,3,36.1,0,1
75.5,743,0.30,8,55.5,1,0
40.3,590,0.64,1,25.9,0,1
102.3,794,0.21,12,81.8,1,0
61.5,707,0.37,6,47.9,1,0
46.8,618,0.58,3,33.8,0,1
85.7,762,0.27,11,65.8,1,0
37.8,577,0.68,1,23.1,0,1
120.5,821,0.16,17,106.0,1,0
68.3,730,0.32,8,53.2,1,0
50.6,629,0.55,4,37.6,1,1
80.4,755,0.28,9,60.4,1,0
42.2,598,0.63,2,28.0,0,1
107.0,800,0.19,13,87.0,1,0
62.5,712,0.37,6,48.6,1,0
47.1,619,0.58,3,34.3,0,1
82.0,758,0.28,10,62.2,1,0
38.0,578,0.68,1,23.4,0,1
113.7,812,0.18,15,94.2,1,0
65.4,721,0.35,7,50.3,1,0
48.4,622,0.57,3,35.3,0,1
76.0,744,0.30,8,56.3,1,0
40.2,588,0.65,1,25.8,0,1
103.5,796,0.20,13,83.8,1,0
60.6,704,0.38,6,47.3,1,0
45.3,608,0.59,2,32.3,0,1
84.2,760,0.27,10,64.2,1,0
36.9,572,0.69,1,22.0,0,1
121.4,822,0.16,17,107.2,1,0
67.1,726,0.33,7,51.9,1,0
49.6,626,0.56,3,36.5,0,1
78.8,751,0.29,9,58.7,1,0
41.3,593,0.64,2,26.6,0,1
108.1,801,0.19,14,88.3,1,0
63.2,714,0.36,6,48.9,1,0
47.4,620,0.57,3,34.6,0,1
81.5,757,0.28,10,61.5,1,0
38.4,580,0.67,1,24.0,0,1
115.3,814,0.18,15,96.4,1,0
66.0,723,0.34,7,50.8,1,0
48.7,623,0.57,3,35.6,0,1
76.6,745,0.30,8,56.8,1,0
40.6,589,0.65,1,26.2,0,1
103.8,796,0.20,13,84.1,1,0
61.9,709,0.37,6,48.2,1,0
46.5,616,0.58,3,33.5,0,1
83.5,759,0.27,10,63.5,1,0
37.5,575,0.69,1,22.8,0,1
124.2,825,0.16,18,110.8,1,0
68.1,729,0.33,7,53.0,1,0
50.4,628,0.56,3,37.4,0,1
80.0,754,0.29,9,59.9,1,0
42.0,597,0.63,2,27.7,0,1
110.3,805,0.19,14,90.4,1,0
63.7,716,0.36,7,49.3,1,0
47.9,621,0.57,3,34.9,0,1
81.1,756,0.28,9,61.2,1,0
38.8,582,0.67,1,24.5,0,1
117.4,817,0.17,16,101.4,1,0
66.4,724,0.34,7,51.2,1,0
49.0,624,0.57,3,35.9,0,1
75.2,742,0.30,8,55.1,1,0
40.1,587,0.65,1,25.7,0,1
101.8,793,0.21,12,81.4,1,0
61.2,706,0.37,6,47.7,1,0
46.4,616,0.58,3,33.4,0,1
85.3,761,0.27,11,65.4,1,0
37.4,575,0.68,1,22.7,0,1
119.7,819,0.17,16,104.9,1,0
67.9,728,0.33,7,52.7,1,0
50.2,627,0.56,3,37.1,0,1
79.3,753,0.29,9,59.2,1,0
41.5,594,0.64,2,26.8,0,1
106.5,798,0.20,13,86.6,1,0
62.3,711,0.37,6,48.4,1,0
47.0,619,0.58,3,34.2,0,1
82.5,758,0.28,10,62.7,1,0
38.1,578,0.68,1,23.5,0,1
113.4,811,0.18,15,93.8,1,0
65.3,720,0.35,7,50.2,1,0
48.3,622,0.57,3,35.2,0,1
75.9,743,0.30,8,56.1,1,0
40.0,587,0.65,1,25.5,0,1
103.2,795,0.21,12,83.1,1,0
60.5,703,0.38,6,47.2,1,0
45.1,607,0.59,2,32.1,0,1
84.0,759,0.27,10,64.0,1,0
36.7,571,0.70,1,21.8,0,1
121.1,821,0.16,17,106.7,1,0
67.0,726,0.33,7,51.8,1,0
49.5,626,0.56,3,36.4,0,1
78.6,751,0.29,9,58.5,1,0
41.2,592,0.64,2,26.4,0,1
107.8,800,0.19,13,87.4,1,0
63.0,713,0.36,6,48.8,1,0
47.3,619,0.58,3,34.5,0,1
81.3,756,0.28,10,61.3,1,0
38.3,579,0.68,1,23.8,0,1
115.0,813,0.18,15,95.8,1,0
65.8,721,0.35,7,50.6,1,0
48.6,623,0.57,3,35.5,0,1
76.4,744,0.30,8,56.6,1,0
40.5,588,0.65,1,26.1,0,1
104.4,796,0.20,13,84.6,1,0
61.7,708,0.37,6,48.0,1,0
46.7,617,0.58,3,33.7,0,1
85.0,760,0.27,11,65.1,1,0
37.7,576,0.68,1,22.9,0,1
120.4,820,0.16,17,105.7,1,0
68.2,729,0.32,8,53.1,1,0
50.5,628,0.55,4,37.5,1,1
80.3,754,0.28,9,60.2,1,0
42.1,597,0.63,2,27.8,0,1
107.4,800,0.19,13,87.1,1,0
62.7,712,0.36,6,48.7,1,0
47.2,619,0.58,3,34.4,0,1
82.2,757,0.28,10,62.4,1,0
38.2,578,0.68,1,23.6,0,1
114.3,812,0.18,15,94.8,1,0
65.6,721,0.35,7,50.5,1,0
48.5,622,0.57,3,35.4,0,1
76.2,744,0.30,8,56.4,1,0
40.4,588,0.65,1,26.0,0,1
103.9,796,0.20,13,84.2,1,0
60.9,704,0.38,6,47.5,1,0
45.5,609,0.59,2,32.5,0,1
84.5,760,0.27,10,64.5,1,0
37.1,573,0.69,1,22.3,0,1
122.5,823,0.16,17,108.3,1,0
67.5,727,0.33,7,52.2,1,0
49.9,626,0.56,3,36.8,0,1
79.0,752,0.29,9,58.9,1,0
41.7,595,0.63,2,27.2,0,1
109.2,803,0.19,14,89.5,1,0
63.5,715,0.36,7,49.1,1,0
47.7,620,0.57,3,34.8,0,1
81.0,756,0.28,9,61.1,1,0
38.6,581,0.67,1,24.3,0,1
116.6,816,0.17,16,99.9,1,0
66.2,724,0.34,7,51.0,1,0
48.9,624,0.57,3,35.8,0,1
75.5,743,0.30,8,55.4,1,0
40.2,589,0.64,1,25.8,0,1
101.5,793,0.21,12,81.0,1,0
61.1,706,0.37,6,47.6,1,0
46.2,614,0.58,3,33.2,0,1
85.6,761,0.27,11,65.7,1,0
37.6,576,0.68,1,22.9,0,1
119.4,819,0.17,16,104.6,1,0
67.8,728,0.33,7,52.6,1,0
50.1,627,0.56,3,37.0,0,1
79.2,752,0.29,9,59.1,1,0
41.4,593,0.64,2,26.7,0,1
106.2,798,0.20,13,86.3,1,0
62.1,710,0.37,6,48.3,1,0
46.9,618,0.58,3,33.9,0,1
82.8,758,0.28,10,63.1,1,0
38.0,578,0.68,1,23.4,0,1
113.1,811,0.18,15,93.5,1,0
65.2,720,0.35,7,50.1,1,0
48.2,621,0.57,3,35.1,0,1
75.7,743,0.30,8,55.9,1,0
39.9,586,0.65,1,25.4,0,1
102.9,794,0.21,12,82.8,1,0
60.4,703,0.38,6,47.1,1,0
45.0,606,0.60,2,31.9,0,1
83.7,759,0.27,10,63.7,1,0
36.6,570,0.70,1,21.6,0,1
120.8,821,0.16,17,106.3,1,0
66.9,726,0.33,7,51.7,1,0
49.4,625,0.56,3,36.3,0,1
78.4,751,0.29,9,58.3,1,0
41.1,591,0.64,2,26.3,0,1
107.5,799,0.19,13,87.0,1,0
62.9,713,0.36,6,48.8,1,0
47.2,619,0.58,3,34.4,0,1
81.2,756,0.28,10,61.2,1,0
38.2,579,0.68,1,23.7,0,1
114.7,813,0.18,15,95.3,1,0
65.7,721,0.35,7,50.5,1,0
48.5,622,0.57,3,35.4,0,1
76.3,744,0.30,8,56.5,1,0
40.4,588,0.65,1,26.0,0,1
104.1,796,0.20,13,84.3,1,0
61.6,707,0.37,6,47.9,1,0
46.6,616,0.58,3,33.6,0,1
84.7,760,0.27,10,64.7,1,0
37.5,575,0.68,1,22.8,0,1
120.1,820,0.17,16,105.4,1,0
68.1,729,0.32,8,53.0,1,0
50.4,628,0.56,3,37.3,0,1
80.2,754,0.28,9,60.1,1,0
42.0,596,0.63,2,27.7,0,1
107.1,800,0.19,13,86.8,1,0
62.6,712,0.36,6,48.6,1,0
47.1,619,0.58,3,34.3,0,1
82.1,757,0.28,10,62.3,1,0
38.1,578,0.68,1,23.5,0,1
114.0,812,0.18,15,94.4,1,0
65.5,721,0.35,7,50.4,1,0
48.4,622,0.57,3,35.3,0,1
76.1,744,0.30,8,56.3,1,0
40.3,589,0.64,1,25.9,0,1
103.6,795,0.21,12,83.5,1,0
60.8,704,0.38,6,47.4,1,0
45.4,608,0.59,2,32.4,0,1
84.2,759,0.27,10,64.2,1,0
37.0,572,0.69,1,22.2,0,1
122.2,822,0.16,17,107.9,1,0
67.4,727,0.33,7,52.1,1,0
49.8,626,0.56,3,36.7,0,1
78.9,752,0.29,9,58.8,1,0
41.6,594,0.63,2,27.1,0,1
108.9,802,0.19,14,89.1,1,0
63.4,715,0.36,7,49.0,1,0
47.6,620,0.57,3,34.7,0,1
80.9,756,0.28,9,61.0,1,0
38.5,580,0.67,1,24.2,0,1
116.3,815,0.17,16,99.5,1,0
66.1,723,0.34,7,50.9,1,0
48.8,623,0.57,3,35.7,0,1
75.4,742,0.30,8,55.3,1,0
40.1,587,0.65,1,25.6,0,1
101.2,793,0.21,12,80.7,1,0
61.0,705,0.37,6,47.5,1,0
46.1,613,0.58,3,33.1,0,1
85.3,761,0.27,11,65.4,1,0
37.4,574,0.68,1,22.6,0,1
119.1,818,0.17,16,104.2,1,0
67.7,728,0.33,7,52.5,1,0
50.0,627,0.56,3,36.9,0,1
79.1,752,0.29,9,59.0,1,0
41.3,592,0.64,2,26.6,0,1
105.9,797,0.20,13,86.0,1,0
62.0,710,0.37,6,48.2,1,0
46.8,617,0.58,3,33.8,0,1
82.5,758,0.28,10,62.6,1,0
37.9,577,0.68,1,23.2,0,1
112.8,810,0.18,15,93.1,1,0
65.1,719,0.35,7,50.0,1,0
48.1,621,0.57,3,35.0,0,1
75.6,743,0.30,8,55.8,1,0
39.8,585,0.65,1,25.3,0,1
102.6,794,0.21,12,82.4,1,0
60.3,702,0.38,6,47.0,1,0
44.9,605,0.60,2,31.8,0,1
83.4,759,0.27,10,63.4,1,0
36.5,569,0.70,1,21.5,0,1
120.5,820,0.16,17,105.9,1,0
66.8,725,0.33,7,51.6,1,0
49.3,625,0.56,3,36.2,0,1
78.3,751,0.29,9,58.2,1,0
41.0,590,0.64,2,26.2,0,1
107.2,799,0.19,13,86.7,1,0
62.8,712,0.36,6,48.7,1,0
47.1,619,0.58,3,34.3,0,1
81.1,756,0.28,10,61.1,1,0
38.1,578,0.68,1,23.6,0,1
114.4,812,0.18,15,94.9,1,0
65.6,721,0.35,7,50.5,1,0
48.4,622,0.57,3,35.3,0,1
76.2,744,0.30,8,56.4,1,0
40.3,588,0.65,1,25.9,0,1
103.8,796,0.20,13,84.0,1,0
61.5,707,0.37,6,47.8,1,0
46.5,615,0.58,3,33.5,0,1
84.4,760,0.27,10,64.4,1,0
37.4,574,0.69,1,22.7,0,1
119.8,819,0.17,16,105.0,1,0
68.0,729,0.32,8,52.9,1,0
50.3,628,0.56,3,37.2,0,1
80.1,754,0.28,9,60.0,1,0
41.9,595,0.63,2,27.6,0,1
106.8,799,0.20,13,86.5,1,0
62.5,711,0.36,6,48.5,1,0
47.0,619,0.58,3,34.2,0,1
82.0,757,0.28,10,62.1,1,0
38.0,578,0.68,1,23.4,0,1
113.7,811,0.18,15,94.0,1,0
65.4,720,0.35,7,50.3,1,0
48.3,621,0.57,3,35.2,0,1
76.0,743,0.30,8,56.2,1,0
40.2,588,0.64,1,25.8,0,1
103.3,795,0.21,12,83.2,1,0
60.7,704,0.38,6,47.3,1,0
45.3,607,0.59,2,32.3,0,1
84.0,759,0.27,10,64.0,1,0
36.9,571,0.69,1,22.1,0,1
121.9,822,0.16,17,107.6,1,0
67.3,727,0.33,7,52.0,1,0
49.7,626,0.56,3,36.6,0,1
78.8,751,0.29,9,58.7,1,0
41.5,593,0.63,2,27.0,0,1
108.6,801,0.19,14,88.8,1,0
63.3,714,0.36,6,48.9,1,0
47.5,620,0.57,3,34.6,0,1
80.8,756,0.28,9,60.9,1,0
38.4,580,0.67,1,24.1,0,1
116.0,815,0.17,16,99.1,1,0
66.0,723,0.34,7,50.8,1,0
48.7,623,0.57,3,35.6,0,1
75.3,742,0.30,8,55.2,1,0
40.0,586,0.65,1,25.5,0,1
100.9,792,0.21,12,80.4,1,0
60.9,705,0.37,6,47.4,1,0
46.0,612,0.58,3,33.0,0,1
85.0,760,0.27,11,65.1,1,0
37.3,573,0.68,1,22.5,0,1
118.8,818,0.17,16,103.8,1,0
67.6,728,0.33,7,52.4,1,0
49.9,627,0.56,3,36.8,0,1
79.0,752,0.29,9,58.9,1,0
41.2,591,0.64,2,26.5,0,1
105.6,797,0.20,13,85.7,1,0
61.9,709,0.37,6,48.1,1,0
46.7,616,0.58,3,33.7,0,1
82.2,757,0.28,10,62.3,1,0
37.8,576,0.68,1,23.1,0,1
112.5,810,0.18,15,92.7,1,0
65.0,719,0.35,7,49.9,1,0
48.0,621,0.57,3,34.9,0,1
75.5,742,0.30,8,55.6,1,0
39.7,584,0.65,1,25.2,0,1
102.3,793,0.21,12,82.0,1,0
60.2,702,0.38,6,46.9,1,0
44.8,604,0.60,2,31.7,0,1
83.1,758,0.27,10,63.1,1,0
36.4,568,0.70,1,21.4,0,1
120.2,820,0.16,17,105.5,1,0
66.7,725,0.33,7,51.5,1,0
49.2,624,0.56,3,36.1,0,1
78.2,750,0.29,9,58.1,1,0
40.9,589,0.64,2,26.1,0,1
106.9,798,0.19,13,86.4,1,0
62.7,712,0.36,6,48.6,1,0
47.0,618,0.58,3,34.2,0,1
81.0,756,0.28,10,61.0,1,0
38.0,577,0.68,1,23.5,0,1
114.1,812,0.18,15,94.5,1,0
65.5,720,0.35,7,50.4,1,0
48.3,621,0.57,3,35.2,0,1
76.1,743,0.30,8,56.3,1,0
40.2,587,0.65,1,25.8,0,1
103.5,795,0.20,13,83.7,1,0
61.4,706,0.37,6,47.7,1,0
46.4,614,0.58,3,33.4,0,1
84.1,759,0.27,10,64.1,1,0
37.3,573,0.69,1,22.6,0,1
119.5,819,0.17,16,104.7,1,0
67.9,728,0.32,8,52.8,1,0
50.2,627,0.56,3,37.1,0,1
80.0,753,0.28,9,59.9,1,0
41.8,594,0.63,2,27.5,0,1
106.5,798,0.20,13,86.1,1,0
62.4,711,0.36,6,48.4,1,0
46.9,617,0.58,3,33.9,0,1
81.9,757,0.28,10,62.0,1,0
37.9,577,0.68,1,23.3,0,1
113.4,811,0.18,15,93.6,1,0
65.3,720,0.35,7,50.2,1,0
48.2,621,0.57,3,35.1,0,1
75.9,743,0.30,8,56.1,1,0
40.1,587,0.64,1,25.7,0,1
103.0,794,0.21,12,82.9,1,0
60.6,703,0.38,6,47.2,1,0
45.2,606,0.59,2,32.2,0,1
83.7,759,0.27,10,63.7,1,0
36.8,570,0.69,1,22.0,0,1
121.6,821,0.16,17,107.3,1,0
67.2,726,0.33,7,51.9,1,0
49.6,626,0.56,3,36.5,0,1
78.7,751,0.29,9,58.6,1,0
41.4,592,0.63,2,26.9,0,1
108.3,800,0.19,14,88.5,1,0
63.2,714,0.36,6,48.8,1,0
47.4,620,0.57,3,34.5,0,1
80.7,755,0.28,9,60.8,1,0
38.3,579,0.67,1,24.0,0,1
115.7,814,0.17,16,98.8,1,0
65.9,722,0.34,7,50.7,1,0
48.6,622,0.57,3,35.5,0,1
75.2,742,0.30,8,55.1,1,0
39.9,585,0.65,1,25.4,0,1
100.6,792,0.21,12,80.1,1,0
60.8,704,0.37,6,47.3,1,0
45.9,611,0.58,3,32.9,0,1
84.7,760,0.27,10,64.7,1,0
37.2,572,0.68,1,22.4,0,1
118.5,817,0.17,16,103.5,1,0
67.5,727,0.33,7,52.3,1,0
49.8,626,0.56,3,36.7,0,1
78.9,752,0.29,9,58.8,1,0
41.1,590,0.64,2,26.4,0,1
105.3,796,0.20,13,85.4,1,0
61.8,708,0.37,6,48.0,1,0
46.6,615,0.58,3,33.6,0,1
81.9,757,0.28,10,61.9,1,0
37.7,575,0.68,1,23.0,0,1
112.2,809,0.18,15,92.4,1,0
64.9,718,0.35,7,49.8,1,0
47.9,620,0.57,3,34.8,0,1
75.4,742,0.30,8,55.5,1,0
39.6,583,0.65,1,25.1,0,1
102.0,793,0.21,12,81.7,1,0
60.1,701,0.38,6,46.8,1,0
44.7,603,0.60,2,31.6,0,1
82.8,758,0.27,10,62.8,1,0
36.3,567,0.70,1,21.3,0,1
119.9,819,0.16,17,105.1,1,0
66.6,724,0.33,7,51.4,1,0
49.1,624,0.56,3,36.0,0,1
78.1,750,0.29,9,58.0,1,0
40.8,588,0.64,2,26.0,0,1
106.6,798,0.19,13,86.1,1,0
62.6,711,0.36,6,48.5,1,0
