transaction_id,customer_id,product_id,sales_amount,transaction_date
1119,,113,398.85,2023-11-02
1120,23,100,167.35,2023-11-05
1121,15,116,445.70,2023-11-08
1122,33,105,223.95,2023-11-10
1123,8,111,334.80,2023-11-12
1124,,107,189.45,2023-11-15
1125,15,114,412.60,2023-11-18
1126,23,102,256.90,2023-11-20
1127,19,119,378.25,2023-11-23
1128,15,108,198.50,2023-11-25
1129,8,115,467.85,2023-11-28
1130,,101,234.70,2023-11-30
1131,23,106,312.45,2023-12-02
1132,15,118,189.90,2023-12-05
1133,42,104,423.60,2023-12-08
1134,8,110,267.35,2023-12-10
1135,,112,356.80,2023-12-12
1136,15,103,178.95,2023-12-15
1137,23,120,445.50,2023-12-18
1138,12,109,223.70,2023-12-20
1139,15,100,334.85,2023-12-23
1140,8,117,198.40,2023-12-25
1141,,105,412.95,2023-12-27
1142,23,113,267.60,2023-12-28
1143,15,107,378.25,2023-12-29
1144,31,111,189.80,2023-12-30
1145,8,106,456.70,2023-12-31
1146,15,119,234.50,2023-01-08
1147,23,102,312.85,2023-02-14
1148,,115,189.65,2023-03-19
1149,15,108,423.40,2023-04-26
1150,8,104,267.90,2023-05-17
1151,23,110,356.75,2023-06-11
1152,,101,198.30,2023-07-22
1153,15,116,445.85,2023-08-13
1154,23,105,223.50,2023-09-07
1155,8,112,334.65,2023-10-19
1156,,118,189.95,2023-11-24
1157,15,103,412.70,2023-12-16
1158,23,120,267.45,2023-01-31
1159,8,109,378.90,2023-03-11
1160,15,100,198.75,2023-05-29
1161,,114,456.30,2023-07-04
1162,23,107,234.85,2023-08-27
1163,15,111,312.60,2023-10-09
1164,8,106,189.50,2023-11-14
1165,,119,423.95,2023-12-06
1166,15,102,267.80,2023-02-19
1167,23,115,356.40,2023-04-13
1168,8,108,198.65,2023-06-24
1169,15,104,445.75,2023-08-06
1170,23,110,223.90,2023-09-17
1171,,101,334.50,2023-11-01
1172,15,117,189.85,2023-12-21
1173,23,105,412.65,2023-01-16
1174,8,113,267.35,2023-03-07
1175,15,120,378.80,2023-05-11
1176,,106,198.95,2023-07-19
1177,23,109,456.40,2023-09-28
1178,15,100,234.70,2023-11-09
1179,8,116,312.85,2023-12-14
1180,23,104,189.60,2023-02-06
1181,15,112,423.50,2023-04-17
1182,,108,267.90,2023-06-29
1183,23,115,356.75,2023-08-21
1184,15,101,198.45,2023-10-03
1185,8,119,445.60,2023-11-26
1186,23,103,223.85,2023-12-11
1187,15,110,334.70,2023-01-24
1188,,107,189.50,2023-03-17
1189,23,114,412.90,2023-05-22
1190,15,102,267.35,2023-07-27
1191,8,118,378.65,2023-09-15
1192,23,106,198.80,2023-11-19
1193,15,120,456.45,2023-12-24
1194,,109,234.95,2023-02-11
1195,23,100,312.70,2023-04-22
1196,15,117,189.85,2023-06-16
1197,8,105,423.55,2023-08-19
1198,23,111,267.40,2023-10-14
1199,15,104,356.90,2023-12-02
1200,8,113,198.75,2023-12-31
