transaction_id|customer_id|transaction_date|amount|product_category|payment_method|status|store_location
TXN000049|CUST94468|2024-01-15 16:44:51|185.99||Debit Card|Completed|Chicago
TXN000050|CUST05579|2024-01-15 16:47:17|1290.00|Electronics|Credit Card|Completed|Houston
TXN000051|CUST16680|2024-01-15 16:50:42|78.25|Books|Apple Pay|Completed|New York
TXN000052|CUST27791|2024-01-15 16:53:08|425.80|Home & Garden|PayPal|Completed|
TXN000053|CUST38802|2024-01-15 16:56:33|312.50|Sports|Debit Card|Completed|Phoenix
TXN000054|CUST49913|2024-01-15 16:59:47|64.90|Food & Beverage|Cash|Completed|Los Angeles
TXN000055|CUST51024|2024-01-15 17:02:15|2200.00|Electronics|Credit Card|Pending|Chicago
TXN000056|CUST62135|2024-01-15 17:05:38|195.40|Clothing|Debit Card|Completed|Houston
TXN000057|CUST73246|2024-01-15 17:08:56|88.75||Apple Pay|Completed|
TXN000058|CUST84357|2024-01-15 17:11:24|650.00|Home & Garden|PayPal|Completed|New York
TXN000059|CUST95468|2024-01-15 17:14:49|124.30|Books|Cash|Completed|Phoenix
TXN000060|CUST06579|2024-01-15 17:17:13|985.00|Sports|Credit Card|Completed|Los Angeles
TXN000061|CUST17680|2024-01-15 17:20:41|52.60|Food & Beverage|Debit Card|Completed|
TXN000062|CUST28791|2024-01-15 17:23:05|1575.00|Electronics|Apple Pay|Completed|Chicago
TXN000063|CUST39802|2024-01-15 17:26:32|275.90|Clothing|PayPal|Cancelled|Houston
TXN000064|CUST40913|2024-01-15 17:29:58|98.50||Cash|Completed|New York
TXN000065|CUST52024|2024-01-15 17:32:22|4250.00|Electronics|Credit Card|Completed|Phoenix
TXN000066|CUST63135|2024-01-15 17:35:47|345.60|Home & Garden|Debit Card|Completed|Los Angeles
TXN000067|CUST74246|2024-01-15 17:38:14|112.80|Books|Apple Pay|Completed|
TXN000068|CUST85357|2024-01-15 17:41:39|580.00|Sports|PayPal|Completed|Chicago
TXN000069|CUST96468|2024-01-15 17:44:03|69.95|Food & Beverage|Cash|Completed|Houston
TXN000070|CUST07579|2024-01-15 17:47:28|1840.00|Clothing|Credit Card|Completed|New York
