id,value_a,value_b
161,93,42
162,37.2,64.8
163,84,91
164,27.9,55.3
165,71,78
166,59.4,90.7
167,95,35
168,32.8,71.4
169,77,63
170,16.3,97.8
171,63,49
172,52.6,82.5
173,88,68
174,44.1,38.9
175,80,56
176,30.7,95.3
177,73,84
178,57.9,26.6
179,91,72
180,23.4,61.1
181,69,87
182,48.2,53.4
183,86,79
184,39.6,99.7
185,75,45
186,25.1,68.2
187,70,92
188,54.5,36.8
189,90,64
190,42.9,81.5
191,83,58
192,19.8,74.9
193,66,96
194,53.2,47.3
195,89,85
196,36.7,62.6
197,78,70
198,28.4,98.1
199,72,52
200,49.6,87.8
201,85,76
202,41.1,33.2
203,77,89
204,15.9,55.7
205,64,43
206,51.3,79.4
207,87,93
208,38.8,28.9
209,74,66
210,26.5,94.6
211,69,51
212,56.9,72.8
213,92,84
214,33.4,59.1
215,79,67
216,22.7,96.3
217,65,48
218,54.1,83.7
219,88,75
220,45.6,40.2
221,81,62
222,31.9,87.5
223,73,91
224,58.3,35.8
225,94,78
226,27.6,63.9
227,70,86
228,50.2,99.4
229,86,44
230,42.8,71.6
231,79,59
232,19.5,95.8
233,67,82
234,55.7,46.1
235,90,74
236,37.4,68.5
237,76,97
238,24.6,54.3
239,68,69
240,53.9,88.6
241,89,56
242,46.3,32.7
243,82,93
244,21.8,77.9
245,65,85
246,52.4,41.4
247,87,73
248,39.1,98.8
249,74,60
250,29.9,66.2
251,71,92
252,57.6,38.5
253,93,81
254,34.2,64.1
255,78,47
256,17.4,89.3
257,63,75
258,50.8,53.6
259,86,88
260,43.5,29.8
261,80,65
262,26.2,96.7
263,69,52
264,56.4,84.2
265,91,70
266,32.1,45.4
267,75,79
268,48.7,91.9
269,84,37
270,40.9,72.5
271,77,94
272,23.2,58.8
273,70,46
274,59.8,87.1
275,95,83
276,35.5,31.3
277,81,68
278,18.1,99.5
279,64,54
280,51.6,76.4
281,88,90
282,44.8,42.7
283,83,61
284,30.4,95.9
285,72,77
286,57.2,26.1
287,90,85
288,38.7,63.3
289,76,49
290,25.3,98.6
291,67,92
292,54.9,35.9
293,89,74
294,47.5,80.2
295,82,66
296,20.2,73.4
297,68,96
298,53.4,48.8
299,86,82
300,41.7,57.5
301,79,70
302,28.1,94.1
303,71,58
304,60.3,89.7
305,93,45
306,36.9,65.4
307,78,91
308,15.6,54.2
309,62,43
310,49.4,78.8
311,85,87
312,42.6,30.5
313,80,69
314,27.8,95.2
315,73,56
316,55.1,83.9
317,90,76
318,33.7,60.6
319,77,68
320,21.4,97.3
321,66,51
322,52.9,86.5
323,87,79
324,46.2,39.1
325,81,64
326,19.9,93.8
327,65,47
328,54.6,75.7
329,88,92
330,37.3,28.4
331,74,84
332,24.8,67.9
333,69,50
334,58.5,90.6
335,94,72
336,45.1,44.3
337,82,61
338,31.6,88.4
339,73,95
340,50.9,34.7
341,86,78
342,43.8,99.1
343,79,53
344,22.5,71.8
345,68,87
346,56.7,47.6
347,91,75
348,34.4,62.2
349,77,89
350,17.2,55.9
351,63,46
352,51.1,80.5
353,85,93
354,40.6,27.3
355,78,66
356,26.9,94.7
357,70,52
358,57.8,85.3
359,92,71
360,33.3,59.8
361,76,83
362,23.9,96.4
363,67,49
364,54.2,74.1
365,88,86
366,48.4,41.9
367,83,63
368,20.7,98.2
369,66,77
370,53.6,36.6
371,89,69
372,45.9,92.5
373,81,58
374,32.5,65.8
375,74,94
376,59.1,29.2
377,93,81
378,38.4,73.6
379,79,56
380,25.6,99.8
381,68,44
382,52.1,87.9
383,86,75
384,44.7,32.1
385,80,62
386,21.3,95.6
387,65,90
388,56.2,48.4
389,91,84
390,37.8,63.7
391,77,70
392,16.5,89.2
393,62,54
394,49.7,76.8
395,85,88
396,43.2,40.6
397,79,67
398,28.9,93.4
399,72,51
400,58.6,82.7
401,94,79
402,35.2,57.9
403,78,96
404,24.4,46.5
405,69,73
406,55.9,91.1
407,90,60
408,42.3,34.8
409,76,85
410,19.1,68.3
411,64,49
412,51.8,74.6
413,87,92
414,39.5,28.7
415,75,66
416,27.2,97.9
417,70,53
418,56.5,88.8
419,91,78
420,33.9,44.1
421,77,71
422,22.1,95.5
423,66,87
424,54.7,38.3
425,89,83
426,46.8,99.2
427,82,59
428,31.4,72.4
429,73,94
430,59.2,26.9
431,93,69
432,36.6,64.5
433,78,91
434,15.8,56.2
435,63,47
436,50.3,79.7
437,86,85
438,44.9,31.8
439,80,68
440,26.7,96.1
441,69,54
442,57.4,84.9
443,92,76
444,34.1,60.3
445,77,82
446,23.6,98.7
447,65,50
448,53.8,73.5
449,88,89
450,47.1,42.4
451,81,65
452,20.9,94.8
453,67,48
454,55.3,77.2
455,90,93
456,38.2,29.5
457,74,61
458,25.8,86.6
459,70,92
460,58.9,35.1
461,94,75
462,41.5,71.3
463,79,57
464,18.7,99.9
465,64,45
466,52.6,88.1
467,87,70
468,45.4,39.7
469,82,84
470,32.2,67.5
471,73,96
472,60.8,27.6
473,91,63
474,37.9,74.8
475,76,52
476,24.1,90.4
477,68,86
478,56.8,46.9
479,89,78
480,43.4,62.8
481,80,95
482,21.6,55.4
483,66,43
484,53.1,81.7
485,85,89
486,40.3,30.9
487,79,69
488,27.5,97.5
489,71,56
490,58.2,85.6
491,92,72
492,35.8,59.4
493,78,87
494,22.8,96.8
495,67,51
496,54.4,75.3
497,88,83
498,48.9,41.6
499,83,64
500,19.4,93.7
501,65,77
502,52.3,37.2
503,86,91
504,45.7,98.9
505,81,60
506,33.1,66.1
507,74,94
508,59.6,28.3
509,93,82
510,38.9,73.9
511,77,58
512,26.4,99.3
513,69,46
514,56.1,87.4
515,90,75
516,43.6,33.6
517,79,68
518,20.1,95.1
519,64,90
520,51.4,47.8
521,86,84
522,44.2,64.2
523,80,71
524,31.8,89.5
525,72,55
526,58.7,76.1
527,93,88
528,36.3,57.6
529,78,96
530,25.9,45.8
531,69,73
532,55.6,92.3
533,89,61
534,42.1,35.4
535,76,85
536,18.3,69.7
537,63,50
538,50.5,75.9
539,85,93
540,39.8,29.1
541,75,67
542,28.6,98.4
543,70,54
544,57.1,83.2
545,91,79
546,34.7,45.5
547,77,72
548,23.3,96.6
549,66,88
550,54.8,39.8
551,89,84
552,47.6,99.6
553,82,60
554,32.9,73.1
555,73,95
556,60.2,27.8
557,92,70
558,37.5,65.3
559,78,92
560,16.9,57.1
561,62,48
562,49.2,80.8
563,84,86
564,41.8,32.4
565,79,69
566,27.4,97.1
567,69,55
568,56.6,85.5
569,90,77
570,33.2,61.9
571,76,83
572,22.9,99.4
573,65,52
574,53.3,74.7
575,87,90
576,46.5,43.3
577,81,66
578,19.6,94.2
579,67,49
580,55.8,78.6
581,91,94
582,38.1,30.2
583,74,62
584,26.3,87.8
585,70,93
586,58.4,36.5
587,93,76
588,35.9,72.2
589,78,58
590,24.7,91.6
591,68,87
592,52.8,48.1
593,86,79
594,44.4,63.5
595,80,96
596,31.3,56.6
597,73,44
598,60.9,82.4
599,92,89
600,37.6,28.8
601,77,68
602,17.8,98.3
603,63,54
604,50.1,77.9
605,85,85
606,43.7,41.2
607,79,64
608,26.6,95.7
609,70,91
610,57.9,47.4
611,91,75
612,34.3,62.7
613,76,88
614,23.1,90.9
615,66,53
616,54.5,86.2
617,88,81
618,48.6,39.4
619,83,69
620,20.8,93.6
621,65,78
622,53.7,36.1
623,87,92
624,45.2,99.7
625,81,61
626,32.6,67.8
627,74,95
628,59.3,29.7
629,92,83
630,38.5,74.4
631,77,59
632,25.2,90.1
633,69,47
634,56.3,88.3
635,89,76
636,43.9,34.9
637,79,70
638,21.9,96.5
639,64,91
640,51.7,49.2
641,85,84
642,40.2,65.6
643,78,72
644,28.3,89.8
645,71,56
646,58.1,75.5
647,93,87
648,36.8,58.3
649,77,97
650,24.5,46.7
651,68,74
652,55.4,93.5
653,90,62
654,42.7,35.6
655,76,86
656,19.2,70.9
657,63,51
658,50.6,76.3
659,86,94
660,44.1,30.3
661,80,68
662,27.1,97.6
663,69,55
664,57.6,84.1
665,91,78
666,33.8,60.8
667,77,82
668,22.4,99.1
669,66,49
670,54.9,73.8
671,88,90
672,47.8,42.6
673,82,65
674,31.5,95.3
675,73,48
676,59.7,77.4
677,93,93
678,37.1,29.9
679,75,63
680,25.4,88.7
681,70,92
682,58.8,37.8
683,94,77
684,41.3,71.7
685,79,59
686,18.9,91.2
687,64,46
688,52.2,89.4
689,87,71
690,45.5,40.8
691,81,85
692,32.8,68.9
693,73,97
694,60.4,28.1
695,91,64
696,37.7,75.2
697,76,53
698,24.3,98.8
699,68,87
700,56.9,47.1
701,89,79
702,43.1,63.4
703,80,96
704,21.7,56.3
705,66,44
706,53.5,82.6
707,85,90
708,40.7,31.7
709,79,70
710,27.9,98.9
711,71,57
712,58.3,86.8
713,92,73
714,35.4,60.1
715,78,88
716,22.6,97.2
717,67,52
718,55.2,76.5
719,89,84
720,48.3,42.9
721,83,67
722,19.8,94.4
723,65,78
724,52.7,38.6
725,86,92
726,45.9,99.5
727,81,62
728,33.6,67.3
729,74,95
730,59.8,27.4
731,93,84
732,38.2,74.1
733,77,60
734,26.1,90.7
735,69,48
736,56.7,88.9
737,90,77
738,43.3,35.2
739,79,71
740,20.6,96.9
741,64,92
742,51.9,49.6
743,85,85
744,40.8,66.4
745,78,73
746,28.7,90.2
747,71,57
748,58.6,76.7
749,93,88
750,36.2,59.7
751,77,98
752,24.9,47.9
753,68,75
754,55.1,94.3
755,89,63
756,42.4,36.8
757,76,87
758,18.6,71.2
759,63,52
760,50.8,77.5
761,86,95
762,44.6,31.1
763,80,69
764,27.3,98.1
765,69,56
766,57.2,85.4
767,91,79
768,34.9,61.6
769,77,83
770,23.7,99.8
771,66,50
772,54.1,74.9
773,88,91
774,47.4,43.7
775,82,66
776,31.1,96.6
777,73,49
778,59.9,78.3
779,93,94
780,37.6,30.5
781,75,64
782,25.8,89.1
783,70,93
784,58.5,38.4
785,94,78
786,41.9,72.8
787,79,60
788,19.3,92.9
789,64,47
790,52.4,90.6
791,87,72
792,45.1,41.5
793,81,86
794,32.4,69.3
795,73,98
796,60.6,28.6
797,91,65
798,37.3,76.1
799,76,54
800,24.2,91.5
801,68,88
802,56.4,48.7
803,89,80
804,43.8,64.8
805,80,97
806,21.5,57.4
807,66,45
808,53.9,83.7
809,85,91
810,40.1,32.3
811,79,71
812,27.7,99.2
813,71,58
814,58.9,87.6
815,92,74
816,35.6,61.4
817,78,89
818,22.3,98.5
819,67,53
820,55.7,77.8
821,89,85
822,48.1,43.1
823,83,68
824,19.7,95.8
825,65,79
826,52.5,39.9
827,86,93
828,45.3,91.8
829,81,63
830,33.4,68.6
831,74,96
832,59.4,28.9
833,93,85
834,38.7,75.3
835,77,61
836,26.8,91.9
837,69,49
838,56.2,89.5
839,90,78
840,43.5,36.7
841,79,72
842,20.4,97.7
843,64,93
844,51.3,50.4
845,85,86
846,40.4,67.2
847,78,74
848,28.2,91.4
849,71,58
850,58.1,77.9
851,93,89
852,36.9,60.9
853,77,99
854,24.6,48.2
855,68,76
856,55.8,95.1
857,89,64
858,42.2,37.5
859,76,88
860,18.4,72.6
861,63,53
862,50.4,78.7
863,86,96
864,44.3,32.8
865,80,70
866,27.6,99.6
867,69,57
868,57.8,86.2
869,91,80
870,34.5,62.3
871,77,84
872,23.4,91.7
873,66,51
874,54.7,76.1
875,88,92
876,47.2,44.4
877,82,67
878,31.9,97.3
879,73,50
880,59.5,79.5
881,93,95
882,37.2,31.6
883,75,65
884,25.5,90.8
885,70,94
886,58.2,39.2
887,94,79
888,41.6,73.4
889,79,61
890,19.9,93.3
891,64,48
892,52.1,91.8
893,87,73
894,45.8,42.1
895,81,87
896,32.3,70.5
897,73,99
898,60.1,29.4
899,91,66
900,37.4,77.3
901,76,55
902,24.8,92.7
903,68,89
904,56.6,49.1
905,89,81
906,43.4,65.9
907,80,98
908,21.2,58.6
909,66,46
910,53.6,84.8
911,85,92
912,40.9,33.5
913,79,72
914,27.8,91.3
915,71,59
916,58.4,88.4
917,92,75
918,35.3,62.7
919,78,90
920,22.9,99.7
921,67,54
922,55.9,78.1
923,89,86
924,48.7,44.8
925,83,69
926,19.5,96.4
927,65,80
928,52.9,40.3
929,86,94
930,45.6,92.2
931,81,64
932,33.7,69.8
933,74,97
934,59.1,29.6
935,93,86
936,38.3,76.5
937,77,62
938,26.5,92.4
939,69,50
940,56.8,90.3
941,90,79
942,43.2,37.9
943,79,73
944,20.3,98.6
945,64,94
946,51.6,51.8
947,85,87
948,40.5,68.1
949,78,75
950,28.8,92.6
951,71,59
952,58.7,79.2
953,93,90
954,36.4,61.5
955,77,100
956,24.1,49.3
957,68,77
958,55.3,96.2
959,89,65
960,42.9,38.7
961,76,89
962,18.2,73.4
963,63,54
964,50.9,79.9
965,86,97
966,44.8,33.4
967,80,71
968,27.2,91.1
969,69,58
970,57.3,87.3
971,91,81
972,34.6,63.8
973,77,85
974,23.8,92.9
975,66,52
976,54.3,77.4
977,88,93
978,47.9,45.2
979,82,68
980,31.7,98.7
981,73,51
982,59.2,80.6
983,93,96
984,37.8,32.2
985,75,66
986,25.1,91.5
987,70,95
988,58.9,40.6
989,94,80
990,41.2,74.7
991,79,62
992,19.6,94.5
993,64,49
994,52.8,92.1
995,87,74
996,45.4,43.6
997,81,88
998,32.9,71.9
999,73,100
1000,60.7,30.8
