timestamp,account_id,amount,transaction_type
2024-01-16T17:00:00,ACC012,150.50,DEBIT
2024-01-16T17:15:00,ACC004,75.25,CREDIT
2024-01-16T17:30:00,ACC006,100.01,CREDIT
2024-01-16T17:45:00,ACC009,250.50,CREDIT
2024-01-17T09:00:00,ACC002,200.999,CREDIT
2024-01-17T09:15:00,ACC010,150.50,CREDIT
2024-01-17T09:30:00,ACC007,75.333,DEBIT
2024-01-17T09:45:00,ACC003,300.25,DEBIT
2024-01-17T10:00:00,ACC005,100.99,CREDIT
2024-01-17T10:15:00,ACC001,50.001,DEBIT
2024-01-17T10:30:00,ACC011,200.50,CREDIT
2024-01-17T10:45:00,ACC008,150.99,DEBIT
2024-01-17T11:00:00,ACC012,250.333,CREDIT
2024-01-17T11:15:00,ACC004,100.50,DEBIT
2024-01-17T11:30:00,ACC006,75.999,DEBIT
2024-01-17T11:45:00,ACC009,300.25,DEBIT
2024-01-17T12:00:00,ACC002,100.01,DEBIT
2024-01-17T12:15:00,ACC010,200.333,DEBIT
2024-01-17T12:30:00,ACC007,300.50,CREDIT
2024-01-17T12:45:00,ACC003,150.99,CREDIT
2024-01-17T13:00:00,ACC005,250.50,DEBIT
2024-01-17T13:15:00,ACC001,100.25,CREDIT
2024-01-17T13:30:00,ACC011,75.999,DEBIT
2024-01-17T13:45:00,ACC008,200.01,CREDIT
2024-01-17T14:00:00,ACC012,100.50,DEBIT
2024-01-17T14:15:00,ACC004,300.333,CREDIT
2024-01-17T14:30:00,ACC006,150.50,CREDIT
2024-01-17T14:45:00,ACC009,100.99,CREDIT
2024-01-17T15:00:00,ACC002,250.25,CREDIT
2024-01-17T15:15:00,ACC010,100.999,CREDIT
2024-01-17T15:30:00,ACC007,200.01,DEBIT
2024-01-17T15:45:00,ACC003,75.50,DEBIT
2024-01-17T16:00:00,ACC005,300.333,CREDIT
2024-01-17T16:15:00,ACC001,150.99,DEBIT
2024-01-17T16:30:00,ACC011,250.50,DEBIT
2024-01-17T16:45:00,ACC008,100.25,DEBIT
2024-01-17T17:00:00,ACC012,200.999,DEBIT
2024-01-17T17:15:00,ACC004,150.50,DEBIT
2024-01-17T17:30:00,ACC006,200.333,DEBIT
2024-01-17T17:45:00,ACC009,75.01,DEBIT
2024-01-18T09:00:00,ACC002,300.99,DEBIT
2024-01-18T09:15:00,ACC010,150.25,DEBIT
2024-01-18T09:30:00,ACC007,100.50,DEBIT
2024-01-18T09:45:00,ACC003,250.333,CREDIT
2024-01-18T10:00:00,ACC005,200.01,DEBIT
2024-01-18T10:15:00,ACC001,75.50,CREDIT
2024-01-18T10:30:00,ACC011,300.999,CREDIT
2024-01-18T10:45:00,ACC008,150.33,CREDIT
2024-01-18T11:00:00,ACC012,100.25,CREDIT
2024-01-18T11:15:00,ACC004,200.99,CREDIT
2024-01-18T11:30:00,ACC006,50.50,CREDIT
2024-01-18T11:45:00,ACC009,150.333,CREDIT
2024-01-18T12:00:00,ACC002,100.50,CREDIT
2024-01-18T12:15:00,ACC010,75.01,CREDIT
2024-01-18T12:30:00,ACC007,250.999,CREDIT
2024-01-18T12:45:00,ACC003,100.25,DEBIT
2024-01-18T13:00:00,ACC005,150.50,CREDIT
2024-01-18T13:15:00,ACC001,200.333,DEBIT
2024-01-18T13:30:00,ACC011,100.01,DEBIT
2024-01-18T13:45:00,ACC008,75.99,DEBIT
2024-01-18T14:00:00,ACC012,300.50,DEBIT
2024-01-18T14:15:00,ACC004,50.25,DEBIT
2024-01-18T14:30:00,ACC006,100.999,DEBIT
2024-01-18T14:45:00,ACC009,200.50,DEBIT
2024-01-18T15:00:00,ACC002,150.01,DEBIT
2024-01-18T15:15:00,ACC010,250.333,DEBIT
2024-01-18T15:30:00,ACC007,100.99,DEBIT
2024-01-18T15:45:00,ACC003,75.25,CREDIT
2024-01-18T16:00:00,ACC005,200.999,DEBIT
2024-01-18T16:15:00,ACC001,100.50,DEBIT
2024-01-18T16:30:00,ACC011,150.25,CREDIT
2024-01-18T16:45:00,ACC008,250.01,CREDIT
2024-01-18T17:00:00,ACC012,75.333,CREDIT
2024-01-18T17:15:00,ACC004,100.99,DEBIT
2024-01-18T17:30:00,ACC006,300.50,CREDIT
2024-01-18T17:45:00,ACC009,150.25,CREDIT
