timestamp,source_ip,destination_port,protocol,status,bytes_transferred
2024-01-16 00:56:38,10.0.1.201,9999,TCP,CLOSED,0
2024-01-16 01:00:03,198.51.100.123,443,TCP,ESTABLISHED,45678
2024-01-16 01:03:29,127.0.0.1,5555,TCP,ESTABLISHED,7890
2024-01-16 01:06:54,172.17.0.24,8888,TCP,SYN_SENT,0
2024-01-16 01:10:20,192.168.1.212,22,TCP,ESTABLISHED,10123
2024-01-16 01:13:45,10.0.2.234,80,TCP,TIME_WAIT,14567
2024-01-16 01:17:11,127.0.0.1,6666,TCP,ESTABLISHED,8901
2024-01-16 01:20:36,203.0.113.167,443,TCP,ESTABLISHED,38901
2024-01-16 01:24:02,172.17.0.27,7777,TCP,CLOSED,0
2024-01-16 01:27:27,127.0.0.1,4444,TCP,ESTABLISHED,9012
2024-01-16 01:30:53,10.0.3.56,9999,TCP,CLOSED,0
2024-01-16 01:34:18,198.51.100.189,80,UDP,CLOSED,0
2024-01-16 01:37:44,127.0.0.1,5555,TCP,ESTABLISHED,10234
2024-01-16 01:41:09,192.168.1.245,22,TCP,ESTABLISHED,11345
2024-01-16 01:44:35,172.17.0.30,443,TCP,ESTABLISHED,42345
2024-01-16 01:48:00,10.0.1.89,8888,TCP,CLOSED,0
2024-01-16 01:51:26,127.0.0.1,6666,TCP,ESTABLISHED,12456
2024-01-16 01:54:51,203.0.113.234,80,TCP,ESTABLISHED,22678
2024-01-16 01:58:17,172.17.0.33,7777,TCP,SYN_SENT,0
2024-01-16 02:01:42,127.0.0.1,4444,TCP,ESTABLISHED,13567
2024-01-16 02:05:08,10.0.2.123,443,TCP,ESTABLISHED,47890
2024-01-16 02:08:33,198.51.100.245,9999,TCP,CLOSED,0
2024-01-16 02:11:59,127.0.0.1,5555,TCP,ESTABLISHED,14678
2024-01-16 02:15:24,192.168.1.78,22,TCP,TIME_WAIT,15789
2024-01-16 02:18:50,172.17.0.36,80,TCP,ESTABLISHED,25890
2024-01-16 02:22:15,10.0.3.167,8888,TCP,CLOSED,0
2024-01-16 02:25:41,127.0.0.1,4444,TCP,ESTABLISHED,16890
2024-01-16 02:29:06,203.0.113.78,443,TCP,ESTABLISHED,49012
