timestamp,concurrent_connections,timeout_failures,avg_connection_time_ms,rtt_latency_ms,handler_threads_busy,queue_depth,successful_connections,retry_attempts
2024-01-19 23:00:00,98,2,368,8,17,18,96,12
2024-01-20 00:00:00,85,1,298,7,15,11,84,6
2024-01-20 01:00:00,75,0,258,5,12,8,75,0
2024-01-20 02:00:00,68,0,235,4,11,6,68,0
2024-01-20 03:00:00,63,0,218,3,9,5,63,0
2024-01-20 04:00:00,59,0,208,3,8,3,59,0
2024-01-20 05:00:00,65,0,228,4,10,5,65,0
2024-01-20 06:00:00,88,2,465,10,18,22,86,12
2024-01-20 07:00:00,135,6,785,12,25,35,129,28
2024-01-20 08:00:00,210,11,1285,16,36,62,199,48
2024-01-20 09:00:00,285,19,1920,19,49,98,266,72
2024-01-20 10:00:00,320,23,2180,21,53,115,297,92
2024-01-20 11:00:00,295,20,2010,19,51,105,275,78
2024-01-20 12:00:00,245,15,1685,17,43,82,230,68
2024-01-20 13:00:00,265,17,1820,18,46,88,248,72
2024-01-20 14:00:00,280,18,1895,19,48,95,262,75
2024-01-20 15:00:00,305,21,2085,20,52,108,284,85
2024-01-20 16:00:00,290,19,1980,19,50,102,271,78
2024-01-20 17:00:00,235,14,1620,17,41,75,221,62
2024-01-20 18:00:00,175,8,935,13,28,45,167,38
2024-01-20 19:00:00,145,6,705,11,24,32,139,28
2024-01-20 20:00:00,115,4,525,9,20,25,111,22
2024-01-20 21:00:00,92,2,385,8,17,18,90,12
2024-01-20 22:00:00,78,1,305,7,14,12,77,6
2024-01-20 23:00:00,68,0,248,6,11,8,68,0
2024-01-21 00:00:00,62,0,225,5,10,6,62,0
2024-01-21 01:00:00,58,0,210,4,9,4,58,0
2024-01-21 02:00:00,55,0,202,3,8,3,55,0
2024-01-21 03:00:00,52,0,195,3,8,2,52,0
2024-01-21 04:00:00,50,0,188,2,7,2,50,0
2024-01-21 05:00:00,63,0,222,4,9,5,63,0
2024-01-21 06:00:00,85,2,445,9,18,20,83,10
2024-01-21 07:00:00,128,5,750,11,24,32,123,25
2024-01-21 08:00:00,198,10,1235,15,35,58,188,45
2024-01-21 09:00:00,268,17,1785,18,45,85,251,68
2024-01-21 10:00:00,302,21,2095,20,52,110,281,88
2024-01-21 11:00:00,285,19,1950,19,50,100,266,75
