gene_id,sample_id,expression_level,tissue_type,patient_group
GENE_16,SAMPLE_4,5.45,prostate,control
GENE_17,SAMPLE_4,5.91,prostate,control
GENE_18,SAMPLE_4,5.67,prostate,control
GENE_19,SAMPLE_4,5.12,prostate,control
GENE_20,SAMPLE_4,5.89,prostate,control
GENE_1,SAMPLE_5,6.23,breast,early_stage
GENE_2,SAMPLE_5,6.56,breast,early_stage
GENE_3,SAMPLE_5,6.89,breast,early_stage
GENE_4,SAMPLE_5,6.12,breast,early_stage
GENE_5,SAMPLE_5,6.45,breast,early_stage
GENE_6,SAMPLE_5,6.78,breast,early_stage
GENE_7,SAMPLE_5,6.01,breast,early_stage
GENE_8,SAMPLE_5,6.34,breast,early_stage
GENE_9,SAMPLE_5,6.67,breast,early_stage
GENE_10,SAMPLE_5,6.23,breast,early_stage
GENE_11,SAMPLE_5,6.89,breast,early_stage
GENE_12,SAMPLE_5,6.12,breast,early_stage
GENE_13,SAMPLE_5,6.45,breast,early_stage
GENE_14,SAMPLE_5,6.78,breast,early_stage
GENE_15,SAMPLE_5,6.23,breast,early_stage
GENE_16,SAMPLE_5,6.56,breast,early_stage
GENE_17,SAMPLE_5,6.01,breast,early_stage
GENE_18,SAMPLE_5,6.34,breast,early_stage
GENE_19,SAMPLE_5,6.67,breast,early_stage
GENE_20,SAMPLE_5,6.91,breast,early_stage
GENE_1,SAMPLE_6,7.89,lung,advanced_stage
GENE_2,SAMPLE_6,8.23,lung,advanced_stage
GENE_3,SAMPLE_6,7.56,lung,advanced_stage
GENE_4,SAMPLE_6,8.12,lung,advanced_stage
GENE_5,SAMPLE_6,7.78,lung,advanced_stage
GENE_6,SAMPLE_6,8.45,lung,advanced_stage
GENE_7,SAMPLE_6,7.67,lung,advanced_stage
GENE_8,SAMPLE_6,8.01,lung,advanced_stage
GENE_9,SAMPLE_6,7.89,lung,advanced_stage
GENE_10,SAMPLE_6,8.34,lung,advanced_stage
GENE_11,SAMPLE_6,7.56,lung,advanced_stage
GENE_12,SAMPLE_6,8.12,lung,advanced_stage
GENE_13,SAMPLE_6,7.91,lung,advanced_stage
GENE_14,SAMPLE_6,8.23,lung,advanced_stage
GENE_15,SAMPLE_6,7.67,lung,advanced_stage
GENE_16,SAMPLE_6,8.45,lung,advanced_stage
GENE_17,SAMPLE_6,7.78,lung,advanced_stage
GENE_18,SAMPLE_6,8.12,lung,advanced_stage
GENE_19,SAMPLE_6,7.89,lung,advanced_stage
GENE_20,SAMPLE_6,8.34,lung,advanced_stage
GENE_1,SAMPLE_7,5.34,colon,control
GENE_2,SAMPLE_7,5.67,colon,control
GENE_3,SAMPLE_7,5.12,colon,control
GENE_4,SAMPLE_7,5.89,colon,control
GENE_5,SAMPLE_7,5.45,colon,control
GENE_6,SAMPLE_7,5.78,colon,control
GENE_7,SAMPLE_7,5.23,colon,control
GENE_8,SAMPLE_7,5.56,colon,control
GENE_9,SAMPLE_7,5.91,colon,control
GENE_10,SAMPLE_7,5.34,colon,control
GENE_11,SAMPLE_7,5.67,colon,control
GENE_12,SAMPLE_7,5.12,colon,control
GENE_13,SAMPLE_7,5.89,colon,control
GENE_14,SAMPLE_7,5.45,colon,control
GENE_15,SAMPLE_7,5.78,colon,control
GENE_16,SAMPLE_7,5.23,colon,control
GENE_17,SAMPLE_7,5.56,colon,control
GENE_18,SAMPLE_7,5.91,colon,control
GENE_19,SAMPLE_7,5.34,colon,control
GENE_20,SAMPLE_7,5.67,colon,control
GENE_1,SAMPLE_8,6.45,prostate,early_stage
GENE_2,SAMPLE_8,6.12,prostate,early_stage
GENE_3,SAMPLE_8,6.78,prostate,early_stage
GENE_4,SAMPLE_8,6.34,prostate,early_stage
GENE_5,SAMPLE_8,6.01,prostate,early_stage
GENE_6,SAMPLE_8,6.67,prostate,early_stage
GENE_7,SAMPLE_8,6.23,prostate,early_stage
GENE_8,SAMPLE_8,6.89,prostate,early_stage
GENE_9,SAMPLE_8,6.45,prostate,early_stage
GENE_10,SAMPLE_8,6.12,prostate,early_stage
GENE_11,SAMPLE_8,6.78,prostate,early_stage
GENE_12,SAMPLE_8,6.34,prostate,early_stage
GENE_13,SAMPLE_8,6.56,prostate,early_stage
GENE_14,SAMPLE_8,6.91,prostate,early_stage
GENE_15,SAMPLE_8,6.23,prostate,early_stage
GENE_16,SAMPLE_8,6.67,prostate,early_stage
GENE_17,SAMPLE_8,6.45,prostate,early_stage
GENE_18,SAMPLE_8,6.12,prostate,early_stage
GENE_19,SAMPLE_8,6.78,prostate,early_stage
GENE_20,SAMPLE_8,6.34,prostate,early_stage
GENE_1,SAMPLE_9,8.01,breast,advanced_stage
GENE_2,SAMPLE_9,7.67,breast,advanced_stage
GENE_3,SAMPLE_9,8.34,breast,advanced_stage
GENE_4,SAMPLE_9,7.89,breast,advanced_stage
GENE_5,SAMPLE_9,8.23,breast,advanced_stage
GENE_6,SAMPLE_9,7.56,breast,advanced_stage
GENE_7,SAMPLE_9,8.12,breast,advanced_stage
GENE_8,SAMPLE_9,7.78,breast,advanced_stage
GENE_9,SAMPLE_9,8.45,breast,advanced_stage
GENE_10,SAMPLE_9,7.91,breast,advanced_stage
GENE_11,SAMPLE_9,8.23,breast,advanced_stage
GENE_12,SAMPLE_9,7.67,breast,advanced_stage
GENE_13,SAMPLE_9,8.01,breast,advanced_stage
GENE_14,SAMPLE_9,7.89,breast,advanced_stage
GENE_15,SAMPLE_9,8.34,breast,advanced_stage
GENE_16,SAMPLE_9,7.56,breast,advanced_stage
GENE_17,SAMPLE_9,8.12,breast,advanced_stage
GENE_18,SAMPLE_9,7.78,breast,advanced_stage
GENE_19,SAMPLE_9,8.45,breast,advanced_stage
GENE_20,SAMPLE_9,7.91,breast,advanced_stage
GENE_1,SAMPLE_10,5.56,lung,control
GENE_2,SAMPLE_10,5.23,lung,control
GENE_3,SAMPLE_10,5.89,lung,control
GENE_4,SAMPLE_10,5.45,lung,control
GENE_5,SAMPLE_10,5.12,lung,control
GENE_6,SAMPLE_10,5.78,lung,control
GENE_7,SAMPLE_10,5.34,lung,control
GENE_8,SAMPLE_10,5.67,lung,control
GENE_9,SAMPLE_10,5.91,lung,control
GENE_10,SAMPLE_10,5.23,lung,control
GENE_11,SAMPLE_10,5.56,lung,control
GENE_12,SAMPLE_10,5.89,lung,control
GENE_13,SAMPLE_10,5.45,lung,control
GENE_14,SAMPLE_10,5.12,lung,control
GENE_15,SAMPLE_10,5.78,lung,control
GENE_16,SAMPLE_10,5.34,lung,control
GENE_17,SAMPLE_10,5.67,lung,control
GENE_18,SAMPLE_10,5.91,lung,control
GENE_19,SAMPLE_10,5.23,lung,control
GENE_20,SAMPLE_10,5.56,lung,control
GENE_1,SAMPLE_11,6.67,colon,early_stage
GENE_2,SAMPLE_11,6.34,colon,early_stage
GENE_3,SAMPLE_11,6.89,colon,early_stage
GENE_4,SAMPLE_11,6.12,colon,early_stage
GENE_5,SAMPLE_11,6.45,colon,early_stage
GENE_6,SAMPLE_11,6.78,colon,early_stage
GENE_7,SAMPLE_11,6.23,colon,early_stage
GENE_8,SAMPLE_11,6.56,colon,early_stage
GENE_9,SAMPLE_11,6.91,colon,early_stage
GENE_10,SAMPLE_11,6.34,colon,early_stage
GENE_11,SAMPLE_11,6.67,colon,early_stage
GENE_12,SAMPLE_11,6.12,colon,early_stage
GENE_13,SAMPLE_11,6.45,colon,early_stage
GENE_14,SAMPLE_11,6.78,colon,early_stage
GENE_15,SAMPLE_11,6.23,colon,early_stage
GENE_16,SAMPLE_11,6.56,colon,early_stage
GENE_17,SAMPLE_11,6.89,colon,early_stage
GENE_18,SAMPLE_11,6.34,colon,early_stage
GENE_19,SAMPLE_11,6.67,colon,early_stage
GENE_20,SAMPLE_11,6.12,colon,early_stage
GENE_1,SAMPLE_12,7.78,prostate,advanced_stage
GENE_2,SAMPLE_12,8.12,prostate,advanced_stage
GENE_3,SAMPLE_12,7.45,prostate,advanced_stage
GENE_4,SAMPLE_12,8.23,prostate,advanced_stage
GENE_5,SAMPLE_12,7.67,prostate,advanced_stage
GENE_6,SAMPLE_12,8.01,prostate,advanced_stage
GENE_7,SAMPLE_12,7.89,prostate,advanced_stage
GENE_8,SAMPLE_12,8.34,prostate,advanced_stage
GENE_9,SAMPLE_12,7.56,prostate,advanced_stage
GENE_10,SAMPLE_12,8.12,prostate,advanced_stage
GENE_11,SAMPLE_12,7.78,prostate,advanced_stage
GENE_12,SAMPLE_12,8.45,prostate,advanced_stage
GENE_13,SAMPLE_12,7.67,prostate,advanced_stage
GENE_14,SAMPLE_12,8.01,prostate,advanced_stage
GENE_15,SAMPLE_12,7.89,prostate,advanced_stage
GENE_16,SAMPLE_12,8.23,prostate,advanced_stage
GENE_17,SAMPLE_12,7.56,prostate,advanced_stage
GENE_18,SAMPLE_12,8.12,prostate,advanced_stage
GENE_19,SAMPLE_12,7.78,prostate,advanced_stage
GENE_20,SAMPLE_12,8.34,prostate,advanced_stage
GENE_1,SAMPLE_13,5.45,breast,control
GENE_2,SAMPLE_13,5.78,breast,control
GENE_3,SAMPLE_13,5.12,breast,control
GENE_4,SAMPLE_13,5.67,breast,control
GENE_5,SAMPLE_13,5.23,breast,control
GENE_6,SAMPLE_13,5.89,breast,control
GENE_7,SAMPLE_13,5.34,breast,control
GENE_8,SAMPLE_13,5.56,breast,control
GENE_9,SAMPLE_13,5.91,breast,control
GENE_10,SAMPLE_13,5.45,breast,control
GENE_11,SAMPLE_13,5.78,breast,control
GENE_12,SAMPLE_13,5.12,breast,control
GENE_13,SAMPLE_13,5.67,breast,control
GENE_14,SAMPLE_13,5.23,breast,control
GENE_15,SAMPLE_13,5.89,breast,control
GENE_16,SAMPLE_13,5.34,breast,control
GENE_17,SAMPLE_13,5.56,breast,control
GENE_18,SAMPLE_13,5.91,breast,control
GENE_19,SAMPLE_13,5.45,breast,control
GENE_20,SAMPLE_13,5.78,breast,control
GENE_1,SAMPLE_14,6.34,lung,early_stage
GENE_2,SAMPLE_14,6.67,lung,early_stage
GENE_3,SAMPLE_14,6.12,lung,early_stage
GENE_4,SAMPLE_14,6.45,lung,early_stage
GENE_5,SAMPLE_14,6.78,lung,early_stage
GENE_6,SAMPLE_14,6.23,lung,early_stage
GENE_7,SAMPLE_14,6.56,lung,early_stage
GENE_8,SAMPLE_14,6.89,lung,early_stage
GENE_9,SAMPLE_14,6.34,lung,early_stage
GENE_10,SAMPLE_14,6.67,lung,early_stage
GENE_11,SAMPLE_14,6.12,lung,early_stage
GENE_12,SAMPLE_14,6.45,lung,early_stage
GENE_13,SAMPLE_14,6.78,lung,early_stage
GENE_14,SAMPLE_14,6.23,lung,early_stage
GENE_15,SAMPLE_14,6.56,lung,early_stage
GENE_16,SAMPLE_14,6.89,lung,early_stage
GENE_17,SAMPLE_14,6.34,lung,early_stage
GENE_18,SAMPLE_14,6.67,lung,early_stage
GENE_19,SAMPLE_14,6.12,lung,early_stage
GENE_20,SAMPLE_14,6.45,lung,early_stage
GENE_1,SAMPLE_15,8.23,colon,advanced_stage
GENE_2,SAMPLE_15,7.89,colon,advanced_stage
GENE_3,SAMPLE_15,8.45,colon,advanced_stage
GENE_4,SAMPLE_15,7.67,colon,advanced_stage
GENE_5,SAMPLE_15,8.12,colon,advanced_stage
GENE_6,SAMPLE_15,7.78,colon,advanced_stage
GENE_7,SAMPLE_15,8.34,colon,advanced_stage
GENE_8,SAMPLE_15,7.91,colon,advanced_stage
GENE_9,SAMPLE_15,8.23,colon,advanced_stage
GENE_10,SAMPLE_15,7.56,colon,advanced_stage
GENE_11,SAMPLE_15,8.12,colon,advanced_stage
GENE_12,SAMPLE_15,7.89,colon,advanced_stage
GENE_13,SAMPLE_15,8.45,colon,advanced_stage
GENE_14,SAMPLE_15,7.67,colon,advanced_stage
GENE_15,SAMPLE_15,8.01,colon,advanced_stage
GENE_16,SAMPLE_15,7.78,colon,advanced_stage
GENE_17,SAMPLE_15,8.34,colon,advanced_stage
GENE_18,SAMPLE_15,7.91,colon,advanced_stage
GENE_19,SAMPLE_15,8.23,colon,advanced_stage
GENE_20,SAMPLE_15,7.89,colon,advanced_stage
GENE_1,SAMPLE_16,5.67,prostate,control
GENE_2,SAMPLE_16,5.23,prostate,control
GENE_3,SAMPLE_16,5.89,prostate,control
GENE_4,SAMPLE_16,5.45,prostate,control
GENE_5,SAMPLE_16,5.12,prostate,control
GENE_6,SAMPLE_16,5.78,prostate,control
GENE_7,SAMPLE_16,5.34,prostate,control
GENE_8,SAMPLE_16,5.56,prostate,control
GENE_9,SAMPLE_16,5.91,prostate,control
GENE_10,SAMPLE_16,5.67,prostate,control
GENE_11,SAMPLE_16,5.23,prostate,control
GENE_12,SAMPLE_16,5.89,prostate,control
GENE_13,SAMPLE_16,5.45,prostate,control
GENE_14,SAMPLE_16,5.12,prostate,control
GENE_15,SAMPLE_16,5.78,prostate,control
GENE_16,SAMPLE_16,5.34,prostate,control
GENE_17,SAMPLE_16,5.56,prostate,control
GENE_18,SAMPLE_16,5.91,prostate,control
GENE_19,SAMPLE_16,5.67,prostate,control
GENE_20,SAMPLE_16,5.23,prostate,control
GENE_1,SAMPLE_17,6.56,breast,early_stage
GENE_2,SAMPLE_17,6.89,breast,early_stage
GENE_3,SAMPLE_17,6.23,breast,early_stage
GENE_4,SAMPLE_17,6.45,breast,early_stage
GENE_5,SAMPLE_17,6.78,breast,early_stage
GENE_6,SAMPLE_17,6.12,breast,early_stage
GENE_7,SAMPLE_17,6.34,breast,early_stage
GENE_8,SAMPLE_17,6.67,breast,early_stage
GENE_9,SAMPLE_17,6.91,breast,early_stage
GENE_10,SAMPLE_17,6.23,breast,early_stage
GENE_11,SAMPLE_17,6.56,breast,early_stage
GENE_12,SAMPLE_17,6.89,breast,early_stage
GENE_13,SAMPLE_17,6.34,breast,early_stage
GENE_14,SAMPLE_17,6.67,breast,early_stage
GENE_15,SAMPLE_17,6.12,breast,early_stage
GENE_16,SAMPLE_17,6.45,breast,early_stage
GENE_17,SAMPLE_17,6.78,breast,early_stage
GENE_18,SAMPLE_17,6.23,breast,early_stage
GENE_19,SAMPLE_17,6.56,breast,early_stage
GENE_20,SAMPLE_17,6.89,breast,early_stage
GENE_1,SAMPLE_18,7.91,lung,advanced_stage
GENE_2,SAMPLE_18,8.23,lung,advanced_stage
GENE_3,SAMPLE_18,7.56,lung,advanced_stage
GENE_4,SAMPLE_18,8.12,lung,advanced_stage
GENE_5,SAMPLE_18,7.78,lung,advanced_stage
GENE_6,SAMPLE_18,8.45,lung,advanced_stage
GENE_7,SAMPLE_18,7.67,lung,advanced_stage
GENE_8,SAMPLE_18,8.01,lung,advanced_stage
GENE_9,SAMPLE_18,7.89,lung,advanced_stage
GENE_10,SAMPLE_18,8.34,lung,advanced_stage
GENE_11,SAMPLE_18,7.91,lung,advanced_stage
GENE_12,SAMPLE_18,8.23,lung,advanced_stage
GENE_13,SAMPLE_18,7.56,lung,advanced_stage
GENE_14,SAMPLE_18,8.12,lung,advanced_stage
GENE_15,SAMPLE_18,7.78,lung,advanced_stage
GENE_16,SAMPLE_18,8.45,lung,advanced_stage
GENE_17,SAMPLE_18,7.67,lung,advanced_stage
GENE_18,SAMPLE_18,8.01,lung,advanced_stage
GENE_19,SAMPLE_18,7.89,lung,advanced_stage
GENE_20,SAMPLE_18,8.23,lung,advanced_stage
GENE_1,SAMPLE_19,5.34,colon,control
GENE_2,SAMPLE_19,5.67,colon,control
GENE_3,SAMPLE_19,5.12,colon,control
GENE_4,SAMPLE_19,5.89,colon,control
GENE_5,SAMPLE_19,5.45,colon,control
GENE_6,SAMPLE_19,5.78,colon,control
GENE_7,SAMPLE_19,5.23,colon,control
GENE_8,SAMPLE_19,5.56,colon,control
GENE_9,SAMPLE_19,5.91,colon,control
GENE_10,SAMPLE_19,5.34,colon,control
GENE_11,SAMPLE_19,5.67,colon,control
GENE_12,SAMPLE_19,5.12,colon,control
GENE_13,SAMPLE_19,5.89,colon,control
GENE_14,SAMPLE_19,5.45,colon,control
GENE_15,SAMPLE_19,5.78,colon,control
GENE_16,SAMPLE_19,5.23,colon,control
GENE_17,SAMPLE_19,5.56,colon,control
GENE_18,SAMPLE_19,5.91,colon,control
GENE_19,SAMPLE_19,5.34,colon,control
GENE_20,SAMPLE_19,5.67,colon,control
GENE_1,SAMPLE_20,6.45,prostate,early_stage
GENE_2,SAMPLE_20,6.78,prostate,early_stage
GENE_3,SAMPLE_20,6.12,prostate,early_stage
GENE_4,SAMPLE_20,6.34,prostate,early_stage
GENE_5,SAMPLE_20,6.67,prostate,early_stage
GENE_6,SAMPLE_20,6.23,prostate,early_stage
GENE_7,SAMPLE_20,6.56,prostate,early_stage
GENE_8,SAMPLE_20,6.89,prostate,early_stage
GENE_9,SAMPLE_20,6.45,prostate,early_stage
GENE_10,SAMPLE_20,6.12,prostate,early_stage
GENE_11,SAMPLE_20,6.78,prostate,early_stage
GENE_12,SAMPLE_20,6.34,prostate,early_stage
GENE_13,SAMPLE_20,6.67,prostate,early_stage
GENE_14,SAMPLE_20,6.91,prostate,early_stage
GENE_15,SAMPLE_20,6.23,prostate,early_stage
GENE_16,SAMPLE_20,6.56,prostate,early_stage
GENE_17,SAMPLE_20,6.89,prostate,early_stage
GENE_18,SAMPLE_20,6.45,prostate,early_stage
GENE_19,SAMPLE_20,6.12,prostate,early_stage
GENE_20,SAMPLE_20,6.78,prostate,early_stage
GENE_1,SAMPLE_21,8.12,breast,advanced_stage
GENE_2,SAMPLE_21,7.78,breast,advanced_stage
GENE_3,SAMPLE_21,8.34,breast,advanced_stage
GENE_4,SAMPLE_21,7.89,breast,advanced_stage
GENE_5,SAMPLE_21,8.23,breast,advanced_stage
GENE_6,SAMPLE_21,7.67,breast,advanced_stage
GENE_7,SAMPLE_21,8.01,breast,advanced_stage
GENE_8,SAMPLE_21,7.91,breast,advanced_stage
GENE_9,SAMPLE_21,8.45,breast,advanced_stage
GENE_10,SAMPLE_21,7.56,breast,advanced_stage
GENE_11,SAMPLE_21,8.12,breast,advanced_stage
GENE_12,SAMPLE_21,7.78,breast,advanced_stage
GENE_13,SAMPLE_21,8.34,breast,advanced_stage
GENE_14,SAMPLE_21,7.89,breast,advanced_stage
GENE_15,SAMPLE_21,8.23,breast,advanced_stage
GENE_16,SAMPLE_21,7.67,breast,advanced_stage
GENE_17,SAMPLE_21,8.01,breast,advanced_stage
GENE_18,SAMPLE_21,7.91,breast,advanced_stage
GENE_19,SAMPLE_21,8.45,breast,advanced_stage
GENE_20,SAMPLE_21,7.78,breast,advanced_stage
GENE_1,SAMPLE_22,5.56,lung,control
GENE_2,SAMPLE_22,5.89,lung,control
GENE_3,SAMPLE_22,5.23,lung,control
GENE_4,SAMPLE_22,5.67,lung,control
GENE_5,SAMPLE_22,5.12,lung,control
GENE_6,SAMPLE_22,5.78,lung,control
GENE_7,SAMPLE_22,5.45,lung,control
GENE_8,SAMPLE_22,5.34,lung,control
GENE_9,SAMPLE_22,5.91,lung,control
GENE_10,SAMPLE_22,5.56,lung,control
GENE_11,SAMPLE_22,5.23,lung,control
GENE_12,SAMPLE_22,5.89,lung,control
GENE_13,SAMPLE_22,5.67,lung,control
GENE_14,SAMPLE_22,5.12,lung,control
GENE_15,SAMPLE_22,5.78,lung,control
GENE_16,SAMPLE_22,5.45,lung,control
GENE_17,SAMPLE_22,5.34,lung,control
GENE_18,SAMPLE_22,5.91,lung,control
GENE_19,SAMPLE_22,5.56,lung,control
GENE_20,SAMPLE_22,5.89,lung,control
GENE_1,SAMPLE_23,6.67,colon,early_stage
GENE_2,SAMPLE_23,6.34,colon,early_stage
GENE_3,SAMPLE_23,6.89,colon,early_stage
GENE_4,SAMPLE_23,6.12,colon,early_stage
GENE_5,SAMPLE_23,6.45,colon,early_stage
GENE_6,SAMPLE_23,6.78,colon,early_stage
GENE_7,SAMPLE_23,6.23,colon,early_stage
GENE_8,SAMPLE_23,6.56,colon,early_stage
GENE_9,SAMPLE_23,6.91,colon,early_stage
GENE_10,SAMPLE_23,6.67,colon,early_stage
GENE_11,SAMPLE_23,6.34,colon,early_stage
GENE_12,SAMPLE_23,6.89,colon,early_stage
GENE_13,SAMPLE_23,6.12,colon,early_stage
GENE_14,SAMPLE_23,6.45,colon,early_stage
GENE_15,SAMPLE_23,6.78,colon,early_stage
GENE_16,SAMPLE_23,6.23,colon,early_stage
GENE_17,SAMPLE_23,6.56,colon,early_stage
GENE_18,SAMPLE_23,6.91,colon,early_stage
GENE_19,SAMPLE_23,6.67,colon,early_stage
GENE_20,SAMPLE_23,6.34,colon,early_stage
GENE_1,SAMPLE_24,7.89,prostate,advanced_stage
GENE_2,SAMPLE_24,8.23,prostate,advanced_stage
GENE_3,SAMPLE_24,7.56,prostate,advanced_stage
GENE_4,SAMPLE_24,8.12,prostate,advanced_stage
GENE_5,SAMPLE_24,7.78,prostate,advanced_stage
GENE_6,SAMPLE_24,8.45,prostate,advanced_stage
GENE_7,SAMPLE_24,7.67,prostate,advanced_stage
GENE_8,SAMPLE_24,8.01,prostate,advanced_stage
GENE_9,SAMPLE_24,7.91,prostate,advanced_stage
GENE_10,SAMPLE_24,8.34,prostate,advanced_stage
GENE_11,SAMPLE_24,7.89,prostate,advanced_stage
GENE_12,SAMPLE_24,8.23,prostate,advanced_stage
GENE_13,SAMPLE_24,7.56,prostate,advanced_stage
GENE_14,SAMPLE_24,8.12,prostate,advanced_stage
GENE_15,SAMPLE_24,7.78,prostate,advanced_stage
GENE_16,SAMPLE_24,8.45,prostate,advanced_stage
GENE_17,SAMPLE_24,7.67,prostate,advanced_stage
GENE_18,SAMPLE_24,8.01,prostate,advanced_stage
GENE_19,SAMPLE_24,7.91,prostate,advanced_stage
GENE_20,SAMPLE_24,8.34,prostate,advanced_stage
GENE_1,SAMPLE_25,5.45,breast,control
GENE_2,SAMPLE_25,5.78,breast,control
GENE_3,SAMPLE_25,5.12,breast,control
GENE_4,SAMPLE_25,5.67,breast,control
GENE_5,SAMPLE_25,5.34,breast,control
GENE_6,SAMPLE_25,5.89,breast,control
GENE_7,SAMPLE_25,5.23,breast,control
GENE_8,SAMPLE_25,5.56,breast,control
GENE_9,SAMPLE_25,5.91,breast,control
GENE_10,SAMPLE_25,5.45,breast,control
GENE_11,SAMPLE_25,5.78,breast,control
GENE_12,SAMPLE_25,5.12,breast,control
GENE_13,SAMPLE_25,5.67,breast,control
GENE_14,SAMPLE_25,5.34,breast,control
GENE_15,SAMPLE_25,5.89,breast,control
GENE_16,SAMPLE_25,5.23,breast,control
GENE_17,SAMPLE_25,5.56,breast,control
GENE_18,SAMPLE_25,5.91,breast,control
GENE_19,SAMPLE_25,5.45,breast,control
GENE_20,SAMPLE_25,5.78,breast,control
GENE_1,SAMPLE_26,6.34,lung,early_stage
GENE_2,SAMPLE_26,6.67,lung,early_stage
GENE_3,SAMPLE_26,6.12,lung,early_stage
GENE_4,SAMPLE_26,6.45,lung,early_stage
GENE_5,SAMPLE_26,6.78,lung,early_stage
GENE_6,SAMPLE_26,6.23,lung,early_stage
GENE_7,SAMPLE_26,6.56,lung,early_stage
GENE_8,SAMPLE_26,6.89,lung,early_stage
GENE_9,SAMPLE_26,6.34,lung,early_stage
GENE_10,SAMPLE_26,6.67,lung,early_stage
GENE_11,SAMPLE_26,6.12,lung,early_stage
GENE_12,SAMPLE_26,6.45,lung,early_stage
GENE_13,SAMPLE_26,6.78,lung,early_stage
GENE_14,SAMPLE_26,6.23,lung,early_stage
GENE_15,SAMPLE_26,6.56,lung,early_stage
GENE_16,SAMPLE_26,6.89,lung,early_stage
GENE_17,SAMPLE_26,6.34,lung,early_stage
GENE_18,SAMPLE_26,6.67,lung,early_stage
GENE_19,SAMPLE_26,6.12,lung,early_stage
GENE_20,SAMPLE_26,6.45,lung,early_stage
