ride_id,pickup_lat,pickup_lon,timestamp,fare_amount
CHI_056,41.8819,-87.6277,2024-99-99T99:99:99Z,27.50
CHI_057,41.8804,-87.6294,2024-01-18T21:15:00Z,22.00
CHI_058,41.8788,-87.6301,2024-01-18T22:00:20Z,17.75
CHI_059,41.8814,-87.6282,2024-01-19T08:20:00Z,25.25
CHI_060,41.8762,-87.6319,2024-01-19T09:10:30Z,14.25
CHI_061,41.8799,-87.6298,2024-01-19T10:00:00Z,20.50
CHI_062,41.8824,-87.6271,2024-01-19T11:30:15Z,30.75
CHI_064,41.8807,-87.6286,2024-01-19T13:00:45Z,23.75
CHI_065,41.8790,-87.6303,2024-01-19T14:30:00Z,18.00
CHI_066,41.8817,-87.6279,2024-01-19T15:15:20Z,26.50
CHI_067,41.8765,-87.6315,2024-01-19T16:00:00Z,12.75
CHI_068,41.8795,-87.6291,2024-01-19T17:20:30Z,21.50
CHI_069,41.8810,-87.6285,2024-01-19T18:10:00Z,27.75
CHI_070,41.8781,-87.6307,2024-01-19T19:00:45Z,15.50
CHI_071,41.8801,-87.6295,2024-01-19T20:30:00Z,22.25
CHI_072,41.8823,-87.6275,2024-01-19T21:15:15Z,28.00
CHI_073,41.8770,-87.6313,2024-01-19T22:00:00Z,13.75
CHI_074,41.8792,-87.6290,2024-01-20T08:30:30Z,19.00
CHI_075,41.8805,-87.6288,2024-01-20T09:20:00Z,24.50
CHI_076,41.8786,-87.6304,2024-01-20T10:10:45Z,17.25
CHI_077,41.8813,-87.6283,2024-01-20T11:00:00Z,25.75
CHI_078,41.8767,-87.6316,broken-time,14.00
CHI_079,41.8798,-87.6299,2024-01-20T13:30:20Z,20.75
CHI_080,41.8820,-87.6278,2024-01-20T14:20:00Z,29.25
CHI_081,41.8774,-87.6311,2024-01-20T15:10:45Z,16.50
CHI_082,41.8803,-87.6293,2024-01-20T16:00:00Z,22.75
CHI_083,41.8789,-87.6300,2024-01-20T17:30:15Z,-15.50
CHI_084,41.8815,-87.6281,2024-01-20T18:15:00Z,26.25
CHI_085,41.8763,-87.6318,2024-01-20T19:00:30Z,13.25
CHI_086,41.8797,-87.6292,2024-01-20T20:30:00Z,21.75
CHI_087,41.8811,-87.6284,2024-01-20T21:20:45Z,27.00
CHI_088,41.8778,-87.6309,2024-01-20T22:10:00Z,15.75
CHI_089,41.8800,-87.6296,2024-01-21T08:15:20Z,20.25
CHI_090,41.8822,-87.6276,2024-01-21T09:00:00Z,28.50
CHI_091,41.8772,-87.6312,2024-01-21T10:30:30Z,14.50
CHI_092,41.8794,-87.6291,2024-01-21T11:20:00Z,19.75
CHI_093,41.8809,-87.6287,2024-01-21T12:10:45Z,24.00
CHI_094,41.8784,-87.6306,2024-01-21T13:00:00Z,17.00
CHI_095,41.8816,-87.6280,2024-01-21T14:30:15Z,25.50
CHI_096,41.8768,-87.6314,2024-01-21T15:15:00Z,12.50
CHI_098,41.8818,-87.6277,2024-01-21T17:30:00Z,26.75
CHI_099,41.8775,-87.6310,2024-01-21T18:20:20Z,14.75
CHI_100,41.8804,-87.6289,2024-01-21T19:10:00Z,23.25
CHI_101,41.8787,-87.6302,2024-01-21T20:00:30Z,18.25
CHI_102,41.8812,-87.6282,2024-01-21T21:30:00Z,27.25
CHI_103,41.8764,-87.6317,2024-01-21T22:15:45Z,13.00
CHI_104,41.8791,-87.6297,2024-01-22T08:20:00Z,20.00
CHI_105,41.8806,-87.6286,2024-01-22T09:10:15Z,24.75
CHI_106,41.8782,-87.6308,2024-01-22T10:00:00Z,16.25
CHI_107,41.8799,-87.6298,2024-01-22T11:30:45Z,21.50
CHI_108,41.8821,-87.6274,2024-01-22T12:20:00Z,29.00
CHI_109,41.8771,-87.6313,2024-01-22T13:10:30Z,15.25
CHI_110,41.8793,-87.6290,2024-01-22T14:00:00Z,19.50
CHI_111,41.8808,-87.6285,2024-01-22T15:30:20Z,25.00
CHI_112,41.8785,-87.6305,2024-01-22T16:15:00Z,17.50
CHI_113,41.8814,-87.6281,2024-01-22T17:00:45Z,26.00
CHI_114,41.8766,-87.6315,2024-01-22T18:30:00Z,12.75
CHI_115,41.8795,-87.6293,2024-01-22T19:20:15Z,20.75
CHI_116,41.8810,-87.6284,2024-01-22T20:10:00Z,27.50
CHI_117,41.8779,-87.6309,2024-01-22T21:00:30Z,15.00
CHI_118,41.8802,-87.6296,2024-01-22T22:30:00Z,22.50
CHI_119,41.8823,-87.6273,2024-01-23T08:15:45Z,28.75
CHI_120,41.8773,-87.6311,2024-01-23T09:00:00Z,14.25
CHI_121,41.8792,-87.6289,2024-01-23T10:30:20Z,19.25
CHI_122,41.8807,-87.6287,2024-01-23T11:20:00Z,24.50
CHI_123,41.8786,-87.6304,2024-01-23T12:10:45Z,17.75
CHI_124,41.8813,-87.6282,2024-01-23T13:00:00Z,25.25
CHI_125,41.8767,-87.6316,2024-01-23T14:30:15Z,13.50
CHI_126,41.8798,-87.6299,2024-01-23T15:15:00Z,21.00
CHI_127,41.8820,-87.6278,2024-01-23T16:00:45Z,29.50
CHI_128,41.8774,-87.6312,2024-01-23T17:30:00Z,16.00
CHI_129,41.8803,-87.6294,2024-01-23T18:20:20Z,23.00
CHI_130,41.8789,-87.6301,2024-01-23T19:10:00Z,18.50
CHI_131,41.8815,-87.6280,2024-01-23T20:00:30Z,26.50
CHI_132,41.8763,-87.6318,2024-01-23T21:30:00Z,12.25
CHI_133,41.8797,-87.6292,2024-01-23T22:15:45Z,20.50
CHI_134,41.8811,-87.6283,2024-01-24T08:20:00Z,27.00
CHI_135,41.8778,-87.6310,2024-01-24T09:10:15Z,15.50
CHI_136,41.8800,-87.6297,2024-01-24T10:00:00Z,22.00
CHI_137,41.8822,-87.6276,2024-01-24T11:30:45Z,28.25
CHI_138,41.8772,-87.6312,2024-01-24T12:20:00Z,14.00
CHI_139,41.8794,-87.6291,2024-01-24T13:10:30Z,19.75
CHI_140,41.8809,-87.6286,2024-01-24T14:00:00Z,24.25
CHI_141,41.8784,-87.6306,2024-01-24T15:30:20Z,17.00
CHI_142,41.8816,-87.6279,2024-01-24T16:15:00Z,25.75
CHI_143,41.8768,-87.6314,2024-01-24T17:00:45Z,13.75
CHI_144,41.8796,-87.6293,2024-01-24T18:30:00Z,21.25
CHI_145,41.8818,-87.6277,2024-01-24T19:20:15Z,29.75
CHI_146,41.8775,-87.6311,2024-01-24T20:10:00Z,16.50
CHI_147,41.8804,-87.6290,2024-01-24T21:00:30Z,23.50
CHI_148,41.8787,-87.6303,2024-01-24T22:30:00Z,18.75
CHI_149,41.8812,-87.6282,2024-01-25T08:15:45Z,27.75
CHI_150,41.8764,-87.6317,2024-01-25T09:00:00Z,12.00
