age,income,purchase_history,engagement_score,will_purchase
24,30000,4,0.24,0
61,111000,38,0.82,1
37,53000,13,0.46,0
52,90000,30,0.72,1
29,39000,7,0.33,0
59,104000,35,0.79,1
42,67000,19,0.57,1
26,32000,5,0.26,0
65,122000,42,0.86,1
44,72000,21,0.60,1
32,43000,9,0.37,0
56,95000,32,0.76,1
39,59000,16,0.53,1
50,86000,28,0.69,1
22,27000,3,0.21,0
62,115000,39,0.83,1
35,50000,12,0.45,0
48,81000,25,0.66,1
27,34000,6,0.28,0
64,120000,41,0.85,1
45,74000,22,0.61,1
33,44000,10,0.39,0
57,97000,33,0.77,1
40,61000,17,0.54,1
51,88000,29,0.70,1
25,31000,4,0.23,0
60,109000,37,0.81,1
36,52000,12,0.44,0
47,79000,24,0.63,1
28,37000,7,0.31,0
66,124000,43,0.87,1
43,69000,20,0.59,1
30,40000,8,0.35,0
54,92000,31,0.74,1
38,56000,14,0.49,0
49,83000,26,0.67,1
23,28000,3,0.20,0
61,112000,38,0.82,1
34,48000,11,0.43,0
52,91000,30,0.73,1
29,38000,7,0.32,0
58,101000,34,0.78,1
41,65000,18,0.56,1
24,29000,4,0.25,0
63,118000,40,0.84,1
46,75000,23,0.62,1
31,42000,9,0.38,0
55,93000,32,0.75,1
39,60000,16,0.52,1
50,85000,27,0.68,1
26,33000,5,0.27,0
62,113000,39,0.83,1
44,70000,21,0.59,1
32,43000,9,0.36,0
56,94000,32,0.76,1
37,55000,14,0.48,0
48,82000,25,0.65,1
27,35000,6,0.30,0
65,123000,42,0.86,1
42,66000,19,0.57,1
33,46000,10,0.41,0
53,90000,31,0.73,1
40,63000,17,0.55,1
51,87000,28,0.70,1
22,26000,2,0.19,0
59,106000,36,0.80,1
35,49000,12,0.44,0
47,80000,24,0.64,1
28,36000,6,0.29,0
64,121000,41,0.85,1
45,73000,22,0.61,1
30,39000,8,0.34,0
54,91000,31,0.74,1
38,57000,15,0.50,1
49,84000,26,0.67,1
25,30000,4,0.24,0
60,108000,37,0.81,1
36,51000,13,0.46,0
52,89000,29,0.71,1
29,37000,7,0.32,0
57,99000,34,0.78,1
43,68000,20,0.58,1
24,28000,3,0.22,0
66,126000,44,0.88,1
44,71000,21,0.60,1
31,41000,8,0.37,0
55,94000,32,0.75,1
39,59000,16,0.53,1
50,86000,28,0.69,1
23,27000,3,0.21,0
61,110000,38,0.82,1
34,47000,11,0.42,0
48,81000,25,0.66,1
27,34000,5,0.28,0
63,117000,40,0.84,1
46,76000,23,0.62,1
32,42000,9,0.38,0
56,95000,32,0.76,1
40,62000,17,0.54,1
51,88000,29,0.71,1
26,32000,5,0.26,0
62,114000,39,0.83,1
35,50000,12,0.45,0
47,79000,24,0.63,1
28,36000,6,0.30,0
65,122000,42,0.86,1
45,74000,22,0.61,1
33,45000,10,0.40,0
54,92000,31,0.74,1
38,58000,15,0.51,1
49,83000,26,0.68,1
22,27000,2,0.20,0
60,107000,36,0.81,1
37,54000,13,0.47,0
52,90000,30,0.72,1
29,38000,7,0.33,0
58,102000,34,0.79,1
42,67000,19,0.57,1
25,31000,4,0.23,0
64,120000,41,0.85,1
41,64000,18,0.56,1
30,40000,8,0.35,0
55,93000,32,0.75,1
39,60000,16,0.52,1
50,85000,27,0.69,1
24,29000,4,0.25,0
61,111000,38,0.82,1
36,52000,12,0.44,0
48,82000,25,0.65,1
27,35000,6,0.29,0
66,125000,43,0.87,1
43,69000,20,0.59,1
31,41000,9,0.37,0
53,91000,31,0.73,1
40,61000,17,0.55,1
51,87000,28,0.70,1
23,28000,3,0.21,0
59,105000,35,0.80,1
34,48000,11,0.43,0
47,80000,24,0.64,1
28,37000,7,0.31,0
63,118000,40,0.84,1
46,75000,23,0.62,1
32,43000,9,0.38,0
56,96000,32,0.76,1
38,57000,14,0.50,1
49,84000,26,0.67,1
26,33000,5,0.27,0
62,115000,39,0.83,1
44,72000,21,0.60,1
35,49000,12,0.45,0
54,92000,31,0.74,1
39,59000,16,0.53,1
50,86000,28,0.69,1
25,30000,4,0.24,0
60,108000,37,0.81,1
37,53000,13,0.46,0
52,89000,30,0.72,1
29,38000,7,0.32,0
57,100000,34,0.78,1
41,65000,18,0.56,1
24,28000,3,0.22,0
65,123000,42,0.86,1
45,73000,22,0.61,1
33,44000,10,0.39,0
55,94000,32,0.75,1
40,62000,17,0.54,1
51,88000,29,0.71,1
22,26000,2,0.19,0
61,112000,38,0.82,1
36,51000,12,0.44,0
48,81000,25,0.66,1
27,34000,6,0.28,0
64,121000,41,0.85,1
46,76000,23,0.62,1
30,39000,8,0.34,0
54,91000,31,0.74,1
38,58000,15,0.51,1
49,83000,26,0.68,1
23,27000,3,0.20,0
62,113000,39,0.83,1
34,47000,11,0.42,0
47,79000,24,0.63,1
28,36000,6,0.30,0
66,124000,43,0.87,1
43,68000,20,0.58,1
31,42000,9,0.37,0
53,90000,31,0.73,1
39,60000,16,0.52,1
50,85000,27,0.69,1
26,32000,5,0.26,0
59,106000,36,0.80,1
35,50000,12,0.45,0
52,90000,30,0.72,1
29,37000,7,0.32,0
58,101000,34,0.78,1
42,66000,19,0.57,1
25,31000,4,0.23,0
63,119000,40,0.84,1
44,71000,21,0.60,1
32,43000,9,0.38,0
56,95000,32,0.76,1
38,57000,14,0.50,1
48,82000,25,0.65,1
27,35000,6,0.29,0
65,122000,42,0.86,1
45,74000,22,0.61,1
33,45000,10,0.40,0
54,92000,31,0.74,1
40,63000,17,0.55,1
51,87000,28,0.70,1
24,29000,4,0.25,0
60,107000,36,0.81,1
37,54000,13,0.47,0
47,80000,24,0.64,1
28,36000,6,0.30,0
64,120000,41,0.85,1
46,75000,23,0.62,1
31,41000,8,0.36,0
55,93000,32,0.75,1
39,59000,16,0.53,1
49,84000,26,0.67,1
22,27000,2,0.20,0
61,110000,38,0.82,1
36,52000,12,0.44,0
52,89000,30,0.72,1
29,38000,7,0.33,0
57,99000,33,0.77,1
41,65000,18,0.56,1
25,30000,4,0.24,0
66,125000,43,0.87,1
43,69000,20,0.59,1
30,40000,8,0.35,0
53,91000,31,0.73,1
38,58000,15,0.51,1
50,86000,28,0.69,1
23,28000,3,0.21,0
62,114000,39,0.83,1
34,48000,11,0.43,0
48,81000,25,0.66,1
27,34000,5,0.28,0
65,123000,42,0.86,1
44,72000,21,0.60,1
32,42000,9,0.37,0
56,94000,32,0.76,1
39,60000,16,0.52,1
51,88000,29,0.71,1
26,33000,5,0.27,0
60,108000,37,0.81,1
35,49000,12,0.45,0
47,79000,24,0.63,1
28,37000,7,0.31,0
63,118000,40,0.84,1
45,73000,22,0.61,1
33,44000,10,0.39,0
54,92000,31,0.74,1
40,61000,17,0.54,1
49,83000,26,0.68,1
24,28000,3,0.22,0
61,111000,38,0.82,1
37,53000,13,0.46,0
52,90000,30,0.72,1
29,38000,7,0.32,0
58,102000,34,0.79,1
42,67000,19,0.57,1
25,31000,4,0.23,0
64,121000,41,0.85,1
46,76000,23,0.62,1
31,41000,9,0.38,0
55,94000,32,0.75,1
38,57000,14,0.50,1
50,85000,27,0.69,1
22,26000,2,0.19,0
59,105000,35,0.80,1
36,51000,12,0.44,0
48,82000,25,0.65,1
27,35000,6,0.29,0
66,126000,44,0.88,1
43,68000,20,0.58,1
30,39000,8,0.34,0
53,90000,31,0.73,1
39,59000,16,0.53,1
51,87000,28,0.70,1
23,27000,3,0.20,0
62,113000,39,0.83,1
34,47000,11,0.42,0
47,80000,24,0.64,1
28,36000,6,0.30,0
65,122000,42,0.86,1
44,71000,21,0.60,1
32,43000,9,0.38,0
56,95000,32,0.76,1
40,62000,17,0.55,1
49,84000,26,0.67,1
26,32000,5,0.26,0
60,107000,36,0.81,1
35,50000,12,0.45,0
52,89000,30,0.72,1
29,37000,7,0.32,0
57,100000,34,0.78,1
41,64000,18,0.56,1
24,29000,4,0.25,0
63,117000,40,0.84,1
45,74000,22,0.61,1
33,45000,10,0.40,0
54,91000,31,0.74,1
38,58000,15,0.51,1
50,86000,28,0.69,1
25,30000,4,0.24,0
61,110000,38,0.82,1
37,54000,13,0.47,0
48,81000,25,0.66,1
27,34000,6,0.28,0
64,120000,41,0.85,1
46,75000,23,0.62,1
31,42000,9,0.37,0
55,93000,32,0.75,1
39,60000,16,0.52,1
51,88000,29,0.71,1
22,27000,2,0.20,0
62,115000,39,0.83,1
36,52000,12,0.44,0
47,79000,24,0.63,1
28,36000,7,0.31,0
66,124000,43,0.87,1
42,66000,19,0.57,1
30,40000,8,0.35,0
53,91000,31,0.73,1
40,63000,17,0.55,1
49,83000,26,0.68,1
23,28000,3,0.21,0
59,106000,36,0.80,1
34,48000,11,0.43,0
52,90000,30,0.72,1
29,38000,7,0.33,0
58,101000,34,0.78,1
43,69000,20,0.59,1
25,31000,4,0.23,0
65,123000,42,0.86,1
44,72000,21,0.60,1
32,42000,9,0.38,0
56,96000,32,0.76,1
38,57000,14,0.50,1
50,85000,27,0.69,1
26,33000,5,0.27,0
60,108000,37,0.81,1
35,49000,12,0.45,0
48,82000,25,0.65,1
27,35000,6,0.29,0
63,119000,40,0.84,1
45,73000,22,0.61,1
33,44000,10,0.39,0
54,92000,31,0.74,1
39,59000,16,0.53,1
51,87000,28,0.70,1
24,28000,3,0.22,0
61,112000,38,0.82,1
37,53000,13,0.46,0
47,80000,24,0.64,1
28,37000,7,0.31,0
64,121000,41,0.85,1
46,76000,23,0.62,1
31,41000,8,0.36,0
55,94000,32,0.75,1
40,61000,17,0.54,1
49,84000,26,0.67,1
22,26000,2,0.19,0
62,114000,39,0.83,1
36,51000,12,0.44,0
52,89000,30,0.72,1
29,38000,7,0.32,0
57,99000,33,0.77,1
41,65000,18,0.56,1
