age,income,purchase_history,engagement_score,will_purchase
32,61000,12,0.52,0
54,99000,34,0.81,1
35,68000,15,0.58,1
49,91000,28,0.76,1
24,44000,4,0.41,0
60,112000,41,0.89,1
43,80000,23,0.67,1
30,57000,10,0.50,0
51,97000,30,0.79,1
45,84000,25,0.71,1
23,42000,3,0.39,0
62,115000,43,0.91,1
50,95000,29,0.77,1
22,40000,2,0.37,0
63,118000,44,0.93,1
65,119000,46,0.93,1
21,33000,1,0.31,0
64,116000,45,0.90,1
20,31000,0,0.29,0
66,122000,47,0.93,1
67,125000,48,0.94,1
68,128000,49,0.95,1
69,131000,50,0.96,1
70,134000,50,0.97,1
