age,income,purchase_history,engagement_score,will_purchase
34,55000,16,0.52,1
58,115000,41,0.87,1
25,33000,6,0.28,0
42,77000,26,0.68,1
65,133000,46,0.92,1
23,30000,5,0.23,0
40,72000,24,0.65,1
54,103000,38,0.82,1
30,44000,12,0.44,0
48,88000,30,0.73,1
36,60000,19,0.56,1
59,118000,42,0.88,1
27,38000,9,0.35,0
43,79000,27,0.70,1
66,137000,48,0.94,1
24,31000,6,0.25,0
38,66000,22,0.61,1
52,99000,36,0.79,1
31,48000,13,0.47,0
47,85000,30,0.73,1
35,58000,18,0.54,1
57,113000,41,0.87,1
26,35000,8,0.31,0
41,75000,26,0.68,1
64,131000,46,0.91,1
22,28000,4,0.21,0
39,69000,23,0.63,1
53,102000,38,0.82,1
29,42000,11,0.40,0
46,84000,29,0.72,1
34,56000,17,0.53,1
58,116000,42,0.88,1
25,34000,7,0.29,0
42,78000,27,0.69,1
65,134000,47,0.92,1
23,31000,6,0.24,0
40,73000,25,0.66,1
54,104000,39,0.83,1
30,45000,12,0.45,0
48,89000,31,0.74,1
36,61000,20,0.57,1
59,119000,43,0.89,1
27,39000,9,0.36,0
43,80000,28,0.71,1
66,138000,48,0.94,1
24,32000,6,0.26,0
38,67000,23,0.62,1
52,100000,37,0.80,1
31,49000,14,0.48,0
47,86000,31,0.74,1
35,59000,19,0.55,1
57,114000,42,0.88,1
26,36000,8,0.32,0
41,76000,27,0.69,1
64,132000,47,0.92,1
22,29000,5,0.22,0
39,70000,24,0.64,1
53,103000,39,0.83,1
29,43000,11,0.41,0
46,85000,30,0.73,1
34,57000,18,0.54,1
58,117000,43,0.89,1
25,35000,7,0.30,0
42,79000,28,0.70,1
65,135000,48,0.93,1
23,32000,6,0.25,0
40,74000,26,0.67,1
54,105000,40,0.84,1
30,46000,13,0.46,0
48,90000,32,0.75,1
36,62000,21,0.58,1
59,120000,44,0.90,1
27,40000,10,0.37,0
43,81000,29,0.72,1
66,139000,49,0.95,1
24,33000,7,0.27,0
38,68000,24,0.63,1
52,101000,38,0.81,1
31,50000,14,0.49,0
47,87000,32,0.75,1
35,60000,20,0.56,1
57,115000,43,0.89,1
26,37000,9,0.33,0
41,77000,28,0.70,1
64,133000,48,0.93,1
22,30000,5,0.23,0
39,71000,25,0.65,1
53,104000,40,0.84,1
29,44000,12,0.42,0
46,86000,31,0.74,1
34,58000,19,0.55,1
58,118000,44,0.90,1
25,36000,8,0.31,0
42,80000,29,0.71,1
65,136000,49,0.94,1
23,33000,7,0.26,0
40,75000,27,0.68,1
54,106000,41,0.85,1
30,47000,13,0.47,0
48,91000,33,0.76,1
36,63000,22,0.59,1
59,121000,45,0.91,1
27,41000,10,0.38,0
43,82000,30,0.73,1
66,140000,50,0.95,1
24,34000,7,0.28,0
38,69000,25,0.64,1
52,102000,39,0.82,1
31,51000,15,0.50,1
47,88000,33,0.76,1
35,61000,21,0.57,1
57,116000,44,0.90,1
26,38000,9,0.34,0
41,78000,29,0.71,1
64,134000,49,0.94,1
22,31000,6,0.24,0
39,72000,26,0.66,1
53,105000,41,0.85,1
29,45000,12,0.43,0
46,87000,32,0.75,1
34,59000,20,0.56,1
58,119000,45,0.91,1
25,37000,8,0.32,0
42,81000,30,0.72,1
65,137000,50,0.94,1
23,34000,7,0.27,0
40,76000,28,0.69,1
54,107000,42,0.86,1
30,48000,14,0.48,0
48,92000,34,0.77,1
36,64000,23,0.60,1
59,122000,46,0.92,1
27,42000,11,0.39,0
43,83000,31,0.74,1
66,141000,50,0.96,1
24,35000,8,0.29,0
38,70000,26,0.65,1
52,103000,40,0.83,1
31,52000,15,0.51,1
47,89000,34,0.77,1
35,62000,22,0.58,1
57,117000,45,0.91,1
26,39000,10,0.35,0
41,79000,30,0.72,1
64,135000,50,0.95,1
22,32000,6,0.25,0
39,73000,27,0.67,1
53,106000,42,0.86,1
29,46000,13,0.44,0
46,88000,33,0.76,1
34,60000,21,0.57,1
58,120000,46,0.92,1
25,38000,9,0.33,0
42,82000,31,0.73,1
65,138000,51,0.95,1
23,35000,8,0.28,0
40,77000,29,0.70,1
54,108000,43,0.87,1
30,49000,14,0.49,0
48,93000,35,0.78,1
36,65000,24,0.61,1
59,123000,47,0.93,1
27,43000,11,0.40,0
43,84000,32,0.75,1
66,142000,51,0.96,1
24,36000,8,0.30,0
38,71000,27,0.66,1
52,104000,41,0.84,1
31,53000,16,0.52,1
47,90000,35,0.78,1
35,63000,23,0.59,1
57,118000,46,0.92,1
26,40000,10,0.36,0
41,80000,31,0.73,1
64,136000,51,0.95,1
22,33000,7,0.26,0
39,74000,28,0.68,1
53,107000,43,0.87,1
29,47000,13,0.45,0
46,89000,34,0.77,1
34,61000,22,0.58,1
58,121000,47,0.93,1
25,39000,9,0.34,0
42,83000,32,0.74,1
65,139000,52,0.96,1
23,36000,8,0.29,0
40,78000,30,0.71,1
54,109000,44,0.88,1
30,50000,15,0.50,1
48,94000,36,0.79,1
36,66000,25,0.62,1
59,124000,48,0.94,1
27,44000,12,0.41,0
43,85000,33,0.76,1
70,145000,50,0.97,1
20,22000,1,0.12,0
44,86000,34,0.77,1
55,110000,42,0.86,1
32,54000,17,0.53,1
49,95000,37,0.80,1
37,67000,26,0.63,1
60,125000,49,0.94,1
28,45000,12,0.42,0
44,87000,34,0.77,1
67,143000,52,0.97,1
21,34000,7,0.27,0
41,79000,31,0.72,1
56,111000,43,0.87,1
33,55000,18,0.54,1
50,96000,38,0.81,1
38,68000,27,0.64,1
61,126000,50,0.95,1
29,46000,13,0.43,0
45,88000,35,0.78,1
68,144000,53,0.97,1
22,35000,8,0.28,0
42,80000,32,0.73,1
57,112000,44,0.88,1
34,56000,19,0.55,1
51,97000,39,0.82,1
39,69000,28,0.65,1
62,127000,51,0.95,1
30,47000,14,0.44,0
46,89000,36,0.79,1
69,145000,54,0.98,1
23,36000,9,0.29,0
43,81000,33,0.74,1
58,113000,45,0.89,1
35,57000,20,0.56,1
52,98000,40,0.83,1
40,70000,29,0.66,1
63,128000,52,0.96,1
31,48000,15,0.45,0
47,90000,37,0.80,1
70,146000,55,0.98,1
24,37000,9,0.30,0
44,82000,34,0.75,1
59,114000,46,0.90,1
36,58000,21,0.57,1
53,99000,41,0.84,1
41,71000,30,0.67,1
64,129000,53,0.96,1
32,49000,15,0.46,0
48,91000,38,0.81,1
20,23000,2,0.14,0
25,38000,10,0.31,0
45,83000,35,0.76,1
60,115000,47,0.91,1
37,59000,22,0.58,1
54,100000,42,0.85,1
42,72000,31,0.68,1
