timestamp,temperature,is_weekend,hour,consumption_kwh
2024-01-04T20:00:00,11.6,0,20,362.3
2024-01-04T21:00:00,10.4,0,21,318.8
2024-01-04T22:00:00,9.3,0,22,272.0
2024-01-04T23:00:00,8.2,0,23,225.9
2024-01-05T00:00:00,7.6,0,0,189.1
2024-01-05T01:00:00,7.1,0,1,176.2
2024-01-05T02:00:00,6.7,0,2,169.8
2024-01-05T03:00:00,6.3,0,3,164.3
2024-01-05T04:00:00,5.9,0,4,160.7
2024-01-05T05:00:00,5.6,0,5,157.2
2024-01-05T06:00:00,5.5,0,6,173.8
2024-01-05T07:00:00,6.9,0,7,236.0
2024-01-05T08:00:00,9.2,0,8,302.3
2024-01-05T09:00:00,11.6,0,9,338.7
2024-01-05T10:00:00,13.9,0,10,359.2
2024-01-05T11:00:00,16.2,0,11,366.6
2024-01-05T12:00:00,17.6,0,12,373.0
2024-01-05T13:00:00,19.2,0,13,369.3
2024-01-05T14:00:00,20.9,0,14,356.8
2024-01-05T15:00:00,21.3,0,15,349.5
2024-01-05T16:00:00,20.2,0,16,343.7
2024-01-05T17:00:00,18.0,0,17,353.9
2024-01-05T18:00:00,15.6,0,18,376.5
2024-01-05T19:00:00,13.9,0,19,383.8
2024-01-05T20:00:00,12.2,0,20,360.1
2024-01-05T21:00:00,11.0,0,21,316.6
2024-01-05T22:00:00,9.9,0,22,269.8
2024-01-05T23:00:00,8.8,0,23,223.7
2024-01-06T00:00:00,8.2,1,0,175.4
2024-01-06T01:00:00,7.7,1,1,165.8
2024-01-06T02:00:00,7.3,1,2,160.2
2024-01-06T03:00:00,6.9,1,3,155.6
2024-01-06T04:00:00,6.5,1,4,152.4
2024-01-06T05:00:00,6.2,1,5,149.7
2024-01-06T06:00:00,6.1,1,6,158.3
2024-01-06T07:00:00,7.5,1,7,195.8
2024-01-06T08:00:00,9.8,1,8,238.5
2024-01-06T09:00:00,12.2,1,9,268.4
2024-01-06T10:00:00,14.5,1,10,285.6
2024-01-06T11:00:00,16.8,1,11,295.3
2024-01-06T12:00:00,18.2,1,12,298.7
2024-01-06T13:00:00,19.8,1,13,296.5
2024-01-06T14:00:00,21.5,1,14,288.9
2024-01-06T15:00:00,21.9,1,15,283.2
2024-01-06T16:00:00,20.8,1,16,278.6
2024-01-06T17:00:00,18.6,1,17,285.4
2024-01-06T18:00:00,16.2,1,18,302.8
2024-01-06T19:00:00,14.5,1,19,308.5
2024-01-06T20:00:00,12.8,1,20,292.7
2024-01-06T21:00:00,11.6,1,21,262.4
2024-01-06T22:00:00,10.5,1,22,228.6
2024-01-06T23:00:00,9.4,1,23,195.8
2024-01-07T00:00:00,8.8,1,0,173.2
2024-01-07T01:00:00,8.3,1,1,163.6
2024-01-07T02:00:00,7.9,1,2,158.0
2024-01-07T03:00:00,7.5,1,3,153.4
2024-01-07T04:00:00,7.1,1,4,150.2
2024-01-07T05:00:00,6.8,1,5,147.5
2024-01-07T06:00:00,6.7,1,6,156.1
2024-01-07T07:00:00,8.1,1,7,193.6
2024-01-07T08:00:00,10.4,1,8,236.3
2024-01-07T09:00:00,12.8,1,9,266.2
2024-01-07T10:00:00,15.1,1,10,283.4
2024-01-07T11:00:00,17.4,1,11,293.1
2024-01-07T12:00:00,18.8,1,12,296.5
2024-01-07T13:00:00,20.4,1,13,294.3
2024-01-07T14:00:00,22.1,1,14,286.7
2024-01-07T15:00:00,22.5,1,15,281.0
2024-01-07T16:00:00,21.4,1,16,276.4
2024-01-07T17:00:00,19.2,1,17,283.2
2024-01-07T18:00:00,16.8,1,18,300.6
2024-01-07T19:00:00,15.1,1,19,306.3
2024-01-07T20:00:00,13.4,1,20,290.5
2024-01-07T21:00:00,12.2,1,21,260.2
2024-01-07T22:00:00,11.1,1,22,226.4
2024-01-07T23:00:00,10.0,1,23,193.6
2024-01-08T00:00:00,9.4,0,0,192.9
2024-01-08T01:00:00,8.9,0,1,180.0
2024-01-08T02:00:00,8.5,0,2,173.6
2024-01-08T03:00:00,8.1,0,3,168.1
2024-01-08T04:00:00,7.7,0,4,164.5
2024-01-08T05:00:00,7.4,0,5,161.0
2024-01-08T06:00:00,7.3,0,6,177.6
2024-01-08T07:00:00,8.7,0,7,239.8
2024-01-08T08:00:00,11.0,0,8,306.1
2024-01-08T09:00:00,13.4,0,9,342.5
2024-01-08T10:00:00,15.7,0,10,363.0
2024-01-08T11:00:00,18.0,0,11,370.4
2024-01-08T12:00:00,19.4,0,12,376.8
2024-01-08T13:00:00,21.0,0,13,373.1
2024-01-08T14:00:00,22.7,0,14,360.6
2024-01-08T15:00:00,23.1,0,15,353.3
2024-01-08T16:00:00,22.0,0,16,347.5
2024-01-08T17:00:00,19.8,0,17,357.7
2024-01-08T18:00:00,17.4,0,18,380.3
2024-01-08T19:00:00,15.7,0,19,387.6
2024-01-08T20:00:00,14.0,0,20,363.9
2024-01-08T21:00:00,12.8,0,21,320.4
2024-01-08T22:00:00,11.7,0,22,273.6
2024-01-08T23:00:00,10.6,0,23,227.5
2024-01-09T00:00:00,10.0,0,0,194.7
2024-01-09T01:00:00,9.5,0,1,181.8
2024-01-09T02:00:00,9.1,0,2,175.4
2024-01-09T03:00:00,8.7,0,3,169.9
2024-01-09T04:00:00,8.3,0,4,166.3
2024-01-09T05:00:00,8.0,0,5,162.8
2024-01-09T06:00:00,7.9,0,6,179.4
2024-01-09T07:00:00,9.3,0,7,241.6
2024-01-09T08:00:00,11.6,0,8,307.9
2024-01-09T09:00:00,14.0,0,9,344.3
2024-01-09T10:00:00,16.3,0,10,364.8
2024-01-09T11:00:00,18.6,0,11,372.2
2024-01-09T12:00:00,20.0,0,12,378.6
2024-01-09T13:00:00,21.6,0,13,374.9
2024-01-09T14:00:00,23.3,0,14,362.4
2024-01-09T15:00:00,23.7,0,15,355.1
2024-01-09T16:00:00,22.6,0,16,349.3
2024-01-09T17:00:00,20.4,0,17,359.5
2024-01-09T18:00:00,18.0,0,18,382.1
2024-01-09T19:00:00,16.3,0,19,389.4
2024-01-09T20:00:00,14.6,0,20,365.7
2024-01-09T21:00:00,13.4,0,21,322.2
2024-01-09T22:00:00,12.3,0,22,275.4
2024-01-09T23:00:00,11.2,0,23,229.3
2024-01-10T00:00:00,10.6,0,0,196.5
2024-01-10T01:00:00,10.1,0,1,183.6
2024-01-10T02:00:00,9.7,0,2,177.2
2024-01-10T03:00:00,9.3,0,3,171.7
2024-01-10T04:00:00,8.9,0,4,168.1
2024-01-10T05:00:00,8.6,0,5,164.6
2024-01-10T06:00:00,8.5,0,6,181.2
2024-01-10T07:00:00,9.9,0,7,243.4
2024-01-10T08:00:00,12.2,0,8,309.7
2024-01-10T09:00:00,14.6,0,9,346.1
2024-01-10T10:00:00,16.9,0,10,366.6
2024-01-10T11:00:00,19.2,0,11,374.0
2024-01-10T12:00:00,20.6,0,12,380.4
2024-01-10T13:00:00,22.2,0,13,376.7
2024-01-10T14:00:00,23.9,0,14,364.2
2024-01-10T15:00:00,24.3,0,15,356.9
2024-01-10T16:00:00,23.2,0,16,351.1
2024-01-10T17:00:00,21.0,0,17,361.3
2024-01-10T18:00:00,18.6,0,18,383.9
2024-01-10T19:00:00,16.9,0,19,391.2
2024-01-10T20:00:00,15.2,0,20,367.5
2024-01-10T21:00:00,14.0,0,21,324.0
2024-01-10T22:00:00,12.9,0,22,277.2
2024-01-10T23:00:00,11.8,0,23,231.1
2024-01-11T00:00:00,11.2,0,0,198.3
2024-01-11T01:00:00,10.7,0,1,185.4
2024-01-11T02:00:00,10.3,0,2,179.0
2024-01-11T03:00:00,9.9,0,3,173.5
2024-01-11T04:00:00,9.5,0,4,169.9
2024-01-11T05:00:00,9.2,0,5,166.4
2024-01-11T06:00:00,9.1,0,6,183.0
2024-01-11T07:00:00,10.5,0,7,245.2
2024-01-11T08:00:00,12.8,0,8,311.5
2024-01-11T09:00:00,15.2,0,9,347.9
2024-01-11T10:00:00,17.5,0,10,368.4
2024-01-11T11:00:00,19.8,0,11,375.8
2024-01-11T12:00:00,21.2,0,12,382.2
2024-01-11T13:00:00,22.8,0,13,378.5
2024-01-11T14:00:00,24.5,0,14,366.0
2024-01-11T15:00:00,24.9,0,15,358.7
2024-01-11T16:00:00,23.8,0,16,352.9
2024-01-11T17:00:00,21.6,0,17,363.1
2024-01-11T18:00:00,19.2,0,18,385.7
2024-01-11T19:00:00,17.5,0,19,393.0
2024-01-11T20:00:00,15.8,0,20,369.3
2024-01-11T21:00:00,14.6,0,21,325.8
2024-01-11T22:00:00,13.5,0,22,279.0
2024-01-11T23:00:00,12.4,0,23,232.9
2024-01-12T00:00:00,11.8,0,0,200.1
2024-01-12T01:00:00,11.3,0,1,187.2
2024-01-12T02:00:00,10.9,0,2,180.8
2024-01-12T03:00:00,10.5,0,3,175.3
2024-01-12T04:00:00,10.1,0,4,171.7
2024-01-12T05:00:00,9.8,0,5,168.2
2024-01-12T06:00:00,9.7,0,6,184.8
2024-01-12T07:00:00,11.1,0,7,247.0
2024-01-12T08:00:00,13.4,0,8,313.3
2024-01-12T09:00:00,15.8,0,9,349.7
2024-01-12T10:00:00,18.1,0,10,370.2
2024-01-12T11:00:00,20.4,0,11,377.6
2024-01-12T12:00:00,21.8,0,12,384.0
2024-01-12T13:00:00,23.4,0,13,380.3
2024-01-12T14:00:00,25.1,0,14,367.8
2024-01-12T15:00:00,25.5,0,15,360.5
2024-01-12T16:00:00,24.4,0,16,354.7
2024-01-12T17:00:00,22.2,0,17,364.9
2024-01-12T18:00:00,19.8,0,18,387.5
2024-01-12T19:00:00,18.1,0,19,394.8
2024-01-12T20:00:00,16.4,0,20,371.1
2024-01-12T21:00:00,15.2,0,21,327.6
2024-01-12T22:00:00,14.1,0,22,280.8
2024-01-12T23:00:00,13.0,0,23,234.7
2024-01-13T00:00:00,12.4,1,0,176.8
2024-01-13T01:00:00,11.9,1,1,167.2
2024-01-13T02:00:00,11.5,1,2,161.6
2024-01-13T03:00:00,11.1,1,3,157.0
2024-01-13T04:00:00,10.7,1,4,153.8
2024-01-13T05:00:00,10.4,1,5,151.1
2024-01-13T06:00:00,10.3,1,6,159.7
2024-01-13T07:00:00,11.7,1,7,197.2
2024-01-13T08:00:00,14.0,1,8,239.9
2024-01-13T09:00:00,16.4,1,9,269.8
2024-01-13T10:00:00,18.7,1,10,287.0
2024-01-13T11:00:00,21.0,1,11,296.7
2024-01-13T12:00:00,22.4,1,12,300.1
2024-01-13T13:00:00,24.0,1,13,297.9
2024-01-13T14:00:00,25.7,1,14,290.3
2024-01-13T15:00:00,26.1,1,15,284.6
2024-01-13T16:00:00,25.0,1,16,280.0
2024-01-13T17:00:00,22.8,1,17,286.8
2024-01-13T18:00:00,20.4,1,18,304.2
2024-01-13T19:00:00,18.7,1,19,309.9
2024-01-13T20:00:00,17.0,1,20,294.1
2024-01-13T21:00:00,15.8,1,21,263.8
2024-01-13T22:00:00,14.7,1,22,230.0
2024-01-13T23:00:00,13.6,1,23,197.2
2024-01-14T00:00:00,13.0,1,0,174.6
2024-01-14T01:00:00,12.5,1,1,165.0
2024-01-14T02:00:00,12.1,1,2,159.4
2024-01-14T03:00:00,11.7,1,3,154.8
2024-01-14T04:00:00,11.3,1,4,151.6
2024-01-14T05:00:00,11.0,1,5,148.9
2024-01-14T06:00:00,10.9,1,6,157.5
2024-01-14T07:00:00,12.3,1,7,195.0
2024-01-14T08:00:00,14.6,1,8,237.7
2024-01-14T09:00:00,17.0,1,9,267.6
2024-01-14T10:00:00,19.3,1,10,284.8
2024-01-14T11:00:00,21.6,1,11,294.5
2024-01-14T12:00:00,23.0,1,12,297.9
2024-01-14T13:00:00,24.6,1,13,295.7
2024-01-14T14:00:00,26.3,1,14,288.1
2024-01-14T15:00:00,26.7,1,15,282.4
2024-01-14T16:00:00,25.6,1,16,277.8
2024-01-14T17:00:00,23.4,1,17,284.6
2024-01-14T18:00:00,21.0,1,18,302.0
2024-01-14T19:00:00,19.3,1,19,307.7
2024-01-14T20:00:00,17.6,1,20,291.9
2024-01-14T21:00:00,16.4,1,21,261.6
2024-01-14T22:00:00,15.3,1,22,227.8
2024-01-14T23:00:00,14.2,1,23,195.0
2024-01-15T00:00:00,13.6,0,0,201.5
2024-01-15T01:00:00,13.1,0,1,188.6
2024-01-15T02:00:00,12.7,0,2,182.2
2024-01-15T03:00:00,12.3,0,3,176.7
2024-01-15T04:00:00,11.9,0,4,173.1
2024-01-15T05:00:00,11.6,0,5,169.6
2024-01-15T06:00:00,11.5,0,6,186.2
2024-01-15T07:00:00,12.9,0,7,248.4
2024-01-15T08:00:00,15.2,0,8,314.7
2024-01-15T09:00:00,17.6,0,9,351.1
2024-01-15T10:00:00,19.9,0,10,371.6
2024-01-15T11:00:00,22.2,0,11,379.0
2024-01-15T12:00:00,23.6,0,12,385.4
2024-01-15T13:00:00,25.2,0,13,381.7
2024-01-15T14:00:00,26.9,0,14,369.2
2024-01-15T15:00:00,27.3,0,15,361.9
2024-01-15T16:00:00,26.2,0,16,356.1
2024-01-15T17:00:00,24.0,0,17,366.3
2024-01-15T18:00:00,21.6,0,18,388.9
2024-01-15T19:00:00,19.9,0,19,396.2
2024-01-15T20:00:00,18.2,0,20,372.5
2024-01-15T21:00:00,17.0,0,21,329.0
2024-01-15T22:00:00,15.9,0,22,282.2
2024-01-15T23:00:00,14.8,0,23,236.1
2024-01-16T00:00:00,14.2,0,0,203.3
2024-01-16T01:00:00,13.7,0,1,190.4
2024-01-16T02:00:00,13.3,0,2,184.0
2024-01-16T03:00:00,12.9,0,3,178.5
2024-01-16T04:00:00,12.5,0,4,174.9
2024-01-16T05:00:00,12.2,0,5,171.4
2024-01-16T06:00:00,12.1,0,6,188.0
2024-01-16T07:00:00,13.5,0,7,250.2
2024-01-16T08:00:00,15.8,0,8,316.5
2024-01-16T09:00:00,18.2,0,9,352.9
2024-01-16T10:00:00,20.5,0,10,373.4
2024-01-16T11:00:00,22.8,0,11,380.8
2024-01-16T12:00:00,24.2,0,12,387.2
2024-01-16T13:00:00,25.8,0,13,383.5
2024-01-16T14:00:00,27.5,0,14,371.0
2024-01-16T15:00:00,27.9,0,15,363.7
2024-01-16T16:00:00,26.8,0,16,357.9
2024-01-16T17:00:00,24.6,0,17,368.1
2024-01-16T18:00:00,22.2,0,18,390.7
2024-01-16T19:00:00,20.5,0,19,398.0
2024-01-16T20:00:00,18.8,0,20,374.3
2024-01-16T21:00:00,17.6,0,21,330.8
2024-01-16T22:00:00,16.5,0,22,284.0
2024-01-16T23:00:00,15.4,0,23,237.9
2024-01-17T00:00:00,14.8,0,0,205.1
2024-01-17T01:00:00,14.3,0,1,192.2
2024-01-17T02:00:00,13.9,0,2,185.8
2024-01-17T03:00:00,13.5,0,3,180.3
2024-01-17T04:00:00,13.1,0,4,176.7
2024-01-17T05:00:00,12.8,0,5,173.2
2024-01-17T06:00:00,12.7,0,6,189.8
2024-01-17T07:00:00,14.1,0,7,252.0
2024-01-17T08:00:00,16.4,0,8,318.3
2024-01-17T09:00:00,18.8,0,9,354.7
2024-01-17T10:00:00,21.1,0,10,375.2
2024-01-17T11:00:00,23.4,0,11,382.6
2024-01-17T12:00:00,24.8,0,12,389.0
2024-01-17T13:00:00,26.4,0,13,385.3
2024-01-17T14:00:00,28.1,0,14,372.8
2024-01-17T15:00:00,28.5,0,15,365.5
2024-01-17T16:00:00,27.4,0,16,359.7
2024-01-17T17:00:00,25.2,0,17,369.9
2024-01-17T18:00:00,22.8,0,18,392.5
2024-01-17T19:00:00,21.1,0,19,399.8
2024-01-17T20:00:00,19.4,0,20,376.1
2024-01-17T21:00:00,18.2,0,21,332.6
2024-01-17T22:00:00,17.1,0,22,285.8
2024-01-17T23:00:00,16.0,0,23,239.7
2024-01-18T00:00:00,15.4,0,0,206.9
2024-01-18T01:00:00,14.9,0,1,194.0
2024-01-18T02:00:00,14.5,0,2,187.6
2024-01-18T03:00:00,14.1,0,3,182.1
2024-01-18T04:00:00,13.7,0,4,178.5
2024-01-18T05:00:00,13.4,0,5,175.0
2024-01-18T06:00:00,13.3,0,6,191.6
2024-01-18T07:00:00,14.7,0,7,253.8
2024-01-18T08:00:00,17.0,0,8,320.1
2024-01-18T09:00:00,19.4,0,9,356.5
2024-01-18T10:00:00,21.7,0,10,377.0
2024-01-18T11:00:00,24.0,0,11,384.4
2024-01-18T12:00:00,25.4,0,12,390.8
2024-01-18T13:00:00,27.0,0,13,387.1
2024-01-18T14:00:00,28.7,0,14,374.6
2024-01-18T15:00:00,29.1,0,15,367.3
2024-01-18T16:00:00,28.0,0,16,361.5
2024-01-18T17:00:00,25.8,0,17,371.7
2024-01-18T18:00:00,23.4,0,18,394.3
2024-01-18T19:00:00,21.7,0,19,401.6
2024-01-18T20:00:00,20.0,0,20,377.9
2024-01-18T21:00:00,18.8,0,21,334.4
2024-01-18T22:00:00,17.7,0,22,287.6
2024-01-18T23:00:00,16.6,0,23,241.5
2024-01-19T00:00:00,16.0,0,0,208.7
2024-01-19T01:00:00,15.5,0,1,195.8
2024-01-19T02:00:00,15.1,0,2,189.4
2024-01-19T03:00:00,14.7,0,3,183.9
2024-01-19T04:00:00,14.3,0,4,180.3
2024-01-19T05:00:00,14.0,0,5,176.8
2024-01-19T06:00:00,13.9,0,6,193.4
2024-01-19T07:00:00,15.3,0,7,255.6
2024-01-19T08:00:00,17.6,0,8,321.9
2024-01-19T09:00:00,20.0,0,9,358.3
2024-01-19T10:00:00,22.3,0,10,378.8
2024-01-19T11:00:00,24.6,0,11,386.2
2024-01-19T12:00:00,26.0,0,12,392.6
2024-01-19T13:00:00,27.6,0,13,388.9
2024-01-19T14:00:00,29.3,0,14,376.4
2024-01-19T15:00:00,29.7,0,15,369.1
2024-01-19T16:00:00,28.6,0,16,363.3
2024-01-19T17:00:00,26.4,0,17,373.5
2024-01-19T18:00:00,24.0,0,18,396.1
2024-01-19T19:00:00,22.3,0,19,403.4
2024-01-19T20:00:00,20.6,0,20,379.7
2024-01-19T21:00:00,19.4,0,21,336.2
2024-01-19T22:00:00,18.3,0,22,289.4
2024-01-19T23:00:00,17.2,0,23,243.3
2024-01-20T00:00:00,16.6,1,0,178.2
2024-01-20T01:00:00,16.1,1,1,168.6
2024-01-20T02:00:00,15.7,1,2,163.0
2024-01-20T03:00:00,15.3,1,3,158.4
2024-01-20T04:00:00,14.9,1,4,155.2
2024-01-20T05:00:00,14.6,1,5,152.5
2024-01-20T06:00:00,14.5,1,6,161.1
2024-01-20T07:00:00,15.9,1,7,198.6
2024-01-20T08:00:00,18.2,1,8,241.3
2024-01-20T09:00:00,20.6,1,9,271.2
2024-01-20T10:00:00,22.9,1,10,288.4
2024-01-20T11:00:00,25.2,1,11,298.1
2024-01-20T12:00:00,26.6,1,12,301.5
2024-01-20T13:00:00,28.2,1,13,299.3
2024-01-20T14:00:00,29.9,1,14,291.7
2024-01-20T15:00:00,30.3,1,15,286.0
2024-01-20T16:00:00,29.2,1,16,281.4
2024-01-20T17:00:00,27.0,1,17,288.2
2024-01-20T18:00:00,24.6,1,18,305.6
2024-01-20T19:00:00,22.9,1,19,311.3
2024-01-20T20:00:00,21.2,1,20,295.5
2024-01-20T21:00:00,20.0,1,21,265.2
2024-01-20T22:00:00,18.9,1,22,231.4
2024-01-20T23:00:00,17.8,1,23,198.6
2024-01-21T00:00:00,17.2,1,0,176.0
2024-01-21T01:00:00,16.7,1,1,166.4
2024-01-21T02:00:00,16.3,1,2,160.8
2024-01-21T03:00:00,15.9,1,3,156.2
2024-01-21T04:00:00,15.5,1,4,153.0
2024-01-21T05:00:00,15.2,1,5,150.3
2024-01-21T06:00:00,15.1,1,6,158.9
2024-01-21T07:00:00,16.5,1,7,196.4
2024-01-21T08:00:00,18.8,1,8,239.1
2024-01-21T09:00:00,21.2,1,9,269.0
2024-01-21T10:00:00,23.5,1,10,286.2
2024-01-21T11:00:00,25.8,1,11,295.9
2024-01-21T12:00:00,27.2,1,12,299.3
2024-01-21T13:00:00,28.8,1,13,297.1
2024-01-21T14:00:00,30.5,1,14,289.5
2024-01-21T15:00:00,30.9,1,15,283.8
2024-01-21T16:00:00,29.8,1,16,279.2
2024-01-21T17:00:00,27.6,1,17,286.0
2024-01-21T18:00:00,25.2,1,18,303.4
2024-01-21T19:00:00,23.5,1,19,309.1
2024-01-21T20:00:00,21.8,1,20,293.3
2024-01-21T21:00:00,20.6,1,21,263.0
2024-01-21T22:00:00,19.5,1,22,229.2
2024-01-21T23:00:00,18.4,1,23,196.4
2024-01-22T00:00:00,17.8,0,0,210.1
2024-01-22T01:00:00,17.3,0,1,197.2
2024-01-22T02:00:00,16.9,0,2,190.8
2024-01-22T03:00:00,16.5,0,3,185.3
2024-01-22T04:00:00,16.1,0,4,181.7
2024-01-22T05:00:00,15.8,0,5,178.2
2024-01-22T06:00:00,15.7,0,6,194.8
2024-01-22T07:00:00,17.1,0,7,257.0
2024-01-22T08:00:00,19.4,0,8,323.3
2024-01-22T09:00:00,21.8,0,9,359.7
2024-01-22T10:00:00,24.1,0,10,380.2
2024-01-22T11:00:00,26.4,0,11,387.6
2024-01-22T12:00:00,27.8,0,12,394.0
2024-01-22T13:00:00,29.4,0,13,390.3
2024-01-22T14:00:00,31.1,0,14,377.8
2024-01-22T15:00:00,31.5,0,15,370.5
2024-01-22T16:00:00,30.4,0,16,364.7
2024-01-22T17:00:00,28.2,0,17,374.9
2024-01-22T18:00:00,25.8,0,18,397.5
2024-01-22T19:00:00,24.1,0,19,404.8
2024-01-22T20:00:00,22.4,0,20,381.1
2024-01-22T21:00:00,21.2,0,21,337.6
2024-01-22T22:00:00,20.1,0,22,290.8
2024-01-22T23:00:00,19.0,0,23,244.7
2024-01-23T00:00:00,18.4,0,0,211.9
2024-01-23T01:00:00,17.9,0,1,199.0
2024-01-23T02:00:00,17.5,0,2,192.6
2024-01-23T03:00:00,17.1,0,3,187.1
2024-01-23T04:00:00,16.7,0,4,183.5
2024-01-23T05:00:00,16.4,0,5,180.0
2024-01-23T06:00:00,16.3,0,6,196.6
2024-01-23T07:00:00,17.7,0,7,258.8
2024-01-23T08:00:00,20.0,0,8,325.1
2024-01-23T09:00:00,22.4,0,9,361.5
2024-01-23T10:00:00,24.7,0,10,382.0
2024-01-23T11:00:00,27.0,0,11,389.4
2024-01-23T12:00:00,28.4,0,12,395.8
2024-01-23T13:00:00,30.0,0,13,392.1
2024-01-23T14:00:00,31.7,0,14,379.6
2024-01-23T15:00:00,32.1,0,15,372.3
2024-01-23T16:00:00,31.0,0,16,366.5
2024-01-23T17:00:00,28.8,0,17,376.7
2024-01-23T18:00:00,26.4,0,18,399.3
2024-01-23T19:00:00,24.7,0,19,406.6
2024-01-23T20:00:00,23.0,0,20,382.9
2024-01-23T21:00:00,21.8,0,21,339.4
2024-01-23T22:00:00,20.7,0,22,292.6
2024-01-23T23:00:00,19.6,0,23,246.5
2024-01-24T00:00:00,19.0,0,0,213.7
2024-01-24T01:00:00,18.5,0,1,200.8
2024-01-24T02:00:00,18.1,0,2,194.4
2024-01-24T03:00:00,17.7,0,3,188.9
2024-01-24T04:00:00,17.3,0,4,185.3
