customer_age,account_tenure_months,monthly_bill,total_spent,contract_type,payment_method,churn
42,36,88.3,2960.0,One Year,Credit Card,0
66,115,51.8,6360.0,Two Year,Credit Card,0
28,9,166.2,1260.0,Month-to-Month,Electronic Check,1
54,73,64.5,4520.0,Two Year,Bank Transfer,0
37,22,113.7,2200.0,Month-to-Month,Bank Transfer,1
61,103,56.6,5920.0,Two Year,Credit Card,0
33,14,137.5,1620.0,Month-to-Month,Electronic Check,1
49,58,69.3,3820.0,Two Year,Credit Card,0
44,40,84.6,3240.0,One Year,Bank Transfer,0
39,25,108.1,2500.0,One Year,Credit Card,0
62,107,54.9,6040.0,Two Year,Bank Transfer,0
25,5,193.8,900.0,Month-to-Month,Electronic Check,1
51,61,67.9,4100.0,Two Year,Credit Card,0
34,17,130.4,1760.0,Month-to-Month,Mailed Check,1
55,84,62.3,5280.0,Two Year,Credit Card,0
29,10,155.9,1340.0,Month-to-Month,Electronic Check,1
45,43,80.6,3310.0,One Year,Credit Card,0
40,28,102.4,2640.0,One Year,Bank Transfer,0
63,109,54.1,6200.0,Two Year,Credit Card,0
26,6,177.9,1000.0,Month-to-Month,Electronic Check,1
52,64,66.8,4220.0,Two Year,Bank Transfer,0
35,18,126.3,1860.0,Month-to-Month,Bank Transfer,1
57,91,60.1,5580.0,Two Year,Credit Card,0
31,11,149.7,1440.0,Month-to-Month,Electronic Check,1
46,47,76.9,3480.0,One Year,Credit Card,0
41,31,93.5,2760.0,One Year,Bank Transfer,0
64,112,53.2,6280.0,Two Year,Credit Card,0
27,8,172.6,1160.0,Month-to-Month,Mailed Check,1
53,68,65.6,4360.0,Two Year,Bank Transfer,0
36,20,119.8,2040.0,Month-to-Month,Electronic Check,1
58,97,58.4,5680.0,Two Year,Credit Card,0
32,13,141.2,1480.0,Month-to-Month,Electronic Check,1
48,55,70.4,3740.0,Two Year,Bank Transfer,0
42,37,87.9,2980.0,One Year,Credit Card,0
65,116,51.6,6380.0,Two Year,Credit Card,0
28,9,167.8,1280.0,Month-to-Month,Electronic Check,1
54,74,64.2,4540.0,Two Year,Bank Transfer,0
37,23,115.3,2220.0,Month-to-Month,Bank Transfer,1
60,104,56.4,5940.0,Two Year,Credit Card,0
33,15,138.9,1640.0,Month-to-Month,Electronic Check,1
49,59,68.9,3840.0,Two Year,Credit Card,0
43,41,84.1,3260.0,One Year,Bank Transfer,0
38,26,109.6,2520.0,One Year,Credit Card,0
61,108,54.7,6060.0,Two Year,Bank Transfer,0
24,6,196.4,920.0,Month-to-Month,Electronic Check,1
50,62,67.5,4120.0,Two Year,Credit Card,0
34,18,131.8,1780.0,Month-to-Month,Mailed Check,1
56,85,61.9,5300.0,Two Year,Credit Card,0
30,10,157.4,1360.0,Month-to-Month,Electronic Check,1
45,44,79.8,3330.0,One Year,Credit Card,0
40,29,103.9,2660.0,One Year,Bank Transfer,0
63,110,53.8,6220.0,Two Year,Credit Card,0
26,7,183.5,1020.0,Month-to-Month,Electronic Check,1
52,65,66.5,4240.0,Two Year,Bank Transfer,0
35,19,127.9,1880.0,Month-to-Month,Bank Transfer,1
57,93,59.7,5600.0,Two Year,Credit Card,0
31,12,151.3,1460.0,Month-to-Month,Electronic Check,1
47,48,76.3,3500.0,One Year,Credit Card,0
41,32,92.8,2780.0,One Year,Bank Transfer,0
64,113,53.0,6300.0,Two Year,Credit Card,0
27,8,174.9,1180.0,Month-to-Month,Mailed Check,1
53,69,65.3,4380.0,Two Year,Bank Transfer,0
36,21,121.4,2060.0,Month-to-Month,Electronic Check,1
59,98,58.2,5700.0,Two Year,Credit Card,0
32,13,144.6,1500.0,Month-to-Month,Electronic Check,1
48,56,70.1,3760.0,Two Year,Bank Transfer,0
42,38,87.4,3000.0,One Year,Credit Card,0
66,117,51.4,6400.0,Two Year,Credit Card,0
29,10,169.5,1300.0,Month-to-Month,Electronic Check,1
54,75,63.9,4560.0,Two Year,Bank Transfer,0
38,24,116.8,2240.0,Month-to-Month,Bank Transfer,1
61,105,56.2,5960.0,Two Year,Credit Card,0
34,16,140.3,1660.0,Month-to-Month,Electronic Check,1
50,60,68.6,3860.0,Two Year,Credit Card,0
44,42,83.7,3280.0,One Year,Bank Transfer,0
39,27,111.2,2540.0,One Year,Credit Card,0
62,109,54.5,6080.0,Two Year,Bank Transfer,0
25,6,198.7,940.0,Month-to-Month,Electronic Check,1
51,63,67.2,4140.0,Two Year,Credit Card,0
35,19,133.2,1800.0,Month-to-Month,Mailed Check,1
55,86,61.6,5320.0,Two Year,Credit Card,0
30,11,158.9,1380.0,Month-to-Month,Electronic Check,1
46,45,79.3,3350.0,One Year,Credit Card,0
41,30,105.6,2680.0,One Year,Bank Transfer,0
63,111,53.6,6240.0,Two Year,Credit Card,0
27,7,185.8,1040.0,Month-to-Month,Electronic Check,1
52,66,66.1,4260.0,Two Year,Bank Transfer,0
36,20,129.5,1900.0,Month-to-Month,Bank Transfer,1
58,94,59.4,5620.0,Two Year,Credit Card,0
31,12,152.8,1480.0,Month-to-Month,Electronic Check,1
47,49,75.7,3520.0,One Year,Credit Card,0
41,33,91.4,2800.0,One Year,Bank Transfer,0
64,114,52.8,6320.0,Two Year,Credit Card,0
28,9,176.3,1200.0,Month-to-Month,Mailed Check,1
53,70,64.9,4400.0,Two Year,Bank Transfer,0
37,22,123.1,2080.0,Month-to-Month,Electronic Check,1
59,99,57.9,5720.0,Two Year,Credit Card,0
32,14,146.9,1520.0,Month-to-Month,Electronic Check,1
48,57,69.7,3780.0,Two Year,Bank Transfer,0
43,39,86.8,3020.0,One Year,Credit Card,0
67,118,51.2,6420.0,Two Year,Credit Card,0
29,10,171.2,1320.0,Month-to-Month,Electronic Check,1
54,76,63.6,4580.0,Two Year,Bank Transfer,0
38,25,118.4,2260.0,Month-to-Month,Bank Transfer,1
60,106,55.9,5980.0,Two Year,Credit Card,0
34,17,142.7,1680.0,Month-to-Month,Electronic Check,1
50,61,68.3,3880.0,Two Year,Credit Card,0
44,43,83.2,3300.0,One Year,Bank Transfer,0
40,28,112.8,2560.0,One Year,Credit Card,0
62,110,54.3,6100.0,Two Year,Bank Transfer,0
25,7,194.3,960.0,Month-to-Month,Electronic Check,1
51,64,66.8,4160.0,Two Year,Credit Card,0
35,20,134.6,1820.0,Month-to-Month,Mailed Check,1
56,87,61.3,5340.0,Two Year,Credit Card,0
30,11,160.5,1400.0,Month-to-Month,Electronic Check,1
45,46,78.9,3370.0,One Year,Credit Card,0
41,31,107.2,2700.0,One Year,Bank Transfer,0
63,112,53.4,6260.0,Two Year,Credit Card,0
27,8,187.9,1060.0,Month-to-Month,Electronic Check,1
52,67,65.8,4280.0,Two Year,Bank Transfer,0
36,21,131.8,1920.0,Month-to-Month,Bank Transfer,1
57,95,59.1,5640.0,Two Year,Credit Card,0
31,13,154.2,1500.0,Month-to-Month,Electronic Check,1
47,50,75.2,3540.0,One Year,Credit Card,0
42,34,90.6,2820.0,One Year,Bank Transfer,0
64,115,52.6,6340.0,Two Year,Credit Card,0
28,10,178.6,1220.0,Month-to-Month,Mailed Check,1
53,71,64.6,4420.0,Two Year,Bank Transfer,0
37,23,124.7,2100.0,Month-to-Month,Electronic Check,1
59,100,57.7,5740.0,Two Year,Credit Card,0
33,15,148.3,1540.0,Month-to-Month,Electronic Check,1
49,58,69.4,3800.0,Two Year,Bank Transfer,0
43,40,86.3,3040.0,One Year,Credit Card,0
68,119,51.0,6440.0,Two Year,Credit Card,0
29,11,173.8,1340.0,Month-to-Month,Electronic Check,1
54,77,63.3,4600.0,Two Year,Bank Transfer,0
38,26,119.9,2280.0,Month-to-Month,Bank Transfer,1
61,107,55.7,6000.0,Two Year,Credit Card,0
34,18,144.1,1700.0,Month-to-Month,Electronic Check,1
50,62,67.9,3900.0,Two Year,Credit Card,0
44,44,82.8,3320.0,One Year,Bank Transfer,0
40,29,114.3,2580.0,One Year,Credit Card,0
62,111,54.1,6120.0,Two Year,Bank Transfer,0
26,7,197.6,980.0,Month-to-Month,Electronic Check,1
51,65,66.5,4180.0,Two Year,Credit Card,0
35,21,136.4,1840.0,Month-to-Month,Mailed Check,1
55,88,61.1,5360.0,Two Year,Credit Card,0
30,12,162.3,1420.0,Month-to-Month,Electronic Check,1
46,47,78.4,3390.0,One Year,Credit Card,0
41,32,108.9,2720.0,One Year,Bank Transfer,0
63,113,53.2,6280.0,Two Year,Credit Card,0
27,9,189.4,1080.0,Month-to-Month,Electronic Check,1
52,68,65.4,4300.0,Two Year,Bank Transfer,0
36,22,133.2,1940.0,Month-to-Month,Bank Transfer,1
58,96,58.8,5660.0,Two Year,Credit Card,0
32,14,155.7,1520.0,Month-to-Month,Electronic Check,1
48,51,74.8,3560.0,One Year,Credit Card,0
42,35,89.9,2840.0,One Year,Bank Transfer,0
65,116,52.4,6360.0,Two Year,Credit Card,0
28,10,180.2,1240.0,Month-to-Month,Mailed Check,1
53,72,64.3,4440.0,Two Year,Bank Transfer,0
37,24,126.3,2120.0,Month-to-Month,Electronic Check,1
60,101,57.5,5760.0,Two Year,Credit Card,0
33,16,149.8,1560.0,Month-to-Month,Electronic Check,1
49,59,69.1,3820.0,Two Year,Bank Transfer,0
43,41,85.9,3060.0,One Year,Credit Card,0
69,120,50.8,6460.0,Two Year,Credit Card,0
29,11,175.6,1360.0,Month-to-Month,Electronic Check,1
54,78,63.1,4620.0,Two Year,Bank Transfer,0
38,27,121.5,2300.0,Month-to-Month,Bank Transfer,1
61,108,55.5,6020.0,Two Year,Credit Card,0
34,19,145.8,1720.0,Month-to-Month,Electronic Check,1
50,63,67.6,3920.0,Two Year,Credit Card,0
45,45,82.3,3340.0,One Year,Bank Transfer,0
40,30,115.9,2600.0,One Year,Credit Card,0
62,112,53.9,6140.0,Two Year,Bank Transfer,0
26,8,199.2,1000.0,Month-to-Month,Electronic Check,1
51,66,66.2,4200.0,Two Year,Credit Card,0
35,22,138.1,1860.0,Month-to-Month,Mailed Check,1
56,89,60.8,5380.0,Two Year,Credit Card,0
30,12,164.7,1440.0,Month-to-Month,Electronic Check,1
46,48,77.9,3410.0,One Year,Credit Card,0
41,33,110.5,2740.0,One Year,Bank Transfer,0
63,114,53.0,6300.0,Two Year,Credit Card,0
27,9,192.8,1100.0,Month-to-Month,Electronic Check,1
52,69,65.1,4320.0,Two Year,Bank Transfer,0
36,23,134.9,1960.0,Month-to-Month,Bank Transfer,1
57,97,58.5,5680.0,Two Year,Credit Card,0
31,15,157.3,1540.0,Month-to-Month,Electronic Check,1
47,52,74.5,3580.0,One Year,Credit Card,0
42,36,89.2,2860.0,One Year,Bank Transfer,0
64,117,52.2,6380.0,Two Year,Credit Card,0
28,11,182.5,1260.0,Month-to-Month,Mailed Check,1
53,73,64.0,4460.0,Two Year,Bank Transfer,0
37,25,127.9,2140.0,Month-to-Month,Electronic Check,1
59,102,57.3,5780.0,Two Year,Credit Card,0
33,17,151.4,1580.0,Month-to-Month,Electronic Check,1
49,60,68.8,3840.0,Two Year,Bank Transfer,0
43,42,85.4,3080.0,One Year,Credit Card,0
70,118,50.6,6480.0,Two Year,Credit Card,0
29,12,177.3,1380.0,Month-to-Month,Electronic Check,1
54,79,62.8,4640.0,Two Year,Bank Transfer,0
38,28,123.2,2320.0,Month-to-Month,Bank Transfer,1
60,109,55.3,6040.0,Two Year,Credit Card,0
34,20,147.5,1740.0,Month-to-Month,Electronic Check,1
50,64,67.3,3940.0,Two Year,Credit Card,0
44,46,81.9,3360.0,One Year,Bank Transfer,0
39,31,117.4,2620.0,One Year,Credit Card,0
62,113,53.7,6160.0,Two Year,Bank Transfer,0
25,8,195.8,1020.0,Month-to-Month,Electronic Check,1
51,67,65.9,4220.0,Two Year,Credit Card,0
35,23,139.7,1880.0,Month-to-Month,Mailed Check,1
55,90,60.5,5400.0,Two Year,Credit Card,0
30,13,166.4,1460.0,Month-to-Month,Electronic Check,1
46,49,77.5,3430.0,One Year,Credit Card,0
41,34,112.2,2760.0,One Year,Bank Transfer,0
63,115,52.8,6320.0,Two Year,Credit Card,0
27,10,188.9,1120.0,Month-to-Month,Electronic Check,1
52,70,64.8,4340.0,Two Year,Bank Transfer,0
36,24,136.5,1980.0,Month-to-Month,Bank Transfer,1
58,98,58.2,5700.0,Two Year,Credit Card,0
32,16,158.9,1560.0,Month-to-Month,Electronic Check,1
48,53,74.1,3600.0,One Year,Credit Card,0
42,37,88.5,2880.0,One Year,Bank Transfer,0
65,118,52.0,6400.0,Two Year,Credit Card,0
28,11,184.3,1280.0,Month-to-Month,Mailed Check,1
53,74,63.7,4480.0,Two Year,Bank Transfer,0
37,26,129.6,2160.0,Month-to-Month,Electronic Check,1
61,103,57.1,5800.0,Two Year,Credit Card,0
33,18,152.9,1600.0,Month-to-Month,Electronic Check,1
49,61,68.5,3860.0,Two Year,Bank Transfer,0
43,43,84.9,3100.0,One Year,Credit Card,0
71,119,50.4,6500.0,Two Year,Credit Card,0
29,12,179.1,1400.0,Month-to-Month,Electronic Check,1
54,80,62.5,4660.0,Two Year,Bank Transfer,0
38,29,124.8,2340.0,Month-to-Month,Bank Transfer,1
60,110,55.1,6060.0,Two Year,Credit Card,0
34,21,149.2,1760.0,Month-to-Month,Electronic Check,1
50,65,67.0,3960.0,Two Year,Credit Card,0
45,47,81.5,3380.0,One Year,Bank Transfer,0
40,32,118.9,2640.0,One Year,Credit Card,0
80,115,48.5,14500.0,Two Year,Bank Transfer,0
