layer_type,input_dim,output_dim,params_count,inference_time_ms,memory_mb
attention,96,72,95000,3.8,24.5
transformer,384,288,985000,19.6,112.7
residual,192,144,285000,7.2,46.8
depthwise_conv,96,72,15000,1.5,9.8
conv2d,48,36,38000,2.4,18.6
linear,96,72,68000,2.2,16.4
lstm,192,144,295000,7.8,48.5
gru,384,288,585000,13.2,76.8
attention,192,144,195000,5.6,35.8
transformer,768,576,1450000,29.8,158.6
residual,384,288,585000,13.8,81.2
depthwise_conv,192,144,32000,2.8,19.4
conv2d,128,80,142000,5.4,34.8
linear,256,160,268000,6.5,42.3
lstm,512,320,825000,16.8,98.5
gru,256,160,285000,7.9,49.6
attention,128,80,112000,4.3,27.8
transformer,512,320,1240000,24.5,135.8
residual,256,160,365000,8.5,51.2
depthwise_conv,128,80,20000,2.0,13.5
conv2d,64,40,52000,3.1,21.7
linear,128,80,98000,2.9,19.8
lstm,256,160,395000,9.2,56.4
gru,512,320,685000,15.2,87.3
attention,256,160,245000,6.7,43.8
transformer,1024,640,1680000,36.8,174.2
residual,512,320,725000,16.5,89.8
depthwise_conv,256,160,42000,3.2,24.2
conv2d,32,16,18000,1.2,9.5
linear,64,32,22000,0.9,8.2
lstm,128,64,145000,4.8,31.5
gru,256,128,285000,8.2,52.8
attention,512,256,1150000,20.8,115.6
transformer,256,128,565000,13.5,74.8
residual,1024,512,1450000,29.6,158.4
depthwise_conv,512,256,78000,4.5,30.8
conv2d,256,128,345000,8.6,50.6
linear,512,256,465000,10.8,65.2
lstm,1024,512,1480000,30.8,168.5
gru,512,256,665000,15.8,92.4
attention,256,128,235000,6.5,40.8
transformer,512,256,1150000,22.3,126.8
residual,256,128,375000,8.1,46.9
depthwise_conv,128,64,16000,1.6,10.2
conv2d,96,48,88000,4.2,27.6
linear,192,96,195000,5.4,36.8
lstm,384,192,625000,14.2,84.6
gru,192,96,225000,6.5,41.8
attention,96,48,88000,3.6,23.2
transformer,384,192,935000,19.2,110.4
residual,192,96,275000,6.9,45.2
depthwise_conv,96,48,12000,1.3,8.6
conv2d,160,80,210000,6.8,40.5
linear,320,160,385000,8.9,54.7
lstm,640,320,1120000,21.5,128.3
gru,320,160,445000,10.8,66.8
attention,160,80,165000,5.2,33.6
transformer,640,320,1385000,27.6,148.9
residual,320,160,495000,11.5,70.4
depthwise_conv,160,80,26000,2.3,15.8
conv2d,80,40,68000,3.6,24.2
linear,160,80,128000,3.8,25.6
lstm,320,160,525000,12.5,72.8
gru,640,320,925000,18.6,105.7
attention,320,160,385000,9.2,58.4
transformer,1280,640,1920000,43.8,198.6
residual,640,320,1025000,21.8,118.5
depthwise_conv,320,160,58000,3.8,27.4
conv2d,72,36,62000,3.4,22.8
linear,144,72,105000,3.2,22.4
lstm,288,144,465000,11.2,68.5
gru,144,72,165000,5.6,36.2
attention,72,36,68000,2.9,19.6
transformer,288,144,685000,16.8,88.6
residual,144,72,195000,5.8,38.4
depthwise_conv,72,36,9000,1.1,7.4
conv2d,200,100,285000,7.8,46.8
linear,400,200,485000,11.2,68.5
lstm,800,400,1350000,26.8,145.8
gru,400,200,565000,13.5,78.6
attention,200,100,215000,6.2,39.8
transformer,800,400,1585000,32.5,168.4
residual,400,200,625000,14.8,84.2
depthwise_conv,200,100,35000,2.9,20.5
conv2d,100,50,115000,4.8,30.6
linear,200,100,205000,5.8,38.4
lstm,400,200,685000,15.8,92.6
gru,800,400,1185000,23.5,132.8
attention,400,200,485000,11.5,69.8
transformer,1600,800,2000000,48.6,200.0
residual,800,400,1285000,26.5,148.6
depthwise_conv,400,200,72000,4.2,31.8
conv2d,112,56,135000,5.2,32.8
linear,224,112,245000,6.5,42.6
lstm,448,224,785000,17.2,102.4
gru,224,112,265000,7.8,50.4
attention,112,56,115000,4.2,28.5
transformer,448,224,1085000,22.8,124.8
residual,224,112,315000,7.6,51.2
depthwise_conv,112,56,18000,1.7,11.5
conv2d,56,28,48000,2.8,19.8
linear,112,56,68000,2.4,18.2
lstm,224,112,325000,8.6,54.8
gru,448,224,625000,15.6,88.4
attention,224,112,245000,6.9,44.2
transformer,896,448,1685000,38.5,182.6
residual,448,224,725000,17.2,95.8
depthwise_cv,224,112,48000,3.6,26.4
conv2d,176,88,245000,7.2,44.8
linear,352,176,425000,10.2,62.8
lstm,704,352,1185000,24.5,138.6
gru,352,176,485000,12.2,74.5
attention,176,88,185000,5.8,37.2
transformer,704,352,1445000,30.8,162.4
residual,352,176,545000,13.2,79.6
depthwise_conv,176,88,30000,2.6,18.6
conv2d,88,44,95000,4.5,28.4
linear,176,88,165000,5.2,34.8
lstm,352,176,585000,14.5,85.2
gru,704,352,1025000,21.8,122.6
attention,352,176,425000,10.5,66.8
transformer,1408,704,1850000,44.2,194.8
residual,704,352,1125000,24.2,136.4
depthweith_conv,352,176,65000,4.1,29.8
