tenure,monthly_charges,total_charges,contract_type,payment_method,internet_service,churn
56,90.10,5045.60,Two year,Credit card,Fiber optic,0
13,57.50,747.50,Month-to-month,Mailed check,DSL,1
44,81.00,3564.00,Two year,Bank transfer,Fiber optic,0
25,66.70,1667.50,Month-to-month,Electronic check,Fiber optic,1
32,70.30,2249.60,One year,Credit card,DSL,0
6,42.10,252.60,Month-to-month,Mailed check,No,1
52,87.40,4544.80,Two year,Bank transfer,Fiber optic,0
17,61.90,1052.30,Month-to-month,Electronic check,DSL,1
40,77.60,3104.00,One year,Credit card,Fiber optic,0
9,46.80,421.20,Month-to-month,Mailed check,DSL,1
59,93.30,5504.70,Two year,Bank transfer,Fiber optic,0
20,64.00,1280.00,Month-to-month,Electronic check,Fiber optic,1
34,72.40,2461.60,One year,Credit card,DSL,0
7,43.20,302.40,Month-to-month,Mailed check,No,1
47,83.50,3924.50,Two year,Bank transfer,Fiber optic,0
15,59.10,886.50,Month-to-month,Electronic check,DSL,1
41,78.70,3226.70,One year,Credit card,Fiber optic,0
8,45.40,363.20,Month-to-month,Mailed check,DSL,1
55,89.20,4906.00,Two year,Bank transfer,Fiber optic,0
23,66.20,1522.60,Month-to-month,Electronic check,Fiber optic,1
37,74.30,2749.10,One year,Credit card,DSL,0
5,40.80,204.00,Month-to-month,Mailed check,No,1
50,85.60,4280.00,Two year,Bank transfer,Fiber optic,0
12,54.70,656.40,Month-to-month,Electronic check,DSL,1
43,79.90,3435.70,Two year,Credit card,Fiber optic,0
26,67.80,1762.80,Month-to-month,Mailed check,Fiber optic,1
31,69.50,2154.50,One year,Bank transfer,DSL,0
4,38.90,155.60,Month-to-month,Electronic check,No,1
61,96.20,5868.20,Two year,Credit card,Fiber optic,0
14,58.30,816.20,Month-to-month,Mailed check,DSL,1
46,82.80,3808.80,Two year,Bank transfer,Fiber optic,0
19,62.50,1187.50,Month-to-month,Electronic check,Fiber optic,1
28,68.90,1929.20,One year,Credit card,DSL,0
6,41.50,249.00,Month-to-month,Mailed check,No,1
53,88.50,4690.50,Two year,Bank transfer,Fiber optic,0
16,60.20,963.20,Month-to-month,Electronic check,DSL,1
39,76.10,2967.90,One year,Credit card,Fiber optic,0
10,47.90,479.00,Month-to-month,Mailed check,DSL,1
58,92.40,5359.20,Two year,Bank transfer,Fiber optic,0
21,64.80,1360.80,Month-to-month,Electronic check,Fiber optic,1
35,73.10,2558.50,One year,Credit card,DSL,0
7,43.60,305.20,Month-to-month,Mailed check,No,1
62,97.10,6020.20,Two year,Bank transfer,Fiber optic,0
13,56.40,733.20,Month-to-month,Electronic check,DSL,1
45,81.90,3685.50,Two year,Credit card,Fiber optic,0
24,66.00,1584.00,Month-to-month,Mailed check,Fiber optic,1
33,71.60,2362.80,One year,Bank transfer,DSL,0
5,39.70,198.50,Month-to-month,Electronic check,No,1
51,86.70,4421.70,Two year,Credit card,Fiber optic,0
17,61.30,1042.10,Month-to-month,Mailed check,DSL,1
42,78.40,3292.80,One year,Bank transfer,Fiber optic,0
9,46.20,415.80,Month-to-month,Electronic check,DSL,1
56,90.80,5084.80,Two year,Credit card,Fiber optic,0
22,65.40,1438.80,Month-to-month,Mailed check,Fiber optic,1
36,73.80,2656.80,One year,Bank transfer,DSL,0
8,44.90,359.20,Month-to-month,Electronic check,No,1
54,89.60,4838.40,Two year,Credit card,Fiber optic,0
14,57.80,809.20,Month-to-month,Mailed check,DSL,1
47,83.20,3910.40,Two year,Bank transfer,Fiber optic,0
20,63.70,1274.00,Month-to-month,Electronic check,Fiber optic,1
29,69.20,2006.80,One year,Credit card,DSL,0
6,42.30,253.80,Month-to-month,Mailed check,No,1
60,94.50,5670.00,Two year,Bank transfer,Fiber optic,0
11,53.10,584.10,Month-to-month,Electronic check,DSL,1
40,77.30,3092.00,One year,Credit card,Fiber optic,0
18,62.80,1130.40,Month-to-month,Mailed check,Fiber optic,1
48,84.10,4036.80,Two year,Bank transfer,Fiber optic,0
25,66.50,1662.50,Month-to-month,Electronic check,Fiber optic,1
37,74.70,2763.90,One year,Credit card,DSL,0
4,39.50,158.00,Month-to-month,Mailed check,No,1
64,98.30,6291.20,Two year,Bank transfer,Fiber optic,0
15,59.40,891.00,Month-to-month,Electronic check,DSL,1
43,80.20,3448.60,Two year,Credit card,Fiber optic,0
23,65.80,1513.40,Month-to-month,Mailed check,Fiber optic,1
32,70.80,2265.60,One year,Bank transfer,DSL,0
7,43.40,303.80,Month-to-month,Electronic check,No,1
57,91.70,5226.90,Two year,Credit card,Fiber optic,0
12,55.60,667.20,Month-to-month,Mailed check,DSL,1
41,78.00,3198.00,One year,Bank transfer,Fiber optic,0
10,48.70,487.00,Month-to-month,Electronic check,DSL,1
59,93.80,5534.20,Two year,Credit card,Fiber optic,0
19,63.40,1204.60,Month-to-month,Mailed check,Fiber optic,1
34,72.10,2451.40,One year,Bank transfer,DSL,0
5,40.40,202.00,Month-to-month,Electronic check,No,1
52,87.90,4570.80,Two year,Credit card,Fiber optic,0
16,60.50,968.00,Month-to-month,Mailed check,DSL,1
44,81.50,3586.00,Two year,Bank transfer,Fiber optic,0
21,64.30,1350.30,Month-to-month,Electronic check,Fiber optic,1
30,69.80,2094.00,One year,Credit card,DSL,0
8,45.10,360.80,Month-to-month,Mailed check,No,1
55,89.90,4944.50,Two year,Bank transfer,Fiber optic,0
13,57.20,743.60,Month-to-month,Electronic check,DSL,1
46,82.40,3790.40,Two year,Credit card,Fiber optic,0
24,66.30,1591.20,Month-to-month,Mailed check,Fiber optic,1
38,75.60,2872.80,One year,Bank transfer,DSL,0
6,41.80,250.80,Month-to-month,Electronic check,No,1
61,95.70,5837.70,Two year,Credit card,Fiber optic,0
17,61.60,1047.20,Month-to-month,Mailed check,DSL,1
42,79.20,3326.40,One year,Bank transfer,Fiber optic,0
9,46.50,418.50,Month-to-month,Electronic check,DSL,1
58,92.10,5341.80,Two year,Credit card,Fiber optic,0
22,65.10,1432.20,Month-to-month,Mailed check,Fiber optic,1
35,73.40,2569.00,One year,Bank transfer,DSL,0
7,43.70,305.90,Month-to-month,Electronic check,No,1
63,97.80,6161.40,Two year,Credit card,Fiber optic,0
14,58.00,812.00,Month-to-month,Mailed check,DSL,1
49,85.20,4174.80,Two year,Bank transfer,Fiber optic,0
20,63.90,1278.00,Month-to-month,Electronic check,Fiber optic,1
31,70.10,2173.10,One year,Credit card,DSL,0
5,40.20,201.00,Month-to-month,Mailed check,No,1
56,90.50,5068.00,Two year,Bank transfer,Fiber optic,0
11,52.80,580.80,Month-to-month,Electronic check,DSL,1
45,81.60,3672.00,Two year,Credit card,Fiber optic,0
25,66.90,1672.50,Month-to-month,Mailed check,Fiber optic,1
36,74.00,2664.00,One year,Bank transfer,DSL,0
8,44.70,357.60,Month-to-month,Electronic check,No,1
54,89.30,4822.20,Two year,Credit card,Fiber optic,0
18,62.10,1117.80,Month-to-month,Mailed check,DSL,1
40,77.00,3080.00,One year,Bank transfer,Fiber optic,0
10,47.60,476.00,Month-to-month,Electronic check,DSL,1
59,93.50,5516.50,Two year,Credit card,Fiber optic,0
23,65.60,1508.80,Month-to-month,Mailed check,Fiber optic,1
33,71.30,2352.90,One year,Bank transfer,DSL,0
6,42.00,252.00,Month-to-month,Electronic check,No,1
50,86.00,4300.00,Two year,Credit card,Fiber optic,0
15,59.20,888.00,Month-to-month,Mailed check,DSL,1
43,79.60,3422.80,Two year,Bank transfer,Fiber optic,0
26,67.50,1755.00,Month-to-month,Electronic check,Fiber optic,1
37,74.40,2752.80,One year,Credit card,DSL,0
4,39.10,156.40,Month-to-month,Mailed check,No,1
62,96.80,6001.60,Two year,Bank transfer,Fiber optic,0
12,54.30,651.60,Month-to-month,Electronic check,DSL,1
41,78.50,3218.50,One year,Credit card,Fiber optic,0
19,63.20,1200.80,Month-to-month,Mailed check,Fiber optic,1
48,84.40,4051.20,Two year,Bank transfer,Fiber optic,0
27,68.10,1838.70,Month-to-month,Electronic check,Fiber optic,1
32,70.60,2259.20,One year,Credit card,DSL,0
7,43.50,304.50,Month-to-month,Mailed check,No,1
57,91.40,5209.80,Two year,Bank transfer,Fiber optic,0
13,56.70,737.10,Month-to-month,Electronic check,DSL,1
44,80.90,3559.60,Two year,Credit card,Fiber optic,0
21,64.60,1356.60,Month-to-month,Mailed check,Fiber optic,1
34,72.50,2465.00,One year,Bank transfer,DSL,0
5,39.90,199.50,Month-to-month,Electronic check,No,1
53,88.20,4674.60,Two year,Credit card,Fiber optic,0
16,60.70,971.20,Month-to-month,Mailed check,DSL,1
39,76.40,2979.60,One year,Bank transfer,Fiber optic,0
9,46.00,414.00,Month-to-month,Electronic check,DSL,1
60,94.80,5688.00,Two year,Credit card,Fiber optic,0
24,66.10,1586.40,Month-to-month,Mailed check,Fiber optic,1
35,73.20,2562.00,One year,Bank transfer,DSL,0
8,45.30,362.40,Month-to-month,Electronic check,No,1
55,89.70,4933.50,Two year,Credit card,Fiber optic,0
17,61.40,1043.80,Month-to-month,Mailed check,DSL,1
42,79.00,3318.00,One year,Bank transfer,Fiber optic,0
10,48.10,481.00,Month-to-month,Electronic check,DSL,1
58,92.60,5370.80,Two year,Credit card,Fiber optic,0
22,65.30,1436.60,Month-to-month,Mailed check,Fiber optic,1
36,73.70,2653.20,One year,Bank transfer,DSL,0
6,41.60,249.60,Month-to-month,Electronic check,No,1
61,95.40,5819.40,Two year,Credit card,Fiber optic,0
14,58.50,819.00,Month-to-month,Mailed check,DSL,1
47,83.00,3901.00,Two year,Bank transfer,Fiber optic,0
20,63.60,1272.00,Month-to-month,Electronic check,Fiber optic,1
29,69.00,2001.00,One year,Credit card,DSL,0
7,43.90,307.30,Month-to-month,Mailed check,No,1
64,98.10,6278.40,Two year,Bank transfer,Fiber optic,0
11,53.40,587.40,Month-to-month,Electronic check,DSL,1
40,77.80,3112.00,One year,Credit card,Fiber optic,0
18,62.40,1123.20,Month-to-month,Mailed check,Fiber optic,1
49,84.90,4160.10,Two year,Bank transfer,Fiber optic,0
25,66.80,1670.00,Month-to-month,Electronic check,Fiber optic,1
37,74.80,2767.60,One year,Credit card,DSL,0
5,40.60,203.00,Month-to-month,Mailed check,No,1
52,87.60,4555.20,Two year,Bank transfer,Fiber optic,0
15,59.60,894.00,Month-to-month,Electronic check,DSL,1
43,80.40,3457.20,Two year,Credit card,Fiber optic,0
23,65.70,1511.10,Month-to-month,Mailed check,Fiber optic,1
32,70.40,2252.80,One year,Bank transfer,DSL,0
4,38.70,154.80,Month-to-month,Electronic check,No,1
56,90.20,5051.20,Two year,Credit card,Fiber optic,0
12,55.10,661.20,Month-to-month,Mailed check,DSL,1
41,78.20,3206.20,One year,Bank transfer,Fiber optic,0
19,63.00,1197.00,Month-to-month,Electronic check,Fiber optic,1
48,84.60,4060.80,Two year,Credit card,Fiber optic,0
26,67.70,1760.20,Month-to-month,Mailed check,Fiber optic,1
33,71.50,2359.50,One year,Bank transfer,DSL,0
6,42.20,253.20,Month-to-month,Electronic check,No,1
59,93.60,5522.40,Two year,Credit card,Fiber optic,0
13,57.00,741.00,Month-to-month,Mailed check,DSL,1
45,81.30,3658.50,Two year,Bank transfer,Fiber optic,0
21,64.40,1352.40,Month-to-month,Electronic check,Fiber optic,1
34,72.30,2458.20,One year,Credit card,DSL,0
7,43.30,303.10,Month-to-month,Mailed check,No,1
54,89.00,4806.00,Two year,Bank transfer,Fiber optic,0
16,60.30,964.80,Month-to-month,Electronic check,DSL,1
39,76.20,2971.80,One year,Credit card,Fiber optic,0
9,46.30,416.70,Month-to-month,Mailed check,DSL,1
57,91.30,5204.10,Two year,Bank transfer,Fiber optic,0
24,66.40,1593.60,Month-to-month,Electronic check,Fiber optic,1
35,73.50,2572.50,One year,Credit card,DSL,0
8,44.80,358.40,Month-to-month,Mailed check,No,1
50,85.80,4290.00,Two year,Bank transfer,Fiber optic,0
17,61.70,1048.90,Month-to-month,Electronic check,DSL,1
42,79.40,3334.80,One year,Credit card,Fiber optic,0
10,47.80,478.00,Month-to-month,Mailed check,DSL,1
60,94.20,5652.00,Two year,Bank transfer,Fiber optic,0
22,65.20,1434.40,Month-to-month,Electronic check,Fiber optic,1
36,73.90,2660.40,One year,Credit card,DSL,0
5,39.80,199.00,Month-to-month,Mailed check,No,1
63,97.40,6136.20,Two year,Bank transfer,Fiber optic,0
14,58.20,814.80,Month-to-month,Electronic check,DSL,1
46,82.60,3799.60,Two year,Credit card,Fiber optic,0
20,63.80,1276.00,Month-to-month,Mailed check,Fiber optic,1
31,69.90,2166.90,One year,Bank transfer,DSL,0
6,41.70,250.20,Month-to-month,Electronic check,No,1
55,89.50,4922.50,Two year,Credit card,Fiber optic,0
18,62.20,1119.60,Month-to-month,Mailed check,DSL,1
40,77.40,3096.00,One year,Bank transfer,Fiber optic,0
11,52.60,578.60,Month-to-month,Electronic check,DSL,1
58,92.30,5353.40,Two year,Credit card,Fiber optic,0
23,65.90,1515.70,Month-to-month,Mailed check,Fiber optic,1
37,74.60,2760.20,One year,Bank transfer,DSL,0
7,43.60,305.20,Month-to-month,Electronic check,No,1
62,96.50,5983.00,Two year,Credit card,Fiber optic,0
12,54.90,658.80,Month-to-month,Mailed check,DSL,1
44,80.70,3550.80,Two year,Bank transfer,Fiber optic,0
25,66.60,1665.00,Month-to-month,Electronic check,Fiber optic,1
32,70.70,2262.40,One year,Credit card,DSL,0
8,45.00,360.00,Month-to-month,Mailed check,No,1
51,86.40,4406.40,Two year,Bank transfer,Fiber optic,0
15,59.30,889.50,Month-to-month,Electronic check,DSL,1
43,79.80,3431.40,One year,Credit card,Fiber optic,0
19,63.30,1202.70,Month-to-month,Mailed check,Fiber optic,1
48,84.30,4046.40,Two year,Bank transfer,Fiber optic,0
27,68.20,1841.40,Month-to-month,Electronic check,Fiber optic,1
33,71.40,2356.20,One year,Credit card,DSL,0
4,39.00,156.00,Month-to-month,Mailed check,No,1
56,90.60,5073.60,Two year,Bank transfer,Fiber optic,0
13,56.90,739.70,Month-to-month,Electronic check,DSL,1
45,81.70,3676.50,Two year,Credit card,Fiber optic,0
21,64.70,1358.70,Month-to-month,Mailed check,Fiber optic,1
34,72.60,2468.40,One year,Bank transfer,DSL,0
6,42.40,254.40,Month-to-month,Electronic check,No,1
53,88.40,4685.20,Two year,Credit card,Fiber optic,0
16,60.60,969.60,Month-to-month,Mailed check,DSL,1
39,76.60,2987.40,One year,Bank transfer,Fiber optic,0
10,47.40,474.00,Month-to-month,Electronic check,DSL,1
59,93.70,5528.30,Two year,Credit card,Fiber optic,0
24,66.20,1588.80,Month-to-month,Mailed check,Fiber optic,1
35,73.30,2565.50,One year,Bank transfer,DSL,0
7,43.80,306.60,Month-to-month,Electronic check,No,1
54,89.40,4827.60,Two year,Credit card,Fiber optic,0
17,61.50,1045.50,Month-to-month,Mailed check,DSL,1
42,79.10,3322.20,One year,Bank transfer,Fiber optic,0
9,46.40,417.60,Month-to-month,Electronic check,DSL,1
57,91.60,5221.20,Two year,Credit card,Fiber optic,0
22,65.50,1441.00,Month-to-month,Mailed check,Fiber optic,1
36,74.10,2667.60,One year,Bank transfer,DSL,0
5,40.50,202.50,Month-to-month,Electronic check,No,1
61,95.90,5849.90,Two year,Credit card,Fiber optic,0
14,58.60,820.40,Month-to-month,Mailed check,DSL,1
47,83.30,3915.10,Two year,Bank transfer,Fiber optic,0
20,63.50,1270.00,Month-to-month,Electronic check,Fiber optic,1
29,69.30,2009.70,One year,Credit card,DSL,0
8,44.50,356.00,Month-to-month,Mailed check,No,1
64,98.50,6304.00,Two year,Bank transfer,Fiber optic,0
11,53.20,585.20,Month-to-month,Electronic check,DSL,1
40,77.50,3100.00,One year,Credit card,Fiber optic,0
18,62.60,1126.80,Month-to-month,Mailed check,Fiber optic,1
49,85.10,4169.90,Two year,Bank transfer,Fiber optic,0
25,66.90,1672.50,Month-to-month,Electronic check,Fiber optic,1
37,74.90,2771.30,One year,Credit card,DSL,0
6,41.90,251.40,Month-to-month,Mailed check,No,1
52,87.80,4565.60,Two year,Bank transfer,Fiber optic,0
15,59.50,892.50,Month-to-month,Electronic check,DSL,1
43,80.00,3440.00,Two year,Credit card,Fiber optic,0
23,65.80,1513.40,Month-to-month,Mailed check,Fiber optic,1
32,70.50,2256.00,One year,Bank transfer,DSL,0
4,39.30,157.20,Month-to-month,Electronic check,No,1
56,90.70,5079.20,Two year,Credit card,Fiber optic,0
12,55.30,663.60,Month-to-month,Mailed check,DSL,1
41,78.60,3222.60,One year,Bank transfer,Fiber optic,0
19,63.10,1198.90,Month-to-month,Electronic check,Fiber optic,1
48,84.50,4056.00,Two year,Credit card,Fiber optic,0
26,67.90,1765.40,Month-to-month,Mailed check,Fiber optic,1
33,71.70,2366.10,One year,Bank transfer,DSL,0
7,43.10,301.70,Month-to-month,Electronic check,No,1
59,93.90,5540.10,Two year,Credit card,Fiber optic,0
13,57.40,746.20,Month-to-month,Mailed check,DSL,1
45,81.40,3663.00,Two year,Bank transfer,Fiber optic,0
21,64.50,1354.50,Month-to-month,Electronic check,Fiber optic,1
34,72.20,2454.80,One year,Credit card,DSL,0
8,44.60,356.80,Month-to-month,Mailed check,No,1
54,89.10,4811.40,Two year,Bank transfer,Fiber optic,0
16,60.40,966.40,Month-to-month,Electronic check,DSL,1
39,76.30,2975.70,One year,Credit card,Fiber optic,0
10,47.70,477.00,Month-to-month,Mailed check,DSL,1
57,91.50,5215.50,Two year,Bank transfer,Fiber optic,0
24,66.30,1591.20,Month-to-month,Electronic check,Fiber optic,1
35,73.60,2576.00,One year,Credit card,DSL,0
5,40.30,201.50,Month-to-month,Mailed check,No,1
50,86.10,4305.00,Two year,Bank transfer,Fiber optic,0
17,61.80,1050.60,Month-to-month,Electronic check,DSL,1
42,79.30,3330.60,One year,Credit card,Fiber optic,0
9,46.70,420.30,Month-to-month,Mailed check,DSL,1
60,94.60,5676.00,Two year,Bank transfer,Fiber optic,0
22,65.40,1438.80,Month-to-month,Electronic check,Fiber optic,1
36,74.20,2671.20,One year,Credit card,DSL,0
6,42.50,255.00,Month-to-month,Mailed check,No,1
63,97.60,6148.80,Two year,Bank transfer,Fiber optic,0
14,58.40,817.60,Month-to-month,Electronic check,DSL,1
46,82.90,3813.40,Two year,Credit card,Fiber optic,0
20,64.00,1280.00,Month-to-month,Mailed check,Fiber optic,1
31,70.00,2170.00,One year,Bank transfer,DSL,0
7,43.70,305.90,Month-to-month,Electronic check,No,1
55,89.80,4939.00,Two year,Credit card,Fiber optic,0
18,62.30,1121.40,Month-to-month,Mailed check,DSL,1
40,77.70,3108.00,One year,Bank transfer,Fiber optic,0
11,52.90,581.90,Month-to-month,Electronic check,DSL,1
58,92.50,5365.00,Two year,Credit card,Fiber optic,0
23,65.70,1511.10,Month-to-month,Mailed check,Fiber optic,1
37,74.50,2756.50,One year,Bank transfer,DSL,0
4,39.40,157.60,Month-to-month,Electronic check,No,1
62,96.30,5970.60,Two year,Credit card,Fiber optic,0
12,54.50,654.00,Month-to-month,Mailed check,DSL,1
44,80.60,3546.40,Two year,Bank transfer,Fiber optic,0
25,66.70,1667.50,Month-to-month,Electronic check,Fiber optic,1
32,70.90,2268.80,One year,Credit card,DSL,0
8,45.20,361.60,Month-to-month,Mailed check,No,1
51,86.60,4416.60,Two year,Bank transfer,Fiber optic,0
15,59.80,897.00,Month-to-month,Electronic check,DSL,1
43,80.10,3444.30,One year,Credit card,Fiber optic,0
19,63.40,1204.60,Month-to-month,Mailed check,Fiber optic,1
48,84.80,4070.40,Two year,Bank transfer,Fiber optic,0
27,68.40,1846.80,Month-to-month,Electronic check,Fiber optic,1
33,71.80,2369.40,One year,Credit card,DSL,0
6,41.40,248.40,Month-to-month,Mailed check,No,1
56,90.40,5062.40,Two year,Bank transfer,Fiber optic,0
13,56.80,738.40,Month-to-month,Electronic check,DSL,1
45,81.80,3681.00,Two year,Credit card,Fiber optic,0
21,64.90,1362.90,Month-to-month,Mailed check,Fiber optic,1
34,72.70,2471.80,One year,Bank transfer,DSL,0
7,43.20,302.40,Month-to-month,Electronic check,No,1
53,88.70,4700.10,Two year,Credit card,Fiber optic,0
16,60.90,974.40,Month-to-month,Mailed check,DSL,1
39,76.80,2995.20,One year,Bank transfer,Fiber optic,0
10,48.00,480.00,Month-to-month,Electronic check,DSL,1
59,93.90,5540.10,Two year,Credit card,Fiber optic,0
24,66.50,1596.00,Month-to-month,Mailed check,Fiber optic,1
35,73.80,2583.00,One year,Bank transfer,DSL,0
5,40.70,203.50,Month-to-month,Electronic check,No,1
54,89.50,4833.00,Two year,Credit card,Fiber optic,0
17,61.20,1040.40,Month-to-month,Mailed check,DSL,1
42,79.50,3339.00,One year,Bank transfer,Fiber optic,0
9,46.90,422.10,Month-to-month,Electronic check,DSL,1
57,91.80,5232.60,Two year,Credit card,Fiber optic,0
22,65.60,1443.20,Month-to-month,Mailed check,Fiber optic,1
36,74.30,2674.80,One year,Bank transfer,DSL,0
8,44.30,354.40,Month-to-month,Electronic check,No,1
61,95.60,5831.60,Two year,Credit card,Fiber optic,0
14,58.70,821.80,Month-to-month,Mailed check,DSL,1
47,83.40,3919.80,Two year,Bank transfer,Fiber optic,0
20,63.70,1274.00,Month-to-month,Electronic check,Fiber optic,1
29,69.40,2012.60,One year,Credit card,DSL,0
6,42.60,255.60,Month-to-month,Mailed check,No,1
64,98.70,6316.80,Two year,Bank transfer,Fiber optic,0
11,53.50,588.50,Month-to-month,Electronic check,DSL,1
40,77.90,3116.00,One year,Credit card,Fiber optic,0
18,62.70,1128.60,Month-to-month,Mailed check,Fiber optic,1
49,85.40,4184.60,Two year,Bank transfer,Fiber optic,0
25,67.00,1675.00,Month-to-month,Electronic check,Fiber optic,1
37,75.00,2775.00,One year,Credit card,DSL,0
4,39.60,158.40,Month-to-month,Mailed check,No,1
52,88.00,4576.00,Two year,Bank transfer,Fiber optic,0
15,59.70,895.50,Month-to-month,Electronic check,DSL,1
43,80.30,3452.90,Two year,Credit card,Fiber optic,0
23,66.00,1518.00,Month-to-month,Mailed check,Fiber optic,1
32,71.00,2272.00,One year,Bank transfer,DSL,0
7,43.40,303.80,Month-to-month,Electronic check,No,1
56,90.90,5090.40,Two year,Credit card,Fiber optic,0
12,55.50,666.00,Month-to-month,Mailed check,DSL,1
41,78.80,3230.80,One year,Bank transfer,Fiber optic,0
19,63.50,1206.50,Month-to-month,Electronic check,Fiber optic,1
48,84.90,4075.20,Two year,Credit card,Fiber optic,0
26,68.00,1768.00,Month-to-month,Mailed check,Fiber optic,1
33,71.90,2372.70,One year,Bank transfer,DSL,0
5,40.90,204.50,Month-to-month,Electronic check,No,1
59,94.00,5546.00,Two year,Credit card,Fiber optic,0
13,57.60,748.80,Month-to-month,Mailed check,DSL,1
45,82.00,3690.00,Two year,Bank transfer,Fiber optic,0
21,64.20,1348.20,Month-to-month,Electronic check,Fiber optic,1
34,72.80,2475.20,One year,Credit card,DSL,0
8,44.80,358.40,Month-to-month,Mailed check,No,1
54,89.20,4816.80,Two year,Bank transfer,Fiber optic,0
16,60.10,961.60,Month-to-month,Electronic check,DSL,1
39,76.50,2983.50,One year,Credit card,Fiber optic,0
10,47.50,475.00,Month-to-month,Mailed check,DSL,1
57,91.70,5226.90,Two year,Bank transfer,Fiber optic,0
24,66.40,1593.60,Month-to-month,Electronic check,Fiber optic,1
35,73.70,2579.50,One year,Credit card,DSL,0
6,42.70,256.20,Month-to-month,Mailed check,No,1
50,86.30,4315.00,Two year,Bank transfer,Fiber optic,0
17,61.90,1052.30,Month-to-month,Electronic check,DSL,1
42,79.60,3343.20,One year,Credit card,Fiber optic,0
9,47.00,423.00,Month-to-month,Mailed check,DSL,1
60,94.70,5682.00,Two year,Bank transfer,Fiber optic,0
22,65.70,1445.40,Month-to-month,Electronic check,Fiber optic,1
36,74.40,2678.40,One year,Credit card,DSL,0
7,43.50,304.50,Month-to-month,Mailed check,No,1
63,97.70,6155.10,Two year,Bank transfer,Fiber optic,0
14,58.90,824.60,Month-to-month,Electronic check,DSL,1
46,82.70,3804.20,Two year,Credit card,Fiber optic,0
20,64.10,1282.00,Month-to-month,Mailed check,Fiber optic,1
31,70.20,2176.20,One year,Bank transfer,DSL,0
8,44.40,355.20,Month-to-month,Electronic check,No,1
55,89.60,4928.00,Two year,Credit card,Fiber optic,0
18,62.50,1125.00,Month-to-month,Mailed check,DSL,1
40,77.20,3088.00,One year,Bank transfer,Fiber optic,0
11,53.00,583.00,Month-to-month,Electronic check,DSL,1
58,92.70,5376.60,Two year,Credit card,Fiber optic,0
23,65.90,1515.70,Month-to-month,Mailed check,Fiber optic,1
37,74.70,2763.90,One year,Bank transfer,DSL,0
5,39.50,197.50,Month-to-month,Electronic check,No,1
62,96.60,5989.20,Two year,Credit card,Fiber optic,0
12,54.80,657.60,Month-to-month,Mailed check,DSL,1
44,80.80,3555.20,Two year,Bank transfer,Fiber optic,0
25,66.80,1670.00,Month-to-month,Electronic check,Fiber optic,1
32,71.10,2275.20,One year,Credit card,DSL,0
7,43.00,301.00,Month-to-month,Mailed check,No,1
51,86.80,4426.80,Two year,Bank transfer,Fiber optic,0
15,59.00,885.00,Month-to-month,Electronic check,DSL,1
43,80.20,3448.60,One year,Credit card,Fiber optic,0
19,63.60,1208.40,Month-to-month,Mailed check,Fiber optic,1
48,85.00,4080.00,Two year,Bank transfer,Fiber optic,0
27,68.50,1849.50,Month-to-month,Electronic check,Fiber optic,1
33,72.00,2376.00,One year,Credit card,DSL,0
6,41.20,247.20,Month-to-month,Mailed check,No,1
56,90.30,5056.80,Two year,Bank transfer,Fiber optic,0
13,57.10,742.30,Month-to-month,Electronic check,DSL,1
45,81.50,3667.50,Two year,Credit card,Fiber optic,0
21,64.70,1358.70,Month-to-month,Mailed check,Fiber optic,1
