customer_id,ticket_id,issue_date,issue_type,status,priority,resolution_time_hours
1037,TKT-10042,2023-10-15,Billing Question,Closed,Low,7
1038,TKT-10043,2023-10-22,Return Request,Closed,High,12
1039,TKT-10044,2023-10-28,Technical Issue,Closed,Medium,22
1040,TKT-10045,2023-11-05,Product Inquiry,Closed,Low,4
1006,TKT-10046,2023-11-12,Billing Question,Closed,Medium,9
1007,TKT-10047,2023-11-18,Technical Issue,Closed,High,16
1008,TKT-10048,2023-11-25,Feature Request,Open,Low,48
1009,TKT-10049,2023-12-02,Return Request,Closed,Medium,14
1010,TKT-10050,2023-12-08,Technical Issue,Closed,Critical,2
1041,TKT-10051,2023-12-15,Product Inquiry,Closed,Low,6
1042,TKT-10052,2023-12-22,Billing Question,Closed,High,10
1043,TKT-10053,2023-12-28,Technical Issue,In Progress,Medium,32
1011,TKT-10054,2024-01-05,Feature Request,Pending,Low,52
1012,TKT-10055,2024-01-12,Return Request,Closed,Medium,11
1013,TKT-10056,2024-01-18,Technical Issue,Closed,High,19
1014,TKT-10057,2024-01-25,Billing Question,Closed,Low,8
1015,TKT-10058,2024-02-01,Product Inquiry,Closed,Medium,5
1044,TKT-10059,2024-02-08,Technical Issue,Closed,Critical,3
1045,TKT-10060,2024-02-15,Feature Request,Open,Low,64
1016,TKT-10061,2024-02-22,Billing Question,Closed,Medium,7
1017,TKT-10062,2024-02-28,Return Request,Closed,High,13
1018,TKT-10063,2024-03-05,Technical Issue,Closed,Medium,21
1019,TKT-10064,2024-03-12,Product Inquiry,Closed,Low,4
1020,TKT-10065,2024-03-18,Billing Question,Closed,High,9
1021,TKT-10066,2024-03-25,Technical Issue,In Progress,Critical,36
1022,TKT-10067,2024-04-01,Feature Request,Pending,Medium,44
1023,TKT-10068,2024-04-08,Return Request,Closed,Low,12
1024,TKT-10069,2024-04-15,Technical Issue,Closed,High,17
1025,TKT-10070,2024-04-22,Billing Question,Closed,Medium,8
1026,TKT-10071,2024-04-28,Product Inquiry,Closed,Low,5
1027,TKT-10072,2024-05-05,Technical Issue,Closed,Critical,2
1028,TKT-10073,2024-05-12,Feature Request,Open,Low,72
1029,TKT-10074,2024-05-18,Billing Question,Closed,Medium,10
1030,TKT-10075,2024-05-25,Return Request,Closed,High,14
1031,TKT-10076,2024-06-01,Technical Issue,Closed,Medium,20
1032,TKT-10077,2024-06-08,Product Inquiry,Closed,Low,6
1033,TKT-10078,2024-06-15,Billing Question,Closed,High,11
1034,TKT-10079,2024-06-22,Technical Issue,In Progress,Critical,40
1035,TKT-10080,2024-06-28,Feature Request,Pending,Medium,38
1036,TKT-10081,2024-07-05,Return Request,Closed,Low,15
1037,TKT-10082,2024-07-12,Technical Issue,Closed,High,18
1038,TKT-10083,2024-07-18,Billing Question,Closed,Medium,9
1039,TKT-10084,2024-07-25,Product Inquiry,Closed,Low,4
1040,TKT-10085,2024-08-01,Technical Issue,Closed,Critical,3
1041,TKT-10086,2024-08-08,Feature Request,Open,Low,68
1042,TKT-10087,2024-08-15,Billing Question,Closed,Medium,7
1043,TKT-10088,2024-08-22,Return Request,Closed,High,12
1044,TKT-10089,2024-08-28,Technical Issue,Closed,Medium,22
1045,TKT-10090,2024-09-05,Product Inquiry,Closed,Low,5
1001,TKT-10091,2024-09-12,Billing Question,Closed,High,10
1002,TKT-10092,2024-09-18,Technical Issue,In Progress,Critical,48
1003,TKT-10093,2024-09-25,Feature Request,Pending,Medium,36
1004,TKT-10094,2024-10-02,Return Request,Closed,Low,13
1005,TKT-10095,2024-10-08,Technical Issue,Closed,High,16
1006,TKT-10096,2024-10-15,Billing Question,Closed,Medium,8
1007,TKT-10097,2024-10-22,Product Inquiry,Closed,Low,6
1008,TKT-10098,2024-10-28,Technical Issue,Closed,Critical,4
1009,TKT-10099,2024-11-05,Feature Request,Open,Low,60
1010,TKT-10100,2024-11-12,Billing Question,Closed,Medium,9
