timestamp,device,process_name,pid,await_ms,read_kb_per_sec,write_kb_per_sec
2024-01-15T14:34:00,sdb,postgres,1523,192.4,256,3034
2024-01-15T14:34:00,sdc,nginx,892,7.8,61,18
2024-01-15T14:34:00,sdd,redis,2341,10.2,138,71
2024-01-15T14:34:00,sda,apache2,1876,16.1,241,467
2024-01-15T14:34:00,sdc,mysqld,2109,31.7,456,678
2024-01-15T14:34:00,sdd,memcached,2456,6.8,87,32
2024-01-15T14:34:30,sda,systemd,1,3.4,54,19
2024-01-15T14:34:30,sdb,postgres,1523,204.6,289,3234
2024-01-15T14:34:30,sdc,nginx,892,9.5,73,27
2024-01-15T14:34:30,sdd,redis,2341,13.7,162,91
2024-01-15T14:34:30,sda,apache2,1876,18.9,278,501
2024-01-15T14:34:30,sdc,mysqld,2109,39.5,498,712
2024-01-15T14:34:30,sdd,memcached,2456,7.5,96,37
2024-01-15T14:35:00,sda,systemd,1,2.3,42,10
2024-01-15T14:35:00,sdb,postgres,1523,226.1,334,3789
2024-01-15T14:35:00,sdc,nginx,892,8.6,68,24
2024-01-15T14:35:00,sdd,redis,2341,11.1,147,79
2024-01-15T14:35:00,sda,apache2,1876,14.8,228,412
2024-01-15T14:35:00,sdc,mysqld,2109,37.3,478,701
2024-01-15T14:35:00,sdd,memcached,2456,6.2,83,30
2024-01-15T14:35:30,sda,systemd,1,3.6,57,20
2024-01-15T14:35:30,sdb,postgres,1523,199.5,312,3156
2024-01-15T14:35:30,sdc,nginx,892,10.8,79,31
2024-01-15T14:35:30,sdd,redis,2341,14.1,169,96
2024-01-15T14:35:30,sda,apache2,1876,19.4,287,523
2024-01-15T14:35:30,sdc,mysqld,2109,42.6,512,789
2024-01-15T14:35:30,sdd,memcached,2456,8.3,101,40
2024-01-15T14:36:00,sda,systemd,1,2.7,46,13
2024-01-15T14:36:00,sdb,postgres,1523,215.7,298,3445
2024-01-15T14:36:00,sdc,nginx,892,8.1,64,20
2024-01-15T14:36:00,sdd,redis,2341,10.9,141,74
2024-01-15T14:36:00,sda,apache2,1876,15.5,238,434
2024-01-15T14:36:00,sdc,mysqld,2109,34.8,487,723
2024-01-15T14:36:00,sdd,memcached,2456,6.6,85,31
2024-01-15T14:36:30,sda,systemd,1,3.9,59,23
2024-01-15T14:36:30,sdb,postgres,1523,188.3,276,2945
2024-01-15T14:36:30,sdc,nginx,892,11.6,86,36
2024-01-15T14:36:30,sdd,redis,2341,15.2,176,101
2024-01-15T14:36:30,sda,apache2,1876,21.7,304,578
2024-01-15T14:36:30,sdc,mysqld,2109,46.3,534,867
2024-01-15T14:36:30,sdd,memcached,2456,9.1,109,44
2024-01-15T14:37:00,sda,systemd,1,3.0,50,17
2024-01-15T14:37:00,sdb,postgres,1523,209.8,287,3312
2024-01-15T14:37:00,sdc,nginx,892,7.9,62,19
2024-01-15T14:37:00,sdd,redis,2341,10.5,136,69
2024-01-15T14:37:00,sda,apache2,1876,16.8,245,456
2024-01-15T14:37:00,sdc,mysqld,2109,32.5,467,689
2024-01-15T14:37:00,sdd,memcached,2456,7.0,88,33
2024-01-15T14:37:30,sda,systemd,1,3.3,53,18
2024-01-15T14:37:30,sdb,postgres,1523,196.2,305,3178
2024-01-15T14:37:30,sdc,nginx,892,9.3,71,26
2024-01-15T14:37:30,sdd,redis,2341,13.4,164,88
2024-01-15T14:37:30,sda,apache2,1876,18.2,271,489
2024-01-15T14:37:30,sdc,mysqld,2109,38.1,493,734
2024-01-15T14:37:30,sdd,memcached,2456,7.7,94,38
2024-01-15T14:38:00,sda,systemd,1,2.5,43,12
2024-01-15T14:38:00,sdb,postgres,1523,221.4,329,3623
2024-01-15T14:38:00,sdc,nginx,892,8.5,67,23
2024-01-15T14:38:00,sdd,redis,2341,11.4,149,77
2024-01-15T14:38:00,sda,apache2,1876,15.1,231,423
2024-01-15T14:38:00,sdc,mysqld,2109,36.2,481,712
2024-01-15T14:38:00,sdd,memcached,2456,6.3,82,29
2024-01-15T14:38:30,sda,systemd,1,3.7,56,21
2024-01-15T14:38:30,sdb,postgres,1523,202.9,293,3267
2024-01-15T14:38:30,sdc,nginx,892,10.5,77,30
2024-01-15T14:38:30,sdd,redis,2341,14.8,171,93
2024-01-15T14:38:30,sda,apache2,1876,19.9,291,545
2024-01-15T14:38:30,sdc,mysqld,2109,43.7,518,801
2024-01-15T14:38:30,sdd,memcached,2456,8.5,104,41
2024-01-15T14:39:00,sda,systemd,1,2.8,48,15
2024-01-15T14:39:00,sdb,postgres,1523,213.5,281,3401
2024-01-15T14:39:00,sdc,nginx,892,8.0,63,20
2024-01-15T14:39:00,sdd,redis,2341,10.8,143,72
2024-01-15T14:39:00,sda,apache2,1876,16.4,249,467
2024-01-15T14:39:00,sdc,mysqld,2109,35.0,472,698
2024-01-15T14:39:00,sdd,memcached,2456,6.7,86,32
2024-01-15T14:39:30,sda,systemd,1,3.2,52,19
2024-01-15T14:39:30,sdb,postgres,1523,191.6,269,3089
2024-01-15T14:39:30,sdc,nginx,892,9.8,74,28
2024-01-15T14:39:30,sdd,redis,2341,13.9,167,90
2024-01-15T14:39:30,sda,apache2,1876,18.6,283,512
2024-01-15T14:39:30,sdc,mysqld,2109,40.9,506,767
2024-01-15T14:39:30,sdd,memcached,2456,8.0,98,39
