id,timestamp,temperature,pressure,status
450,4175,73.6,1026.2,active
550,1185,68.7,1020.3,active
550,1963,74.4,1014.5,active
550,2741,70.5,1023.7,active
550,3519,72.8,1017.1,active
550,4297,69.3,1025.9,active
650,1307,71.4,1019.7,active
650,2085,73.9,1015.4,active
650,2863,68.2,1024.2,active
650,3641,70.1,1018.6,active
650,4419,72.5,1027.1,active
750,1429,69.8,1022.8,active
750,2207,74.2,1016.2,active
750,2985,71.7,1023.5,active
750,3763,73.3,1019.8,active
750,4541,68.9,1026.4,active
850,1551,70.4,1021.3,active
850,2329,72.1,1015.7,active
850,3107,69.6,1024.9,active
850,3885,71.3,1018.2,error
850,4663,73.8,1027.7,active
950,1073,68.5,1020.9,active
950,1851,74.7,1014.3,active
950,2629,70.2,1023.6,active
950,3407,72.6,1017.8,active
950,4185,69.4,1026.3,active
