CustomerServiceCalls,tenure,MonthlyCharges,TotalCharges,ContractLength,TechSupport,OnlineSecurity,InternetService,MultipleLines,PaymentMethod,age,SeniorCitizen,Partner,Dependents,PhoneService,OnlineBackup,DeviceProtection,StreamingTV,StreamingMovies,PaperlessBilling,AutoPay,AccountBalance,DataUsageGB,NumProducts,gender,Churn
0,38,54.2,2059.6,24,1,1,1,1,3,57,0,1,1,1,1,1,1,1,0,1,2120.0,16.8,4,0,0
3,10,79.3,793.0,1,0,0,2,0,1,40,0,0,0,1,0,0,0,1,1,0,340.0,48.6,2,1,0
1,26,63.8,1658.8,12,1,1,1,1,2,49,0,1,0,1,1,1,1,0,0,1,1280.0,25.4,3,1,0
5,3,96.5,289.5,1,0,0,2,1,0,32,0,0,0,1,0,0,1,1,1,0,95.0,69.8,2,0,1
0,50,51.9,2595.0,24,1,1,1,0,3,65,1,1,1,1,1,0,0,0,1,1,2780.0,13.9,5,0,0
2,16,70.2,1123.2,12,1,1,2,1,1,43,0,0,1,1,1,1,0,1,1,0,720.0,32.8,3,1,0
4,6,87.1,522.6,1,0,0,2,0,0,37,0,0,0,1,0,1,1,1,1,0,195.0,56.4,2,1,1
1,20,67.9,1358.0,12,1,1,1,1,2,45,0,1,0,1,0,0,1,0,0,1,950.0,27.3,3,0,0
0,58,47.8,2772.4,24,1,1,1,0,3,69,1,1,0,1,1,1,1,1,0,1,3120.0,11.8,4,1,0
3,8,81.6,652.8,1,0,1,2,1,0,38,0,0,0,1,0,0,1,0,1,0,275.0,47.9,2,1,1
6,1,103.8,103.8,1,0,0,2,2,0,26,0,0,0,1,0,0,0,1,1,0,-95.0,81.2,1,0,1
1,34,57.6,1958.4,12,1,1,1,0,2,53,0,1,1,1,1,0,1,1,0,1,1720.0,20.6,3,1,0
2,11,74.9,823.9,12,0,1,1,1,1,40,0,0,0,1,0,1,0,1,1,0,445.0,36.2,2,1,0
5,4,94.2,376.8,1,0,0,2,1,0,30,0,0,0,1,0,1,1,0,1,0,135.0,65.7,2,1,1
0,44,55.1,2424.4,24,1,1,1,1,3,60,1,1,0,1,1,0,0,1,0,1,2490.0,18.3,4,0,0
3,7,85.7,599.9,1,0,0,2,0,1,35,0,0,0,1,0,0,1,1,1,0,235.0,52.8,2,1,1
1,30,60.5,1815.0,12,1,1,1,1,2,50,0,1,0,1,1,1,0,0,0,1,1520.0,22.9,3,0,0
4,9,77.4,696.6,1,0,1,2,2,0,39,0,0,1,1,0,0,1,1,1,0,295.0,45.3,2,1,0
0,52,50.3,2615.6,24,1,1,1,0,3,66,1,1,1,1,1,1,1,0,0,1,2920.0,15.1,4,1,0
2,15,69.1,1036.5,12,1,1,1,1,2,42,0,0,0,1,1,0,1,1,1,0,680.0,30.5,3,0,0
5,5,90.8,454.0,1,0,0,2,1,0,33,0,0,0,1,0,1,0,1,1,0,155.0,60.9,2,1,1
1,24,64.2,1540.8,12,1,1,1,0,2,47,0,1,1,1,0,1,1,0,0,1,1150.0,23.7,3,1,0
0,48,53.7,2577.6,24,1,1,1,1,3,63,1,1,0,1,1,0,0,1,1,1,2650.0,16.4,4,0,0
3,10,80.5,805.0,1,0,0,2,0,1,41,0,0,0,1,0,0,1,0,1,0,355.0,49.7,2,1,0
6,2,99.9,199.8,1,0,0,2,2,0,29,0,0,0,1,0,0,1,1,1,0,55.0,75.6,1,0,1
1,36,58.8,2116.8,12,1,1,1,1,2,54,0,1,0,1,1,1,0,1,0,1,1840.0,21.2,3,1,0
2,12,72.7,872.4,12,1,0,1,0,1,41,0,0,1,1,0,0,1,0,1,0,535.0,33.6,2,0,0
4,6,88.3,529.8,1,0,0,2,1,0,36,0,0,0,1,0,1,1,1,1,0,205.0,57.1,2,1,1
0,40,56.9,2276.0,24,1,1,1,0,3,58,0,1,1,1,1,0,1,0,0,1,2340.0,19.5,4,0,0
3,8,82.9,663.2,1,0,1,2,1,0,37,0,0,0,1,0,0,0,1,1,0,280.0,46.8,2,1,1
5,3,95.7,287.1,1,0,0,2,2,0,31,0,0,0,1,0,1,1,0,1,0,105.0,68.4,2,1,1
1,28,62.4,1747.2,12,1,1,1,1,2,49,0,1,0,1,1,0,1,1,0,1,1420.0,24.8,3,0,0
0,56,48.6,2721.6,24,1,1,1,0,3,67,1,1,1,1,1,1,0,1,1,1,3050.0,12.7,5,1,0
2,14,70.8,991.2,12,1,1,1,1,1,43,0,0,1,1,0,1,0,1,1,0,665.0,31.9,3,1,0
4,7,86.5,605.5,1,0,0,2,0,0,35,0,0,0,1,0,0,1,1,1,0,225.0,54.2,2,1,1
6,1,102.5,102.5,1,0,0,2,1,0,27,0,0,0,1,0,0,1,0,1,0,-75.0,79.5,1,0,1
1,22,66.1,1454.2,12,1,1,1,0,2,46,0,1,0,1,1,1,1,0,0,1,1080.0,26.3,3,1,0
0,46,54.8,2520.8,24,1,1,1,1,3,61,1,1,0,1,1,0,0,1,0,1,2690.0,17.9,4,0,0
3,9,78.2,703.8,1,0,0,2,2,1,38,0,0,0,1,0,1,1,0,1,0,315.0,46.5,2,1,0
2,16,68.4,1094.4,12,1,1,1,1,2,44,0,0,1,1,1,0,0,1,1,0,735.0,29.8,3,0,0
5,5,92.1,460.5,1,0,0,2,1,0,32,0,0,0,1,0,0,1,1,1,0,170.0,63.7,2,1,1
1,32,59.7,1910.4,12,1,1,1,0,2,52,0,1,1,1,0,1,1,0,0,1,1650.0,22.4,3,1,0
0,50,52.4,2620.0,24,1,1,1,1,3,64,1,1,1,1,1,1,0,1,0,1,2810.0,14.8,4,0,0
4,8,84.6,676.8,1,0,1,2,0,1,37,0,0,0,1,0,0,1,0,1,0,285.0,50.2,2,1,1
3,11,75.3,828.3,12,0,0,1,1,1,40,0,0,1,1,0,1,1,1,1,0,460.0,35.7,2,1,0
6,2,100.7,201.4,1,0,0,2,2,0,28,0,0,0,1,0,0,0,1,1,0,65.0,76.8,1,0,1
1,26,63.2,1643.2,12,1,1,1,1,2,48,0,1,0,1,1,0,1,1,0,1,1320.0,25.6,3,1,0
0,42,55.6,2335.2,24,1,1,1,0,3,59,0,1,0,1,1,1,0,0,1,1,2410.0,18.7,4,0,0
2,13,71.9,934.7,12,1,0,1,0,1,42,0,0,1,1,0,0,1,0,1,0,575.0,32.4,2,0,0
5,6,89.4,536.4,1,0,0,2,1,0,34,0,0,0,1,0,1,1,1,1,0,200.0,58.9,2,1,1
1,18,68.7,1236.6,12,1,1,1,1,1,44,0,1,1,1,1,1,0,0,0,1,890.0,28.1,3,0,0
4,4,93.8,375.2,1,0,0,2,2,0,30,0,0,0,1,0,0,1,1,1,0,120.0,66.5,2,1,1
0,54,49.2,2656.8,24,1,1,1,0,3,65,1,1,1,1,1,0,1,1,0,1,2960.0,13.5,4,1,0
3,10,79.8,798.0,1,0,1,2,1,1,39,0,0,0,1,0,0,1,0,1,0,345.0,48.3,2,1,0
2,20,67.3,1346.0,12,1,1,1,0,2,45,0,1,0,1,0,1,0,1,0,1,985.0,27.9,3,1,0
6,3,97.2,291.6,1,0,0,2,1,0,29,0,0,0,1,0,0,1,1,1,0,85.0,71.2,1,0,1
1,34,58.1,1975.4,12,1,1,1,1,2,53,0,1,1,1,1,0,1,0,0,1,1750.0,21.8,3,1,0
0,48,53.2,2553.6,24,1,1,1,0,3,62,1,1,0,1,1,1,0,1,1,1,2720.0,15.9,4,0,0
5,7,87.9,615.3,1,0,0,2,0,0,36,0,0,0,1,0,1,1,0,1,0,240.0,55.1,2,1,1
3,9,77.6,698.4,1,0,1,2,1,1,38,0,0,1,1,0,0,0,1,1,0,305.0,44.7,2,1,0
1,24,65.9,1581.6,12,1,1,1,0,2,47,0,1,0,1,1,1,1,0,0,1,1190.0,24.5,3,0,0
0,60,47.1,2826.0,24,1,1,1,1,3,68,1,1,1,1,1,0,1,1,0,1,3280.0,11.4,5,1,0
2,15,70.5,1057.5,12,1,1,1,1,1,43,0,0,0,1,0,1,1,0,1,0,690.0,31.2,3,1,0
4,5,91.3,456.5,1,0,0,2,2,0,33,0,0,0,1,0,0,1,1,1,0,160.0,62.8,2,1,1
6,1,104.2,104.2,1,0,0,2,1,0,26,0,0,0,1,0,0,1,1,1,0,-90.0,82.4,1,0,1
1,30,60.8,1824.0,12,1,1,1,0,2,50,0,1,0,1,1,0,0,1,0,1,1540.0,23.2,3,1,0
0,44,54.5,2398.0,24,1,1,1,1,3,60,1,1,1,1,1,1,1,0,0,1,2530.0,16.7,4,0,0
3,12,73.5,882.0,12,0,1,1,0,1,41,0,0,1,1,0,0,1,1,1,0,550.0,34.9,2,0,0
5,6,88.7,532.2,1,0,0,2,1,0,35,0,0,0,1,0,1,0,1,1,0,210.0,59.6,2,1,1
2,8,80.9,647.2,1,0,0,2,0,1,37,0,0,0,1,0,0,1,0,1,0,270.0,47.2,2,1,1
1,28,61.8,1730.4,12,1,1,1,1,2,49,0,1,0,1,1,1,0,1,0,1,1450.0,24.1,3,0,0
0,52,51.0,2652.0,24,1,1,1,0,3,66,1,1,0,1,1,0,1,0,1,1,2850.0,14.3,4,1,0
4,10,76.1,761.0,1,0,1,2,2,1,40,0,0,1,1,0,1,1,1,1,0,360.0,43.5,2,1,0
6,2,101.8,203.6,1,0,0,2,1,0,28,0,0,0,1,0,0,1,0,1,0,50.0,77.9,1,0,1
1,22,66.5,1463.0,12,1,1,1,1,2,46,0,1,1,1,0,1,0,1,0,1,1040.0,26.7,3,1,0
0,38,56.2,2135.6,24,1,1,1,0,3,57,0,1,0,1,1,0,0,1,0,1,2180.0,19.1,4,0,0
3,7,83.4,583.8,1,0,0,2,0,1,36,0,0,0,1,0,1,1,1,1,0,255.0,51.6,2,1,1
5,4,94.9,379.6,1,0,0,2,1,0,31,0,0,0,1,0,0,1,0,1,0,140.0,67.3,2,1,1
2,14,69.7,975.8,12,1,1,1,1,2,42,0,0,1,1,1,1,1,1,1,0,650.0,30.8,3,0,0
1,26,64.6,1679.6,12,1,1,1,0,2,48,0,1,0,1,0,0,1,0,0,1,1250.0,25.3,3,1,0
0,46,52.8,2428.8,24,1,1,1,1,3,61,1,1,1,1,1,1,0,1,0,1,2640.0,17.2,4,0,0
4,9,78.7,708.3,1,0,1,2,2,1,38,0,0,0,1,0,0,1,1,1,0,320.0,46.1,2,1,0
6,3,98.1,294.3,1,0,0,2,1,0,30,0,0,0,1,0,0,0,1,1,0,95.0,72.5,1,0,1
1,32,59.1,1891.2,12,1,1,1,1,2,51,0,1,0,1,1,1,1,0,0,1,1580.0,22.6,3,1,0
0,50,50.7,2535.0,24,1,1,1,0,3,64,1,1,1,1,1,0,0,1,1,1,2760.0,15.4,4,0,0
3,11,74.2,816.2,12,0,0,1,0,1,40,0,0,1,1,0,1,0,1,1,0,475.0,36.8,2,1,0
5,5,90.2,451.0,1,0,0,2,1,0,33,0,0,0,1,0,1,1,0,1,0,165.0,61.4,2,1,1
2,16,68.9,1102.4,12,1,1,1,1,1,44,0,0,0,1,1,0,1,1,0,0,745.0,30.2,3,0,0
1,18,67.8,1220.4,12,1,1,1,0,2,44,0,1,1,1,0,1,0,0,1,1,875.0,27.5,3,1,0
4,6,86.9,521.4,1,0,0,2,0,0,35,0,0,0,1,0,0,1,1,1,0,215.0,55.8,2,1,1
0,42,55.9,2347.8,24,1,1,1,1,3,59,0,1,0,1,1,1,1,0,0,1,2450.0,18.4,4,0,0
6,1,103.1,103.1,1,0,0,2,2,0,27,0,0,0,1,0,0,1,1,1,0,-80.0,80.6,1,0,1
3,10,80.1,801.0,1,0,1,2,1,1,39,0,0,0,1,0,0,0,1,1,0,350.0,49.2,2,1,0
1,24,64.8,1555.2,12,1,1,1,0,2,47,0,1,0,1,1,0,1,1,0,1,1170.0,24.9,3,0,0
5,7,88.2,617.4,1,0,0,2,1,0,36,0,0,0,1,0,1,1,0,1,0,245.0,56.3,2,1,1
0,54,48.9,2640.6,24,1,1,1,0,3,65,1,1,1,1,1,0,1,1,0,1,2980.0,13.8,4,1,0
2,13,72.3,939.9,12,1,0,1,1,1,42,0,0,1,1,0,1,0,0,1,0,585.0,33.1,2,0,0
4,8,85.1,680.8,1,0,0,2,0,1,37,0,0,0,1,0,0,1,1,1,0,290.0,51.4,2,1,1
1,28,62.1,1738.8,12,1,1,1,1,2,49,0,1,0,1,1,1,0,0,0,1,1430.0,24.6,3,1,0
0,48,52.5,2520.0,24,1,1,1,0,3,62,1,1,0,1,1,0,0,1,1,1,2680.0,16.1,4,0,0
3,9,79.5,715.5,1,0,1,2,2,1,38,0,0,1,1,0,1,1,0,1,0,310.0,45.9,2,1,0
6,2,99.3,198.6,1,0,0,2,1,0,29,0,0,0,1,0,0,1,1,1,0,60.0,74.7,1,0,1
1,34,57.9,1968.6,12,1,1,1,0,2,53,0,1,1,1,0,1,1,1,0,1,1680.0,21.5,3,1,0
2,15,70.1,1051.5,12,1,1,1,1,2,43,0,0,0,1,1,0,0,1,1,0,675.0,31.6,3,0,0
5,5,91.6,458.0,1,0,0,2,1,0,32,0,0,0,1,0,0,1,1,1,0,175.0,63.2,2,1,1
0,56,49.4,2766.4,24,1,1,1,1,3,67,1,1,1,1,1,1,0,0,0,1,3090.0,12.9,5,1,0
4,10,75.6,756.0,1,0,0,2,0,1,40,0,0,1,1,0,1,1,1,1,0,365.0,44.2,2,1,0
1,22,65.4,1438.8,12,1,1,1,1,2,46,0,1,0,1,1,1,0,0,0,1,1020.0,26.1,3,1,0
3,12,73.9,886.8,12,0,1,1,0,1,41,0,0,1,1,0,0,1,1,1,0,560.0,35.4,2,0,0
6,3,96.8,290.4,1,0,0,2,2,0,30,0,0,0,1,0,0,1,0,1,0,90.0,70.6,1,0,1
0,40,56.3,2252.0,24,1,1,1,0,3,58,0,1,1,1,1,1,1,1,0,1,2310.0,19.2,4,0,0
2,8,81.4,651.2,1,0,0,2,1,1,37,0,0,0,1,0,0,0,1,1,0,275.0,47.8,2,1,1
5,6,89.8,538.8,1,0,0,2,0,0,34,0,0,0,1,0,1,1,1,1,0,205.0,59.1,2,1,1
1,26,63.7,1656.2,12,1,1,1,1,2,48,0,1,0,1,0,0,1,0,0,1,1310.0,25.1,3,1,0
4,7,84.8,593.6,1,0,1,2,1,0,36,0,0,0,1,0,0,1,1,1,0,230.0,53.7,2,1,1
0,44,54.1,2380.4,24,1,1,1,1,3,60,1,1,0,1,1,1,0,0,1,1,2510.0,17.6,4,0,0
3,11,76.8,844.8,12,0,0,1,0,1,40,0,0,1,1,0,1,1,1,1,0,490.0,37.3,2,1,0
1,30,60.2,1806.0,12,1,1,1,0,2,50,0,1,0,1,1,0,0,1,0,1,1510.0,23.5,3,0,0
6,2,100.5,201.0,1,0,0,2,2,0,28,0,0,0,1,0,0,1,0,1,0,55.0,76.2,1,0,1
2,14,69.3,970.2,12,1,1,1,1,1,42,0,0,1,1,1,1,1,0,1,0,640.0,30.4,3,0,0
5,4,93.4,373.6,1,0,0,2,1,0,31,0,0,0,1,0,0,1,1,1,0,130.0,65.9,2,1,1
0,52,50.1,2605.2,24,1,1,1,0,3,66,1,1,1,1,1,0,1,1,0,1,2890.0,14.6,4,1,0
1,18,68.1,1225.8,12,1,1,1,1,2,44,0,1,1,1,1,1,0,1,0,1,880.0,27.8,3,1,0
4,9,77.9,701.1,1,0,1,2,0,1,38,0,0,0,1,0,0,1,0,1,0,315.0,46.8,2,1,0
3,13,74.7,971.1,12,0,1,1,1,1,42,0,0,1,1,0,1,0,1,1,0,595.0,34.6,2,0,0
0,46,53.6,2465.6,24,1,1,1,0,3,61,1,1,0,1,1,0,0,1,0,1,2620.0,16.8,4,0,0
6,1,102.9,102.9,1,0,0,2,1,0,27,0,0,0,1,0,0,1,1,1,0,-85.0,81.3,1,0,1
2,16,68.2,1091.2,12,1,1,1,0,2,44,0,0,0,1,0,1,1,1,0,0,725.0,29.5,3,1,0
5,5,90.7,453.5,1,0,0,2,2,0,33,0,0,0,1,0,1,0,1,1,0,160.0,62.1,2,1,1
1,32,58.6,1875.2,12,1,1,1,1,2,51,0,1,0,1,1,0,1,0,0,1,1610.0,22.9,3,1,0
0,50,51.8,2590.0,24,1,1,1,0,3,64,1,1,1,1,1,1,1,0,1,1,2830.0,15.2,4,0,0
4,8,83.7,669.6,1,0,0,2,0,1,37,0,0,0,1,0,0,1,1,1,0,280.0,50.5,2,1,1
3,10,78.4,784.0,1,0,1,2,1,1,39,0,0,1,1,0,1,0,0,1,0,340.0,47.6,2,1,0
1,24,65.2,1564.8,12,1,1,1,0,2,47,0,1,0,1,1,1,1,1,0,1,1180.0,24.3,3,0,0
6,3,97.7,293.1,1,0,0,2,1,0,29,0,0,0,1,0,0,1,0,1,0,100.0,71.8,1,0,1
0,58,47.6,2760.8,24,1,1,1,1,3,68,1,1,1,1,1,0,0,1,0,1,3190.0,11.9,5,1,0
2,15,69.8,1047.0,12,1,1,1,1,1,43,0,0,0,1,0,1,0,1,1,0,670.0,31.4,3,1,0
5,6,87.5,525.0,1,0,0,2,0,0,35,0,0,0,1,0,0,1,1,1,0,220.0,56.7,2,1,1
1,28,61.5,1722.0,12,1,1,1,1,2,49,0,1,0,1,0,1,1,0,0,1,1440.0,24.3,3,1,0
4,7,85.6,599.2,1,0,1,2,2,0,36,0,0,0,1,0,1,1,1,1,0,235.0,54.1,2,1,1
0,42,55.3,2322.6,24,1,1,1,0,3,59,0,1,1,1,1,0,1,0,0,1,2420.0,18.6,4,0,0
3,9,79.1,711.9,1,0,0,2,1,1,38,0,0,0,1,0,0,1,1,1,0,305.0,48.4,2,1,1
6,2,98.9,197.8,1,0,0,2,0,0,28,0,0,0,1,0,0,0,1,1,0,65.0,75.3,1,0,1
1,34,58.4,1985.6,12,1,1,1,0,2,53,0,1,1,1,1,1,0,1,0,1,1720.0,21.7,3,1,0
2,12,72.1,865.2,12,1,0,1,1,1,41,0,0,1,1,0,0,1,0,1,0,540.0,33.2,2,0,0
5,5,91.1,455.5,1,0,0,2,1,0,32,0,0,0,1,0,1,1,1,1,0,170.0,62.6,2,1,1
0,54,49.8,2689.2,24,1,1,1,1,3,65,1,1,0,1,1,0,0,1,1,1,2940.0,13.7,4,0,0
4,10,76.4,764.0,1,0,0,2,0,1,40,0,0,1,1,0,1,0,1,1,0,355.0,45.1,2,1,0
1,22,66.9,1471.8,12,1,1,1,1,2,46,0,1,0,1,0,1,1,0,0,1,1060.0,26.5,3,1,0
3,11,75.8,833.8,12,0,1,1,0,1,40,0,0,1,1,0,0,1,1,1,0,485.0,36.4,2,1,0
0,48,52.9,2539.2,24,1,1,1,0,3,62,1,1,0,1,1,1,0,0,0,1,2710.0,15.7,4,0,0
6,1,104.6,104.6,1,0,0,2,2,0,26,0,0,0,1,0,0,1,1,1,0,-95.0,83.1,1,0,1
2,14,70.6,988.4,12,1,1,1,1,1,42,0,0,0,1,1,1,1,0,1,0,655.0,30.9,3,0,0
5,6,88.6,531.6,1,0,0,2,1,0,34,0,0,0,1,0,0,1,1,1,0,210.0,58.4,2,1,1
1,26,63.1,1640.6,12,1,1,1,0,2,48,0,1,0,1,1,0,0,1,0,1,1300.0,25.4,3,1,0
4,8,82.2,657.6,1,0,1,2,0,1,37,0,0,0,1,0,0,1,0,1,0,285.0,49.1,2,1,1
0,40,56.7,2268.0,24,1,1,1,1,3,58,0,1,1,1,1,1,0,1,0,1,2340.0,19.4,4,0,0
3,13,73.4,954.2,12,0,0,1,1,1,42,0,0,1,1,0,1,1,1,1,0,570.0,34.1,2,0,0
1,30,59.8,1794.0,12,1,1,1,0,2,50,0,1,0,1,0,1,0,0,0,1,1490.0,23.7,3,1,0
6,3,99.4,298.2,1,0,0,2,1,0,30,0,0,0,1,0,0,1,1,1,0,95.0,73.6,1,0,1
2,16,69.5,1112.0,12,1,1,1,1,2,44,0,0,0,1,0,1,0,1,0,0,750.0,30.7,3,1,0
5,7,86.3,604.1,1,0,0,2,0,0,36,0,0,0,1,0,1,1,0,1,0,240.0,55.3,2,1,1
0,44,54.9,2415.6,24,1,1,1,0,3,60,1,1,1,1,1,0,1,1,0,1,2550.0,17.3,4,0,0
4,9,78.1,702.9,1,0,1,2,1,1,38,0,0,0,1,0,0,0,1,1,0,310.0,47.2,2,1,0
1,24,64.3,1543.2,12,1,1,1,0,2,47,0,1,0,1,1,1,1,0,0,1,1160.0,24.6,3,0,0
0,52,50.6,2631.2,24,1,1,1,1,3,66,1,1,0,1,1,0,0,1,1,1,2870.0,14.8,4,1,0
3,10,80.7,807.0,1,0,0,2,2,1,39,0,0,1,1,0,1,1,0,1,0,350.0,48.9,2,1,0
6,2,101.2,202.4,1,0,0,2,1,0,28,0,0,0,1,0,0,1,1,1,0,60.0,78.5,1,0,1
2,15,70.9,1063.5,12,1,1,1,1,1,43,0,0,0,1,1,0,1,1,1,0,685.0,31.8,3,1,0
5,5,92.6,463.0,1,0,0,2,0,0,33,0,0,0,1,0,0,1,0,1,0,175.0,64.3,2,1,1
1,32,59.3,1897.6,12,1,1,1,1,2,51,0,1,0,1,0,1,1,1,0,1,1590.0,22.1,3,1,0
0,56,48.2,2699.2,24,1,1,1,0,3,67,1,1,1,1,1,0,0,0,0,1,3010.0,13.2,5,1,0
4,8,84.1,672.8,1,0,0,2,1,1,37,0,0,0,1,0,1,1,1,1,0,295.0,51.8,2,1,1
1,18,67.2,1209.6,12,1,1,1,0,2,44,0,1,1,1,1,0,0,1,0,1,865.0,27.2,3,1,0
3,11,74.6,820.6,12,0,1,1,0,1,40,0,0,1,1,0,1,1,0,1,0,475.0,35.9,2,0,0
0,46,53.1,2442.6,24,1,1,1,1,3,61,1,1,0,1,1,0,0,1,0,1,2610.0,16.5,4,0,0
6,3,96.1,288.3,1,0,0,2,2,0,29,0,0,0,1,0,0,1,1,1,0,90.0,69.7,1,0,1
2,14,71.4,999.6,12,1,0,1,1,1,42,0,0,1,1,0,1,0,1,1,0,620.0,32.6,2,0,0
5,6,89.1,534.6,1,0,0,2,1,0,35,0,0,0,1,0,0,1,1,1,0,215.0,57.9,2,1,1
1,28,62.7,1755.6,12,1,1,1,0,2,49,0,1,0,1,1,1,0,1,0,1,1470.0,24.9,3,1,0
4,7,87.2,610.4,1,0,1,2,0,0,36,0,0,0,1,0,0,1,0,1,0,245.0,54.6,2,1,1
0,50,51.4,2570.0,24,1,1,1,0,3,64,1,1,1,1,1,1,0,1,1,1,2790.0,15.6,4,0,0
3,9,79.9,719.1,1,0,0,2,1,1,38,0,0,0,1,0,0,1,1,1,0,315.0,46.3,2,1,0
1,22,65.7,1445.4,12,1,1,1,1,2,46,0,1,0,1,0,1,1,0,0,1,1030.0,26.8,3,1,0
0,42,54.7,2297.4,24,1,1,1,0,3,59,0,1,1,1,1,0,1,0,0,1,2390.0,18.1,4,0,0
6,1,103.5,103.5,1,0,0,2,2,0,27,0,0,0,1,0,0,0,1,1,0,-80.0,82.7,1,0,1
2,16,68.6,1097.6,12,1,1,1,0,2,44,0,0,0,1,1,1,1,1,0,0,735.0,29.9,3,0,0
5,5,93.1,465.5,1,0,0,2,1,0,32,0,0,0,1,0,0,1,0,1,0,165.0,65.4,2,1,1
1,34,57.2,1944.8,12,1,1,1,1,2,53,0,1,1,1,1,0,0,1,0,1,1670.0,20.9,3,1,0
4,10,77.3,773.0,1,0,0,2,0,1,40,0,0,1,1,0,1,1,1,1,0,360.0,44.8,2,1,0
0,54,49.1,2651.4,24,1,1,1,0,3,65,1,1,0,1,1,0,1,0,1,1,2950.0,13.4,4,1,0
3,12,73.1,877.2,12,0,1,1,1,1,41,0,0,1,1,0,0,0,1,1,0,555.0,35.2,2,0,0
1,26,63.9,1661.4,12,1,1,1,0,2,48,0,1,0,1,0,1,1,0,0,1,1320.0,25.7,3,1,0
6,2,100.1,200.2,1,0,0,2,1,0,28,0,0,0,1,0,0,1,1,1,0,55.0,77.1,1,0,1
2,8,80.3,642.4,1,0,1,2,2,1,37,0,0,0,1,0,1,0,1,1,0,270.0,48.6,2,1,0
5,6,88.0,528.0,1,0,0,2,1,0,34,0,0,0,1,0,0,1,1,1,0,220.0,58.2,2,1,1
0,48,52.3,2510.4,24,1,1,1,1,3,62,1,1,0,1,1,1,1,0,0,1,2670.0,16.3,4,0,0
4,9,76.7,690.3,1,0,1,2,0,1,38,0,0,1,1,0,0,1,1,1,0,320.0,45.5,2,1,0
1,30,60.6,1818.0,12,1,1,1,0,2,50,0,1,0,1,1,0,1,1,0,1,1530.0,23.4,3,0,0
3,11,75.1,826.1,12,0,0,1,1,1,40,0,0,1,1,0,1,0,0,1,0,480.0,36.7,2,1,0
