Frame 1 | Texture: tex_ground_01 | MipLevel: 0 | SampleCount: 450
Frame 4 | Texture: tex_concrete_wall | MipLevel: 2 | SampleCount: 170
Frame 4 | Texture: tex_door_wood | MipLevel: 1 | SampleCount: 160
Frame 4 | Texture: tex_sky_hdri | MipLevel: 3 | SampleCount: 155
Frame 4 | Texture: tex_grass_field | MipLevel: 3 | SampleCount: 130
Frame 4 | Texture: tex_roof_tiles | MipLevel: 3 | SampleCount: 95
Frame 4 | Texture: tex_fabric_curtain | MipLevel: 2 | SampleCount: 105
Frame 4 | Texture: tex_ground_01 | MipLevel: 1 | SampleCount: 55
Frame 4 | Texture: tex_metal_panel | MipLevel: 0 | SampleCount: 65
Frame 5 | Texture: tex_ground_01 | MipLevel: 0 | SampleCount: 440
Frame 5 | Texture: tex_wood_floor | MipLevel: 0 | SampleCount: 415
Frame 5 | Texture: tex_character_diffuse | MipLevel: 0 | SampleCount: 395
Frame 5 | Texture: tex_wall_brick | MipLevel: 1 | SampleCount: 330
Frame 5 | Texture: tex_stone_path | MipLevel: 1 | SampleCount: 255
Frame 5 | Texture: tex_metal_panel | MipLevel: 1 | SampleCount: 205
Frame 5 | Texture: tex_window_glass | MipLevel: 1 | SampleCount: 195
Frame 5 | Texture: tex_concrete_wall | MipLevel: 2 | SampleCount: 190
Frame 5 | Texture: tex_door_wood | MipLevel: 1 | SampleCount: 170
Frame 5 | Texture: tex_sky_hdri | MipLevel: 3 | SampleCount: 160
Frame 5 | Texture: tex_grass_field | MipLevel: 3 | SampleCount: 135
Frame 5 | Texture: tex_fabric_curtain | MipLevel: 2 | SampleCount: 110
Frame 5 | Texture: tex_roof_tiles | MipLevel: 3 | SampleCount: 108
Frame 5 | Texture: tex_metal_panel | MipLevel: 2 | SampleCount: 90
Frame 1 | Texture: tex_character_diffuse | MipLevel: 1 | SampleCount: 45
Frame 1 | Texture: tex_stone_path | MipLevel: 2 | SampleCount: 35
Frame 1 | Texture: tex_window_glass | MipLevel: 2 | SampleCount: 60
Frame 2 | Texture: tex_wood_floor | MipLevel: 1 | SampleCount: 50
Frame 2 | Texture: tex_wall_brick | MipLevel: 2 | SampleCount: 40
Frame 2 | Texture: tex_ground_01 | MipLevel: 1 | SampleCount: 55
Frame 3 | Texture: tex_character_diffuse | MipLevel: 1 | SampleCount: 42
Frame 3 | Texture: tex_door_wood | MipLevel: 2 | SampleCount: 30
Frame 3 | Texture: tex_stone_path | MipLevel: 0 | SampleCount: 85
Frame 4 | Texture: tex_wall_brick | MipLevel: 0 | SampleCount: 95
Frame 4 | Texture: tex_concrete_wall | MipLevel: 1 | SampleCount: 70
Frame 4 | Texture: tex_sky_hdri | MipLevel: 4 | SampleCount: 25
Frame 5 | Texture: tex_wood_floor | MipLevel: 1 | SampleCount: 48
Frame 5 | Texture: tex_window_glass | MipLevel: 0 | SampleCount: 88
Frame 5 | Texture: tex_door_wood | MipLevel: 0 | SampleCount: 72
Frame 1 | Texture: tex_ground_01 | MipLevel: 2 | SampleCount: 20
Frame 2 | Texture: tex_character_diffuse | MipLevel: 2 | SampleCount: 15
Frame 3 | Texture: tex_grass_field | MipLevel: 4 | SampleCount: 8
Frame 3 | Texture: tex_roof_tiles | MipLevel: 4 | SampleCount: 12
Frame 4 | Texture: tex_fabric_curtain | MipLevel: 3 | SampleCount: 18
Frame 4 | Texture: tex_stone_path | MipLevel: 3 | SampleCount: 22
Frame 5 | Texture: tex_metal_panel | MipLevel: 3 | SampleCount: 28
Frame 1 | Texture: tex_door_wood | MipLevel: 3 | SampleCount: 10
Frame 2 | Texture: tex_concrete_wall | MipLevel: 3 | SampleCount: 14
Frame 3 | Texture: tex_wall_brick | MipLevel: 3 | SampleCount: 16
Frame 4 | Texture: tex_window_glass | MipLevel: 3 | SampleCount: 24
Frame 5 | Texture: tex_ground_01 | MipLevel: 3 | SampleCount: 11
Frame 1 | Texture: tex_wood_floor | MipLevel: 2 | SampleCount: 38
Frame 2 | Texture: tex_sky_hdri | MipLevel: 2 | SampleCount: 32
Frame 3 | Texture: tex_metal_panel | MipLevel: 4 | SampleCount: 5
Frame 4 | Texture: tex_grass_field | MipLevel: 2 | SampleCount: 44
Frame 5 | Texture: tex_roof_tiles | MipLevel: 2 | SampleCount: 36
Frame 5 | Texture: tex_fabric_curtain | MipLevel: 1 | SampleCount: 52
Frame 1 | Texture: tex_concrete_wall | MipLevel: 4 | SampleCount: 7
Frame 2 | Texture: tex_door_wood | MipLevel: 4 | SampleCount: 9
Frame 3 | Texture: tex_sky_hdri | MipLevel: 1 | SampleCount: 62
Frame 4 | Texture: tex_roof_tiles | MipLevel: 1 | SampleCount: 48
Frame 5 | Texture: tex_concrete_wall | MipLevel: 0 | SampleCount: 78
