timestamp,sensor_id,humidity_percent
2024-01-15T11:28:15,sensor_1,59.7
2024-01-15T11:28:55,sensor_3,41.0
2024-01-15T11:29:30,sensor_2,62.3
2024-01-15T11:30:10,sensor_1,60.0
2024-01-15T11:30:50,sensor_3,40.8
2024-01-15T11:31:25,sensor_2,62.6
2024-01-15T11:32:05,sensor_1,60.3
2024-01-15T11:32:45,sensor_3,40.5
2024-01-15T11:33:20,sensor_2,62.9
2024-01-15T11:34:00,sensor_1,60.6
2024-01-15T11:34:40,sensor_3,40.3
2024-01-15T11:35:15,sensor_2,63.2
2024-01-15T11:35:55,sensor_1,60.9
2024-01-15T11:36:35,sensor_3,40.0
2024-01-15T11:37:10,sensor_2,63.5
2024-01-15T11:37:50,sensor_1,61.2
2024-01-15T11:38:30,sensor_3,39.8
2024-01-15T11:39:05,sensor_2,63.8
2024-01-15T11:39:45,sensor_1,61.5
2024-01-15T11:40:25,sensor_3,39.5
2024-01-15T11:41:00,sensor_2,64.1
2024-01-15T11:41:40,sensor_1,61.8
2024-01-15T11:42:20,sensor_3,39.3
2024-01-15T11:42:55,sensor_2,64.4
2024-01-15T11:43:35,sensor_1,62.1
2024-01-15T11:44:15,sensor_3,39.0
2024-01-15T11:44:50,sensor_2,64.7
2024-01-15T11:45:30,sensor_1,62.4
2024-01-15T11:46:10,sensor_3,38.8
2024-01-15T11:46:45,sensor_2,65.0
2024-01-15T11:47:25,sensor_1,62.7
2024-01-15T11:48:05,sensor_3,38.5
2024-01-15T11:48:40,sensor_2,64.8
2024-01-15T11:49:20,sensor_1,63.0
2024-01-15T11:50:00,sensor_3,38.3
